model_label,marker_kind,eligibility,retained_labels,retained_class_count,site_kind,site_role,layer,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,10,0.7,0.675,0.6875,39,4,16,16,0.6333333333333333,0.5,2.0602060508533024,3.139106583659675,1450.8294677734375,704.2157104492187,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,11,0.6,0.525,0.5625,39,4,16,16,0.4333333333333333,0.36666666666666664,1.6365412389112024,2.13926953491209,1268.3814697265625,775.037890625,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,12,0.6,0.475,0.5375,39,4,16,16,0.4333333333333333,0.4333333333333334,1.4837091533189248,1.7134877595093554,1171.7025146484375,789.7117248535156,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,13,0.65,0.55,0.6000000000000001,39,4,16,16,0.4666666666666666,0.4333333333333333,1.3236385286342303,1.2176940016937277,857.5562744140625,647.8779937744141,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,14,0.575,0.55,0.5625,39,4,16,16,0.5666666666666667,0.4666666666666666,1.3241729453403832,1.2194471040724428,893.6514892578125,674.8752059936523,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,15,0.625,0.55,0.5875,39,4,16,16,0.4,0.4333333333333334,1.2636551334188977,1.0162856596470784,886.02734375,701.1623031616211,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,16,0.625,0.5,0.5625,39,4,16,16,0.4,0.4666666666666666,1.203255107277765,0.8035771373842048,872.1748046875,724.8461273193359,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,17,0.55,0.45,0.5,39,4,16,16,0.36666666666666664,0.39999999999999997,1.043106935651407,0.1832883305043373,757.5925903320312,726.2846832275391,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,18,0.475,0.425,0.44999999999999996,39,4,16,16,0.4,0.3,1.1113695560065209,0.4585849588694779,776.1276245117188,698.3524250030517,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,19,0.475,0.425,0.44999999999999996,39,4,16,16,0.36666666666666664,0.3333333333333333,1.153357113609218,0.6196379858420508,781.2760009765625,677.392970275879,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,20,0.525,0.425,0.475,39,4,16,16,0.3333333333333333,0.3666666666666667,1.257288306122463,0.994348762549273,885.1534423828125,704.0178756713867,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,21,0.6,0.525,0.5625,39,4,16,16,0.4666666666666666,0.39999999999999997,1.361779672110017,1.3410684698409252,985.5687255859375,723.7358184814453,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,22,0.55,0.6,0.575,39,4,16,16,0.5333333333333333,0.4333333333333333,1.9908347360748366,2.9903520970611064,1147.603515625,576.4433856964112,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,23,0.7,0.7,0.7,39,4,16,16,0.7333333333333333,0.6666666666666667,2.0060509454245414,3.023419581140146,1178.7720947265625,587.6082546234131,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,24,0.675,0.6416666666666667,0.6583333333333334,39,4,16,16,0.7666666666666666,0.6333333333333333,1.85658566988848,2.687149940153999,1230.508544921875,662.7803741455078,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,25,0.65,0.5916666666666667,0.6208333333333333,39,4,16,16,0.7333333333333333,0.6666666666666667,1.8782669491303212,2.737573165218097,1193.0201416015625,635.1707046508789,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,26,0.7,0.5916666666666667,0.6458333333333333,39,4,16,16,0.7333333333333333,0.6666666666666667,1.587703020666195,2.007692710459492,1191.040771484375,750.165966796875,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,27,0.55,0.5166666666666667,0.5333333333333334,39,4,16,16,0.6333333333333333,0.6666666666666667,1.5053933855168198,1.7765000347462139,1134.6295166015625,753.7096466064453,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,28,0.6,0.6,0.6,39,4,16,16,0.6666666666666667,0.5999999999999999,1.5407939073919272,1.8774455249638753,1159.8944091796875,752.7901062011719,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,29,0.525,0.5,0.5125,39,4,16,16,0.5333333333333333,0.4333333333333334,1.173903790283598,0.6963250486635502,998.7642822265625,850.8059097290039,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,30,0.5,0.475,0.4875,39,4,16,16,0.6333333333333333,0.36666666666666664,0.9565085592003643,-0.19311139388011905,1004.8250122070312,1050.5133514404297,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,31,0.575,0.55,0.5625,39,4,16,16,0.6,0.36666666666666664,0.9377087255535654,-0.2793204278249268,1002.6237182617188,1069.22724609375,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,32,0.575,0.575,0.575,39,4,16,16,0.5333333333333333,0.36666666666666664,0.9491819970859553,-0.22650507538952505,1035.158203125,1090.579263305664,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,33,0.825,0.725,0.7749999999999999,39,4,16,16,0.9333333333333332,0.8333333333333333,1.0844487867617605,0.35209047219791184,1198.281494140625,1104.9682647705079,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,34,0.8,0.725,0.7625,39,4,16,16,0.9,0.8,1.0713761422453358,0.2994197113282274,1263.050048828125,1178.9044006347656,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,35,0.7,0.625,0.6625,39,4,16,16,0.8333333333333333,0.6,0.9103951660866814,-0.4077005691061839,1138.876953125,1250.969903564453,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,36,0.675,0.6,0.6375,39,4,16,16,0.9,0.5999999999999999,0.7859298150902653,-1.0461623548727137,1106.461669921875,1407.8377593994142,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,37,0.7,0.575,0.6375,39,4,16,16,0.8333333333333333,0.6666666666666667,0.7627008397147853,-1.1764577546352561,1108.3836669921875,1453.2351470947265,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,38,0.675,0.55,0.6125,39,4,16,16,0.7666666666666667,0.6666666666666667,0.7836963884247274,-1.0585215462397015,1136.83740234375,1450.6094696044922,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,39,0.625,0.55,0.5875,39,4,16,16,0.7666666666666667,0.6333333333333333,0.7333108827802057,-1.3471186976189644,1121.7137451171875,1529.6564819335938,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,40,0.775,0.7,0.7375,39,4,16,16,0.9,0.6666666666666667,0.8262655968720417,-0.8288032953773266,1210.2423095703125,1464.7134216308593,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,41,0.7,0.575,0.6375,39,4,16,16,0.8,0.6333333333333333,0.8627880351023692,-0.6409588619935781,1219.928955078125,1413.9381927490235,30,3,3,3,16,0.1
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,0,0.47673314339981004,0.3755935422602089,0.42616334283000945,67,13,16,16,0.4259259259259259,0.2777777777777778,0.5013843585475896,-2.9982921864750445,1187.4119873046875,2368.2669135199653,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,1,0.5391737891737891,0.44997625830959165,0.4945750237416904,67,13,16,16,0.4259259259259259,0.37037037037037035,0.2235461218977091,-6.506328599182232,1401.8094482421875,6270.784016927083,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,2,0.5274453941120608,0.33238366571699907,0.42991452991452994,67,13,16,16,0.4444444444444444,0.24074074074074073,0.9326873844965707,-0.3026389745241211,760.2770385742188,815.1466946072048,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,3,0.4004985754985755,0.4088319088319088,0.40466524216524213,67,13,16,16,0.6111111111111112,0.3148148148148148,1.6919961339751117,2.2839936638906027,672.9817504882812,397.74426015218097,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,4,0.5821699905033237,0.4557454890788224,0.5189577397910731,67,13,16,16,0.6851851851851851,0.42592592592592593,1.8937781906337858,2.773291107681332,768.021728515625,405.5499911838108,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,5,0.4640788224121557,0.41407882241215577,0.43907882241215573,67,13,16,16,0.537037037037037,0.42592592592592593,2.2107730963399224,3.4454417086260145,702.728515625,317.8655090332031,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,6,0.49648622981956314,0.4596628679962013,0.47807454890788226,67,13,16,16,0.6111111111111112,0.42592592592592593,1.9851065942066135,2.977838320224631,607.4208374023438,305.98902808295355,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,7,0.45018993352326686,0.4264245014245014,0.4383072174738841,67,13,16,16,0.6296296296296295,0.3888888888888889,1.7659456695333193,2.4697733809498175,560.9098510742188,317.62576887342664,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,8,0.5481244064577397,0.3918566001899335,0.46999050332383663,67,13,16,16,0.6481481481481481,0.35185185185185186,1.7739763238604305,2.4894781928072227,632.165283203125,356.35497199164496,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,9,0.5282763532763534,0.33701329534662866,0.432644824311491,67,13,16,16,0.5925925925925926,0.2777777777777778,1.703888365357104,2.3144113743914017,640.5465698242188,375.93223995632593,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,10,0.41633428300094966,0.4141737891737891,0.4152540360873694,67,13,16,16,0.462962962962963,0.24074074074074073,1.4081432144681811,1.4864682674521488,461.62445068359375,327.8249299791124,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,11,0.3801282051282051,0.33463912630579296,0.35738366571699903,67,13,16,16,0.35185185185185186,0.24074074074074073,0.760356737486659,-1.1898260144010677,451.20892333984375,593.4174067179362,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,12,0.3562678062678063,0.3314577397910731,0.3438627730294397,67,13,16,16,0.2962962962962963,0.14814814814814814,0.631547846508903,-1.9959374140692243,434.7600402832031,688.4039628770616,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,13,0.3485517568850902,0.32136752136752134,0.3349596391263058,67,13,16,16,0.3888888888888889,0.24074074074074073,0.46088234934324673,-3.3640992396403355,339.4357604980469,736.4911261664497,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,14,0.3038936372269706,0.3226970560303893,0.31329534662867997,67,13,16,16,0.2777777777777778,0.18518518518518517,0.4393750346287289,-3.571646234077872,355.13262939453125,808.2676561143663,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,15,0.3437084520417854,0.32269705603038934,0.33320275403608735,67,13,16,16,0.2777777777777778,0.2222222222222222,0.4474466952496339,-3.4925869518120174,348.7922668457031,779.5169135199653,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,16,0.32765906932573596,0.37815764482431147,0.3529083570750237,67,13,16,16,0.25925925925925924,0.3518518518518518,0.4629985694242588,-3.344203508656541,335.9031982421875,725.4951104058159,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,17,0.2869183285849952,0.33720322886989557,0.3120607787274454,67,13,16,16,0.4074074074074074,0.2962962962962963,0.4314935510137074,-3.6502569074851747,352.5019226074219,816.9343939887153,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,18,0.2907169990503323,0.30572174738841407,0.2982193732193732,67,13,16,16,0.3333333333333333,0.2777777777777778,0.43075550031240445,-3.6576916834290563,329.6175231933594,765.2079264322916,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,19,0.3150997150997151,0.32794396961063627,0.32152184235517567,67,13,16,16,0.35185185185185186,0.2037037037037037,0.40821827626073653,-3.891075554712323,271.10919189453125,664.1280110677084,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,20,0.3357787274453941,0.2973884140550807,0.3165835707502374,67,13,16,16,0.2777777777777778,0.16666666666666666,0.4122715238524328,-3.848166614655546,291.9109191894531,708.0550130208334,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,21,0.3042972459639126,0.2874169040835708,0.2958570750237417,67,13,16,16,0.33333333333333326,0.2037037037037037,0.4507422517342389,-3.460717300697571,300.1253662109375,665.8469780815972,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,22,0.4691120607787275,0.3959639126305793,0.4325379867046534,67,13,16,16,0.3888888888888889,0.3888888888888889,0.6600241505031355,-1.8044017318789347,302.1287841796875,457.75413513183594,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,23,0.595346628679962,0.5761158594491929,0.5857312440645774,67,13,16,16,0.6111111111111112,0.5925925925925926,1.8724767046508732,2.724164233784401,686.628662109375,366.6954362657335,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,24,0.671272554605888,0.6122269705603038,0.6417497625830959,67,13,16,16,0.574074074074074,0.4444444444444444,1.9739601603008532,2.953383832190787,756.009033203125,382.991029103597,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,25,0.5555318138651472,0.5332146248812916,0.5443732193732194,67,13,16,16,0.5370370370370371,0.48148148148148145,1.6874042111129064,2.272191286047867,712.7650756835938,422.40328131781683,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,26,0.5422602089268757,0.5471035137701805,0.544681861348528,67,13,16,16,0.537037037037037,0.48148148148148145,1.4936720352426152,1.7425525014320455,712.8786010742188,477.26581488715277,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,27,0.5107787274453942,0.5048195631528964,0.5077991452991453,67,13,16,16,0.5740740740740741,0.48148148148148145,1.410577908111126,1.4939707782095786,694.9370727539062,492.6612481011285,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,28,0.5215811965811965,0.5754985754985755,0.548539886039886,67,13,16,16,0.574074074074074,0.48148148148148145,1.3020189153336017,1.1461729357574846,698.3871459960938,536.3878648546007,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,29,0.42497625830959174,0.49000474833808166,0.4574905033238367,67,13,16,16,0.3888888888888889,0.3333333333333333,0.9723031533483822,-0.12198305753237963,591.8753051757812,608.735354953342,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,30,0.4095441595441595,0.36222697056030384,0.3858855650522317,67,13,16,16,0.4629629629629629,0.2777777777777778,0.7421568769248589,-1.295042839641491,574.006103515625,773.4296095106337,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,31,0.3950379867046534,0.385375118708452,0.3902065527065527,67,13,16,16,0.574074074074074,0.40740740740740733,0.6727150660908158,-1.7216884577217786,578.750732421875,860.3207533094618,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,32,0.3987416904083571,0.4023504273504273,0.4005460588793922,67,13,16,16,0.537037037037037,0.40740740740740733,0.7219598242333829,-1.4148696946528763,586.9102783203125,812.9403584798177,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,33,0.5274453941120608,0.38608736942070276,0.4567663817663818,67,13,16,16,0.6111111111111112,0.4444444444444444,0.7142667850594037,-1.4613954503268969,618.66748046875,866.1574266221788,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,34,0.47374169040835706,0.3737416904083571,0.4237416904083571,67,13,16,16,0.5555555555555556,0.4074074074074074,0.7284252325801878,-1.37615018697355,613.862548828125,842.7255418565538,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,35,0.38361823361823366,0.34843304843304845,0.36602564102564106,67,13,16,16,0.4629629629629629,0.4074074074074074,0.5880941590703151,-2.3055313397345705,562.3031616210938,956.1447821723091,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,36,0.4172602089268756,0.32621082621082625,0.3717355175688509,67,13,16,16,0.537037037037037,0.31481481481481477,0.4144536639271021,-3.825240166834015,570.475830078125,1376.452616373698,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,37,0.3542972459639126,0.3478157644824311,0.3510565052231719,67,13,16,16,0.574074074074074,0.35185185185185186,0.4179679199866008,-3.7885705006096564,578.3284912109375,1383.6671752929688,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,38,0.349667616334283,0.3200379867046534,0.33485280151946817,67,13,16,16,0.574074074074074,0.2777777777777778,0.393647226794704,-4.048928037723226,575.260986328125,1461.3617146809895,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,39,0.3907169990503324,0.31077872744539414,0.3507478632478633,67,13,16,16,0.48148148148148157,0.2777777777777778,0.3951651684266717,-4.03221342998275,585.68115234375,1482.1173502604167,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,40,0.4218898385565052,0.31077872744539414,0.36633428300094967,67,13,16,16,0.5925925925925927,0.31481481481481477,0.40495734942848166,-3.9259071476867247,576.5331420898438,1423.6885511610244,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,marker_end,invariant_marker_negative_control,41,0.3774453941120608,0.3200379867046534,0.3487416904083571,67,13,16,16,0.5925925925925926,0.2777777777777778,0.34202139741467175,-4.65946722925072,511.0546875,1494.2184651692708,29,6,2,6,16,0.1111111111111111
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,city_end,entity_endpoint,0,0.125,0.15,0.1375,39,4,16,16,0.06666666666666667,0.1,0.4890526062389835,-3.1064442232733542,238.91769409179688,488.53168563842775,30,3,3,3,16,0.1
