model_label,pooling,layer,metric,family,mean,ci95_low,ci95_high,exact_sign_flip_p,seed_units,scope
Qwen3-8B,span_end,9,accuracy_damage_specificity,retention,0.31000000834465025,0.2300000049173832,0.4000000089406967,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,9,relative_rms_specificity,deformation,1.0420982647687196,1.0190772930160166,1.0641723509784788,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,9,cosine_specificity,deformation,0.550151780845772,0.5303210824684357,0.5691029746961067,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,10,correct_distance_specificity,retention,4.4478791654109955,4.192494362592697,4.631958449333906,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,10,margin_damage_specificity,retention,0.7651056528091431,0.6896657588332892,0.8178816813975573,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,10,accuracy_damage_specificity,retention,0.31000000834465025,0.24000000357627868,0.3900000110268593,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,10,relative_rms_specificity,deformation,0.9985517922788858,0.9776143170939758,1.019071122254245,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,10,cosine_specificity,deformation,0.5002254492035718,0.48258980717939265,0.518135618344968,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,11,correct_distance_specificity,retention,4.379986494779587,4.129608486890793,4.560589438676834,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,11,margin_damage_specificity,retention,0.7185278445482254,0.651145725697279,0.7640193250961601,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,11,accuracy_damage_specificity,retention,0.41000001057982444,0.31000000759959223,0.5200000144541264,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,11,relative_rms_specificity,deformation,1.0285117397084833,1.005029731974937,1.0511191110825167,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,11,cosine_specificity,deformation,0.5315114736586111,0.5128146326576826,0.5497729928369154,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,12,correct_distance_specificity,retention,4.40963876247406,4.14955815076828,4.587516984790564,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,12,margin_damage_specificity,retention,0.6729816623032093,0.6110583469085396,0.7156649424508215,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,12,accuracy_damage_specificity,retention,0.4500000044703484,0.34000000953674314,0.5599999986588955,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,12,relative_rms_specificity,deformation,0.9913079112768173,0.965706271743402,1.015014148238115,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,12,cosine_specificity,deformation,0.48266406834154624,0.4673289885999475,0.4978578509713043,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,13,correct_distance_specificity,retention,4.100287622213363,3.8319739401340485,4.288648177385331,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,13,margin_damage_specificity,retention,0.6666144207119942,0.5930261469259858,0.7156550601124764,0.001953125,10,exploratory_layerwise_no_layer_selection
