model_label,mode_native,layer,occurrence,metric,value_native,quality_direction_native,quality_value_native,mode_nonthinking,value_nonthinking,quality_direction_nonthinking,quality_value_nonthinking,native_minus_nonthinking_quality
Qwen3-8B,native_thinking,0,4,centroid_nearest_squared,130.02978515625,higher,130.02978515625,non_thinking,82.10211181640625,higher,82.10211181640625,47.92767333984375
Qwen3-8B,native_thinking,0,4,fisher_nearest,0.05892118220715309,higher,0.05892118220715309,non_thinking,0.023576401182009064,higher,0.023576401182009064,0.035344781025144024
Qwen3-8B,native_thinking,0,4,min_bhattacharyya,0.7238576412200928,higher,0.7238576412200928,non_thinking,0.526648536324501,higher,0.526648536324501,0.19720910489559174
Qwen3-8B,native_thinking,0,4,mean_bhattacharyya,1.4357223651475377,higher,1.4357223651475377,non_thinking,1.379633395208253,higher,1.379633395208253,0.056088969939284805
Qwen3-8B,native_thinking,0,4,nc2_class_cosine_deviation,0.4326383987740602,lower,-0.4326383987740602,non_thinking,0.16369523577116155,lower,-0.16369523577116155,-0.26894316300289867
Qwen3-8B,native_thinking,0,5,logistic_precision,0.16666666666666666,higher,0.16666666666666666,non_thinking,0.2857142857142857,higher,0.2857142857142857,-0.11904761904761904
Qwen3-8B,native_thinking,0,5,logistic_recall,0.2222222222222222,higher,0.2222222222222222,non_thinking,0.2222222222222222,higher,0.2222222222222222,0.0
Qwen3-8B,native_thinking,0,5,logistic_f1,0.19047619047619047,higher,0.19047619047619047,non_thinking,0.25,higher,0.25,-0.059523809523809534
Qwen3-8B,native_thinking,0,5,ncc_recall,0.2222222222222222,higher,0.2222222222222222,non_thinking,0.1111111111111111,higher,0.1111111111111111,0.1111111111111111
Qwen3-8B,native_thinking,0,5,silhouette_cosine,-0.20724552869796753,higher,-0.20724552869796753,non_thinking,-0.20711825788021088,higher,-0.20711825788021088,-0.00012727081775665283
Qwen3-8B,native_thinking,0,5,within_trace,794.3065185546875,lower,-794.3065185546875,non_thinking,3678.77685546875,lower,-3678.77685546875,2884.4703369140625
Qwen3-8B,native_thinking,0,5,class_nc1_ratio,14.276897460943264,lower,-14.276897460943264,non_thinking,16.57294979208785,lower,-16.57294979208785,2.296052331144587
Qwen3-8B,native_thinking,0,5,centroid_nearest_squared,45.88054275512695,higher,45.88054275512695,non_thinking,82.10211181640625,higher,82.10211181640625,-36.2215690612793
Qwen3-8B,native_thinking,0,5,fisher_nearest,0.05776176033228425,higher,0.05776176033228425,non_thinking,0.02231777436958589,higher,0.02231777436958589,0.03544398596269836
Qwen3-8B,native_thinking,0,5,min_bhattacharyya,0.7961060106754303,higher,0.7961060106754303,non_thinking,0.526648536324501,higher,0.526648536324501,0.26945747435092926
Qwen3-8B,native_thinking,0,5,mean_bhattacharyya,1.7103381413552496,higher,1.7103381413552496,non_thinking,1.47344837586085,higher,1.47344837586085,0.23688976549439955
Qwen3-8B,native_thinking,0,5,nc2_class_cosine_deviation,0.46695434624030274,lower,-0.46695434624030274,non_thinking,0.3793944419810066,lower,-0.3793944419810066,-0.08755990425929616
Qwen3-8B,native_thinking,0,6,logistic_precision,0.0,higher,0.0,non_thinking,0.0,higher,0.0,0.0
Qwen3-8B,native_thinking,0,6,logistic_recall,0.0,higher,0.0,non_thinking,0.0,higher,0.0,0.0
Qwen3-8B,native_thinking,0,6,logistic_f1,0.0,higher,0.0,non_thinking,0.0,higher,0.0,0.0
Qwen3-8B,native_thinking,0,6,ncc_recall,0.0,higher,0.0,non_thinking,0.1111111111111111,higher,0.1111111111111111,-0.1111111111111111
