model_label,seed,gold_count,patch_layer,normalized_recovery_full_minus_endpoint,expected_absolute_error_reduction_full_minus_endpoint,strict_absolute_error_reduction_full_minus_endpoint,clean_strict_correct
Gemma4-E4B,1234,4,1,0.9953178343163058,2.7581447514293544,10.0,True
Gemma4-E4B,1234,4,2,0.9805722627836082,2.718296274200963,10.0,True
Gemma4-E4B,1234,4,3,1.0068755651138461,2.7965034325416256,10.0,True
Gemma4-E4B,1234,4,4,0.9789342539091764,2.685386529406158,10.0,True
Gemma4-E4B,1234,4,5,0.9722889286566928,2.700442259817107,10.0,True
Gemma4-E4B,1234,4,6,0.988929295299066,2.7461582927687593,10.0,True
Gemma4-E4B,1234,4,7,1.0110207723257494,2.7855774107706766,10.0,True
Gemma4-E4B,1234,4,8,1.001205237219573,2.736606597015056,10.0,True
Gemma4-E4B,1234,4,9,1.012431312977457,2.705445251159605,10.0,True
Gemma4-E4B,1234,4,10,0.9719323141006379,2.6727684169618353,10.0,True
Gemma4-E4B,1234,4,11,0.6619166354424628,1.8384120215112731,9.0,True
Gemma4-E4B,1234,4,12,0.6436170638355219,1.787586659782423,9.0,True
Gemma4-E4B,1234,4,13,0.6062714117920219,1.6838625773350113,9.0,True
Gemma4-E4B,1234,4,14,0.6452670141735916,1.7921692437121592,9.0,True
Gemma4-E4B,1234,4,15,0.6337142072243588,1.7600823946432111,9.0,True
Gemma4-E4B,1234,4,16,0.6463704224491067,1.7952338577885016,9.0,True
Gemma4-E4B,1234,4,17,0.03656579355172186,0.10155809786628067,0.0,True
Gemma4-E4B,1234,4,18,0.01638228558002276,0.045500277735144756,0.0,True
Gemma4-E4B,1234,4,19,0.042657106233022456,0.11847615349514662,0.0,True
Gemma4-E4B,1234,4,20,-0.01798115337865298,-0.04994098465263175,0.0,True
Gemma4-E4B,1234,4,21,-0.011613382644457021,-0.03225509244031688,0.0,True
Gemma4-E4B,1234,4,22,-0.013541389063836123,-0.03760995132910727,0.0,True
Gemma4-E4B,1234,4,23,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,24,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,25,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,26,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,27,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,28,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,29,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,30,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,31,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,32,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,33,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,34,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,35,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,36,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,37,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,38,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,39,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,40,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,41,0.0,0.0,0.0,True
