model_label,population,patch_layer,rows,seeds,mean_normalized_recovery_specificity,median_normalized_recovery_specificity,mean_expected_absolute_error_reduction_specificity,median_expected_absolute_error_reduction_specificity,mean_strict_absolute_error_reduction_specificity,median_strict_absolute_error_reduction_specificity
Gemma4-E4B,confirmation,1,100,10,-0.7900777050404468,0.08774087976256117,2.604004816285676,2.3915696826622566,8.64,9.0
Gemma4-E4B,confirmation,2,100,10,0.005031405608109393,0.23254003489821434,2.6418005902941517,2.4101578295785755,8.74,9.0
Gemma4-E4B,confirmation,3,100,10,-1.0106208732175643,0.1486849975824232,2.6194893410100017,2.304642476890317,8.71,9.0
Gemma4-E4B,confirmation,4,100,10,-2.159257230383398,0.3457867231144034,2.630062830596631,2.492559452096873,8.73,9.0
Gemma4-E4B,confirmation,5,100,10,8.337478848987718,0.7122652273418068,2.5935930519359274,2.286753226690562,8.66,9.0
Gemma4-E4B,confirmation,6,100,10,5.958602310643164,0.6556923742017133,2.6320917292503494,2.343059847836507,8.71,9.0
Gemma4-E4B,confirmation,7,100,10,9.8393199136233,0.6104669108489276,2.721601402125769,2.4537381533300255,8.77,9.0
Gemma4-E4B,confirmation,8,100,10,10.20055796050257,0.6717702275516193,2.6898010176787968,2.339081060104558,8.76,9.0
Gemma4-E4B,confirmation,9,100,10,12.356689187444365,0.675891268852685,2.6618109508065992,2.358569454746956,8.79,9.0
Gemma4-E4B,confirmation,10,100,10,1.4727523218205618,0.6342592675888177,2.5618145456011514,2.334311613558399,8.61,9.0
Gemma4-E4B,confirmation,11,100,10,1.9442886960535912,0.6774667195476671,2.1881119168054624,1.8282529116409465,8.29,8.0
Gemma4-E4B,confirmation,12,100,10,2.0550367079398693,0.7594275196716129,2.305201806647357,1.8438843123299882,8.4,9.0
Gemma4-E4B,confirmation,13,100,10,1.5313658066627314,0.7786803414602278,2.3808452459344234,1.840117772203536,8.44,9.0
Gemma4-E4B,confirmation,14,100,10,1.4738782377405486,0.7910500665449078,2.303326860699566,1.7903958274520728,8.35,8.0
Gemma4-E4B,confirmation,15,100,10,0.9211655412055694,0.6584954714882988,2.152128910380086,1.7945422138793474,8.21,8.0
Gemma4-E4B,confirmation,16,100,10,0.9382309121269542,0.7577656039351492,2.018418272859947,1.710124969777935,8.07,8.0
Gemma4-E4B,confirmation,17,100,10,0.0548315577167841,-0.07749507668826135,-0.0880282612261425,-0.11154816455115624,0.44,0.0
Gemma4-E4B,confirmation,18,100,10,0.5451596121762229,-0.05985219780324365,-0.10659470097989945,-0.11817326265192385,0.36,0.0
