model_label,mode,layer,n_confirmation,n_confirmation_seed_clusters,min_confirmation_per_class,max_confirmation_per_class,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,ncc_balanced_accuracy,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Qwen3-8B,non_thinking,18,100,10,10,10,64,0.53,0.53,0.49,0.49000000000000005,0.33,133810567.22521345,1.7687644958496094,0.7096721529960632,6.630837842351555,1274.1897048330973,2.1560303819963484e-10,22.257582185157954,2.2258923813700674e-05,1,0.05880713578242493,22.258923813700676
Qwen3-8B,native_thinking,18,92,10,9,10,64,0.6413043478260869,0.6344444444444444,0.7391304347826086,0.7344444444444445,0.30434782608695654,324949870.94061786,1.3518847227096558,0.40277597308158875,7.74811770530975,703.0821232418243,1.11845320524487e-11,25.216489358924797,3.0317755632102487e-05,1,0.034776017355902834,30.31775563210249
Qwen3-8B,non_thinking,19,100,10,10,10,64,0.48,0.48,0.51,0.51,0.38,-376570527.54326904,1.7530324459075928,0.7188774347305298,6.777187807987168,2086.1472714968836,6.922759287006455e-11,23.393621591884063,2.0044390752911568e-05,1,0.10734428672526687,20.044390752911568
Qwen3-8B,native_thinking,19,92,10,9,10,64,0.7065217391304348,0.7011111111111111,0.717391304347826,0.7133333333333333,0.2717391304347826,15548474.862870747,1.3512752056121826,0.41637831926345825,7.724888849853049,930.4218716836181,1.3970318999998252e-12,27.296671201268886,2.9181818980723618e-05,1,0.03810498789175101,29.18181898072362
Qwen3-8B,non_thinking,20,100,10,10,10,64,0.47,0.47000000000000003,0.41,0.41,0.44,337134406.1974155,1.5932031869888306,0.7096736431121826,6.680646024496191,996.041119353106,8.360618717156396e-10,20.90231849635316,2.406940672546625e-05,1,0.11443037463269468,24.06940672546625
Qwen3-8B,native_thinking,20,92,10,9,10,64,0.6413043478260869,0.6344444444444444,0.6304347826086957,0.6255555555555554,0.34782608695652173,-264439346.53260756,1.395825982093811,0.4490983784198761,7.593061084114706,750.123490303966,5.8006359372765525e-12,25.87305356002865,2.8928311850875616e-05,1,0.038462478367558096,28.928311850875616
Qwen3-8B,non_thinking,21,100,10,10,10,64,0.52,0.52,0.4,0.4,0.45,-41998658.49309921,1.5703516006469727,0.6971083879470825,6.520444952231283,1137.0667749729032,1.4322483378398362e-09,20.3640203631643,2.390727373212576e-05,1,0.1782269622077465,23.90727373212576
Qwen3-8B,native_thinking,21,92,10,9,10,64,0.6413043478260869,0.6344444444444444,0.6304347826086957,0.6255555555555554,0.358695652173913,149941246.57929835,1.3701225519180298,0.4719003438949585,7.32942973651512,1084.169681484047,1.5125279220154907e-11,24.914653651345354,2.853143625333905e-05,1,0.048488533027498316,28.531436253339052
Qwen3-8B,non_thinking,22,100,10,10,10,64,0.41,0.41,0.39,0.38999999999999996,0.56,485786716.85372114,1.3802202939987183,0.6791036128997803,6.824659499712643,536.253357693369,1.7704525549657753e-09,20.152030642269807,2.497455170750618e-05,1,0.1273172954177825,24.97455170750618
Qwen3-8B,native_thinking,22,92,10,9,10,64,0.6413043478260869,0.6344444444444445,0.6630434782608695,0.6577777777777778,0.29347826086956524,-11354343102.204504,1.3868672847747803,0.4916055202484131,7.2927355818564665,997.7379676466882,1.4866369101939914e-11,24.931919561335533,2.902068967744708e-05,1,0.05478809111392588,29.02068967744708
Qwen3-8B,non_thinking,23,100,10,10,10,64,0.35,0.35,0.3,0.3,0.47,-987398768.8910859,1.3113011121749878,0.7243576645851135,6.945008301575549,238.39879674863266,6.3747003045900786e-09,18.87092875805167,1.8521547004580497e-05,1,0.060603519962147544,18.521547004580498
