scope,feature_set,target,model,rows,groups,heldout_r2_log1p,heldout_mae_log1p,numeric_factors,categorical_factors,post_outcome_diagnostic,feature_order,incremental_r2
Gemma4-E4B/item_end,plus_outcome_diagnostic,noise_total_rms,elastic_net,1234,10,0.38640772263195966,0.07026793751014385,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/item_end,count_only,noise_total_rms,hist_gradient_boosting,1234,10,0.35782395329962946,0.06769968245086479,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/item_end,plus_trace_position,noise_total_rms,hist_gradient_boosting,1234,10,0.4979442522406162,0.05861963817692631,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.14012029894098676
Gemma4-E4B/item_end,plus_trace_form,noise_total_rms,hist_gradient_boosting,1234,10,0.5152515648174827,0.05726595996182754,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.017307312576866463
Gemma4-E4B/item_end,plus_outcome_diagnostic,noise_total_rms,hist_gradient_boosting,1234,10,0.5152515648174827,0.05726595996182754,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/marker_end,count_only,count_axis_deviation_abs,elastic_net,1323,10,0.2509339900610803,0.419120895583749,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/marker_end,plus_trace_position,count_axis_deviation_abs,elastic_net,1323,10,0.35873669077060466,0.39127792865871597,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.10780270070952436
Gemma4-E4B/marker_end,plus_trace_form,count_axis_deviation_abs,elastic_net,1323,10,0.3661933793260853,0.39234094029941197,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.007456688555480651
Gemma4-E4B/marker_end,plus_outcome_diagnostic,count_axis_deviation_abs,elastic_net,1323,10,0.3661933793260853,0.39234094029941197,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/marker_end,count_only,count_axis_deviation_abs,hist_gradient_boosting,1323,10,0.311772197260602,0.4051263145397441,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/marker_end,plus_trace_position,count_axis_deviation_abs,hist_gradient_boosting,1323,10,0.4705926507509618,0.3387428920471911,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.15882045349035978
