scheme,held_out,converged,model_label,log_kappa,kappa,tau,query_last_log_neff_effect
seed,seed=1237,True,Gemma4-12B,-0.03680276479903262,0.9638662249508406,0.7929749633510674,0.0
seed,seed=1237,True,Gemma4-E4B,0.24216777382766835,1.2740079200720038,0.7929749633510674,0.0
seed,seed=1237,True,Llama3.1-8B,-1.007626722415906,0.36508439884532146,0.7929749633510674,0.0
seed,seed=1237,True,Llama3.2-3B,-0.8198041725159152,0.44051791157428916,0.7929749633510674,0.0
seed,seed=1237,True,OLMo-Hybrid-7B,-1.0728654448113017,0.3420270522808792,0.7929749633510674,0.0
seed,seed=1237,True,Qwen3-1.7B,0.2785441809337914,1.3212049761761182,0.7929749633510674,0.0
seed,seed=1237,True,Qwen3-32B,0.3939345830377886,1.4828035449984747,0.7929749633510674,0.0
seed,seed=1237,True,Qwen3-8B,-1.7566398884233665,0.17262392607375093,0.7929749633510674,0.0
seed,seed=1238,True,Gemma4-12B,-0.6097255806022353,0.5434999955534295,0.7653952591685745,0.0
seed,seed=1238,True,Gemma4-E4B,0.19810748211532192,1.2190934175194545,0.7653952591685745,0.0
seed,seed=1238,True,Llama3.1-8B,-0.7557207082117845,0.46967199625808975,0.7653952591685745,0.0
seed,seed=1238,True,Llama3.2-3B,-0.8232620428509105,0.43899728832998314,0.7653952591685745,0.0
seed,seed=1238,True,OLMo-Hybrid-7B,-0.9122766724400085,0.4016088506244324,0.7653952591685745,0.0
seed,seed=1238,True,Qwen3-1.7B,-0.05173882872844406,0.9495768366500531,0.7653952591685745,0.0
seed,seed=1238,True,Qwen3-32B,0.00743305903444955,1.007460752791675,0.7653952591685745,0.0
seed,seed=1238,True,Qwen3-8B,-1.3172387829637708,0.26787393981301943,0.7653952591685745,0.0
length,L=2000,True,Gemma4-12B,-0.04781693546056331,0.9533082880472401,0.8684368476656423,0.0
length,L=2000,True,Gemma4-E4B,0.13891697341349224,1.1490286961126925,0.8684368476656423,0.0
length,L=2000,True,Llama3.1-8B,-1.0789053025721946,0.3399674835468911,0.8684368476656423,0.0
length,L=2000,True,Llama3.2-3B,-0.8330688204418885,0.4347131805409494,0.8684368476656423,0.0
length,L=2000,True,OLMo-Hybrid-7B,-1.1981434745917934,0.30175390600181345,0.8684368476656423,0.0
length,L=2000,True,Qwen3-1.7B,-0.0017701483565360073,0.9982314174320371,0.8684368476656423,0.0
length,L=2000,True,Qwen3-32B,0.28048019352074827,1.3237653232723352,0.8684368476656423,0.0
length,L=2000,True,Qwen3-8B,-1.4703304823022127,0.22984951143772317,0.8684368476656423,0.0
length,L=5000,True,Gemma4-12B,-0.3688284678142587,0.6915440223348271,0.7388962673960087,0.0
