mode,target,candidate,link,term,estimate,kind
direct,within_one,power_separable,logistic,Qwen3-8B::query_last,-1.188510268118306,binary
direct,within_one,power_separable,logistic,Qwen3-8B::log_L,-0.5721760027019493,binary
direct,within_one,power_separable,logistic,Qwen3-8B::log_N,-3.9950445948703712,binary
direct,undercount,log_burden,logistic,Gemma4-12B::intercept,-5.307784653927816,binary
direct,undercount,log_burden,logistic,Gemma4-12B::query_last,0.0,binary
direct,undercount,log_burden,logistic,Gemma4-12B::log_burden,4.974372001298845,binary
direct,undercount,log_burden,logistic,Gemma4-E4B::intercept,0.15907350642569307,binary
direct,undercount,log_burden,logistic,Gemma4-E4B::query_last,-1.3875074157902585,binary
direct,undercount,log_burden,logistic,Gemma4-E4B::log_burden,2.4114269372073522,binary
direct,undercount,log_burden,logistic,Llama3.1-8B::intercept,1.9690611784676078,binary
direct,undercount,log_burden,logistic,Llama3.1-8B::query_last,-3.5689327830422903,binary
direct,undercount,log_burden,logistic,Llama3.1-8B::log_burden,0.9164688634030957,binary
direct,undercount,log_burden,logistic,Llama3.2-3B::intercept,-1.0122391148564982,binary
direct,undercount,log_burden,logistic,Llama3.2-3B::query_last,0.24622938865197888,binary
direct,undercount,log_burden,logistic,Llama3.2-3B::log_burden,0.8141502008754968,binary
direct,undercount,log_burden,logistic,OLMo-Hybrid-7B::intercept,-0.9201627931258469,binary
direct,undercount,log_burden,logistic,OLMo-Hybrid-7B::query_last,-0.03559405819016418,binary
direct,undercount,log_burden,logistic,OLMo-Hybrid-7B::log_burden,0.7526507827004745,binary
direct,undercount,log_burden,logistic,Qwen3-1.7B::intercept,1.7900552381876191,binary
direct,undercount,log_burden,logistic,Qwen3-1.7B::query_last,-2.798665347388922,binary
direct,undercount,log_burden,logistic,Qwen3-1.7B::log_burden,0.6055808881218443,binary
direct,undercount,log_burden,logistic,Qwen3-32B::intercept,-4.448403879342971,binary
direct,undercount,log_burden,logistic,Qwen3-32B::query_last,-1.1647264615419033,binary
direct,undercount,log_burden,logistic,Qwen3-32B::log_burden,0.9333137251670965,binary
direct,undercount,log_burden,logistic,Qwen3-8B::intercept,0.35380961181010295,binary
direct,undercount,log_burden,logistic,Qwen3-8B::query_last,-5.06524361266289,binary
direct,undercount,log_burden,logistic,Qwen3-8B::log_burden,1.6535632137763754,binary
direct,overcount,inverse_separable,logistic,Gemma4-12B::intercept,-2.0813880088198573,binary
direct,overcount,inverse_separable,logistic,Gemma4-12B::query_last,0.0,binary
direct,overcount,inverse_separable,logistic,Gemma4-12B::inv_L,-2.94988565653041,binary
direct,overcount,inverse_separable,logistic,Gemma4-12B::inv_N,-3.339686612146123,binary
direct,overcount,inverse_separable,logistic,Gemma4-E4B::intercept,-4.2584625764681565,binary
direct,overcount,inverse_separable,logistic,Gemma4-E4B::query_last,2.215652837410697,binary
direct,overcount,inverse_separable,logistic,Gemma4-E4B::inv_L,0.653159829356946,binary
direct,overcount,inverse_separable,logistic,Gemma4-E4B::inv_N,-0.1703006299394764,binary
direct,overcount,inverse_separable,logistic,Llama3.1-8B::intercept,-13.496045962394355,binary
direct,overcount,inverse_separable,logistic,Llama3.1-8B::query_last,13.055026820089628,binary
direct,overcount,inverse_separable,logistic,Llama3.1-8B::inv_L,-0.2371312890334678,binary
direct,overcount,inverse_separable,logistic,Llama3.1-8B::inv_N,-1.5131345971243575,binary
direct,overcount,inverse_separable,logistic,Llama3.2-3B::intercept,0.2830434916978336,binary
direct,overcount,inverse_separable,logistic,Llama3.2-3B::query_last,-1.6014629726656546,binary
direct,overcount,inverse_separable,logistic,Llama3.2-3B::inv_L,0.8478460114265643,binary
direct,overcount,inverse_separable,logistic,Llama3.2-3B::inv_N,-0.6787578071387829,binary
direct,overcount,inverse_separable,logistic,OLMo-Hybrid-7B::intercept,-1.7466669668298267,binary
direct,overcount,inverse_separable,logistic,OLMo-Hybrid-7B::query_last,0.7734893021946351,binary
direct,overcount,inverse_separable,logistic,OLMo-Hybrid-7B::inv_L,-0.24336729936082602,binary
direct,overcount,inverse_separable,logistic,OLMo-Hybrid-7B::inv_N,-0.3190654416718929,binary
direct,overcount,inverse_separable,logistic,Qwen3-1.7B::intercept,-5.0029098510538725,binary
direct,overcount,inverse_separable,logistic,Qwen3-1.7B::query_last,4.796991264912796,binary
direct,overcount,inverse_separable,logistic,Qwen3-1.7B::inv_L,-1.2820566634318624,binary
direct,overcount,inverse_separable,logistic,Qwen3-1.7B::inv_N,-0.575084113924606,binary
direct,overcount,inverse_separable,logistic,Qwen3-32B::intercept,-1.0741851904001558,binary
direct,overcount,inverse_separable,logistic,Qwen3-32B::query_last,1.523063127215049,binary
direct,overcount,inverse_separable,logistic,Qwen3-32B::inv_L,-1.0284114265911548,binary
direct,overcount,inverse_separable,logistic,Qwen3-32B::inv_N,-3.7233557021427974,binary
direct,overcount,inverse_separable,logistic,Qwen3-8B::intercept,-5.651246193177572,binary
direct,overcount,inverse_separable,logistic,Qwen3-8B::query_last,6.070572851713579,binary
direct,overcount,inverse_separable,logistic,Qwen3-8B::inv_L,-0.2859631239343486,binary
direct,overcount,inverse_separable,logistic,Qwen3-8B::inv_N,-2.4402397428994287,binary
direct,log1p_absolute_error,root_separable,identity,Gemma4-12B::intercept,0.0,continuous
direct,log1p_absolute_error,root_separable,identity,Gemma4-12B::query_last,0.0,continuous
direct,log1p_absolute_error,root_separable,identity,Gemma4-12B::sqrt_L,0.0,continuous
direct,log1p_absolute_error,root_separable,identity,Gemma4-12B::sqrt_N,0.0,continuous
direct,log1p_absolute_error,root_separable,identity,Gemma4-E4B::intercept,0.4689712219684365,continuous
direct,log1p_absolute_error,root_separable,identity,Gemma4-E4B::query_last,-0.07462134124993693,continuous
direct,log1p_absolute_error,root_separable,identity,Gemma4-E4B::sqrt_L,0.2828958608412841,continuous
direct,log1p_absolute_error,root_separable,identity,Gemma4-E4B::sqrt_N,1.0292377709855283,continuous
direct,log1p_absolute_error,root_separable,identity,Llama3.1-8B::intercept,1.0612817572594218,continuous
direct,log1p_absolute_error,root_separable,identity,Llama3.1-8B::query_last,-0.6087190735363481,continuous
direct,log1p_absolute_error,root_separable,identity,Llama3.1-8B::sqrt_L,0.6812100952286291,continuous
direct,log1p_absolute_error,root_separable,identity,Llama3.1-8B::sqrt_N,0.9004445358435494,continuous
direct,log1p_absolute_error,root_separable,identity,Llama3.2-3B::intercept,1.6522412486324125,continuous
direct,log1p_absolute_error,root_separable,identity,Llama3.2-3B::query_last,-1.0602460239676201,continuous
direct,log1p_absolute_error,root_separable,identity,Llama3.2-3B::sqrt_L,-0.21218729368408948,continuous
direct,log1p_absolute_error,root_separable,identity,Llama3.2-3B::sqrt_N,0.9343668845779307,continuous
direct,log1p_absolute_error,root_separable,identity,OLMo-Hybrid-7B::intercept,0.41194350095991256,continuous
direct,log1p_absolute_error,root_separable,identity,OLMo-Hybrid-7B::query_last,0.07512073036692382,continuous
direct,log1p_absolute_error,root_separable,identity,OLMo-Hybrid-7B::sqrt_L,0.2147673837599124,continuous
direct,log1p_absolute_error,root_separable,identity,OLMo-Hybrid-7B::sqrt_N,0.7321676404314058,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-1.7B::intercept,1.187288945785172,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-1.7B::query_last,-0.4015648182513788,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-1.7B::sqrt_L,0.4856577716057287,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-1.7B::sqrt_N,1.427809393613231,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-32B::intercept,0.26146590265574754,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-32B::query_last,0.22597668585371755,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-32B::sqrt_L,0.5538660545035716,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-32B::sqrt_N,0.9815177458111416,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-8B::intercept,0.521881109746001,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-8B::query_last,0.0736507111620402,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-8B::sqrt_L,0.30423786393501134,continuous
direct,log1p_absolute_error,root_separable,identity,Qwen3-8B::sqrt_N,1.2579910197825501,continuous
direct,log1p_relative_error,log_burden,identity,Gemma4-12B::intercept,-0.0,continuous
direct,log1p_relative_error,log_burden,identity,Gemma4-12B::query_last,0.0,continuous
direct,log1p_relative_error,log_burden,identity,Gemma4-12B::log_burden,0.0,continuous
direct,log1p_relative_error,log_burden,identity,Gemma4-E4B::intercept,0.10279498125120487,continuous
direct,log1p_relative_error,log_burden,identity,Gemma4-E4B::query_last,-0.007184283379002693,continuous
direct,log1p_relative_error,log_burden,identity,Gemma4-E4B::log_burden,0.05026740229258092,continuous
direct,log1p_relative_error,log_burden,identity,Llama3.1-8B::intercept,0.37806869081615546,continuous
direct,log1p_relative_error,log_burden,identity,Llama3.1-8B::query_last,-0.27524699042277795,continuous
direct,log1p_relative_error,log_burden,identity,Llama3.1-8B::log_burden,0.03578092242482434,continuous
direct,log1p_relative_error,log_burden,identity,Llama3.2-3B::intercept,0.7009788378597126,continuous
