candidate,link,complexity,description,selection_score,selection_se,converged_all_folds,seed_log_loss,seed_brier,cell_log_loss,cell_brier,mode,target,kind
root_separable,survival_loglog,2,separate square-root L and N coordinates,0.31810401810257927,0.01725365230725978,True,0.33334931263195244,0.0946414669455584,0.30285872357320603,0.08883476861666513,native_thinking,exact_correct,binary
inverse_separable,logistic,2,separate inverse L and N coordinates,0.34358882318905004,0.0159312938388509,True,0.3551064654272633,0.09859636309088363,0.33207118095083676,0.09427174867148694,native_thinking,exact_correct,binary
inverse_separable,survival_loglog,2,separate inverse L and N coordinates,0.33813332118588824,0.01505357710555012,True,0.3492560164920619,0.09615074738236282,0.32701062587971463,0.09191007580079319,native_thinking,exact_correct,binary
logL_rawN,logistic,2,log length plus raw/scaled needle count,0.3139737948932463,0.01729715969217404,True,0.3305605131028633,0.09390171355879734,0.2973870766836293,0.08780703242659768,native_thinking,exact_correct,binary
logL_rawN,survival_loglog,2,log length plus raw/scaled needle count,0.32335609101671514,0.01828261461406645,True,0.3390055163915575,0.09576314134653152,0.30770666564187277,0.08979393835352888,native_thinking,exact_correct,binary
rawL_logN,logistic,2,raw/scaled length plus log needle count,0.3177774849046441,0.01605528143081424,True,0.3329996377788158,0.09441089973366451,0.3025553320304724,0.08895331918046778,native_thinking,exact_correct,binary
rawL_logN,survival_loglog,2,raw/scaled length plus log needle count,0.3176768920605311,0.016125626597268388,True,0.33241256154107424,0.09450881572893631,0.302941222579988,0.08903942331968619,native_thinking,exact_correct,binary
intercept_only,logistic,0,Model and query-order baselines only,0.1712314623531857,0.01665849289865503,True,0.1803028764546008,0.052263883518480325,0.16216004825177058,0.049513886549554284,native_thinking,parse_success,binary
intercept_only,survival_loglog,0,Model and query-order baselines only,0.17184400829255714,0.01687286198869783,True,0.1802346679204612,0.05226388423107818,0.16345334866465308,0.049513875227160595,native_thinking,parse_success,binary
log_density,logistic,1,log(N/L) density coordinate,0.1707552997960684,0.01648697131475111,True,0.17943687943440056,0.051787928295808326,0.16207372015773627,0.04970964522849535,native_thinking,parse_success,binary
log_density,survival_loglog,1,log(N/L) density coordinate,0.17095610636123876,0.01634200536708917,True,0.17952861725314964,0.051730941916792894,0.1623835954693279,0.04965945454762515,native_thinking,parse_success,binary
log_burden,logistic,1,log(N×L) burden coordinate,0.1595794406131359,0.020031875604553856,True,0.1720515705951449,0.04424455968075747,0.14710731063112692,0.04083184604739976,native_thinking,parse_success,binary
log_burden,survival_loglog,1,log(N×L) burden coordinate,0.15943803902010492,0.019473314995264876,True,0.1710547651515584,0.04429714758298572,0.14782131288865144,0.04089640749838072,native_thinking,parse_success,binary
power_separable,logistic,2,separate log L and log N orders,0.1503157374740732,0.0192200113539081,True,0.16363707721327286,0.04011857491384113,0.13699439773487354,0.03646602591190954,native_thinking,parse_success,binary
power_separable,survival_loglog,2,separate log L and log N orders,0.15097632811259276,0.019977881666130484,False,0.16561738777400298,0.039996607725849016,0.13633526845118257,0.03645470849925083,native_thinking,parse_success,binary
power_interaction,logistic,3,power surface plus log L × log N,0.15115185592609343,0.01759619671147662,True,0.1602638252463459,0.04024659077089974,0.14203988660584094,0.039740854933758576,native_thinking,parse_success,binary
power_interaction,survival_loglog,3,power surface plus log L × log N,0.1543753596051609,0.01824295329998997,False,0.16225585570890283,0.04018154948700477,0.14649486350141896,0.04105196965162203,native_thinking,parse_success,binary
power_quadratic,logistic,5,quadratic response surface in log coordinates,0.18560816432020744,0.030547398643301464,True,0.2149908529899531,0.04168821483476597,0.15622547565046174,0.03952167000061904,native_thinking,parse_success,binary
power_quadratic,survival_loglog,5,quadratic response surface in log coordinates,0.21989932836198472,0.040836702065432585,False,0.21953572402069638,0.04158033879684053,0.22026293270327307,0.04028758168369077,native_thinking,parse_success,binary
piecewise_power,logistic,4,"piecewise log surface (L=5000, N=8 knots)",0.17301241132611944,0.032890230923296154,True,0.20510726007677485,0.04128263559723998,0.140917562575464,0.03725898673724841,native_thinking,parse_success,binary
piecewise_power,survival_loglog,4,"piecewise log surface (L=5000, N=8 knots)",0.17307155395685087,0.031916812584105135,False,0.2030431302793574,0.04115326975504036,0.14309997763434432,0.037460594551473214,native_thinking,parse_success,binary
exponential_separable,logistic,2,separate raw/scaled L and N exponential orders,0.1551774025359403,0.020375168820423905,True,0.16885095752637888,0.04153787383459448,0.14150384754550172,0.03870196979907464,native_thinking,parse_success,binary
exponential_separable,survival_loglog,2,separate raw/scaled L and N exponential orders,0.15861144530769603,0.02340694343410439,False,0.1766355903666363,0.04139650907013823,0.14058730024875574,0.038570747359708994,native_thinking,parse_success,binary
exponential_interaction,logistic,3,"raw/scaled L,N surface plus interaction",0.1575964973843016,0.019637554273286537,True,0.16758409768608687,0.04182160803339204,0.1476088970825163,0.042145682383418565,native_thinking,parse_success,binary
exponential_interaction,survival_loglog,3,"raw/scaled L,N surface plus interaction",0.16391395190411512,0.023644878946013245,False,0.1781765610398006,0.04170593418445524,0.14965134276842962,0.04332131221459168,native_thinking,parse_success,binary
root_separable,logistic,2,separate square-root L and N coordinates,0.15136678581411644,0.019312197824486312,True,0.16475282480119366,0.04072867243098803,0.1379807468270392,0.03742548840545608,native_thinking,parse_success,binary
root_separable,survival_loglog,2,separate square-root L and N coordinates,0.1556903419685805,0.02265843513579501,False,0.17309024436505033,0.0406142865071524,0.13829043957211068,0.03739869651221358,native_thinking,parse_success,binary
inverse_separable,logistic,2,separate inverse L and N coordinates,0.15360591455325467,0.01877429388890037,True,0.16597933688125383,0.0404572169407942,0.14123249222525552,0.037241217899794114,native_thinking,parse_success,binary
inverse_separable,survival_loglog,2,separate inverse L and N coordinates,0.15392694003087098,0.01895242329198378,False,0.16686650996662913,0.04014539675823486,0.14098737009511284,0.03705621873795852,native_thinking,parse_success,binary
logL_rawN,logistic,2,log length plus raw/scaled needle count,0.15343771326382472,0.02053191951242373,True,0.16802752428791118,0.040840776740887756,0.13884790223973828,0.03750075182180131,native_thinking,parse_success,binary
logL_rawN,survival_loglog,2,log length plus raw/scaled needle count,0.15498595378566468,0.022200894243304948,False,0.17233849531300469,0.040693552661480066,0.13763341225832468,0.03737416732579758,native_thinking,parse_success,binary
rawL_logN,logistic,2,raw/scaled length plus log needle count,0.15212224613544806,0.01901993627441159,True,0.16449075416483688,0.04080071193309679,0.13975373810605923,0.03755193507404093,native_thinking,parse_success,binary
