draw,sampled_seeds,converged,model_label,log_kappa,kappa,tau,query_last_log_neff_effect
113,"1238,1234,1235,1235,1238",True,Gemma4-E4B,0.03348076945085641,1.0340475582326893,0.760365018379765,0.0
113,"1238,1234,1235,1235,1238",True,Llama3.1-8B,-0.9302042811361732,0.3944731187233221,0.760365018379765,0.0
113,"1238,1234,1235,1235,1238",True,Llama3.2-3B,-0.6538462928551722,0.5200416924380897,0.760365018379765,0.0
113,"1238,1234,1235,1235,1238",True,OLMo-Hybrid-7B,-1.1158294065078536,0.3276434165910135,0.760365018379765,0.0
113,"1238,1234,1235,1235,1238",True,Qwen3-1.7B,0.43151961862032795,1.5395953445535873,0.760365018379765,0.0
113,"1238,1234,1235,1235,1238",True,Qwen3-32B,0.7747341547950893,2.1700151623696766,0.760365018379765,0.0
113,"1238,1234,1235,1235,1238",True,Qwen3-8B,-1.9108072499214583,0.14796089695050582,0.760365018379765,0.0
114,"1236,1238,1235,1234,1235",True,Gemma4-12B,-0.08157209019384169,0.9216662643592267,0.7860903770046701,0.0
114,"1236,1238,1235,1234,1235",True,Gemma4-E4B,0.21099611380473848,1.234907555960177,0.7860903770046701,0.0
114,"1236,1238,1235,1234,1235",True,Llama3.1-8B,-0.7805163498108708,0.45816937454691437,0.7860903770046701,0.0
114,"1236,1238,1235,1234,1235",True,Llama3.2-3B,-0.7570572687131348,0.46904467054207516,0.7860903770046701,0.0
114,"1236,1238,1235,1234,1235",True,OLMo-Hybrid-7B,-1.0632186133554284,0.34534249565771247,0.7860903770046701,0.0
114,"1236,1238,1235,1234,1235",True,Qwen3-1.7B,0.2671460119993404,1.3062311578301875,0.7860903770046701,0.0
114,"1236,1238,1235,1234,1235",True,Qwen3-32B,0.3854707389142744,1.4703062889464598,0.7860903770046701,0.0
114,"1236,1238,1235,1234,1235",True,Qwen3-8B,-1.684244827429581,0.1855845273957798,0.7860903770046701,0.0
115,"1237,1235,1237,1237,1234",True,Gemma4-12B,-0.8870071013003482,0.41188664486966753,0.6740531713374236,0.0
115,"1237,1235,1237,1237,1234",True,Gemma4-E4B,-0.02441223131186742,0.9758833371600084,0.6740531713374236,0.0
115,"1237,1235,1237,1237,1234",True,Llama3.1-8B,-0.6182882760512244,0.5388660385097706,0.6740531713374236,0.0
115,"1237,1235,1237,1237,1234",True,Llama3.2-3B,-0.6638158966477659,0.5148828413887482,0.6740531713374236,0.0
115,"1237,1235,1237,1237,1234",True,OLMo-Hybrid-7B,-0.7185052890550822,0.48748035389683875,0.6740531713374236,0.0
115,"1237,1235,1237,1237,1234",True,Qwen3-1.7B,-0.1359822580438982,0.8728581185617649,0.6740531713374236,0.0
115,"1237,1235,1237,1237,1234",True,Qwen3-32B,-0.0404826582097974,0.960325818135875,0.6740531713374236,0.0
115,"1237,1235,1237,1237,1234",True,Qwen3-8B,-1.0362173563935488,0.35479420692723684,0.6740531713374236,0.0
116,"1236,1235,1237,1238,1236",True,Gemma4-12B,-0.3041449447867357,0.7377539251151446,0.7264298789535354,0.0
116,"1236,1235,1237,1238,1236",True,Gemma4-E4B,0.6251421277075009,1.8685115058176447,0.7264298789535354,0.0
116,"1236,1235,1237,1238,1236",True,Llama3.1-8B,-0.6689217174992793,0.5122606417784191,0.7264298789535354,0.0
116,"1236,1235,1237,1238,1236",True,Llama3.2-3B,-0.731203646492317,0.48132929097105737,0.7264298789535354,0.0
116,"1236,1235,1237,1238,1236",True,OLMo-Hybrid-7B,-0.7687160631992851,0.4636079296292948,0.7264298789535354,0.0
116,"1236,1235,1237,1238,1236",True,Qwen3-1.7B,0.4129496426385068,1.5112689205024323,0.7264298789535354,0.0
