scheme,fold,candidate,link,n_rows,rmse,nrmse,mae,r2,mode,target,direction
seed,seed=1238,power_separable,identity,92,0.7813351246894225,0.6567191488137578,0.5018864591744819,0.5738979527841772,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=0,power_separable,identity,108,0.8215117160498794,0.6904879325875134,0.5340162236138292,0.43826417836325937,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=1,power_separable,identity,108,0.888416293395122,0.7467218272346751,0.5819061766597315,0.42851758273344986,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=2,power_separable,identity,91,0.9710779672301564,0.8161997021760359,0.6018576624976103,0.38462945448614316,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=3,power_separable,identity,122,0.7042792309060959,0.5919529820596592,0.49228252660404154,0.47436712844144346,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=4,power_separable,identity,100,1.0181964939136827,0.8558032445731139,0.6958982760295568,0.4847897333074155,enumeration,over_log1p_relative_magnitude,over
seed,seed=1234,power_interaction,identity,106,0.8144332361651202,0.6845384070408894,0.569385707860009,0.5562117974170645,enumeration,over_log1p_relative_magnitude,over
seed,seed=1235,power_interaction,identity,78,1.0477831541614637,0.8806710966895639,0.6227807098023583,0.4649556045556974,enumeration,over_log1p_relative_magnitude,over
seed,seed=1236,power_interaction,identity,141,0.9597391913315646,0.8066693597897608,0.64557151812499,0.2094571521626044,enumeration,over_log1p_relative_magnitude,over
seed,seed=1237,power_interaction,identity,112,0.8838803430079621,0.7429093204329348,0.5744420226330913,0.29433748656814673,enumeration,over_log1p_relative_magnitude,over
seed,seed=1238,power_interaction,identity,92,0.7763307413505797,0.6525129199335076,0.49521861884785817,0.5793387657491751,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=0,power_interaction,identity,108,0.8411592673248267,0.7070018748663619,0.5463021044458553,0.4110735436855584,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=1,power_interaction,identity,108,0.9520063774276374,0.800169860657502,0.6015572718707114,0.3437798544987568,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=2,power_interaction,identity,91,0.971324116776213,0.8164065930673566,0.6091807750609503,0.38431744580442484,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=3,power_interaction,identity,122,0.7043214101104578,0.591988434057542,0.4864175218257963,0.47430416636833816,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=4,power_interaction,identity,100,1.018414932156233,0.8559868438664043,0.6855880444601344,0.4845686488744956,enumeration,over_log1p_relative_magnitude,over
seed,seed=1234,power_quadratic,identity,106,0.7697486842784579,0.6469806421934462,0.5087276747646181,0.6035734923071134,enumeration,over_log1p_relative_magnitude,over
seed,seed=1235,power_quadratic,identity,78,1.0701059744264014,0.8994336264418769,0.6103830074979628,0.44191471303293317,enumeration,over_log1p_relative_magnitude,over
seed,seed=1236,power_quadratic,identity,141,0.9991203796811226,0.8397696002307319,0.6349165600241018,0.14324905987128367,enumeration,over_log1p_relative_magnitude,over
seed,seed=1237,power_quadratic,identity,112,0.8470594806432221,0.7119610568432588,0.5441005050842546,0.35190613344237265,enumeration,over_log1p_relative_magnitude,over
seed,seed=1238,power_quadratic,identity,92,0.8368254581288127,0.7033592695406908,0.496038083956475,0.5112253290432102,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=0,power_quadratic,identity,108,0.888619295781013,0.7468924525526173,0.5333434029244387,0.3427417058775659,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=1,power_quadratic,identity,108,0.9162873230377411,0.7701476765086845,0.5847580530292215,0.39209852164135883,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=2,power_quadratic,identity,91,0.9207108142765102,0.773865660392059,0.5546014000867097,0.44680914447079123,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=3,power_quadratic,identity,122,0.658424857240535,0.5534119715617566,0.45769989261855226,0.5405849789179227,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=4,power_quadratic,identity,100,0.990592433125862,0.8326017850053175,0.6324031955908812,0.5123465213059429,enumeration,over_log1p_relative_magnitude,over
seed,seed=1234,piecewise_power,identity,106,0.8039206876422663,0.6757025161412755,0.4978227808814949,0.5675945237521351,enumeration,over_log1p_relative_magnitude,over
seed,seed=1235,piecewise_power,identity,78,1.0343405087176964,0.8693724331651959,0.6063096192571951,0.478596354873399,enumeration,over_log1p_relative_magnitude,over
seed,seed=1236,piecewise_power,identity,141,1.0021708493765915,0.8423335472473041,0.6385335782641626,0.1380094860774932,enumeration,over_log1p_relative_magnitude,over
seed,seed=1237,piecewise_power,identity,112,0.8511304946348464,0.7153827804531516,0.5334141445885506,0.34566161483608404,enumeration,over_log1p_relative_magnitude,over
seed,seed=1238,piecewise_power,identity,92,0.8145163716764561,0.6846082831804811,0.48668215144588606,0.5369386216925309,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=0,piecewise_power,identity,108,0.8848931240068221,0.7437605719055604,0.5231077206792573,0.34824219996673267,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=1,piecewise_power,identity,108,0.8911261716137184,0.7489995040738073,0.5789496640628793,0.4250259546848353,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=2,piecewise_power,identity,91,0.9221522707271789,0.775077217409557,0.5316438135263907,0.44507564744593964,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=3,piecewise_power,identity,122,0.6700399883095147,0.5631745929363078,0.4635173182246207,0.5242331273728451,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=4,piecewise_power,identity,100,0.9480289685845966,0.7968268130107904,0.6290558083329281,0.5533528877295819,enumeration,over_log1p_relative_magnitude,over
seed,seed=1234,exponential_separable,identity,106,0.8700206141027298,0.7312600945350826,0.5507608292017828,0.49356482580335215,enumeration,over_log1p_relative_magnitude,over
seed,seed=1235,exponential_separable,identity,78,1.0735895991577638,0.9023616441337426,0.6316121356420975,0.4382752151425101,enumeration,over_log1p_relative_magnitude,over
seed,seed=1236,exponential_separable,identity,141,1.2268457561489912,1.0311748125034008,0.7030324311723515,-0.2918107203475604,enumeration,over_log1p_relative_magnitude,over
seed,seed=1237,exponential_separable,identity,112,0.847426240729674,0.7122693219707088,0.5477123162737388,0.3513447881612415,enumeration,over_log1p_relative_magnitude,over
seed,seed=1238,exponential_separable,identity,92,0.7853308251398217,0.6600775707197792,0.4804747910583245,0.5695286891388729,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=0,exponential_separable,identity,108,0.8527846577034873,0.7167731192823049,0.5379806126132264,0.394682327756845,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=1,exponential_separable,identity,108,0.8609717910278939,0.7236544779440779,0.5623681783127313,0.4632801120316019,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=2,exponential_separable,identity,91,0.8852795043138214,0.7440853280035687,0.5520740591628558,0.4885663215400494,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=3,exponential_separable,identity,122,0.6986185147319631,0.5871950995709763,0.47317091381017484,0.4827828266248134,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=4,exponential_separable,identity,100,1.2527563470519756,1.0529528955120628,0.7090508760226206,0.22007195398450308,enumeration,over_log1p_relative_magnitude,over
seed,seed=1234,exponential_interaction,identity,106,0.8081460102253685,0.6792539375001212,0.5437268635501327,0.56303722338601,enumeration,over_log1p_relative_magnitude,over
seed,seed=1235,exponential_interaction,identity,78,1.0645047471397764,0.8947257448943181,0.6201892805478394,0.44774176482178574,enumeration,over_log1p_relative_magnitude,over
seed,seed=1236,exponential_interaction,identity,141,0.9408579534797178,0.7907995107854123,0.6329302838853701,0.24025635599992556,enumeration,over_log1p_relative_magnitude,over
seed,seed=1237,exponential_interaction,identity,112,0.8879709825303747,0.7463475394766907,0.5608640830548908,0.2877906939507391,enumeration,over_log1p_relative_magnitude,over
seed,seed=1238,exponential_interaction,identity,92,0.7834139854183608,0.6584664498185008,0.48100891175344823,0.5716275179958066,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=0,exponential_interaction,identity,108,0.8588877702657197,0.7219028398853266,0.5394496642695616,0.38598718670766397,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=1,exponential_interaction,identity,108,0.9321906670367466,0.7835145791402164,0.6097859682889575,0.37081357429108475,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=2,exponential_interaction,identity,91,0.9221611636511655,0.7750846919915724,0.5739559081081544,0.44506494438954103,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=3,exponential_interaction,identity,122,0.694515622242463,0.5837465817989768,0.47632379410907877,0.48884008118484157,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=4,exponential_interaction,identity,100,1.2232852381597599,1.0281821653417191,0.6954221351397358,0.2563359556274215,enumeration,over_log1p_relative_magnitude,over
seed,seed=1234,root_separable,identity,106,0.7757987345732249,0.6520657634868722,0.5299260309525545,0.5973173575439812,enumeration,over_log1p_relative_magnitude,over
seed,seed=1235,root_separable,identity,78,1.0568838832706913,0.8883203407659418,0.6231593202132236,0.4556207709187434,enumeration,over_log1p_relative_magnitude,over
seed,seed=1236,root_separable,identity,141,1.0355910322889967,0.8704235093927523,0.6744417632659337,0.07955993081928348,enumeration,over_log1p_relative_magnitude,over
seed,seed=1237,root_separable,identity,112,0.772239549192558,0.6490742363945876,0.5237018599455568,0.4613406837873262,enumeration,over_log1p_relative_magnitude,over
seed,seed=1238,root_separable,identity,92,0.7704952882332227,0.6476081694838249,0.4783060454821578,0.585638975086633,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=0,root_separable,identity,108,0.827570999299913,0.6955808142622816,0.526122412546952,0.4299471479258594,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=1,root_separable,identity,108,0.8660611053295111,0.7279320920568855,0.5662192518787383,0.4569161185531655,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=2,root_separable,identity,91,0.9083401397613745,0.7634679980047943,0.573819163830643,0.4615746285143497,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=3,root_separable,identity,122,0.6939422558158523,0.583264662197843,0.4819066094423758,0.4896837222719205,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=4,root_separable,identity,100,0.90893378076409,0.7639669585681751,0.6315839833219877,0.5894313326512206,enumeration,over_log1p_relative_magnitude,over
seed,seed=1234,inverse_separable,identity,106,0.8940367422154025,0.7514458646528995,0.5853709286321681,0.4652195642122584,enumeration,over_log1p_relative_magnitude,over
seed,seed=1235,inverse_separable,identity,78,1.1211986384464427,0.9423774667552203,0.6851395910019625,0.3873504496687328,enumeration,over_log1p_relative_magnitude,over
seed,seed=1236,inverse_separable,identity,141,1.1768907376241526,0.9891871733867698,0.7608124024830315,-0.18875195488346352,enumeration,over_log1p_relative_magnitude,over
seed,seed=1237,inverse_separable,identity,112,0.7958425390778948,0.6689127601434329,0.5293684452051757,0.42790994990680686,enumeration,over_log1p_relative_magnitude,over
seed,seed=1238,inverse_separable,identity,92,0.9096292507021593,0.7645515072609476,0.6119327834221042,0.42247902910817337,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=0,inverse_separable,identity,108,0.8394405248577798,0.7055572564762214,0.562767998123778,0.4134777941559513,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=1,inverse_separable,identity,108,1.0055822347428596,0.8452008471077855,0.6652180877026597,0.2678416363145474,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=2,inverse_separable,identity,91,1.2868623397482233,1.0816192869044006,0.7228091123886391,-0.08066898310422954,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=3,inverse_separable,identity,122,0.7640320657885352,0.6421757733091921,0.5313243653960631,0.38139143867195724,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=4,inverse_separable,identity,100,1.2651116010541479,1.0633375968204926,0.8199198427748668,0.2046120802787017,enumeration,over_log1p_relative_magnitude,over
seed,seed=1234,logL_rawN,identity,106,0.8750307035542664,0.7354711194540016,0.5531879309417396,0.4877153296588287,enumeration,over_log1p_relative_magnitude,over
seed,seed=1235,logL_rawN,identity,78,1.0826227614744763,0.9099540977177103,0.6406315221297164,0.4287827646414072,enumeration,over_log1p_relative_magnitude,over
seed,seed=1236,logL_rawN,identity,141,1.5526385800425488,1.305006589977956,0.751192090183127,-1.0689962382516112,enumeration,over_log1p_relative_magnitude,over
seed,seed=1237,logL_rawN,identity,112,0.8028259534132963,0.674782382246985,0.5351466580377574,0.4178258689889778,enumeration,over_log1p_relative_magnitude,over
seed,seed=1238,logL_rawN,identity,92,0.7934667124322656,0.6669158566341137,0.4839742609458395,0.560563276395514,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=0,logL_rawN,identity,108,0.847513083729825,0.7123423142877536,0.5323068476791564,0.4021428611660074,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=1,logL_rawN,identity,108,0.8755921360719927,0.7359430084981606,0.5709751781854187,0.4448970335645892,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=2,logL_rawN,identity,91,0.8943391354029367,0.7517000288270796,0.5632682013966609,0.4780451048958356,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=3,logL_rawN,identity,122,0.703734988206723,0.5914955412113134,0.4791773035336761,0.4751791964596854,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=4,logL_rawN,identity,100,1.246810564037606,1.0479554117988095,0.7112790486895875,0.22745771306556573,enumeration,over_log1p_relative_magnitude,over
seed,seed=1234,rawL_logN,identity,106,0.7604005174539523,0.639123424508015,0.5311534646814122,0.6131437803724795,enumeration,over_log1p_relative_magnitude,over
seed,seed=1235,rawL_logN,identity,78,1.0446526601792774,0.8780398885454719,0.6204331415312879,0.4681479656826957,enumeration,over_log1p_relative_magnitude,over
seed,seed=1236,rawL_logN,identity,141,0.9759029853582337,0.8202551729950925,0.6665298710301203,0.18260449057660666,enumeration,over_log1p_relative_magnitude,over
seed,seed=1237,rawL_logN,identity,112,0.7688966041927302,0.6462644612732006,0.5205449226096327,0.46599419040823453,enumeration,over_log1p_relative_magnitude,over
seed,seed=1238,rawL_logN,identity,92,0.7726610869679993,0.6494285426587411,0.49650904467444507,0.5833062317521274,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=0,rawL_logN,identity,108,0.8235151428444083,0.6921718306968383,0.5343201392099747,0.4355210188171007,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=1,rawL_logN,identity,108,0.8725112230910224,0.7333534736282976,0.5778984888779323,0.44879660053086956,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=2,rawL_logN,identity,91,0.9627925064418509,0.8092356984028937,0.5923593372339392,0.3950856224978544,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=3,rawL_logN,identity,122,0.7034399322293646,0.5912475440277999,0.4870509473802547,0.47561918894354005,enumeration,over_log1p_relative_magnitude,over
cell,cell_fold=4,rawL_logN,identity,100,1.0221056879252042,0.8590889570448458,0.6948841681750357,0.48082601271427305,enumeration,over_log1p_relative_magnitude,over
seed,seed=1234,intercept_only,identity,24,0.06344183365369419,0.8182559651112848,0.051910863003067076,-0.0054815364883216144,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1235,intercept_only,identity,33,0.08381020722756441,1.0809618520093678,0.0698356337541721,-0.03353548204030621,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1236,intercept_only,identity,36,0.07670761911820327,0.9893545520070164,0.06531773748843323,0.12728902893065663,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1237,intercept_only,identity,19,0.08267160608943272,1.066276476138229,0.07211020633355211,-0.35784896892616636,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1238,intercept_only,identity,33,0.07400000499676052,0.9544324622990832,0.06234763330857814,-0.07114425665163138,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=0,intercept_only,identity,34,0.06892833610017457,0.889019420325017,0.056862441470510686,0.17655277798774838,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=1,intercept_only,identity,27,0.07033221219008542,0.9071262422544896,0.05666128778212803,0.05699841249626658,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=2,intercept_only,identity,36,0.08220791821506969,1.060295952762779,0.06857502134056435,0.15897475891668,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=3,intercept_only,identity,32,0.06577996463738149,0.8484125591822738,0.05401840279959424,0.11109119783729149,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=4,intercept_only,identity,16,0.07987035318199323,1.0301466581728522,0.07145381033015356,-0.3710251970053797,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1234,log_density,identity,24,0.07193567615987208,0.9278072957889906,0.05879403242736456,-0.29274035614484495,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1235,log_density,identity,33,0.08223436330273587,1.0606370344983553,0.06788716472370677,0.004965290405247624,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1236,log_density,identity,36,0.07243475101192587,0.9342442310289016,0.06131047241805292,0.22180690570065265,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1237,log_density,identity,19,0.09073722938633347,1.17030474888733,0.07841700521389967,-0.6357229436715157,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1238,log_density,identity,33,0.071383867406304,0.9206902126562363,0.05891243787045444,0.00325374644772769,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=0,log_density,identity,34,0.06627168067918336,0.8547545824368595,0.05612601593690347,0.23880461227070537,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=1,log_density,identity,27,0.07060794335891116,0.9106825498305022,0.05739779080884547,0.04959001158031129,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=2,log_density,identity,36,0.08312303067321093,1.0720988308401866,0.06808651114872978,0.14014649161864678,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=3,log_density,identity,32,0.07076862479409042,0.912754976417914,0.05673906756666447,-0.028848545471237053,native_thinking,under_log1p_relative_magnitude,under
