mode,target,model_label,candidate,link,intercept,query_last,length_order_log,needle_order_log,log_interaction,density_order,burden_order,raw_length_order,raw_needle_order
enumeration,all_pairs_found,Llama3.1-8B,power_separable,logistic,2.869338561797069,-2.4599511329236026,0.2843620055300995,-0.5558696601486313,,,,,
enumeration,all_pairs_found,Llama3.2-3B,power_separable,logistic,-0.10432803903410384,-0.6120774331329414,-1.433856132326467,-0.7891233166980757,,,,,
enumeration,all_pairs_found,OLMo-Hybrid-7B,power_separable,logistic,-0.40680882018746817,-0.3959845214620109,-0.39462067021252417,-0.37345680869675074,,,,,
enumeration,all_pairs_found,Qwen3-1.7B,power_separable,logistic,0.04536544474991691,0.7037061890199942,0.4547331657544188,-1.965020696769368,,,,,
enumeration,all_pairs_found,Qwen3-32B,power_separable,logistic,17.864480755626023,0.00012120691973347931,-13.832376153056911,-4.185568774899443,,,,,
enumeration,all_pairs_found,Qwen3-8B,power_separable,logistic,3.62705737775407,-2.725105677174795,-0.6138300394237269,-0.00620056151845353,,,,,
enumeration,asinh_signed_error,Gemma4-12B,piecewise_power,identity,0.1252884684186759,-0.1903880277108203,-0.060037161994226394,-0.01165921224727646,,,,,
enumeration,asinh_signed_error,Gemma4-E4B,piecewise_power,identity,0.21900861697516716,-0.48490044742102256,-0.1251456707409066,-0.033278507704637625,,,,,
enumeration,asinh_signed_error,Llama3.1-8B,piecewise_power,identity,1.2719676763368564,-0.5578011322916873,-0.2837347010568573,-0.5669540783697198,,,,,
enumeration,asinh_signed_error,Llama3.2-3B,piecewise_power,identity,5.933907470069783,-0.3518899185469868,-1.13295735810096,1.4680024592235892,,,,,
enumeration,asinh_signed_error,OLMo-Hybrid-7B,piecewise_power,identity,2.457871477828236,-0.6253497990565088,0.42398596153653406,1.152291455975713,,,,,
enumeration,asinh_signed_error,Qwen3-1.7B,piecewise_power,identity,4.479891624359742,-2.452581369013842,-0.13583950567064357,1.9204496775716042,,,,,
enumeration,asinh_signed_error,Qwen3-32B,piecewise_power,identity,3.4201934465973536,-3.3730189540077165,-0.5516378719014421,1.3827803771395253,,,,,
enumeration,asinh_signed_error,Qwen3-8B,piecewise_power,identity,5.025302666965059,-4.412705900473563,1.3957741842785858,1.0899845181304932,,,,,
enumeration,exact_correct,Gemma4-12B,log_burden,logistic,16.06933052320657,-13.202646345462973,,,,,-2.2739855314345063,,
enumeration,exact_correct,Gemma4-E4B,log_burden,logistic,3.3747459935908717,-2.048582406094564,,,,,-0.732246576055796,,
enumeration,exact_correct,Llama3.1-8B,log_burden,logistic,-0.9835309134664593,0.4890752602300158,,,,,0.07599362713594787,,
