candidate,link,complexity,description,selection_score,selection_se,seed_rmse,seed_nrmse,seed_mae,seed_r2,cell_rmse,cell_nrmse,cell_mae,cell_r2,mode,target,direction,selected_one_se
inverse_separable,identity,2,separate inverse L and N coordinates,0.6222538119741757,0.012200910833506443,0.11902651853726307,0.6299482617070933,0.09185243484757458,0.6031651875722115,0.11611883986128002,0.6145593622412582,0.09059193748239842,0.622316790281618,direct,under_log1p_relative_magnitude,under,True
logL_rawN,identity,2,log length plus raw/scaled needle count,0.6728611278946977,0.02038945694082131,0.1300320671518903,0.688195165876998,0.09880976690662087,0.5263874136635313,0.12423744157040083,0.6575270899123972,0.09598846541741372,0.5676581260313344,direct,under_log1p_relative_magnitude,under,False
rawL_logN,identity,2,raw/scaled length plus log needle count,0.637816018469994,0.015997544188809814,0.12212617605339987,0.6463532098495227,0.0935810661227334,0.5822275281172189,0.1189000312102092,0.6292788270904653,0.09268143898840503,0.6040081577756483,direct,under_log1p_relative_magnitude,under,False
intercept_only,identity,0,Model and query-order baselines only,0.7716634541597331,0.056220648601989096,0.29509022067162716,0.7831031102013188,0.17197455030440068,0.3867495187930211,0.2864688001160347,0.7602237981181476,0.16866418002630407,0.422059776774818,direct,over_log1p_relative_magnitude,over,False
log_density,identity,1,log(N/L) density coordinate,0.6813777003481709,0.0353100758378985,0.2669869805468746,0.7085234284404712,0.16494052027829637,0.4979945513509605,0.2465287834366892,0.6542319722558705,0.1595610506935448,0.5719805264781939,direct,over_log1p_relative_magnitude,over,False
log_burden,identity,1,log(N×L) burden coordinate,0.6913478769490857,0.05485060227860125,0.26679605612873053,0.7080167579539953,0.16046271951304208,0.4987122704563137,0.25423366502081285,0.6746789959441761,0.15692070134626498,0.5448082524317585,direct,over_log1p_relative_magnitude,over,False
power_separable,identity,2,separate log L and log N orders,0.6284420955788494,0.041571626894970855,0.2513854252914413,0.6671204079787963,0.15347008707599458,0.5549503612582043,0.22223577285710922,0.5897637831789027,0.14443106131234743,0.6521786800505083,direct,over_log1p_relative_magnitude,over,False
power_interaction,identity,3,power surface plus log L × log N,0.6333523147481628,0.04104799750445783,0.2526697451971079,0.6705287042968914,0.1527699286761951,0.5503912567139319,0.22465200691258372,0.5961759251994341,0.14491724862105834,0.6445742662125988,direct,over_log1p_relative_magnitude,over,False
power_quadratic,identity,5,quadratic response surface in log coordinates,0.6608068437732286,0.040763689497119227,0.26136754725907335,0.6936107157276263,0.1557822531137631,0.5189041750278098,0.23664512772630333,0.628002971818831,0.15222691258804424,0.6056122673867166,direct,over_log1p_relative_magnitude,over,False
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.6491101551668748,0.03935834344498646,0.2583986422005469,0.6857319091039,0.15705977924683961,0.5297717488367205,0.23079890134935646,0.6124884012298495,0.1506546012650379,0.6248579583589029,direct,over_log1p_relative_magnitude,over,False
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,0.6604402442105616,0.05240908756505386,0.260403163829252,0.6910514588955943,0.15258678314635019,0.5224478811582708,0.23733322583830047,0.6298290295255289,0.14712558389716682,0.6033153935669304,direct,over_log1p_relative_magnitude,over,False
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",0.6728111311678708,0.052659386627256166,0.2639060313761143,0.7003472819300812,0.154728871630125,0.5095136846931475,0.2431535948220597,0.6452749804056604,0.15312301367055386,0.5836201996624744,direct,over_log1p_relative_magnitude,over,False
root_separable,identity,2,separate square-root L and N coordinates,0.6438769145838958,0.04795318701836795,0.25609592012418897,0.6796210023587667,0.15254396915057503,0.5381152931528652,0.22915762652839144,0.6081328268090249,0.14463747021469564,0.6301744649572645,direct,over_log1p_relative_magnitude,over,False
inverse_separable,identity,2,separate inverse L and N coordinates,0.6163670394914862,0.03315913481746605,0.24552131398383764,0.6515583748043344,0.15437172233852592,0.5754716842223344,0.21899959859816398,0.581175704178638,0.14633994519947327,0.6622348008724643,direct,over_log1p_relative_magnitude,over,True
logL_rawN,identity,2,log length plus raw/scaled needle count,0.664180311858471,0.051955705082797114,0.2636013913350408,0.6995388357433063,0.15451651457542773,0.5106454172868995,0.23695367539603326,0.6288217879736359,0.1477517710509777,0.6045831589696398,direct,over_log1p_relative_magnitude,over,False
rawL_logN,identity,2,raw/scaled length plus log needle count,0.6266516914742296,0.041749195666242064,0.24861159695969068,0.6597592911352272,0.15117216860191776,0.5647176777607426,0.22366027506451883,0.593544091813232,0.14364117823633615,0.6477054110736056,direct,over_log1p_relative_magnitude,over,False
intercept_only,identity,0,Model and query-order baselines only,1.005256391111779,0.0738636084860658,0.12421909111103546,1.007847804988661,0.08937450107805164,-0.01575719802046227,0.12358029808120405,1.0026649772348968,0.08868831715806323,-0.005337056573456289,enumeration,under_log1p_relative_magnitude,under,False
log_density,identity,1,log(N/L) density coordinate,0.8418154044639015,0.057626635503008616,0.10692254150097336,0.8675127775588081,0.07668448169553133,0.2474215807722019,0.10058804473669972,0.8161180313689947,0.07294259214666976,0.33395135887439653,enumeration,under_log1p_relative_magnitude,under,False
log_burden,identity,1,log(N×L) burden coordinate,0.8879483082342133,0.06439068417912779,0.1090282586846605,0.8845974496693856,0.08018966055915693,0.21748735203841896,0.10985425761684892,0.8912991667990411,0.08092481650318371,0.20558579526333498,enumeration,under_log1p_relative_magnitude,under,False
power_separable,identity,2,separate log L and log N orders,0.7741625215735479,0.05107743718981863,0.09887586638587201,0.8022263245693665,0.07341509115723006,0.3564329241679255,0.09195803596742116,0.7460987185777294,0.06957676660663327,0.4433367021366703,enumeration,under_log1p_relative_magnitude,under,False
power_interaction,identity,3,power surface plus log L × log N,0.8807221552838638,0.06736675586906743,0.11215677274429706,0.909980553020725,0.0796765144032621,0.17193539312409545,0.10494447033861991,0.8514637575470027,0.07581103178962587,0.275009469583939,enumeration,under_log1p_relative_magnitude,under,False
power_quadratic,identity,5,quadratic response surface in log coordinates,0.8120790988341107,0.06406267505574861,0.1087436646172334,0.8822884043881508,0.07714159485959676,0.22156717148221095,0.09143681316547482,0.7418697932800704,0.06685091026902547,0.4496292098185857,enumeration,under_log1p_relative_magnitude,under,False
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.768357685253422,0.05440856839308102,0.10210811522302879,0.8284510768724866,0.07463191774959578,0.31366881322881734,0.08729487367653614,0.7082642936343573,0.06692435378068254,0.4983616903626248,enumeration,under_log1p_relative_magnitude,under,False
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,0.9853926857211064,0.08029089484764594,0.12302373479735183,0.9981493180157649,0.08364820676265959,0.0036979389446634148,0.11987917812632154,0.9726360534264478,0.08160671491630825,0.05397910757502411,enumeration,under_log1p_relative_magnitude,under,False
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",1.185869915658814,0.10490025384741847,0.143957662860708,1.1679961045261011,0.09084956434902777,-0.36421490018814695,0.14836362289278024,1.2037437267915267,0.0949501968679433,-0.44899895978995374,enumeration,under_log1p_relative_magnitude,under,False
root_separable,identity,2,separate square-root L and N coordinates,0.8396246321126153,0.055981463177070596,0.1067723269575135,0.8662940164444793,0.07790829123825253,0.24953467707249222,0.1001982258565396,0.8129552477807512,0.07380769705878668,0.33910376510573725,enumeration,under_log1p_relative_magnitude,under,False
inverse_separable,identity,2,separate inverse L and N coordinates,0.7267319405593676,0.04725799240478581,0.08963407843228366,0.7272433600356065,0.06451723261599505,0.47111709528412116,0.08950801165473962,0.7262205210831287,0.0646581529337225,0.47260375475774896,enumeration,under_log1p_relative_magnitude,under,True
logL_rawN,identity,2,log length plus raw/scaled needle count,0.9804492516545391,0.07996894599027589,0.12196054730868734,0.9895231787713221,0.08332506260479951,0.020843878674297933,0.11972379097767116,0.971375324537756,0.08161179264866122,0.05642997887916923,enumeration,under_log1p_relative_magnitude,under,False
rawL_logN,identity,2,raw/scaled length plus log needle count,0.7728082161326348,0.05123172696203493,0.09939547630156809,0.8064421637636536,0.07342144919543324,0.34965103650419627,0.09110458479092312,0.7391742685016159,0.06870181787396502,0.4536214007851008,enumeration,under_log1p_relative_magnitude,under,False
