scheme,fold,candidate,link,n_rows,rmse,nrmse,mae,r2,mode,target,kind
cell,cell_fold=4,piecewise_power,identity,403,0.5068744575384104,0.5675267367588965,0.38131484258554743,0.6977464471607471,direct,log1p_absolute_error,continuous
seed,seed=1234,exponential_separable,identity,405,0.5493149812470499,0.6150456668775592,0.4084775311102306,0.6181878542010537,direct,log1p_absolute_error,continuous
seed,seed=1235,exponential_separable,identity,407,0.5823956149632842,0.6520847084462855,0.4430498707957175,0.599748465825287,direct,log1p_absolute_error,continuous
seed,seed=1236,exponential_separable,identity,403,0.5299031588026354,0.593311037952039,0.4279346196767173,0.6362939600189733,direct,log1p_absolute_error,continuous
seed,seed=1237,exponential_separable,identity,399,0.5406291543288935,0.6053204993659562,0.41369777584912737,0.6258289725194506,direct,log1p_absolute_error,continuous
seed,seed=1238,exponential_separable,identity,399,0.49168643566446124,0.5505213257271285,0.38153034178929646,0.6927028999841995,direct,log1p_absolute_error,continuous
cell,cell_fold=0,exponential_separable,identity,405,0.5058928546702768,0.5664276759081082,0.38594050613649,0.4887368234432523,direct,log1p_absolute_error,continuous
cell,cell_fold=1,exponential_separable,identity,399,0.5367547811691761,0.6009825211474463,0.42801367852702144,0.7051202117036055,direct,log1p_absolute_error,continuous
cell,cell_fold=2,exponential_separable,identity,402,0.614975696959507,0.6885633025905811,0.43155757726552363,0.5248945751792073,direct,log1p_absolute_error,continuous
cell,cell_fold=3,exponential_separable,identity,404,0.5137034433345641,0.5751728747061224,0.4099535961267677,0.6330112176597207,direct,log1p_absolute_error,continuous
cell,cell_fold=4,exponential_separable,identity,403,0.5325603528454947,0.5962861901650797,0.42379212746789996,0.6663368355569256,direct,log1p_absolute_error,continuous
seed,seed=1234,exponential_interaction,identity,405,0.5426784375697974,0.607614998552309,0.40465927402950486,0.6273578435346332,direct,log1p_absolute_error,continuous
seed,seed=1235,exponential_interaction,identity,407,0.5800963134472771,0.6495102739550674,0.4434324739320127,0.6029026183041227,direct,log1p_absolute_error,continuous
seed,seed=1236,exponential_interaction,identity,403,0.5246148285364713,0.5873899094078335,0.42403555952214955,0.6435171669786113,direct,log1p_absolute_error,continuous
seed,seed=1237,exponential_interaction,identity,399,0.5344082252977594,0.598355177874331,0.4110681739897445,0.6343904761363466,direct,log1p_absolute_error,continuous
seed,seed=1238,exponential_interaction,identity,399,0.49054184661505434,0.5492397758709876,0.3841985224398242,0.6941319388107889,direct,log1p_absolute_error,continuous
cell,cell_fold=0,exponential_interaction,identity,405,0.5042131250139198,0.5645469508561121,0.386022801861962,0.4921263087473968,direct,log1p_absolute_error,continuous
cell,cell_fold=1,exponential_interaction,identity,399,0.6066612801057392,0.6792539878383882,0.4836700873877018,0.6233085896296311,direct,log1p_absolute_error,continuous
