request_id,stimulus_id,model_label,seed,target_passage_tokens,num_needles,query_order,observed_all_pairs_found,predicted_probability,predicted_neff,selected_candidate
Qwen3-8B/enumeration/query_first/T10000_N6_seed1235,T10000_N6_seed1235,Qwen3-8B,1235,10000,6,query_first,1.0,0.992540995136959,0.9458875214859179,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N6_seed1236,T10000_N6_seed1236,Qwen3-8B,1236,10000,6,query_first,1.0,0.992540995136959,0.9458875214859179,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N6_seed1237,T10000_N6_seed1237,Qwen3-8B,1237,10000,6,query_first,1.0,0.992540995136959,0.9458875214859179,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N6_seed1238,T10000_N6_seed1238,Qwen3-8B,1238,10000,6,query_first,1.0,0.992540995136959,0.9458875214859179,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N8_seed1234,T10000_N8_seed1234,Qwen3-8B,1234,10000,8,query_first,1.0,0.9950353212354558,0.9580579153026322,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N8_seed1235,T10000_N8_seed1235,Qwen3-8B,1235,10000,8,query_first,1.0,0.9950353212354558,0.9580579153026322,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N8_seed1236,T10000_N8_seed1236,Qwen3-8B,1236,10000,8,query_first,1.0,0.9950353212354558,0.9580579153026322,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N8_seed1237,T10000_N8_seed1237,Qwen3-8B,1237,10000,8,query_first,1.0,0.9950353212354558,0.9580579153026322,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N8_seed1238,T10000_N8_seed1238,Qwen3-8B,1238,10000,8,query_first,1.0,0.9950353212354558,0.9580579153026322,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N10_seed1234,T2000_N10_seed1234,Qwen3-8B,1234,2000,10,query_first,1.0,0.9955953998556397,1.3652615956123773,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N10_seed1235,T2000_N10_seed1235,Qwen3-8B,1235,2000,10,query_first,1.0,0.9955953998556397,1.3652615956123773,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N10_seed1236,T2000_N10_seed1236,Qwen3-8B,1236,2000,10,query_first,1.0,0.9955953998556397,1.3652615956123773,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N10_seed1237,T2000_N10_seed1237,Qwen3-8B,1237,2000,10,query_first,1.0,0.9955953998556397,1.3652615956123773,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N10_seed1238,T2000_N10_seed1238,Qwen3-8B,1238,2000,10,query_first,1.0,0.9955953998556397,1.3652615956123773,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N1_seed1234,T2000_N1_seed1234,Qwen3-8B,1234,2000,1,query_first,1.0,0.999436998751215,0.20008411368058962,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N1_seed1235,T2000_N1_seed1235,Qwen3-8B,1235,2000,1,query_first,1.0,0.999436998751215,0.20008411368058962,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N1_seed1236,T2000_N1_seed1236,Qwen3-8B,1236,2000,1,query_first,1.0,0.999436998751215,0.20008411368058962,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N1_seed1237,T2000_N1_seed1237,Qwen3-8B,1237,2000,1,query_first,1.0,0.999436998751215,0.20008411368058962,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N1_seed1238,T2000_N1_seed1238,Qwen3-8B,1238,2000,1,query_first,1.0,0.999436998751215,0.20008411368058962,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N20_seed1234,T2000_N20_seed1234,Qwen3-8B,1234,2000,20,query_first,1.0,0.9934437070022704,2.389925114402247,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N20_seed1235,T2000_N20_seed1235,Qwen3-8B,1235,2000,20,query_first,1.0,0.9934437070022704,2.389925114402247,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N20_seed1236,T2000_N20_seed1236,Qwen3-8B,1236,2000,20,query_first,1.0,0.9934437070022704,2.389925114402247,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N20_seed1237,T2000_N20_seed1237,Qwen3-8B,1237,2000,20,query_first,1.0,0.9934437070022704,2.389925114402247,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N20_seed1238,T2000_N20_seed1238,Qwen3-8B,1238,2000,20,query_first,1.0,0.9934437070022704,2.389925114402247,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N2_seed1234,T2000_N2_seed1234,Qwen3-8B,1234,2000,2,query_first,1.0,0.9982049296182345,0.3891104485428835,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N2_seed1235,T2000_N2_seed1235,Qwen3-8B,1235,2000,2,query_first,1.0,0.9982049296182345,0.3891104485428835,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N2_seed1236,T2000_N2_seed1236,Qwen3-8B,1236,2000,2,query_first,1.0,0.9982049296182345,0.3891104485428835,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N2_seed1237,T2000_N2_seed1237,Qwen3-8B,1237,2000,2,query_first,1.0,0.9982049296182345,0.3891104485428835,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N2_seed1238,T2000_N2_seed1238,Qwen3-8B,1238,2000,2,query_first,1.0,0.9982049296182345,0.3891104485428835,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N30_seed1234,T2000_N30_seed1234,Qwen3-8B,1234,2000,30,query_first,1.0,0.9890690185856139,2.8072995931635996,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N30_seed1235,T2000_N30_seed1235,Qwen3-8B,1235,2000,30,query_first,1.0,0.9890690185856139,2.8072995931635996,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N30_seed1236,T2000_N30_seed1236,Qwen3-8B,1236,2000,30,query_first,1.0,0.9890690185856139,2.8072995931635996,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N30_seed1237,T2000_N30_seed1237,Qwen3-8B,1237,2000,30,query_first,1.0,0.9890690185856139,2.8072995931635996,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N30_seed1238,T2000_N30_seed1238,Qwen3-8B,1238,2000,30,query_first,1.0,0.9890690185856139,2.8072995931635996,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N3_seed1234,T2000_N3_seed1234,Qwen3-8B,1234,2000,3,query_first,1.0,0.9971679379309302,0.6003576463017145,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N3_seed1235,T2000_N3_seed1235,Qwen3-8B,1235,2000,3,query_first,1.0,0.9971679379309302,0.6003576463017145,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N3_seed1236,T2000_N3_seed1236,Qwen3-8B,1236,2000,3,query_first,1.0,0.9971679379309302,0.6003576463017145,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N3_seed1237,T2000_N3_seed1237,Qwen3-8B,1237,2000,3,query_first,1.0,0.9971679379309302,0.6003576463017145,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N3_seed1238,T2000_N3_seed1238,Qwen3-8B,1238,2000,3,query_first,1.0,0.9971679379309302,0.6003576463017145,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N4_seed1234,T2000_N4_seed1234,Qwen3-8B,1234,2000,4,query_first,1.0,0.9965182015687242,0.6922666650289038,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N4_seed1235,T2000_N4_seed1235,Qwen3-8B,1235,2000,4,query_first,1.0,0.9965182015687242,0.6922666650289038,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N4_seed1236,T2000_N4_seed1236,Qwen3-8B,1236,2000,4,query_first,1.0,0.9965182015687242,0.6922666650289038,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N4_seed1237,T2000_N4_seed1237,Qwen3-8B,1237,2000,4,query_first,1.0,0.9965182015687242,0.6922666650289038,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N4_seed1238,T2000_N4_seed1238,Qwen3-8B,1238,2000,4,query_first,1.0,0.9965182015687242,0.6922666650289038,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N5_seed1234,T2000_N5_seed1234,Qwen3-8B,1234,2000,5,query_first,1.0,0.9969622571364392,0.6536837564391229,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N5_seed1235,T2000_N5_seed1235,Qwen3-8B,1235,2000,5,query_first,1.0,0.9969622571364392,0.6536837564391229,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N5_seed1236,T2000_N5_seed1236,Qwen3-8B,1236,2000,5,query_first,1.0,0.9969622571364392,0.6536837564391229,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N5_seed1237,T2000_N5_seed1237,Qwen3-8B,1237,2000,5,query_first,1.0,0.9969622571364392,0.6536837564391229,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N5_seed1238,T2000_N5_seed1238,Qwen3-8B,1238,2000,5,query_first,1.0,0.9969622571364392,0.6536837564391229,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N6_seed1234,T2000_N6_seed1234,Qwen3-8B,1234,2000,6,query_first,1.0,0.9987248603890848,0.7775112995951377,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N6_seed1235,T2000_N6_seed1235,Qwen3-8B,1235,2000,6,query_first,0.0,0.9987248603890848,0.7775112995951377,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N6_seed1236,T2000_N6_seed1236,Qwen3-8B,1236,2000,6,query_first,1.0,0.9987248603890848,0.7775112995951377,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N6_seed1237,T2000_N6_seed1237,Qwen3-8B,1237,2000,6,query_first,1.0,0.9987248603890848,0.7775112995951377,model_scale_shared_order
