mode,target,kind,candidate,link,formula,n_rows,n_trials,converged_full,seed_log_loss,seed_brier,seed_cell_r2,seed_cell_rmse,seed_fold_log_loss_sd,cell_log_loss,cell_brier,cell_cell_r2,cell_cell_rmse,cell_fold_log_loss_sd,length_log_loss,length_brier,length_cell_r2,length_cell_rmse,length_fold_log_loss_sd,needle_log_loss,needle_brier,needle_cell_r2,needle_cell_rmse,needle_fold_log_loss_sd,seed_rmse,seed_mae,seed_r2,cell_rmse,cell_mae,cell_r2,length_rmse,length_mae,length_r2,needle_rmse,needle_mae,needle_r2
enumeration,exact_given_parsed,binary,log_burden,logistic,logit(p) = a_m + b_m log[(N/5)(L/5000)] + o_m I(query-last),1996,1996.0,True,0.40181768768432735,0.1299608043770235,0.6822670004332513,0.20191028274436193,0.031676205137770995,0.3933560171531876,0.12710756721052635,0.66387054483892,0.20767325089093888,0.041926328798587896,0.460901142304755,0.1399036276922024,0.5416781908312932,0.2425004435880083,0.05254945778296176,0.4128923341106254,0.134465237647476,0.6292881715600793,0.21809489361324363,0.04976234785476448,,,,,,,,,,,,
enumeration,within_one,binary,inverse_separable,survival_loglog,p = exp[-exp(model-specific inverse_separable surface plus query-order nuisance)],1996,1996.0,True,0.36291360557116753,0.1137015800216062,0.7436964438254892,0.17568627829390324,0.058186718700581605,0.34575141564165957,0.1089940404166435,0.7170382259719081,0.1845969035015722,0.022704925708609953,0.4033394904456885,0.12120654448927906,0.6602238119916037,0.20228188719164317,0.06529054063315141,0.4246622182711399,0.11926552400991294,0.649274424022922,0.2055153407596388,0.19737506648988187,,,,,,,,,,,,
enumeration,undercount,binary,log_burden,logistic,logit(p) = a_m + b_m log[(N/5)(L/5000)] + o_m I(query-last),1996,1996.0,True,0.2686862236520159,0.07819011124095442,0.6100767027856477,0.11772891401245748,0.04858334799800212,0.2732633284795067,0.0789272221271265,0.48692426758821405,0.1350467952794621,0.050599380029533084,0.2932932356663972,0.08123483256652524,0.45203052986947434,0.13956345978134355,0.09859154060466747,0.2758268374679809,0.0807606527137697,0.45092563750683057,0.13970409256865693,0.13191885485157426,,,,,,,,,,,,
enumeration,overcount,binary,log_burden,logistic,logit(p) = a_m + b_m log[(N/5)(L/5000)] + o_m I(query-last),1996,1996.0,True,0.3644930522388064,0.12063658830031955,0.5831307020885441,0.20815371328783666,0.049334539121768196,0.37312766450033863,0.11810692301517377,0.5647874113797378,0.21268405493494416,0.08044625148508593,0.3924710053278261,0.12133995216240508,0.5164278808752634,0.22418927571260702,0.053092288107993504,0.4017758495790095,0.1277812502398651,0.46728644057772184,0.23530496062306025,0.13450280830751038,,,,,,,,,,,,
enumeration,all_pairs_found,binary,power_separable,logistic,logit(p) = a_m + r_m log(L/5000) + s_m log(N/5) + o_m I(query-last),2400,2400.0,True,0.3864889950390225,0.12701588108448886,0.8315931694374475,0.12339638290556262,0.02539827971677278,0.37919017023171525,0.12473861918693999,0.7890876932022758,0.13809359605987473,0.022804328193838947,0.5935995504943873,0.17425806938295424,0.4495313223446171,0.22309451061846522,0.2041166254815448,0.39041088144748,0.1285664491469002,0.7559462116931346,0.14854750265245673,0.04760712305115218,,,,,,,,,,,,
enumeration,no_hallucinations,binary,intercept_only,logistic,logit(p) = a_m + o_m I(query-last),2400,2400.0,True,0.19153183697638704,0.0536631910368002,0.49513883214144905,0.08665865347665884,0.03956340793899506,0.18814108861623605,0.05250694177969865,0.47297472851346134,0.08854043943825497,0.020942012870298173,0.19503613558226582,0.05539166165867918,0.3651186542785284,0.09717895757390606,0.016032948442282632,0.1907091440171048,0.05294307026674791,0.4481152279517503,0.09060458140121411,0.06592251447018374,,,,,,,,,,,,
enumeration,no_duplicates,binary,intercept_only,logistic,logit(p) = a_m + o_m I(query-last),2400,2400.0,True,0.08782057129602307,0.018977429255585963,0.09038635732489186,0.0633223674733048,0.013002845654882725,0.09710719419124297,0.019039927558329395,0.05104176415134587,0.06467734899745888,0.054539250761560305,0.09696986851668056,0.019083330264558857,0.02028288306982473,0.0657171935951565,0.04478168237197024,0.13173003789854862,0.019517821416861043,-0.03577041093111477,0.06757101010741293,0.18171078572833627,,,,,,,,,,,,
enumeration,list_length_exact,binary,power_interaction,logistic,logit(p) = a_m + r_m log(L/5000) + s_m log(N/5) + i_m log(L/5000)log(N/5) + o_m I(query-last),2400,2400.0,True,0.383870400816156,0.12448936382946615,0.8326226769847843,0.12401554221144061,0.016054193578457995,0.38774973432948084,0.1251682461697749,0.7697267872950129,0.14546198766152343,0.018134579793640686,0.588313071866144,0.1731879862979433,0.4446635033265135,0.2258946345655398,0.17230419627171653,0.4042246527970961,0.12858371498275603,0.7332675435176076,0.1565545664850045,0.06199555559478478,,,,,,,,,,,,
enumeration,listed_total_consistent,binary,piecewise_power,logistic,logit(p) = model-specific piecewise log surface with L=5000 and N=8 knots,1996,1996.0,True,0.380092150525295,0.11524103510565724,0.7979841027166426,0.16234887137414483,0.08492859908262013,0.35206048629068465,0.11089266904034308,0.7470931049244923,0.18165059942032263,0.04605371274035396,0.4574432708467319,0.14436323631850534,0.5330070192264863,0.24683780558919888,0.020607917770835253,0.41856606508149263,0.12149002881736452,0.6734185819637487,0.20642021954603781,0.16024851445417493,,,,,,,,,,,,
enumeration,numeric_list_consistent,binary,piecewise_power,logistic,logit(p) = model-specific piecewise log surface with L=5000 and N=8 knots,1996,1996.0,True,0.380092150525295,0.11524103510565724,0.7979841027166426,0.16234887137414483,0.08492859908262013,0.35206048629068465,0.11089266904034308,0.7470931049244923,0.18165059942032263,0.04605371274035396,0.4574432708467319,0.14436323631850534,0.5330070192264863,0.24683780558919888,0.020607917770835253,0.41856606508149263,0.12149002881736452,0.6734185819637487,0.20642021954603781,0.16024851445417493,,,,,,,,,,,,
enumeration,pair_retrieval,binary,log_density,logistic,logit(p) = a_m + d_m log[(N/5)/(L/5000)] + o_m I(query-last),2400,21360.0,True,0.3268265865796344,0.0717314222040475,0.67934047216449,0.12045478033404777,0.04641859461891731,0.32101478770052255,0.06937349323276126,0.6534816906144562,0.12521750873423534,0.02290739052391879,0.3709455550529903,0.0871993533372653,0.4549457278299963,0.15704417760033787,0.029236162024069413,0.3178183660242756,0.0682215955876378,0.6408258575502465,0.12748365235966003,0.030348801387064753,,,,,,,,,,,,
enumeration,log1p_absolute_error,continuous,piecewise_power,identity,E[target] = model-specific piecewise log surface with L=5000 and N=8 knots,1996,,,,,,,,,,,,,,,,,,,,,,,1.794040671694871,1.262731247560536,0.44084972000379974,1.7516625855919887,1.243576556018581,0.46695375861374855,1.8073576387549875,1.2701407518820438,0.4325178888601737,1.816078951625595,1.2793327741074998,0.42702796261200426
enumeration,log1p_relative_error,continuous,piecewise_power,identity,E[target] = model-specific piecewise log surface with L=5000 and N=8 knots,1996,,,,,,,,,,,,,,,,,,,,,,,1.2908364413467077,0.8714641373056228,0.41381363846773345,1.2625671635877265,0.857722821230883,0.4392074244562264,1.2887959319484839,0.8707104110247001,0.4156654197624503,1.328475528575262,0.9020965274439876,0.37913040450417634
enumeration,signed_relative_error,continuous,intercept_only,identity,E[target] = a_m + o_m I(query-last),1996,,,,,,,,,,,,,,,,,,,,,,,26.800203513670322,15.321560431204237,0.23298691543670547,26.38620682389906,15.023513664768421,0.2565007867599982,26.691544926843942,15.25573496352942,0.23919385382927694,26.83777699530917,15.381663656407637,0.23083472624279733
enumeration,asinh_signed_error,continuous,piecewise_power,identity,E[target] = model-specific piecewise log surface with L=5000 and N=8 knots,1996,,,,,,,,,,,,,,,,,,,,,,,2.2307226650655028,1.5652567176787147,0.3909514969551706,2.1767424204741648,1.5409934350146453,0.4200710328533689,2.2303086472469764,1.561545081788883,0.39117755242735996,2.249491434200287,1.5883914489949487,0.3806596035139993
enumeration,signed_log_count_ratio,continuous,piecewise_power,identity,E[target] = model-specific piecewise log surface with L=5000 and N=8 knots,1996,,,,,,,,,,,,,,,,,,,,,,,1.2966892998767083,0.8770477965328567,0.3964836736234242,1.2667784679033547,0.8627852740209562,0.42400526378262415,1.2927872036648993,0.8771503434727785,0.40011050293464445,1.3251454298784813,0.9035413855745723,0.36970442932641445
enumeration,log1p_output_tokens,continuous,root_separable,identity,E[target] = model-specific root_separable surface plus query-order nuisance,2400,,,,,,,,,,,,,,,,,,,,,,,0.513139938330124,0.261351666802182,0.707995940034851,0.5126790127849323,0.2635735719057578,0.7085202869901868,0.5519009198525223,0.28916818549675793,0.6622156763948204,0.5379419787455794,0.29398572233752834,0.6790863968055911
enumeration,missing_fraction,continuous,exponential_separable,identity,E[target] = model-specific exponential_separable surface plus query-order nuisance,2400,,,,,,,,,,,,,,,,,,,,,,,0.2839414534938194,0.18102559843333463,0.31898069530971906,0.27984777490788537,0.17799995507338104,0.33847610363935043,0.32700071505810735,0.2162575879475594,0.09676818762544726,0.2814572851053866,0.17937465059765106,0.33084487421143005
enumeration,log1p_hallucination_rate,continuous,intercept_only,identity,E[target] = a_m + o_m I(query-last),2400,,,,,,,,,,,,,,,,,,,,,,,0.2537819542409347,0.07467346691138754,0.09104678228607843,0.25452246259108624,0.07424728445926657,0.08573458861264582,0.2602858751614211,0.07602572531333104,0.04386050285131715,0.2563523886010702,0.07487581867347187,0.0725408428534734
enumeration,log1p_duplicate_rate,continuous,intercept_only,identity,E[target] = a_m + o_m I(query-last),2400,,,,,,,,,,,,,,,,,,,,,,,0.3709673600048005,0.06973317214343794,0.019734195652299613,0.3733413882551216,0.07002137607096923,0.007147507845686185,0.3722775041198598,0.06991185480418084,0.012797966356847046,0.3795272219177177,0.07109775095421582,-0.026025884255191256
enumeration,listed_record_ratio,continuous,intercept_only,identity,E[target] = a_m + o_m I(query-last),2400,,,,,,,,,,,,,,,,,,,,,,,10.907483457088622,1.6626206532641665,0.024397887343706293,10.997256546488494,1.690052243196894,0.008272584494610102,10.94342470188032,1.6899263784397343,0.01795788222994832,11.204860799965012,1.7240399984238972,-0.02952414714468965
