candidate,link,complexity,description,selection_score,selection_se,seed_rmse,seed_nrmse,seed_mae,seed_r2,cell_rmse,cell_nrmse,cell_mae,cell_r2,mode,target,kind
rawL_logN,identity,2,raw/scaled length plus log needle count,0.9313569172675562,0.06637759964197358,0.24759764304224147,0.9301575907077471,0.07777572627974184,0.134806856448759,0.2482361379218473,0.9325562438273652,0.07736324022908948,0.13033885209859541,enumeration,log1p_hallucination_rate,continuous
intercept_only,identity,0,Model and query-order baselines only,0.9932517866614652,0.10881170613910054,0.3709673600048005,0.9900837360282718,0.06973317214343794,0.019734195652299613,0.3733413882551216,0.9964198372946586,0.07002137607096923,0.007147507845686185,enumeration,log1p_duplicate_rate,continuous
log_density,identity,1,log(N/L) density coordinate,0.9883018779161252,0.1069215692801641,0.3694572916363183,0.9860534781319824,0.08057975643899208,0.027698538263820183,0.3711421651511682,0.9905502777002682,0.08048044234640542,0.018810147347921746,enumeration,log1p_duplicate_rate,continuous
log_burden,identity,1,log(N×L) burden coordinate,0.9826154643214104,0.09765062026043275,0.365479040999391,0.975435829039041,0.0871653192215183,0.04852494342691893,0.3708592128971382,0.98979509960378,0.08738080769001427,0.02030566080034324,enumeration,log1p_duplicate_rate,continuous
power_separable,identity,2,separate log L and log N orders,0.983176367436079,0.0984700742410384,0.3657134063866937,0.976061332474851,0.08928344312437479,0.047304275247418315,0.37104516902425955,0.9902914023973068,0.08988749954919746,0.019322938337975493,enumeration,log1p_duplicate_rate,continuous
power_interaction,identity,3,power surface plus log L × log N,0.9881334477050346,0.09947504687364271,0.3656084938272685,0.9757813288141768,0.08909613540698477,0.04785079833763939,0.37486474714941403,1.0004855665958925,0.08982277872453645,-0.0009713689667041336,enumeration,log1p_duplicate_rate,continuous
power_quadratic,identity,5,quadratic response surface in log coordinates,0.9610273948280279,0.09324055501560778,0.3596238232534848,0.9598086971505352,0.09137305157234103,0.07876726487419228,0.36053707340316815,0.9622460925055205,0.09256390876429374,0.07408245745785713,enumeration,log1p_duplicate_rate,continuous
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.9673672429065855,0.09762760181572074,0.3619827199405681,0.9661044134227751,0.09237454534968059,0.06664226236503568,0.3629290409489802,0.9686300723903959,0.09211436023054781,0.061755782860976494,enumeration,log1p_duplicate_rate,continuous
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,0.9918492269837106,0.10418879723772607,0.368936804723192,0.9846643380537414,0.08156267298494445,0.03043614136518724,0.37432091352386876,0.9990341159136797,0.0825964909562246,0.0019308352405723594,enumeration,log1p_duplicate_rate,continuous
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",0.9924955671987694,0.10339285430133185,0.3685567358086926,0.983649962959364,0.08143693571899435,0.03243275037004156,0.37518532757912804,1.0013411714381748,0.08365663042579549,-0.002684141617176339,enumeration,log1p_duplicate_rate,continuous
root_separable,identity,2,separate square-root L and N coordinates,0.9895666750807237,0.10166956874883892,0.36786249935370796,0.9817970985374664,0.08489823676685364,0.03607445730341263,0.3736847529545389,0.997336251623981,0.08606552735262983,0.005320401196627356,enumeration,log1p_duplicate_rate,continuous
inverse_separable,identity,2,separate inverse L and N coordinates,0.9647285277906298,0.09782149269978481,0.36068931082349476,0.9626524026290805,0.08881894985008945,0.07330035171245874,0.36224508765770286,0.9668046529521791,0.0890208718830278,0.0652887630300164,enumeration,log1p_duplicate_rate,continuous
logL_rawN,identity,2,log length plus raw/scaled needle count,0.9929519944337122,0.10511156870695079,0.3692524980941472,0.9855068997070109,0.08074096069081543,0.028776150629875485,0.37483159617494055,1.0003970891604135,0.08201033605346038,-0.0007943360006281708,enumeration,log1p_duplicate_rate,continuous
rawL_logN,identity,2,raw/scaled length plus log needle count,0.9821159593232948,0.09762828642127093,0.3653946553294912,0.975210610088995,0.08967920303618916,0.04896426596985015,0.3705692866907445,0.9890213085575945,0.09039703071875094,0.021836851219023456,enumeration,log1p_duplicate_rate,continuous
intercept_only,identity,0,Model and query-order baselines only,0.9917904225864689,0.1650727594062917,10.907483457088622,0.9877257274447666,1.6626206532641665,0.024397887343706293,10.997256546488494,0.9958551177281713,1.690052243196894,0.008272584494610102,enumeration,listed_record_ratio,continuous
log_density,identity,1,log(N/L) density coordinate,0.9836224067606962,0.1613344756971536,10.830640375192822,0.9807672122874229,1.9707542316304403,0.03809567530195712,10.89370036364643,0.9864776012339694,1.9894483367603835,0.026861942263673444,enumeration,listed_record_ratio,continuous
log_burden,identity,1,log(N×L) burden coordinate,0.9775618288973724,0.1467998199849367,10.692489305070305,0.9682569603332607,2.127324620677132,0.06247845876619429,10.897997164415012,0.9868666974614843,2.157021671111961,0.02609412144146306,enumeration,listed_record_ratio,continuous
power_separable,identity,2,separate log L and log N orders,0.9769384705720928,0.14739340452264207,10.688859815892524,0.9679282924189355,2.1704257235900584,0.06311482073496333,10.88785912596462,0.9859486487252501,2.2116847647639952,0.027905262076853288,enumeration,listed_record_ratio,continuous
power_interaction,identity,3,power surface plus log L × log N,0.9822509222538274,0.14701263809441906,10.681733281507354,0.9672829500365753,2.1857643647590574,0.06436369456854008,11.012316772064391,0.9972188944710796,2.21431881799806,0.005554476509877615,enumeration,listed_record_ratio,continuous
power_quadratic,identity,5,quadratic response surface in log coordinates,0.9520830156793376,0.13773001805166923,10.477047956323675,0.9487476973809384,2.218617613023952,0.0998778067143673,10.550711987042058,0.9554183339777368,2.2397295922094314,0.08717580709920558,enumeration,listed_record_ratio,continuous
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.9601729579967756,0.14590168318921656,10.566266641541167,0.9568268836666479,2.2316867753326246,0.0844823146927709,10.64016823059155,0.9635190323269033,2.224375170141445,0.07163107434382787,enumeration,listed_record_ratio,continuous
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,0.9893929368755497,0.15596278024020005,10.827689947502545,0.9805000366966355,1.9296858515838353,0.03861967803789612,11.02409904952722,0.9982858370544639,1.9900252281437638,0.0034253875364679276,enumeration,listed_record_ratio,continuous
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",0.9900344740799465,0.15614137512566864,10.814306659477428,0.979288114812709,1.976141180180865,0.04099478818657021,11.051651364944519,1.000780833347184,2.0659313117472484,-0.0015622763950839946,enumeration,listed_record_ratio,continuous
root_separable,identity,2,separate square-root L and N coordinates,0.9858447860438273,0.15234294380323998,10.78004127178366,0.9761852171444105,2.0373737482160665,0.04706242182871989,10.993383063022742,0.9955043549432442,2.0954986439241816,0.008971079289035178,enumeration,listed_record_ratio,continuous
inverse_separable,identity,2,separate inverse L and N coordinates,0.9540112342996436,0.1437220042974582,10.493778833250879,0.9502627597368636,2.1851552077290943,0.09700068745727963,10.576567856856883,0.9577597088624237,2.191160153888555,0.08269634007976534,enumeration,listed_record_ratio,continuous
logL_rawN,identity,2,log length plus raw/scaled needle count,0.9909185735721766,0.15685561596514755,10.839766128914146,0.9815935937133804,1.9185209613224723,0.036474016780850826,11.045718167463615,1.0002435534309728,1.9834278730563941,-0.0004871661802194893,enumeration,listed_record_ratio,continuous
rawL_logN,identity,2,raw/scaled length plus log needle count,0.9753732926144654,0.14669548447964229,10.676612947706369,0.9668192788838081,2.1708122136498154,0.06526048197859302,10.865537384250562,0.9839273063451226,2.2180681465714294,0.03188705582843121,enumeration,listed_record_ratio,continuous
intercept_only,identity,0,Model and query-order baselines only,0.8482854101899593,0.010709628318501273,0.2937908326495117,0.8538648785817473,0.1884627021342026,0.2709147691245779,0.28995135709387654,0.8427059417981714,0.1859562207269929,0.289846695658057,enumeration,pair_recall_continuous,continuous
log_density,identity,1,log(N/L) density coordinate,0.8361843015944539,0.011844271303078484,0.28922555341687517,0.8405964877251905,0.18377546483516546,0.29339754482407376,0.28618933569749366,0.8317721154637174,0.1816237245311068,0.3081551479370125,enumeration,pair_recall_continuous,continuous
log_burden,identity,1,log(N×L) burden coordinate,0.8461134544291602,0.010946085351816988,0.2929322750452026,0.8513695924696941,0.1904374218435972,0.27516981701798693,0.28931529720670873,0.8408573163886264,0.18803143541174697,0.2929589734757174,enumeration,pair_recall_continuous,continuous
power_separable,identity,2,separate log L and log N orders,0.8268663796873276,0.01285787688830511,0.28631719772396835,0.8321437298286941,0.18401888743322584,0.30753681290678947,0.28268562291370014,0.821589029545961,0.18169651189772873,0.324991466529726,enumeration,pair_recall_continuous,continuous
power_interaction,identity,3,power surface plus log L × log N,0.8311322104335919,0.01316048374777732,0.28684188243075603,0.8336686577490606,0.18401546599793484,0.30499656908687955,0.28509644240277193,0.8285957631181231,0.1826490341813269,0.3134290613426951,enumeration,pair_recall_continuous,continuous
power_quadratic,identity,5,quadratic response surface in log coordinates,0.8085159987234578,0.013281907713675479,0.2807814735742059,0.8160548669245274,0.17992690888219912,0.33405445416879176,0.2755936495482172,0.8009771305223883,0.17671341957621278,0.358435636380121,enumeration,pair_recall_continuous,continuous
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.8132234931321727,0.013846481415874362,0.2824812912376754,0.8209951660813803,0.1820556948574206,0.3259669372710068,0.2771332641104329,0.8054518201829649,0.17856802233314079,0.35124736536394874,enumeration,pair_recall_continuous,continuous
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,0.8192900655165916,0.012783491390286042,0.2839414534938256,0.8252389379387709,0.18102560012856442,0.3189806953096892,0.27984777491287555,0.8133411930944121,0.17799995667720905,0.3384761036157582,enumeration,pair_recall_continuous,continuous
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",0.8209011791212584,0.012630862576380563,0.2841165494262358,0.8257478315135611,0.1809568600768874,0.3181405187506514,0.2807813565225004,0.8160545267289556,0.17888317130388426,0.3340550094051802,enumeration,pair_recall_continuous,continuous
root_separable,identity,2,separate square-root L and N coordinates,0.8220804028457136,0.012803284408808567,0.28483032405328873,0.8278223247159762,0.18197558809222172,0.3147101987018369,0.28087905717351064,0.8163384809754509,0.1792820201232481,0.33359148447869325,enumeration,pair_recall_continuous,continuous
inverse_separable,identity,2,separate inverse L and N coordinates,0.8301173286182251,0.013642880635642689,0.28760512989973913,0.8358869373378202,0.1874643225268263,0.3012930279879992,0.2836348104913401,0.8243477198986301,0.1850426025307661,0.3204508366979295,enumeration,pair_recall_continuous,continuous
logL_rawN,identity,2,log length plus raw/scaled needle count,0.8193821174268268,0.013313177671571438,0.28419565443852685,0.8259777399525208,0.1818788942570615,0.31776077310292594,0.2796569189025623,0.8127864949011326,0.1790355147920301,0.339378113706331,enumeration,pair_recall_continuous,continuous
rawL_logN,identity,2,raw/scaled length plus log needle count,0.8268254772436276,0.012294480238221547,0.286064882016996,0.8314104070134269,0.18305160680397747,0.30875673510976775,0.28290979186515314,0.8222405474738282,0.18062579026063483,0.32392048208993907,enumeration,pair_recall_continuous,continuous
intercept_only,identity,0,Model and query-order baselines only,0.9068900480369383,0.03838971263567771,0.40563819517598027,0.9047084420592341,0.20725420428804817,0.18150263486675344,0.4075944999261975,0.9090716540146425,0.20719425917888062,0.17358872786708213,native_thinking,log1p_absolute_error,continuous
log_density,identity,1,log(N/L) density coordinate,0.7796767866421643,0.03832136639643009,0.3508088647521326,0.7824207514600044,0.1759522585240845,0.38781776768476195,0.3483482777064285,0.7769328218243243,0.17471701747764146,0.3963753903720927,native_thinking,log1p_absolute_error,continuous
log_burden,identity,1,log(N×L) burden coordinate,0.7887629004395453,0.023027143562935268,0.352708225204586,0.7866569586423744,0.1836206985329655,0.38117082941952984,0.35459667984927945,0.7908688422367162,0.18418731429876548,0.374526474379156,native_thinking,log1p_absolute_error,continuous
power_separable,identity,2,separate log L and log N orders,0.7199369676551739,0.026627017203626143,0.3233300404549898,0.7211338100054351,0.17048995394236618,0.4799660280670449,0.32225679973278526,0.7187401253049128,0.17015402981058125,0.4834126322766781,native_thinking,log1p_absolute_error,continuous
power_interaction,identity,3,power surface plus log L × log N,0.7301563626127763,0.026959570622355513,0.32368259211823575,0.7219201177787015,0.16939787546971283,0.4788313435463858,0.3310682543585863,0.7383926074468512,0.17346792545561768,0.45477635726784016,native_thinking,log1p_absolute_error,continuous
power_quadratic,identity,5,quadratic response surface in log coordinates,0.6514204006086515,0.037856938448816366,0.2970957043613911,0.662622492240102,0.1479062409531565,0.560931432777516,0.28705048753720674,0.640218308977201,0.14275298007879197,0.5901205168503731,native_thinking,log1p_absolute_error,continuous
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.6616608496242626,0.03647558513031626,0.2997934752341494,0.6686394209030132,0.15282742121422446,0.5529213248144832,0.29353560269351947,0.6546822783455122,0.150389905350492,0.5713911144203293,native_thinking,log1p_absolute_error,continuous
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,0.6563256717906768,0.03700953622358952,0.29734544723636935,0.6631795021322274,0.15021198464043256,0.5601929479516508,0.29119943324878916,0.6494718414491262,0.14602660032296252,0.578186327164681,native_thinking,log1p_absolute_error,continuous
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",0.6627643745299032,0.03975810893431558,0.29938997015037316,0.6677394700106969,0.1487684994684652,0.5541240001898335,0.29492866823731956,0.6577892790491097,0.14544293167230005,0.5673132643680525,native_thinking,log1p_absolute_error,continuous
root_separable,identity,2,separate square-root L and N coordinates,0.6680955363050358,0.032335848924527795,0.30230941906091807,0.6742508146201086,0.1560626723152133,0.5453858389841199,0.2967898154616659,0.6619402579899629,0.15308754203423655,0.5618350948521812,native_thinking,log1p_absolute_error,continuous
