request_id,model_label,seed,target_passage_tokens,num_needles,query_order,exact_correct,mode,p_parse_oof,p_exact_given_parse_oof,p_exact_product_oof
Qwen3-8B/direct/query_first/T2000_N10_seed1238,Qwen3-8B,1238,2000,10,query_first,0,direct,0.999999999,0.13263716651460572,0.13263716638196857
Qwen3-8B/direct/query_first/T2000_N1_seed1234,Qwen3-8B,1234,2000,1,query_first,1,direct,0.999999999,0.9941339837362941,0.9941339827421601
Qwen3-8B/direct/query_first/T2000_N1_seed1235,Qwen3-8B,1235,2000,1,query_first,1,direct,0.999999999,0.9941339837362941,0.9941339827421601
Qwen3-8B/direct/query_first/T2000_N1_seed1236,Qwen3-8B,1236,2000,1,query_first,1,direct,0.999999999,0.9941339837362941,0.9941339827421601
Qwen3-8B/direct/query_first/T2000_N1_seed1237,Qwen3-8B,1237,2000,1,query_first,1,direct,0.999999999,0.9941339837362941,0.9941339827421601
Qwen3-8B/direct/query_first/T2000_N1_seed1238,Qwen3-8B,1238,2000,1,query_first,1,direct,0.999999999,0.9941339837362941,0.9941339827421601
Qwen3-8B/direct/query_first/T2000_N20_seed1234,Qwen3-8B,1234,2000,20,query_first,0,direct,0.999999999,0.013107493641285066,0.013107493628177574
Qwen3-8B/direct/query_first/T2000_N20_seed1235,Qwen3-8B,1235,2000,20,query_first,0,direct,0.999999999,0.013107493641285066,0.013107493628177574
Qwen3-8B/direct/query_first/T2000_N20_seed1236,Qwen3-8B,1236,2000,20,query_first,0,direct,0.999999999,0.013107493641285066,0.013107493628177574
Qwen3-8B/direct/query_first/T2000_N20_seed1237,Qwen3-8B,1237,2000,20,query_first,0,direct,0.999999999,0.013107493641285066,0.013107493628177574
Qwen3-8B/direct/query_first/T2000_N20_seed1238,Qwen3-8B,1238,2000,20,query_first,0,direct,0.999999999,0.013107493641285066,0.013107493628177574
Qwen3-8B/direct/query_first/T2000_N2_seed1234,Qwen3-8B,1234,2000,2,query_first,1,direct,0.999999999,0.9452530940273102,0.9452530930820571
Qwen3-8B/direct/query_first/T2000_N2_seed1235,Qwen3-8B,1235,2000,2,query_first,1,direct,0.999999999,0.9452530940273102,0.9452530930820571
Qwen3-8B/direct/query_first/T2000_N2_seed1236,Qwen3-8B,1236,2000,2,query_first,1,direct,0.999999999,0.9452530940273102,0.9452530930820571
Qwen3-8B/direct/query_first/T2000_N2_seed1237,Qwen3-8B,1237,2000,2,query_first,1,direct,0.999999999,0.9452530940273102,0.9452530930820571
Qwen3-8B/direct/query_first/T2000_N2_seed1238,Qwen3-8B,1238,2000,2,query_first,1,direct,0.999999999,0.9452530940273102,0.9452530930820571
