scheme,fold,candidate,link,n_rows,n_trials,log_loss,brier,converged,iterations,mode,target,kind
cell,cell_fold=0,power_interaction,logistic,480,480.0,0.39255461796770746,0.12510180158834946,True,19,direct,exact_correct,binary
cell,cell_fold=1,power_interaction,logistic,480,480.0,0.3665956370172764,0.12025067794352275,True,19,direct,exact_correct,binary
cell,cell_fold=2,power_interaction,logistic,480,480.0,0.4312636978554462,0.11903733793308208,True,19,direct,exact_correct,binary
cell,cell_fold=3,power_interaction,logistic,480,480.0,0.42236824785229554,0.13065094949396613,True,20,direct,exact_correct,binary
cell,cell_fold=4,power_interaction,logistic,480,480.0,0.38675434829457006,0.11562106714884354,True,19,direct,exact_correct,binary
seed,seed=1234,power_interaction,survival_loglog,480,480.0,0.42751150160393114,0.12972282162913687,True,87,direct,exact_correct,binary
seed,seed=1235,power_interaction,survival_loglog,480,480.0,0.3863223158132946,0.11513290343864702,True,115,direct,exact_correct,binary
seed,seed=1236,power_interaction,survival_loglog,480,480.0,0.3668759373808219,0.11956300293641225,True,110,direct,exact_correct,binary
seed,seed=1237,power_interaction,survival_loglog,480,480.0,0.4465828879506875,0.13535151213815702,True,78,direct,exact_correct,binary
seed,seed=1238,power_interaction,survival_loglog,480,480.0,0.3328227436793918,0.10697858627648964,True,84,direct,exact_correct,binary
cell,cell_fold=0,power_interaction,survival_loglog,480,480.0,0.402698775882932,0.12730082411321994,True,108,direct,exact_correct,binary
cell,cell_fold=1,power_interaction,survival_loglog,480,480.0,0.4014204077261169,0.1218614220505784,True,71,direct,exact_correct,binary
cell,cell_fold=2,power_interaction,survival_loglog,480,480.0,0.48215630349775307,0.12351077090286437,True,92,direct,exact_correct,binary
cell,cell_fold=3,power_interaction,survival_loglog,480,480.0,0.4622430262413172,0.13217062860084056,True,76,direct,exact_correct,binary
cell,cell_fold=4,power_interaction,survival_loglog,480,480.0,0.3958358465137077,0.11757642464805819,True,68,direct,exact_correct,binary
seed,seed=1234,power_quadratic,logistic,480,480.0,0.37237340059054974,0.12178188766693922,True,21,direct,exact_correct,binary
seed,seed=1235,power_quadratic,logistic,480,480.0,0.3802459000477958,0.11206043882897113,True,24,direct,exact_correct,binary
seed,seed=1236,power_quadratic,logistic,480,480.0,0.3661071776425215,0.1192276109040851,True,21,direct,exact_correct,binary
seed,seed=1237,power_quadratic,logistic,480,480.0,0.45051942124870326,0.12829330258584928,True,26,direct,exact_correct,binary
seed,seed=1238,power_quadratic,logistic,480,480.0,0.313030789173136,0.10157571642025788,True,21,direct,exact_correct,binary
cell,cell_fold=0,power_quadratic,logistic,480,480.0,0.47970870253640513,0.1324186624308717,True,20,direct,exact_correct,binary
cell,cell_fold=1,power_quadratic,logistic,480,480.0,0.35917297934308756,0.11593920258761227,True,20,direct,exact_correct,binary
cell,cell_fold=2,power_quadratic,logistic,480,480.0,0.39727146201772073,0.11094387415373481,True,21,direct,exact_correct,binary
cell,cell_fold=3,power_quadratic,logistic,480,480.0,0.4228784626637561,0.13095505079014974,True,19,direct,exact_correct,binary
cell,cell_fold=4,power_quadratic,logistic,480,480.0,0.4077920430975822,0.12114528057754925,True,24,direct,exact_correct,binary
seed,seed=1234,power_quadratic,survival_loglog,480,480.0,0.4072137621745207,0.12372118053059061,False,250,direct,exact_correct,binary
seed,seed=1235,power_quadratic,survival_loglog,480,480.0,0.3800535597467182,0.11312190084356923,True,147,direct,exact_correct,binary
seed,seed=1236,power_quadratic,survival_loglog,480,480.0,0.3805685014463169,0.12001267825378564,False,250,direct,exact_correct,binary
seed,seed=1237,power_quadratic,survival_loglog,480,480.0,0.45558551744380804,0.13124231251885907,True,166,direct,exact_correct,binary
seed,seed=1238,power_quadratic,survival_loglog,480,480.0,0.3165411715574492,0.10281682530746238,False,250,direct,exact_correct,binary
cell,cell_fold=0,power_quadratic,survival_loglog,480,480.0,0.41744903619466384,0.12991649879433806,True,164,direct,exact_correct,binary
cell,cell_fold=1,power_quadratic,survival_loglog,480,480.0,0.3874908135915592,0.11776608969189123,True,234,direct,exact_correct,binary
cell,cell_fold=2,power_quadratic,survival_loglog,480,480.0,0.3682601745494981,0.11318254312137963,True,237,direct,exact_correct,binary
cell,cell_fold=3,power_quadratic,survival_loglog,480,480.0,0.4434853328893939,0.1290497931450924,True,143,direct,exact_correct,binary
cell,cell_fold=4,power_quadratic,survival_loglog,480,480.0,0.4001626963016348,0.12229749220084603,True,167,direct,exact_correct,binary
seed,seed=1234,piecewise_power,logistic,480,480.0,0.372951941214056,0.12147400641444435,True,20,direct,exact_correct,binary
seed,seed=1235,piecewise_power,logistic,480,480.0,0.3758146990169603,0.11224180972538121,True,21,direct,exact_correct,binary
seed,seed=1236,piecewise_power,logistic,480,480.0,0.3695870841321982,0.12078632545156953,True,20,direct,exact_correct,binary
seed,seed=1237,piecewise_power,logistic,480,480.0,0.43051147295195696,0.13048599704243619,True,21,direct,exact_correct,binary
seed,seed=1238,piecewise_power,logistic,480,480.0,0.31673980814002917,0.10177753900182852,True,19,direct,exact_correct,binary
cell,cell_fold=0,piecewise_power,logistic,480,480.0,0.4126730288729437,0.12541681977677901,True,22,direct,exact_correct,binary
cell,cell_fold=1,piecewise_power,logistic,480,480.0,0.3570712234122067,0.1162458813439556,True,19,direct,exact_correct,binary
cell,cell_fold=2,piecewise_power,logistic,480,480.0,0.36972483085641966,0.11443284665008875,True,19,direct,exact_correct,binary
cell,cell_fold=3,piecewise_power,logistic,480,480.0,0.41686941382879134,0.12799391856365766,True,22,direct,exact_correct,binary
cell,cell_fold=4,piecewise_power,logistic,480,480.0,0.390573078821152,0.12125674724813651,True,21,direct,exact_correct,binary
seed,seed=1234,piecewise_power,survival_loglog,480,480.0,0.4028396839785751,0.12221114849217932,False,250,direct,exact_correct,binary
seed,seed=1235,piecewise_power,survival_loglog,480,480.0,0.38357760069917024,0.11406019705129625,True,176,direct,exact_correct,binary
seed,seed=1236,piecewise_power,survival_loglog,480,480.0,0.37944847116613806,0.12113523796621965,True,173,direct,exact_correct,binary
seed,seed=1237,piecewise_power,survival_loglog,480,480.0,0.45500353937874144,0.13215266984307153,False,250,direct,exact_correct,binary
seed,seed=1238,piecewise_power,survival_loglog,480,480.0,0.3192213832733476,0.10253123776679844,True,225,direct,exact_correct,binary
cell,cell_fold=0,piecewise_power,survival_loglog,480,480.0,0.3948027827588368,0.12642084617701152,False,250,direct,exact_correct,binary
cell,cell_fold=1,piecewise_power,survival_loglog,480,480.0,0.3808226199675141,0.11455929735951575,False,250,direct,exact_correct,binary
cell,cell_fold=2,piecewise_power,survival_loglog,480,480.0,0.37431902575055975,0.11619413266939496,False,250,direct,exact_correct,binary
