"pca_dim","model_label","endpoint","mode","selector","discovery_metric","confirmation_metric","selected_layer","discovery_value","confirmation_value","pca_components","discovery_rows","confirmation_rows"
"32","Gemma4-E4B","final_count","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","8","0.9733255036380477","0.9890707100936803","32","200","100"
"2","Gemma4-E4B","running_index","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","16","9.90090013972163","8.399535698010018","2","1045","519"
"4","Gemma4-E4B","running_index","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","16","19.202632287087397","16.301395950182865","4","1045","519"
"8","Gemma4-E4B","running_index","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","16","32.67970920394261","28.12838588590565","8","1045","519"
"16","Gemma4-E4B","running_index","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","13","70.78190685876928","61.13941275140247","16","1045","519"
"32","Gemma4-E4B","running_index","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","0","686.9682959328933","10.409238705859114","32","1045","519"
"2","Gemma4-E4B","running_index","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","24","32.61232682258925","31.571836973316174","2","1100","550"
"4","Gemma4-E4B","running_index","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","13","43.63695481110784","43.226359734983966","4","1100","550"
"8","Gemma4-E4B","running_index","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","10","113.27923271722617","111.37236238324748","8","1100","550"
"16","Gemma4-E4B","running_index","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","10","140.0188704521489","131.6520425710017","16","1100","550"
"32","Gemma4-E4B","running_index","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","10","265.6668283523242","243.10350475142673","32","1100","550"
