model_label,site,running_index,marker_kind,trace_order_class,noise_total_rms__count,noise_total_rms__mean,noise_total_rms__std,noise_total_rms__median,noise_orthogonal_rms__count,noise_orthogonal_rms__mean,noise_orthogonal_rms__std,noise_orthogonal_rms__median,count_axis_deviation_abs__count,count_axis_deviation_abs__mean,count_axis_deviation_abs__std,count_axis_deviation_abs__median
Gemma4-E4B,city_end,9,bullet,forward,17,0.6219693728139866,0.17860684937309396,0.7302809856439945,17,0.5560756783538932,0.1602556108957742,0.6459415002931055,17,2.6752280102056614,1.4055214827223093,2.43576717376709
Gemma4-E4B,city_end,9,bullet,other_permutation,3,0.6704011566941214,0.236734752127737,0.7273372989946199,3,0.5840806223406706,0.20212746609698237,0.6253900354492035,3,4.323280374209086,2.925210088007712,3.5873990058898926
Gemma4-E4B,city_end,9,indexed,forward,3,0.4311402778546798,0.010711441709097479,0.4353205892738238,3,0.38409666981904894,0.028656367899264217,0.3806664265586992,3,2.5291264057159424,1.0903366323860082,2.6346774101257324
Gemma4-E4B,city_end,9,indexed,other_permutation,2,0.8077854338731592,0.056952302968408745,0.8077854338731592,2,0.7428324091961362,0.09321028627983136,0.7428324091961362,2,3.0827397108078003,2.439608117304699,3.0827397108078003
Gemma4-E4B,city_end,10,bullet,forward,9,0.5279882465695109,0.24344390030858903,0.3771602871740633,9,0.46698673441471034,0.20193677103616664,0.3455575428636101,9,2.192118422852622,1.6330306217330175,2.1722850799560547
Gemma4-E4B,city_end,10,indexed,forward,5,0.47856316006526756,0.1804236557738213,0.4305353850422024,5,0.43443307497273204,0.15334262085666378,0.3974065358997477,5,1.1000844836235046,0.8232727719791838,1.151526927947998
Gemma4-E4B,city_middle,1,audit_sentence,forward,56,0.743666368812337,0.1154729615565498,0.6884753796126922,56,0.683719352530116,0.1160931959345464,0.6318575323180933,56,5.062826239903059,5.999443075168678,2.6814441680908203
Gemma4-E4B,city_middle,1,audit_sentence,other_permutation,2,0.6543187694849619,0.009088514241541352,0.6543187694849619,2,0.6015354561415736,0.0011130713083255038,0.6015354561415736,2,1.1278657913208008,0.4531002006785484,1.1278657913208008
Gemma4-E4B,city_middle,1,bullet,forward,164,0.8789470356089857,0.1478526693068799,0.9129788355021684,164,0.8271269483378623,0.15532471851404625,0.8621004248704983,164,6.762326414174423,4.338320361265925,7.4716668128967285
Gemma4-E4B,city_middle,1,bullet,other_permutation,9,0.8231982427148665,0.1386334663524556,0.8767684776114671,9,0.7704126501168264,0.146575564184505,0.8178440154231748,9,7.268361899587843,4.665028681355915,9.059652328491213
Gemma4-E4B,city_middle,1,completion_recap,forward,1,1.015216733596485,,1.015216733596485,1,0.9367553156208026,,0.9367553156208026,1,14.22544002532959,,14.22544002532959
Gemma4-E4B,city_middle,1,indexed,forward,29,0.825439345417563,0.1360691059293213,0.8929453288533654,29,0.7741509767922398,0.14618973645083788,0.838529234890106,29,6.459978663715823,4.911382313789768,5.318697929382324
Gemma4-E4B,city_middle,1,indexed,other_permutation,1,0.8501224766174837,,0.8501224766174837,1,0.786467168809433,,0.786467168809433,1,14.989256858825684,,14.989256858825684
Gemma4-E4B,city_middle,2,audit_sentence,forward,41,0.6310848422090365,0.11351066748952997,0.5894779713262355,41,0.5728703855869215,0.1274334720637599,0.5264576703827448,41,1.934746734979676,1.555176413257354,1.89374315738678
Gemma4-E4B,city_middle,2,audit_sentence,other_permutation,1,0.9433656427716212,,0.9433656427716212,1,0.904922741281499,,0.904922741281499,1,7.667452812194824,,7.667452812194824
Gemma4-E4B,city_middle,2,bullet,forward,101,0.8264469146078316,0.17576830112431938,0.9101548878409872,101,0.779343464132844,0.18022846499915798,0.8787483800716201,101,2.130065285480849,1.6832239670587639,1.790787696838379
Gemma4-E4B,city_middle,2,bullet,other_permutation,7,0.6690486567062279,0.1956922739917544,0.5620020887940168,7,0.616435701853116,0.1928340027678389,0.5091399370608417,7,1.3151581755706243,1.2543136620266073,1.277025818824768
Gemma4-E4B,city_middle,2,completion_recap,forward,1,1.0244065218085192,,1.0244065218085192,1,1.0021738228282124,,1.0021738228282124,1,8.087135314941406,,8.087135314941406
Gemma4-E4B,city_middle,2,indexed,forward,27,0.7479922195908666,0.1884827111784554,0.877372930080539,27,0.7035234752337657,0.1949591028438159,0.8627792059471598,27,1.7121467187448784,1.5125677066333747,1.2999582290649414
Gemma4-E4B,city_middle,2,indexed,other_permutation,1,0.902835701934466,,0.902835701934466,1,0.8767216006760837,,0.8767216006760837,1,3.529784202575684,,3.529784202575684
Gemma4-E4B,city_middle,3,audit_sentence,forward,27,0.6336081386990017,0.1150100421553386,0.5822823821153896,27,0.5856931384196526,0.13232150668250375,0.538219513992624,27,1.7341509654566094,1.424829729743965,1.3017549514770508
Gemma4-E4B,city_middle,3,bullet,forward,96,0.8145598092990447,0.14932562720204504,0.8671360776854775,96,0.7797396383939811,0.152417816749343,0.8339889960513968,96,2.2203912255354226,1.865065123758255,1.9125412106513977
Gemma4-E4B,city_middle,3,bullet,other_permutation,6,0.9224158212282241,0.06820225079316249,0.9338025780826705,6,0.8838356170084034,0.052181651513104076,0.8932540963705944,6,2.05555959045887,1.493579619969458,1.632897138595581
Gemma4-E4B,city_middle,3,indexed,forward,22,0.7474095257526685,0.14574121264021825,0.7879059401406423,22,0.7156655139912881,0.16349640255236345,0.7847162965752337,22,1.7584644732150165,1.6028446776979144,1.3421313762664795
Gemma4-E4B,city_middle,3,indexed,other_permutation,3,0.8267405590580781,0.18943678074277423,0.9024118108801632,3,0.7880755757335859,0.17757444760138305,0.877913019562295,3,2.6581879456837973,0.5611250277810739,2.639902114868164
Gemma4-E4B,city_middle,4,audit_sentence,forward,13,0.6447830711597295,0.12810740449212424,0.6007616930334408,13,0.5898757850212928,0.154317910939888,0.5212607709911089,13,2.611422978914701,1.0613399123432932,2.5411906242370605
Gemma4-E4B,city_middle,4,bullet,forward,80,0.7715840628767394,0.15126105351866548,0.8262451492267047,80,0.7407568361538044,0.1588628466115965,0.8015717617317044,80,2.6717289669439195,1.6784507553053978,2.540204167366028
Gemma4-E4B,city_middle,4,bullet,other_permutation,8,0.7243509331429866,0.16531866848810114,0.7085448162934239,8,0.6807302229030631,0.1798699252680839,0.6814929679143912,8,3.566589817404747,1.6839837462176486,3.3073103427886963
Gemma4-E4B,city_middle,4,completion_recap,forward,1,0.972180991131076,,0.972180991131076,1,0.9690795766701064,,0.9690795766701064,1,3.296048641204834,,3.296048641204834
Gemma4-E4B,city_middle,4,indexed,forward,15,0.7176804292913502,0.14225213751208643,0.6151920364586223,15,0.6798960132061012,0.1500771399781638,0.5855281606520196,15,2.4298420468966166,1.2603079854091932,2.5755271911621094
Gemma4-E4B,city_middle,4,indexed,other_permutation,2,0.9033628322817719,0.12546908010366728,0.9033628322817719,2,0.8970563834536014,0.11863404593798682,0.8970563834536014,2,1.817630797624588,2.508494064475814,1.817630797624588
Gemma4-E4B,city_middle,5,audit_sentence,forward,9,0.6515142908443541,0.15320941236616717,0.5926919042079103,9,0.6020903432116895,0.1767157841326354,0.5288988760679068,9,2.8299773534139,2.026203693547493,2.617732048034668
Gemma4-E4B,city_middle,5,bullet,forward,72,0.7214447644112219,0.1484260944305405,0.6664344339173875,72,0.6849644635504442,0.15392891225514746,0.6090255737549382,72,2.70879979721374,1.8431167674599056,2.4407166242599487
Gemma4-E4B,city_middle,5,bullet,other_permutation,7,0.7847722767766386,0.12009086737102632,0.8410476926509439,7,0.7492840249656656,0.1437787487628738,0.8277148633927089,7,1.688434558255332,1.2478950222888991,1.8060779571533203
Gemma4-E4B,city_middle,5,indexed,forward,12,0.7937560122620636,0.15655680199952293,0.8266041291978292,12,0.7667788811239671,0.15899654815311348,0.8026185364387495,12,2.8616517086823783,1.6421033302770072,2.6015008687973022
Gemma4-E4B,city_middle,5,indexed,other_permutation,2,0.8883147696876488,0.002225324192563441,0.8883147696876488,2,0.8827067613774554,0.0049469467467672685,0.8827067613774554,2,1.9788107872009277,0.22318206138107158,1.9788107872009277
Gemma4-E4B,city_middle,6,audit_sentence,forward,5,0.6415732337343986,0.10655504380958239,0.6298816958868494,5,0.5989254595253343,0.1217787522832689,0.5515343743746468,5,3.5248231530189513,2.3333407765226846,3.415015459060669
Gemma4-E4B,city_middle,6,bullet,forward,56,0.7455690115438456,0.16293004073236053,0.8091288453660024,56,0.7088688618685349,0.17485743542343757,0.7949016968319482,56,2.883055895034756,2.217637239037276,2.874313235282898
