scope,feature_set,target,model,rows,groups,heldout_r2_log1p,heldout_mae_log1p,numeric_factors,categorical_factors,post_outcome_diagnostic,feature_order,incremental_r2
Gemma4-E4B/city_end,count_only,noise_total_rms,elastic_net,1087,10,0.10637269575410768,0.09018532133953219,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/city_end,plus_trace_position,noise_total_rms,elastic_net,1087,10,0.22397698384284392,0.08139023789125385,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.11760428808873624
Gemma4-E4B/city_end,plus_trace_form,noise_total_rms,elastic_net,1087,10,0.7570816626799161,0.036370244498787715,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.5331046788370721
Gemma4-E4B/city_end,plus_outcome_diagnostic,noise_total_rms,elastic_net,1087,10,0.7570816626799161,0.036370244498787715,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/city_end,count_only,noise_total_rms,hist_gradient_boosting,1087,10,0.10549885684439497,0.08973595506404568,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/city_end,plus_trace_position,noise_total_rms,hist_gradient_boosting,1087,10,0.37357882799484166,0.06256660947656023,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.2680799711504467
Gemma4-E4B/city_end,plus_trace_form,noise_total_rms,hist_gradient_boosting,1087,10,0.8575043158329717,0.025630559229225584,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.48392548783813005
Gemma4-E4B/city_end,plus_outcome_diagnostic,noise_total_rms,hist_gradient_boosting,1087,10,0.8575043158329717,0.025630559229225584,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/item_end,count_only,count_axis_deviation_abs,elastic_net,1004,10,0.04202482747504266,0.5566125072000515,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/item_end,plus_trace_position,count_axis_deviation_abs,elastic_net,1004,10,0.0573905701015901,0.5533951813578979,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.01536574262654744
