model,variant,layer,head,candidate_rank,pool_primary,pool_sum,pool_coverage,pool_enrichment,samples,effective_number_mean,dominant_occurrence,dominant_occurrence_mean_share,winner_occurrence_mode,winner_occurrence_mode_frequency,first_occurrence_share_mean,winner_is_first_mean,local_needle_count_mean,local_effective_fraction_mean,row_dominant_quarter,row_dominant_quarter_mass,span_mean_effective_number_mean,span_mean_dominant_occurrence_mean_share,span_sum_effective_number_mean,span_sum_dominant_occurrence,span_sum_dominant_occurrence_mean_share,end_sum_profile_cosine_mean,end_sum_winner_match_rate,phenotype,target_occurrence,endpoint_profile,span_mean_profile,span_sum_profile
Qwen3-8B,v4.3,12,23,108,0.0006417619681443,0.0007425477107365,0.8613960989328208,1.3558335561491277,20,7.300514735872483,1,0.2525876274963883,1,0.95,0.2525876274963883,0.95,3.4,0.8401996642589096,1,0.8138376270125782,3.122430638392797,0.5273064855377394,3.1238267784763867,1,0.5277208826379897,0.840300625830644,0.95,partition_local_endpoint_aggregator,,"[0.2525876274963883,0.11160615419984792,0.09237720994829421,0.09428210772831239,0.07697786095577186,0.0683537608640999,0.08138176343345564,0.08837195194300843,0.05980266982923158,0.07425889360158973]","[0.5273064855377394,0.17140875661757926,0.07276115415742655,0.046054111790020905,0.03755954096538544,0.029131820543351887,0.0384526893457559,0.029661931085388553,0.025048786514751835,0.022614723442600102]","[0.5277208826379897,0.17088843038801022,0.07283024496787911,0.04621682635261925,0.037682029608167356,0.028991856016844342,0.03860472720538058,0.029642052829363313,0.02491171865238011,0.022511231341366025]"
Qwen3-8B,v4.3,9,8,109,0.0006401881974089,0.0012472480535506,0.5497566966026706,2.5139611626866807,20,3.246047317180385,1,0.5542606729048754,1,1.0,0.5542606729048754,1.0,2.55,0.6663069375226637,1,0.8987392074303118,4.043020411677267,0.44028128908533015,4.034586101641959,1,0.4409850611765875,0.9438978607666867,0.95,mixed,,"[0.5542606729048754,0.08533740881152949,0.06173640800099765,0.04613835088724827,0.042885509118910314,0.047458935425369414,0.04804835740889374,0.046173817496612445,0.03648787439161082,0.0314726655539524]","[0.44028128908533015,0.1426161059343089,0.07376744236518916,0.059374883521398136,0.060492059008922225,0.04276983091577593,0.04313204542204474,0.056633961576023684,0.05084421368712168,0.030088168483885354]","[0.4409850611765875,0.1421791948220839,0.07367382568216913,0.059384237149035644,0.0605271464960074,0.04262995524692893,0.043125744060419885,0.0568267160538411,0.05068004058524247,0.029988078727684025]"
Qwen3-8B,v4.3,21,5,110,0.000639059221228,0.0009939680496851,0.6939682058683627,1.820152709368503,20,4.114050507860648,1,0.21309943828816552,1,0.35,0.21309943828816552,0.35,3.1,0.6418777634648094,4,0.6681250629634826,6.919748816924813,0.13197048098365277,6.931482660250188,6,0.1313659745123247,0.7121500328135002,0.25,broad_span_mean_only,,"[0.21309943828816552,0.11648160112388846,0.12875401663808442,0.1253521074804097,0.1282738356120322,0.13968023388949183,0.050001353730686246,0.02522525836748606,0.038456473427931875,0.034675681441823675]","[0.10493713658923735,0.09201779560513226,0.12270934589836266,0.10885651969585677,0.11918526330272468,0.13197048098365277,0.0887262002233264,0.03990397709730674,0.07786639019646473,0.11382689040793563]","[0.10532904843372828,0.09184381844249206,0.12283634041545369,0.10913689443691954,0.11921576999656432,0.1313659745123247,0.08868083917993697,0.039899037357806325,0.077800816236599,0.11389146098817508]"
Qwen3-8B,v4.3,33,5,111,0.0006346267541132,0.0011957804361978,0.5399338366260408,2.137851742062676,20,3.2109599933105835,1,0.5107942086589748,1,0.85,0.5107942086589748,0.85,2.6,0.6815336753760836,4,0.4593925678555336,5.896292792763996,0.17489399127570188,5.909522169049237,1,0.17514927727807272,0.5899152724788155,0.4,mixed,,"[0.5107942086589748,0.10323100538875936,0.06676481469748576,0.041292405632259006,0.06677277383819938,0.03130575704749152,0.029103314431071597,0.03526680739567029,0.08065239543480338,0.03481651747528484]","[0.17489399127570188,0.11096043330407342,0.09082868256861783,0.05963323676791847,0.09079381126487068,0.10799442737933684,0.10535632569426212,0.05414442157761036,0.07729525601846257,0.12809941414914577]","[0.17514927727807272,0.11072270594363343,0.09091059767797975,0.060018146259038785,0.09063736363073596,0.10749156819914578,0.10545906691670529,0.05417497643864459,0.0773120326739277,0.12812426498211602]"
Qwen3-8B,v4.3,23,14,112,0.0006252242699779,0.0021013531419965,0.2610057616646229,5.13529716264519,20,1.1184804986457038,1,0.949178646252777,1,1.0,0.949178646252777,1.0,2.45,0.5405032309225701,1,0.63933164425103,5.835431459771824,0.13406923153301534,5.831984527456382,6,0.1336086841312253,0.33210248190322395,0.2,first_needle_locator,1.0,"[0.949178646252777,0.03241219823913537,0.00989907628701985,0.004564163771038891,0.0007320973505271315,0.0012502390325635315,0.0008233365273484551,0.0007205370232032605,0.00037617799582819736,4.3527520558319925e-05]","[0.13068831283134774,0.11905867363006843,0.10161782203558431,0.1166278583604975,0.07616380414992312,0.13406923153301534,0.0982519706645216,0.047156487096780914,0.06978546204382888,0.1065803776544322]","[0.13119380004718365,0.11896153125821991,0.10176479209588526,0.11706739873245467,0.07616000433074976,0.1336086841312253,0.09810978079421503,0.0471736667993866,0.06957430394927086,0.10638603786140896]"
Qwen3-8B,v4.3,1,6,113,0.0006239343612386,0.0007582909531063,0.8422592832396176,1.2290631462669173,20,7.093151796250423,5,0.13454276893086597,5,0.3,0.06932780331764822,0.05,3.3,0.7986423181042757,4,0.41305187655901554,8.564333922040703,0.1325261135511966,8.56825393501505,10,0.13249632564335842,0.8662594667839641,0.1,global_endpoint_aggregator,,"[0.06932780331764822,0.07311052178496188,0.12064080808201624,0.12170569346993818,0.13454276893086597,0.1198786068917563,0.11007645603756391,0.08997273733666267,0.07730493679562725,0.08343966735295928]","[0.062192853308613905,0.07026054597922006,0.09012799486512915,0.103046322453706,0.11228722793685027,0.11860703869436207,0.10459739348772983,0.10801885384789234,0.09833565587529976,0.1325261135511966]","[0.06238764597045392,0.07010367281129135,0.09017324999487511,0.10315962937071974,0.11226271755739944,0.1182801627625057,0.10481894343732494,0.10812666272247598,0.0981909897295954,0.13249632564335842]"
Qwen3-8B,v4.3,32,3,114,0.0006145007284514,0.0024322072664896,0.2426015646938399,5.54723450829228,20,1.0507119419181405,1,0.975924743496304,1,1.0,0.975924743496304,1.0,2.45,0.5202382922283803,1,0.8103522484344378,4.187593218466828,0.2353776433354929,4.196428984975816,1,0.23569585091292708,0.5049700586827263,0.5,first_needle_locator,1.0,"[0.975924743496304,0.010992851740024548,0.004180527998522238,0.002279557578877859,0.0026706917427347563,0.0018611860256844818,0.0006977267879732343,0.000554504857474075,0.0004517743234172475,0.000386435448987366]","[0.2353776433354929,0.12907049442184734,0.1051002181641377,0.0483496624838648,0.05858219811472768,0.09887856582553231,0.09314911329455727,0.03425729603194909,0.06015811999305567,0.13707668833483527]","[0.23569585091292708,0.12865490961268336,0.10518017604037108,0.048645177631686826,0.05851686537309747,0.09856057643413005,0.0931241662785623,0.03443848051766989,0.06002030006261041,0.13716349713626147]"
Qwen3-8B,v4.3,15,4,115,0.0006139408917691,0.0007701198259988,0.8057604409292167,1.3979335883183597,20,6.270732703572674,1,0.22912429201972967,1,0.55,0.22912429201972967,0.55,2.85,0.7699163032335801,4,0.5170296577111542,7.052578543606465,0.1296780298782669,7.035654476324718,3,0.12987772689275148,0.8246191366009968,0.3,global_endpoint_aggregator,,"[0.22912429201972967,0.10298924448592758,0.10750762521085319,0.08130241430037374,0.08815567491885432,0.0543086058582794,0.07112301788303896,0.0972109594589872,0.08728001139964325,0.08099815446431273]","[0.1051220226193487,0.12543622904182436,0.1296780298782669,0.1182702897296124,0.11149906193187267,0.08905947635088059,0.08473452193585711,0.07833708261518305,0.08444931623471788,0.0734139696624364]","[0.10567878688253607,0.1253798704964252,0.12987772689275148,0.11855602608367419,0.1118985241626214,0.0885912050693508,0.08468661790095985,0.07803409243345852,0.0840937925495556,0.07320335752866683]"
Qwen3-8B,v4.3,24,12,116,0.0006104391567894,0.0017436848746405,0.3484643239468891,3.81519884071146,20,1.4085686903394414,1,0.842981736881905,1,1.0,0.842981736881905,1.0,2.45,0.5811129745776615,4,0.4407861790969572,8.023084268114783,0.12723805261987906,8.022761024309904,3,0.12719710859320593,0.2615612248237482,0.0,first_needle_locator,1.0,"[0.842981736881905,0.07193239911083885,0.013082361929514374,0.009773549622545154,0.011043050452452925,0.010767088863651363,0.014594638828120746,0.011824458897968468,0.010560270229324983,0.003440445183678265]","[0.07036484472191544,0.10470019887386198,0.12723805261987906,0.09212899359831948,0.09480779837017078,0.10702211534658916,0.10957317153190087,0.0755695527086357,0.1059496841400331,0.11264558808869436]","[0.07043109924509985,0.10442279802486003,0.12719710859320593,0.09252138009893093,0.09485551150814187,0.10679683149380204,0.10967470547561216,0.07566811726021858,0.10577399172921668,0.11265845657091196]"
Qwen3-8B,v4.3,31,6,117,0.0006077803044928,0.0021495610475539,0.2514471400947455,5.308607570016751,20,1.0865382640229562,1,0.9610153543743506,1,1.0,0.9610153543743506,1.0,2.45,0.5249808654453131,1,0.779934904566643,3.7817703457190555,0.23544679049028416,3.788206331453101,1,0.23602912379398738,0.48254602627079013,0.45,first_needle_locator,1.0,"[0.9610153543743506,0.027383567216402012,0.002492552033185261,0.0018437382305260895,0.0005371943022987811,0.0008447268697316147,0.0020944303923150403,0.0033516039609038503,0.00022243508879968995,0.00021439753148710478]","[0.23544679049028416,0.129730818691045,0.1036960658477949,0.054338231818901225,0.07463825688470721,0.10736188591901666,0.10330923853379574,0.027278648798415052,0.046653098796752696,0.11754696421928741]","[0.23602912379398738,0.12926189788822534,0.10393694793392409,0.0547762830293841,0.07442337135737245,0.10700602368298018,0.10314376731267035,0.02737836764355775,0.04654512653558709,0.11749909082231128]"
Qwen3-8B,v4.3,31,14,118,0.0006062119203768,0.0020857635471555,0.2624125158263002,5.1804243418389895,20,1.2079144265113193,1,0.918114926351594,1,1.0,0.918114926351594,1.0,2.45,0.5384866028083664,1,0.7607276371320615,4.747415836592007,0.360864683867612,4.747658609909366,1,0.36154611875908393,0.7714917609790541,0.8,first_needle_locator,1.0,"[0.918114926351594,0.017204818017923753,0.011048722407158554,0.02079942250651865,0.010622913793447345,0.005258683974673736,0.004737768784044406,0.0015603627634220736,0.007128265109425588,0.003524116291791781]","[0.360864683867612,0.1270011085798327,0.10114655887529593,0.06218923570703276,0.048672098477259014,0.05706483780574895,0.06738848484803665,0.04399497163443768,0.056900030262515125,0.07477798994222914]","[0.36154611875908393,0.12667213448453923,0.10107154088814799,0.06230712351422725,0.04882925961976278,0.05676416077958853,0.06726056343047418,0.04405317024052839,0.05682732614343698,0.07466860214021082]"
Qwen3-8B,v4.3,19,5,119,0.0006030133501881,0.0007912374205058,0.7652636559690406,1.4446911720374294,20,6.320600161027137,1,0.2804108866048439,1,0.7,0.2804108866048439,0.7,3.15,0.7434688530174042,4,0.6825965034171204,5.810990431577886,0.18024018738159683,5.814087480426267,1,0.18056940163430518,0.7657931314172719,0.35,mixed,,"[0.2804108866048439,0.06412341118539253,0.06380908747761102,0.09393787671008272,0.10128173357291721,0.07583299111745942,0.052735310018874174,0.06765840837543594,0.08702329345813993,0.1131870014792431]","[0.18024018738159683,0.0886009743321863,0.06859120227161937,0.0812305790943446,0.09213771562497078,0.09212268378025774,0.09476821750336076,0.06068088532363493,0.0797876215733848,0.16183993311464392]","[0.18056940163430518,0.08828455964433715,0.06861833452590092,0.08165718402018537,0.09217535079981076,0.09174250309333987,0.09488834803036549,0.06056519904975881,0.07962320418545059,0.16187591501654586]"
Qwen3-8B,v4.3,20,5,120,0.0005922230921634,0.0009257051679822,0.6911375782754265,1.5180941011660742,20,4.718489683990977,10,0.19868490580919113,10,0.3,0.10979618232939392,0.1,2.95,0.7204610210468029,1,0.4585853993832913,4.889865543524039,0.22016002895618034,4.89610113394042,10,0.22027807087521048,0.6720132063323069,0.15,mixed,,"[0.10979618232939392,0.07534014466066981,0.05645257240408021,0.033501499941805915,0.0356168399993539,0.08641381651540807,0.09057815988031757,0.15797379823271587,0.1556420802270636,0.19868490580919113]","[0.07270706850197137,0.10502931361402885,0.0676942229576645,0.03510398250596654,0.07098849311606072,0.12292951731809007,0.11613203539318225,0.07363108391575135,0.11562425372110405,0.22016002895618034]","[0.07308890124042022,0.10460747444643285,0.0678703381482125,0.035408083656996506,0.0706438467724536,0.12263223410876652,0.11611243612048558,0.07396876238108335,0.11538985224993834,0.22027807087521048]"
Qwen3-8B,v4.3,11,0,121,0.0005907745472612,0.0010879814624785,0.5661573099174202,2.22240767775813,20,3.0304288211109753,1,0.5543288014224085,1,1.0,0.5543288014224085,1.0,2.6,0.67458095105107,4,0.5607689747503992,4.76310755673757,0.35535355930099294,4.76136201971494,1,0.35579485811574385,0.8841469453992954,0.8,mixed,,"[0.5543288014224085,0.128292571240475,0.08493511993962169,0.04417094827501373,0.03874987356443023,0.031109457907201498,0.025601504069342584,0.024215485010016278,0.03023708381724833,0.038359154754242314]","[0.35535355930099294,0.22089866703911806,0.10090951250230566,0.0557379561953429,0.04695288469164952,0.03544998453187749,0.03563875210894876,0.037375202612349695,0.04729001154295148,0.06439346947446344]","[0.35579485811574385,0.22043320585265375,0.10107308963481387,0.055770980521768064,0.047057947169230244,0.03526646720481264,0.035815612387177356,0.0373492324167701,0.04716230116401549,0.06427630553301465]"
Qwen3-8B,v4.3,24,21,122,0.0005820536083099,0.0011762456761465,0.486774517672577,2.5627390470039475,20,2.29368898480674,1,0.624109486799171,1,0.95,0.624109486799171,0.95,2.45,0.6841479122248674,1,0.48568834570957675,6.0762646728906455,0.20534037783981093,6.071878604028784,1,0.20568542076113272,0.6664412910358865,0.3,broad_span_mean_only,,"[0.624109486799171,0.15097501613452774,0.06560732760802793,0.041685733969999264,0.03052591602912714,0.023349318824323128,0.03660907689037636,0.010121950123344168,0.012784392276249473,0.0042317813448539]","[0.20534037783981093,0.14603938758355958,0.12545112696779087,0.09893124656028454,0.07734317415577409,0.08169670657881506,0.1085501399194256,0.039746491822667054,0.046640961886240895,0.07026038668563135]","[0.20568542076113272,0.14590271117810563,0.1255043384030649,0.09926811253993931,0.0775478764848611,0.08133180551192128,0.10856243636827886,0.03975862771217067,0.046327497203307665,0.07011117383721781]"
Qwen3-8B,v4.3,33,9,123,0.0005811767644239,0.0019328845871818,0.2669091248606226,4.754502433176772,20,1.1435754249441028,1,0.9385939983814138,1,1.0,0.9385939983814138,1.0,2.45,0.5336101993539268,1,0.8242976871242794,4.631201429286934,0.15873293502675065,4.639811180145807,1,0.15908176425469805,0.386427887834083,0.4,first_needle_locator,1.0,"[0.9385939983814138,0.02695151642462722,0.012388751662340606,0.006803378481945126,0.006828934503409318,0.0020000406728375992,0.002847144397158735,0.0019124414219867068,0.000779199147496107,0.0008945949067848286]","[0.15873293502675065,0.134264978064564,0.11787821965433691,0.06026244066954113,0.09407360588448692,0.1124507170549059,0.10684546164916575,0.031844299068301815,0.04842143054820543,0.13522591237974152]","[0.15908176425469805,0.13384287299829473,0.1180392270640297,0.06069558258966111,0.0939576344093548,0.11212893281597802,0.10678360829484279,0.03196418412455534,0.04827114404825675,0.1352350494003287]"
Qwen3-8B,v4.3,33,13,124,0.0005764009118128,0.0020654820733599,0.2486283781242446,5.227638698193602,20,1.074259342218719,1,0.966143729694949,1,1.0,0.966143729694949,1.0,2.45,0.5291469388960239,1,0.8190282748255843,3.4821176724563143,0.3633920502222212,3.4899223948048204,1,0.36416024424517074,0.6830522077903379,0.55,first_needle_locator,1.0,"[0.966143729694949,0.020926754666324487,0.0031320192489467267,0.004564649098625964,0.0009689391735614802,0.0026931600532135976,0.0004495710926135507,0.000492740779904799,0.0003083429473983698,0.0003200932444619835]","[0.3633920502222212,0.11822531263162368,0.09331307714500299,0.044534532917732406,0.06025762775943179,0.07578884271511716,0.07373031896117206,0.019527453340218884,0.043672294869535805,0.1075584894379441]","[0.36416024424517074,0.11780672406869033,0.09344149104024449,0.04482528388204607,0.06028717393909511,0.07542394280348681,0.07362959310375654,0.0195332065137137,0.043509430987239,0.10738290941655722]"
Qwen3-8B,v4.3,21,28,125,0.0005697538618565,0.0009280674987368,0.6378328442356863,1.792324776556269,20,3.489199308467865,1,0.3983020532895893,1,0.65,0.3983020532895893,0.65,2.6,0.7178057728006338,1,0.5202052005443034,7.1354210030064,0.15840026436425733,7.15379073822467,10,0.15816947104726947,0.4514668846741169,0.0,broad_span_mean_only,,"[0.3983020532895893,0.15878405098816512,0.12599507626980574,0.06620275041931509,0.07254438414529542,0.07259352555224752,0.06567733236814828,0.010074514900701066,0.016076241748420643,0.013750070318311883]","[0.052713475208751595,0.09920584308549954,0.10150897289963046,0.08358989946219979,0.08735186984108279,0.1150598290244852,0.11814009383263616,0.08006435206361011,0.1039654002178471,0.15840026436425733]","[0.05301182881061263,0.09927493363634413,0.1017162920996673,0.08379930145987749,0.08738761769712185,0.11466744219448007,0.11813647712714634,0.08011819228835981,0.10371844363912089,0.15816947104726947]"
