model_label,family,bank_size,seed,all_examples,clean_correct_examples,ranked_valid_rate,random_valid_rate,all_absolute_shift,absolute_error,clean_correct_to_wrong
Qwen3-8B,answer_prompt_aggregation,4,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,4,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,4,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,4,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,4,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,8,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,16,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,32,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,2,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,4,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,8,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,16,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,32,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_and_trace_aggregation,58,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,1,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,2,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,4,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,8,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,16,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_trace_aggregation,32,1271,1,1,1.0,1.0,0.0,0.0,0.0
