registered_bank_size,evaluation_scope,analysis_population,grammar_class,estimand,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed,sign_flip_p,sign_flip_method,inferential_status,holm_family,holm_p
6,confirmation,all_examples,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.558641975308642,0.3333333333333333,0.7530864197530864,9,30,0.6666666666666667,1.0,0.017543859649122806,exact,descriptive_or_secondary,,
6,confirmation,all_examples,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,1,1,1.0,1.0,,not_run,descriptive_or_secondary,,
6,confirmation,all_examples,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.40609788359788357,0.3085287698412698,0.5030568783068782,10,58,0.43678160919540227,1.0,0.002926829268292683,exact,registered_confirmation,,
6,confirmation,all_examples,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
6,confirmation,clean_correct_only,pooled,selected_failure_minus_mean_random_failure,0.5356481481481481,0.4652777777777777,0.5912037037037037,10,87,0.532567049808429,1.0,0.002926829268292683,exact,registered_confirmation,pooled_K_grid:confirmation:clean_correct_only,0.014634146341463414
6,confirmation,clean_correct_only,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.5118452380952381,0.43005803571428564,0.5879816468253968,10,86,0.5387596899224805,2.0,0.002926829268292683,exact,registered_confirmation,,
6,confirmation,clean_correct_only,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.558641975308642,0.33016975308641977,0.7530864197530864,9,29,0.6896551724137933,1.0,0.017543859649122806,exact,descriptive_or_secondary,,
6,confirmation,clean_correct_only,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,1,1,1.0,1.0,,not_run,descriptive_or_secondary,,
6,confirmation,clean_correct_only,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.4209126984126984,0.31138789682539675,0.5296428571428572,10,56,0.4523809523809523,1.0,0.002926829268292683,exact,registered_confirmation,,
6,confirmation,clean_correct_only,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
8,confirmation,all_examples,pooled,selected_failure_minus_mean_random_failure,0.7074074074074075,0.6444444444444445,0.7851851851851852,10,90,0.7074074074074073,1.0,0.002926829268292683,exact,registered_confirmation,pooled_K_grid:confirmation:all_examples,0.014634146341463414
8,confirmation,all_examples,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.6694179894179894,0.5596421957671958,0.7802007275132274,10,89,0.7153558052434457,2.0,0.002926829268292683,exact,registered_confirmation,,
8,confirmation,all_examples,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.6388888888888888,0.3888888888888889,0.8518518518518519,9,30,0.7555555555555554,1.0,0.017543859649122806,exact,descriptive_or_secondary,,
8,confirmation,all_examples,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,1,1,1.0,1.0,,not_run,descriptive_or_secondary,,
8,confirmation,all_examples,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.6638359788359789,0.5280059523809523,0.7857142857142857,10,58,0.6896551724137931,1.0,0.002926829268292683,exact,registered_confirmation,,
8,confirmation,all_examples,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
8,confirmation,clean_correct_only,pooled,selected_failure_minus_mean_random_failure,0.736441798941799,0.6581696428571429,0.8238095238095238,10,87,0.7318007662835249,1.0,0.002926829268292683,exact,registered_confirmation,pooled_K_grid:confirmation:clean_correct_only,0.014634146341463414
8,confirmation,clean_correct_only,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.6905820105820106,0.5655555555555556,0.8132695105820106,10,86,0.7403100775193798,2.0,0.002926829268292683,exact,registered_confirmation,,
8,confirmation,clean_correct_only,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.6388888888888888,0.3888888888888889,0.861111111111111,9,29,0.7816091954022988,1.0,0.017543859649122806,exact,descriptive_or_secondary,,
8,confirmation,clean_correct_only,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,1,1,1.0,1.0,,not_run,descriptive_or_secondary,,
8,confirmation,clean_correct_only,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.6849999999999999,0.5415833333333333,0.8182539682539682,10,56,0.7142857142857143,1.0,0.002926829268292683,exact,registered_confirmation,,
8,confirmation,clean_correct_only,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
8,full_panel,all_examples,pooled,selected_failure_minus_mean_random_failure,0.7395061728395063,0.6938271604938273,0.7864197530864199,30,270,0.7395061728395061,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_or_secondary,pooled_K_grid:full_panel:all_examples,4.9999750001249995e-06
8,full_panel,all_examples,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.7326984126984127,0.6778563712522045,0.7879646164021163,30,260,0.7423076923076923,2.1,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_or_secondary,,
8,full_panel,all_examples,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.7429939792008756,0.6339614121510673,0.8389730432402845,29,115,0.7797101449275361,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_or_secondary,,
8,full_panel,all_examples,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,5,5,1.0,1.0,0.09090909090909091,exact,descriptive_or_secondary,,
