registered_bank_size,evaluation_scope,analysis_population,grammar_class,arm,metric,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed
2,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_1,failure_rate,0.2231746031746032,0.13579166666666664,0.3241716269841269,10,89,0.2247191011235955,2.0
2,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_2,failure_rate,0.1588095238095238,0.07666666666666666,0.24166666666666664,10,89,0.1348314606741573,2.0
2,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_3,failure_rate,0.29658730158730157,0.1833333333333333,0.4214285714285714,10,89,0.2808988764044944,2.0
2,confirmation,all_examples,adjacent_rank_after_city,clean,failure_rate,0.05555555555555555,0.0,0.16666666666666666,9,30,0.03333333333333333,1.0
2,confirmation,all_examples,adjacent_rank_after_city,selected_bank,failure_rate,0.5925925925925926,0.35185185185185186,0.8148148148148148,9,30,0.6333333333333333,1.0
2,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_mean,failure_rate,0.22530864197530864,0.0925925925925926,0.36419753086419754,9,30,0.22222222222222224,1.0
2,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_1,failure_rate,0.21296296296296297,0.07407407407407407,0.3611111111111111,9,30,0.23333333333333334,1.0
2,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_2,failure_rate,0.2037037037037037,0.05555555555555555,0.35185185185185186,9,30,0.16666666666666666,1.0
2,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_3,failure_rate,0.2592592592592593,0.1111111111111111,0.4074074074074074,9,30,0.26666666666666666,1.0
2,confirmation,all_examples,adjacent_rank_before_city,clean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,all_examples,adjacent_rank_before_city,selected_bank,failure_rate,1.0,1.0,1.0,1,1,1.0,1.0
2,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,all_examples,same_unit_rank_before_city,clean,failure_rate,0.02222222222222222,0.0,0.06666666666666667,10,58,0.034482758620689655,1.0
2,confirmation,all_examples,same_unit_rank_before_city,selected_bank,failure_rate,0.4322619047619048,0.3452321428571428,0.5303571428571429,10,58,0.4482758620689655,1.0
2,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_mean,failure_rate,0.2273809523809524,0.14007936507936508,0.328968253968254,10,58,0.21264367816091956,1.0
2,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_repeat_1,failure_rate,0.2435714285714286,0.13095238095238096,0.36428571428571427,10,58,0.22413793103448276,1.0
2,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_repeat_2,failure_rate,0.1176190476190476,0.04285714285714286,0.20095238095238094,10,58,0.1206896551724138,1.0
2,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_repeat_3,failure_rate,0.32095238095238093,0.17857142857142855,0.4666666666666666,10,58,0.29310344827586204,1.0
2,confirmation,all_examples,structural_invariant_bullet,clean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,all_examples,structural_invariant_bullet,selected_bank,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,clean_correct_only,pooled,clean,failure_rate,0.0,0.0,0.0,10,87,0.0,1.0
2,confirmation,clean_correct_only,pooled,selected_bank,failure_rate,0.4946428571428571,0.4168650793650793,0.5644841269841269,10,87,0.4942528735632184,1.0
2,confirmation,clean_correct_only,pooled,layer_matched_random_mean,failure_rate,0.18505291005291008,0.12129629629629632,0.2671957671957672,10,87,0.1839080459770115,1.0
2,confirmation,clean_correct_only,pooled,layer_matched_random_repeat_1,failure_rate,0.193452380952381,0.11845238095238093,0.2888888888888889,10,87,0.19540229885057472,1.0
2,confirmation,clean_correct_only,pooled,layer_matched_random_repeat_2,failure_rate,0.10317460317460317,0.04444444444444444,0.1698809523809518,10,87,0.10344827586206896,1.0
2,confirmation,clean_correct_only,pooled,layer_matched_random_repeat_3,failure_rate,0.25853174603174606,0.14861111111111108,0.37142857142857144,10,87,0.25287356321839083,1.0
2,confirmation,clean_correct_only,macro_primary_grammars,clean,failure_rate,0.0,0.0,0.0,10,86,0.0,2.0
2,confirmation,clean_correct_only,macro_primary_grammars,selected_bank,failure_rate,0.49271825396825386,0.37069444444444444,0.6107182539682539,10,86,0.5,2.0
2,confirmation,clean_correct_only,macro_primary_grammars,layer_matched_random_mean,failure_rate,0.18531746031746033,0.11111111111111112,0.27361111111111114,10,86,0.18604651162790697,2.0
2,confirmation,clean_correct_only,macro_primary_grammars,layer_matched_random_repeat_1,failure_rate,0.1791269841269841,0.1,0.2864305555555555,10,86,0.19767441860465115,2.0
2,confirmation,clean_correct_only,macro_primary_grammars,layer_matched_random_repeat_2,failure_rate,0.11476190476190476,0.043333333333333335,0.19285714285714284,10,86,0.10465116279069768,2.0
2,confirmation,clean_correct_only,macro_primary_grammars,layer_matched_random_repeat_3,failure_rate,0.26206349206349205,0.15157936507936506,0.38087499999999996,10,86,0.2558139534883721,2.0
2,confirmation,clean_correct_only,adjacent_rank_after_city,clean,failure_rate,0.0,0.0,0.0,9,29,0.0,1.0
2,confirmation,clean_correct_only,adjacent_rank_after_city,selected_bank,failure_rate,0.537037037037037,0.25925925925925924,0.7962962962962963,9,29,0.6206896551724138,1.0
2,confirmation,clean_correct_only,adjacent_rank_after_city,layer_matched_random_mean,failure_rate,0.1697530864197531,0.04938271604938272,0.2993827160493827,9,29,0.19540229885057472,1.0
2,confirmation,clean_correct_only,adjacent_rank_after_city,layer_matched_random_repeat_1,failure_rate,0.1574074074074074,0.037037037037037035,0.2962962962962963,9,29,0.20689655172413793,1.0
2,confirmation,clean_correct_only,adjacent_rank_after_city,layer_matched_random_repeat_2,failure_rate,0.14814814814814814,0.037037037037037035,0.2962962962962963,9,29,0.13793103448275862,1.0
2,confirmation,clean_correct_only,adjacent_rank_after_city,layer_matched_random_repeat_3,failure_rate,0.2037037037037037,0.05555555555555555,0.37037037037037035,9,29,0.2413793103448276,1.0
2,confirmation,clean_correct_only,adjacent_rank_before_city,clean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,clean_correct_only,adjacent_rank_before_city,selected_bank,failure_rate,1.0,1.0,1.0,1,1,1.0,1.0
2,confirmation,clean_correct_only,adjacent_rank_before_city,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
