registered_bank_size,evaluation_scope,analysis_population,gold_count,estimand,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed,sign_flip_p,sign_flip_method,inferential_status,holm_family,holm_p
6,confirmation,all_examples,5,selected_failure_minus_mean_random_failure,0.5,0.2333333333333333,0.7666666666666666,10,10,0.5,1.0,0.03219512195121951,exact,descriptive_count_stratum,count_strata:K6:confirmation:all_examples,0.12878048780487805
6,confirmation,all_examples,6,selected_failure_minus_mean_random_failure,0.7333333333333333,0.3333333333333333,1.0,10,10,0.7333333333333333,1.0,0.0224390243902439,exact,descriptive_count_stratum,count_strata:K6:confirmation:all_examples,0.1121951219512195
6,confirmation,all_examples,7,selected_failure_minus_mean_random_failure,0.7666666666666667,0.5,1.0,10,10,0.7666666666666667,1.0,0.00878048780487805,exact,descriptive_count_stratum,count_strata:K6:confirmation:all_examples,0.06146341463414635
6,confirmation,all_examples,8,selected_failure_minus_mean_random_failure,0.8,0.5666666666666667,1.0,10,10,0.8,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K6:confirmation:all_examples,0.04390243902439024
6,confirmation,all_examples,9,selected_failure_minus_mean_random_failure,0.7333333333333333,0.5,0.9333333333333332,10,10,0.7333333333333333,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K6:confirmation:all_examples,0.04390243902439024
6,confirmation,all_examples,10,selected_failure_minus_mean_random_failure,0.6,0.3333333333333333,0.8333333333333333,10,10,0.6,1.0,0.00878048780487805,exact,descriptive_count_stratum,count_strata:K6:confirmation:all_examples,0.06146341463414635
6,confirmation,clean_correct_only,2,selected_failure_minus_mean_random_failure,-0.03333333333333334,-0.1,0.0,10,10,-0.03333333333333334,1.0,1.0,exact,descriptive_count_stratum,count_strata:K6:confirmation:clean_correct_only,1.0
6,confirmation,clean_correct_only,3,selected_failure_minus_mean_random_failure,0.16666666666666666,0.0,0.4,10,10,0.16666666666666666,1.0,0.5004878048780488,exact,descriptive_count_stratum,count_strata:K6:confirmation:clean_correct_only,1.0
6,confirmation,clean_correct_only,4,selected_failure_minus_mean_random_failure,0.36666666666666664,0.1333333333333333,0.6333333333333333,10,10,0.36666666666666664,1.0,0.06341463414634146,exact,descriptive_count_stratum,count_strata:K6:confirmation:clean_correct_only,0.1902439024390244
6,confirmation,clean_correct_only,5,selected_failure_minus_mean_random_failure,0.5,0.2333333333333333,0.7666666666666666,10,10,0.5,1.0,0.03219512195121951,exact,descriptive_count_stratum,count_strata:K6:confirmation:clean_correct_only,0.12878048780487805
6,confirmation,clean_correct_only,6,selected_failure_minus_mean_random_failure,0.7333333333333333,0.3333333333333333,1.0,10,10,0.7333333333333333,1.0,0.0224390243902439,exact,descriptive_count_stratum,count_strata:K6:confirmation:clean_correct_only,0.1121951219512195
6,confirmation,clean_correct_only,7,selected_failure_minus_mean_random_failure,0.8518518518518519,0.6296296296296295,1.0,9,9,0.8518518518518519,1.0,0.009746588693957114,exact,descriptive_count_stratum,count_strata:K6:confirmation:clean_correct_only,0.0682261208576998
6,confirmation,clean_correct_only,8,selected_failure_minus_mean_random_failure,0.8,0.5666666666666667,1.0,10,10,0.8,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K6:confirmation:clean_correct_only,0.04390243902439024
6,confirmation,clean_correct_only,9,selected_failure_minus_mean_random_failure,0.7333333333333333,0.4999999999999999,0.9333333333333332,10,10,0.7333333333333333,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K6:confirmation:clean_correct_only,0.04390243902439024
6,confirmation,clean_correct_only,10,selected_failure_minus_mean_random_failure,0.75,0.5416666666666666,0.9166666666666666,8,8,0.75,1.0,0.011673151750972763,exact,descriptive_count_stratum,count_strata:K6:confirmation:clean_correct_only,0.07003891050583658
8,confirmation,all_examples,2,selected_failure_minus_mean_random_failure,0.26666666666666666,0.0,0.5333333333333333,10,10,0.26666666666666666,1.0,0.25073170731707317,exact,descriptive_count_stratum,count_strata:K8:confirmation:all_examples,0.25170731707317073
8,confirmation,all_examples,3,selected_failure_minus_mean_random_failure,0.4,0.1,0.7,10,10,0.4,1.0,0.12585365853658537,exact,descriptive_count_stratum,count_strata:K8:confirmation:all_examples,0.25170731707317073
8,confirmation,all_examples,4,selected_failure_minus_mean_random_failure,0.8333333333333333,0.6333333333333333,1.0,10,10,0.8333333333333333,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K8:confirmation:all_examples,0.03902439024390244
8,confirmation,all_examples,5,selected_failure_minus_mean_random_failure,0.8,0.6,0.9666666666666666,10,10,0.8,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K8:confirmation:all_examples,0.03902439024390244
8,confirmation,all_examples,6,selected_failure_minus_mean_random_failure,0.9,0.7333333333333333,1.0,10,10,0.9,1.0,0.002926829268292683,exact,descriptive_count_stratum,count_strata:K8:confirmation:all_examples,0.026341463414634145
8,confirmation,all_examples,7,selected_failure_minus_mean_random_failure,0.8,0.5666666666666667,1.0,10,10,0.8,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K8:confirmation:all_examples,0.03902439024390244
8,confirmation,all_examples,8,selected_failure_minus_mean_random_failure,0.8,0.6,0.9666666666666666,10,10,0.8,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K8:confirmation:all_examples,0.03902439024390244
8,confirmation,all_examples,9,selected_failure_minus_mean_random_failure,0.9,0.7,1.0,10,10,0.9,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K8:confirmation:all_examples,0.03902439024390244
8,confirmation,all_examples,10,selected_failure_minus_mean_random_failure,0.6666666666666667,0.4,0.9,10,10,0.6666666666666667,1.0,0.00878048780487805,exact,descriptive_count_stratum,count_strata:K8:confirmation:all_examples,0.03902439024390244
8,confirmation,clean_correct_only,2,selected_failure_minus_mean_random_failure,0.26666666666666666,0.0,0.5333333333333333,10,10,0.26666666666666666,1.0,0.25073170731707317,exact,descriptive_count_stratum,count_strata:K8:confirmation:clean_correct_only,0.25170731707317073
8,confirmation,clean_correct_only,3,selected_failure_minus_mean_random_failure,0.4,0.1,0.7,10,10,0.4,1.0,0.12585365853658537,exact,descriptive_count_stratum,count_strata:K8:confirmation:clean_correct_only,0.25170731707317073
8,confirmation,clean_correct_only,4,selected_failure_minus_mean_random_failure,0.8333333333333333,0.6333333333333333,1.0,10,10,0.8333333333333333,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K8:confirmation:clean_correct_only,0.03902439024390244
8,confirmation,clean_correct_only,5,selected_failure_minus_mean_random_failure,0.8,0.6,0.9666666666666666,10,10,0.8,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K8:confirmation:clean_correct_only,0.03902439024390244
8,confirmation,clean_correct_only,6,selected_failure_minus_mean_random_failure,0.9,0.7666666666666666,1.0,10,10,0.9,1.0,0.002926829268292683,exact,descriptive_count_stratum,count_strata:K8:confirmation:clean_correct_only,0.026341463414634145
