registered_bank_size,evaluation_scope,analysis_population,gold_count,arm,metric,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed
2,confirmation,clean_correct_only,9,selected_bank,failure_rate,0.7,0.4,1.0,10,10,0.7,1.0
2,confirmation,clean_correct_only,9,layer_matched_random_mean,failure_rate,0.33333333333333337,0.16666666666666669,0.5333333333333333,10,10,0.33333333333333337,1.0
2,confirmation,clean_correct_only,9,layer_matched_random_repeat_1,failure_rate,0.4,0.1,0.7,10,10,0.4,1.0
2,confirmation,clean_correct_only,9,layer_matched_random_repeat_2,failure_rate,0.2,0.0,0.5,10,10,0.2,1.0
2,confirmation,clean_correct_only,9,layer_matched_random_repeat_3,failure_rate,0.4,0.1,0.7,10,10,0.4,1.0
2,confirmation,clean_correct_only,10,clean,failure_rate,0.0,0.0,0.0,8,8,0.0,1.0
2,confirmation,clean_correct_only,10,selected_bank,failure_rate,1.0,1.0,1.0,8,8,1.0,1.0
2,confirmation,clean_correct_only,10,layer_matched_random_mean,failure_rate,0.2916666666666667,0.08333333333333334,0.5833333333333334,8,8,0.2916666666666667,1.0
2,confirmation,clean_correct_only,10,layer_matched_random_repeat_1,failure_rate,0.25,0.0,0.625,8,8,0.25,1.0
2,confirmation,clean_correct_only,10,layer_matched_random_repeat_2,failure_rate,0.25,0.0,0.625,8,8,0.25,1.0
2,confirmation,clean_correct_only,10,layer_matched_random_repeat_3,failure_rate,0.375,0.125,0.75,8,8,0.375,1.0
4,confirmation,all_examples,2,clean,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,2,selected_bank,failure_rate,0.2,0.0,0.5,10,10,0.2,1.0
4,confirmation,all_examples,2,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,2,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,2,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,2,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,3,clean,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,3,selected_bank,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,3,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,3,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,3,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,3,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,4,clean,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,4,selected_bank,failure_rate,0.4,0.1,0.7,10,10,0.4,1.0
4,confirmation,all_examples,4,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,4,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,4,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,4,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,5,clean,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
4,confirmation,all_examples,5,selected_bank,failure_rate,0.5,0.2,0.8,10,10,0.5,1.0
4,confirmation,all_examples,5,layer_matched_random_mean,failure_rate,0.1,0.0,0.2666666666666667,10,10,0.1,1.0
