model_label,role,layer,rows,seeds,fold,algorithm,rows_train,rows_test,r2,mae,pearson_r
Qwen3-8B,answer_query,7,200,20,group_fold_1,ridge,160,40,0.12519603967666626,2.6112377643585205,0.7484986582652612
Qwen3-8B,answer_query,7,200,20,group_fold_1,knn5_distance,160,40,0.30751003616772765,2.14292417216251,0.6191740752528476
Qwen3-8B,answer_query,7,200,20,group_fold_2,ridge,160,40,0.624209463596344,1.1410712003707886,0.8764845838068875
Qwen3-8B,answer_query,7,200,20,group_fold_2,knn5_distance,160,40,0.20671992071586653,2.0212816447620945,0.5583677665887945
Qwen3-8B,answer_query,7,200,20,group_fold_3,ridge,160,40,0.7222126722335815,1.3957407474517822,0.8763632266808031
Qwen3-8B,answer_query,7,200,20,group_fold_3,knn5_distance,160,40,0.12072427599978441,2.3553712767278703,0.37700403600125165
Qwen3-8B,answer_query,7,200,20,group_fold_4,ridge,160,40,0.36528682708740234,1.9774726629257202,0.7858409908413677
Qwen3-8B,answer_query,7,200,20,group_fold_4,knn5_distance,160,40,0.10184269435490279,2.267755908006849,0.3477159063654083
Qwen3-8B,answer_query,8,200,20,group_fold_0,ridge,160,40,0.7277265787124634,1.2213521003723145,0.9239391170332338
Qwen3-8B,answer_query,8,200,20,group_fold_0,knn5_distance,160,40,0.28770377137568237,2.043094066715069,0.5858095584499401
Qwen3-8B,answer_query,8,200,20,group_fold_1,ridge,160,40,0.4487321376800537,2.0641391277313232,0.8117562817459624
Qwen3-8B,answer_query,8,200,20,group_fold_1,knn5_distance,160,40,0.3147483549198512,1.9130931780718434,0.5613364231110185
Qwen3-8B,answer_query,8,200,20,group_fold_2,ridge,160,40,0.7969038486480713,0.9916166067123413,0.9218617825206585
Qwen3-8B,answer_query,8,200,20,group_fold_2,knn5_distance,160,40,0.048459179452995715,2.266707581744982,0.32817278289422835
Qwen3-8B,answer_query,8,200,20,group_fold_3,ridge,160,40,0.7533813118934631,1.1926366090774536,0.8895719483662897
Qwen3-8B,answer_query,8,200,20,group_fold_3,knn5_distance,160,40,0.3409789640929818,1.9176698116790483,0.63386520646151
