model_label,role,layer,folds,silhouette_cosine_mean,silhouette_cosine_min,silhouette_cosine_max,calinski_harabasz_mean,calinski_harabasz_min,calinski_harabasz_max,davies_bouldin_mean,davies_bouldin_min,davies_bouldin_max
Gemma4-E4B,prompt_running,15,1,-0.059875912964344025,-0.059875912964344025,-0.059875912964344025,8.510240256100953,8.510240256100953,8.510240256100953,5.868314704473459,5.868314704473459,5.868314704473459
Gemma4-E4B,prompt_running,16,1,-0.05197255313396454,-0.05197255313396454,-0.05197255313396454,8.139192402790687,8.139192402790687,8.139192402790687,5.997375716321114,5.997375716321114,5.997375716321114
Gemma4-E4B,prompt_running,17,1,-0.0650438517332077,-0.0650438517332077,-0.0650438517332077,6.837856213461974,6.837856213461974,6.837856213461974,6.543684364023612,6.543684364023612,6.543684364023612
Gemma4-E4B,prompt_running,18,1,-0.06233439967036247,-0.06233439967036247,-0.06233439967036247,6.493016762622051,6.493016762622051,6.493016762622051,6.4160122855292085,6.4160122855292085,6.4160122855292085
Gemma4-E4B,prompt_running,19,1,-0.06578150391578674,-0.06578150391578674,-0.06578150391578674,6.191858743509507,6.191858743509507,6.191858743509507,6.484511313122939,6.484511313122939,6.484511313122939
Gemma4-E4B,prompt_running,20,1,-0.04550255835056305,-0.04550255835056305,-0.04550255835056305,7.165980840097491,7.165980840097491,7.165980840097491,5.680602219560743,5.680602219560743,5.680602219560743
Gemma4-E4B,prompt_running,21,1,-0.02845992147922516,-0.02845992147922516,-0.02845992147922516,7.138111485466469,7.138111485466469,7.138111485466469,5.614637073516411,5.614637073516411,5.614637073516411
Gemma4-E4B,prompt_running,22,1,-0.012032137252390385,-0.012032137252390385,-0.012032137252390385,7.216509952811091,7.216509952811091,7.216509952811091,5.6919118895296155,5.6919118895296155,5.6919118895296155
Gemma4-E4B,prompt_running,23,1,-0.034500617533922195,-0.034500617533922195,-0.034500617533922195,7.229637101623499,7.229637101623499,7.229637101623499,6.433526889439742,6.433526889439742,6.433526889439742
Gemma4-E4B,prompt_running,24,1,-0.04070718586444855,-0.04070718586444855,-0.04070718586444855,8.236331689705294,8.236331689705294,8.236331689705294,5.812935519739792,5.812935519739792,5.812935519739792
Gemma4-E4B,prompt_running,25,1,-0.036698903888463974,-0.036698903888463974,-0.036698903888463974,9.090444519017879,9.090444519017879,9.090444519017879,5.335033224574966,5.335033224574966,5.335033224574966
Gemma4-E4B,prompt_running,26,1,-0.04510977119207382,-0.04510977119207382,-0.04510977119207382,8.972844477148692,8.972844477148692,8.972844477148692,5.414718607978249,5.414718607978249,5.414718607978249
Gemma4-E4B,prompt_running,27,1,-0.04321609437465668,-0.04321609437465668,-0.04321609437465668,10.237141346026451,10.237141346026451,10.237141346026451,5.166993157035485,5.166993157035485,5.166993157035485
