model_label,role,layer,rows,seeds,population,ss_count,ss_seed_context,ss_count_by_seed_interaction,fraction_count,fraction_seed_context,fraction_count_by_seed_interaction
Qwen3-8B,prompt_running,17,300,30,all,110262.35976554074,45646.36192085373,75505.71549566921,0.47647139525176896,0.1972494131165281,0.32627919163170277
Qwen3-8B,prompt_running,17,300,30,discovery,75253.34217773883,29385.880775216137,49994.39109158055,0.48665578078040234,0.1900355298347538,0.3233086893848438
Qwen3-8B,prompt_running,17,300,30,confirmation,37371.69644967424,15244.153923887427,23148.64554221634,0.4932613356421943,0.20120445255563063,0.305534211802175
Qwen3-8B,prompt_running,18,300,30,all,125488.83428716869,50099.118364725524,92829.95150838925,0.46751290559304165,0.1866459635822552,0.34584113082470325
Qwen3-8B,prompt_running,18,300,30,discovery,85466.53723249643,32047.584784015446,60991.621971282235,0.4787887231143692,0.1795325128932927,0.34167876399233815
Qwen3-8B,prompt_running,18,300,30,confirmation,42934.31184219794,16930.962641559192,28926.314749581372,0.4835403016536777,0.19068205432234947,0.32577764402397286
Qwen3-8B,prompt_running,19,300,30,all,175547.0818919695,66362.31057578346,150781.16815899312,0.44703667338423164,0.16899390316351684,0.3839694234522516
Qwen3-8B,prompt_running,19,300,30,discovery,119731.78299423591,42245.801267015515,99341.82076047076,0.45818175264972455,0.1616634679828076,0.3801547793674678
Qwen3-8B,prompt_running,19,300,30,confirmation,60646.69695975006,22666.18555900039,46607.949336505866,0.4667973264465857,0.17446151810552285,0.3587411554478914
Qwen3-8B,prompt_running,20,300,30,all,267650.0602758731,118601.12516687138,294939.00179686263,0.3929153198176177,0.1741086812296574,0.4329759989527249
Qwen3-8B,prompt_running,20,300,30,discovery,181065.42189636253,74516.78760373894,194018.21863003945,0.4027251990159394,0.16574002812597274,0.431534772858088
Qwen3-8B,prompt_running,20,300,30,confirmation,95845.23526543783,41416.86784180287,91660.18628089577,0.41868022341386235,0.18092108004206092,0.4003986965440767
Qwen3-8B,prompt_running,21,300,30,all,323244.48530016455,136721.48436138453,371390.3122679102,0.3888158330264375,0.16445594666593902,0.4467282203076235
Qwen3-8B,prompt_running,21,300,30,discovery,218940.60956879787,85118.86193927481,243207.70630041245,0.4000616489473002,0.15553438136036354,0.4444039696923363
Qwen3-8B,prompt_running,21,300,30,confirmation,115978.69199484278,48322.36626401459,116507.78970402172,0.41301651581211685,0.17208277664528027,0.41490070754260283
Qwen3-8B,prompt_running,22,300,30,all,445832.97078737454,248087.77657971802,834463.9618601932,0.29170206172291324,0.16232024246378726,0.5459776958132995
Qwen3-8B,prompt_running,22,300,30,discovery,303400.33049804845,158023.4344403948,544686.5234427884,0.30155772582964097,0.1570637297573456,0.5413785444130135
Qwen3-8B,prompt_running,22,300,30,confirmation,169821.8601124707,83854.3177791997,262388.2185942602,0.3290710641324014,0.16248808937449302,0.5084408464931056
Qwen3-8B,prompt_running,23,300,30,all,628857.6064223864,379874.3314567844,1726255.254697347,0.22993073171577294,0.13889437306612049,0.6311748952181065
Qwen3-8B,prompt_running,23,300,30,discovery,434117.4881403543,246199.02929242238,1130629.9583856328,0.23971856371081665,0.13595047262849622,0.6243309636606871
Qwen3-8B,prompt_running,23,300,30,confirmation,251927.7233087964,123237.7350429788,538437.6912849498,0.2757518112858632,0.13489197699458644,0.5893562117195504
Qwen3-8B,prompt_running,24,300,30,all,823418.5903337259,536680.5102956927,2729832.2022226905,0.2013282202954157,0.1312199326970209,0.6674518470075634
Qwen3-8B,prompt_running,24,300,30,discovery,571899.1600031757,346530.69653645577,1761035.4284973538,0.2134377941736542,0.12932830235629364,0.6572339034700522
Qwen3-8B,prompt_running,24,300,30,confirmation,344084.7845475312,174058.05421216157,876231.4195083544,0.2467664491848258,0.12482879196892172,0.6284047588462526
Qwen3-8B,prompt_running,25,300,30,all,1058857.2158754794,722312.5552219047,4066117.6412113574,0.18108520091667607,0.12352951108601432,0.6953852879973096
Qwen3-8B,prompt_running,25,300,30,discovery,741751.3080651488,464205.0207425503,2611116.133530927,0.19432465990197526,0.12161283950531643,0.6840625005927083
Qwen3-8B,prompt_running,25,300,30,confirmation,455446.9364200346,235827.85209912137,1316660.4790707259,0.22682351556417757,0.11744793565092602,0.6557285487848964
Qwen3-8B,prompt_running,26,300,30,all,1207031.6614287493,902492.9650129888,5270890.906656506,0.16354521720568307,0.1222821345174489,0.7141726482768681
Qwen3-8B,prompt_running,26,300,30,discovery,853867.1568151686,577432.1132202483,3369419.8498522723,0.17786234426377864,0.12028033692455581,0.7018573188116656
Qwen3-8B,prompt_running,26,300,30,confirmation,532392.5240900457,296575.0735092163,1722243.0373277664,0.20868230823491907,0.11624876027443308,0.675068931490648
Qwen3-8B,prompt_running,27,300,30,all,1476714.8011561984,1209722.6542395991,7253364.136460673,0.14856582271884064,0.12170490960611394,0.7297292676750454
Qwen3-8B,prompt_running,27,300,30,discovery,1055890.2612914182,775552.0743980454,4639490.9174384745,0.1631743397725543,0.11985165725873573,0.71697400296871
Qwen3-8B,prompt_running,27,300,30,confirmation,668959.035625801,394310.23706218926,2365738.723261177,0.19508821105581284,0.11499251023269841,0.6899192787114887
Qwen3-8B,prompt_running,28,300,30,all,1743525.725536224,1624667.305223126,10103237.251860367,0.12942395046097288,0.12060095113428339,0.7499750984047437
Qwen3-8B,prompt_running,28,300,30,discovery,1260963.6337782645,1042584.7163579176,6471193.158294873,0.14370379259225927,0.11881657315559309,0.7374796342521477
Qwen3-8B,prompt_running,28,300,30,confirmation,828610.7849494455,525351.0126595316,3285995.40037401,0.17858155788800095,0.11322324544026058,0.7081951966717385
Qwen3-8B,prompt_running,29,300,30,all,1988652.3337666227,1976996.4713828054,12638245.519566886,0.11977023551675729,0.11906823981888859,0.761161524664354
Qwen3-8B,prompt_running,29,300,30,discovery,1450578.691440638,1263506.2622054568,8071422.604920461,0.13449331740428788,0.11714852132312471,0.7483581612725874
Qwen3-8B,prompt_running,29,300,30,confirmation,971966.7397602758,642368.9671104214,4132929.8172121355,0.16911811985846703,0.11176949532237467,0.7191123848191583
Qwen3-8B,prompt_running,30,300,30,all,2451623.828523547,2838768.0377432285,17978089.770518072,0.10536243261562052,0.12200057064554896,0.7726369967388305
Qwen3-8B,prompt_running,30,300,30,discovery,1832092.3751153995,1844227.484633773,11623542.193835292,0.11974567932043384,0.12053883088453768,0.7597154897950286
Qwen3-8B,prompt_running,30,300,30,confirmation,1234984.633172171,889084.5403923499,5739094.396918755,0.1570595120020208,0.1130695721159602,0.729870915882019
Qwen3-8B,prompt_running,31,300,30,all,2906140.9182233894,3606410.8835282074,23297695.036024746,0.09748798572646,0.12097890041480862,0.7815331138587315
Qwen3-8B,prompt_running,31,300,30,discovery,2211948.991295314,2334844.228697938,15095529.342166515,0.11261137700470078,0.11886803209290187,0.7685205909023972
Qwen3-8B,prompt_running,31,300,30,confirmation,1493122.69545265,1133129.0593392476,7403234.925333664,0.1488732916323049,0.11297976611152565,0.7381469422561695
Qwen3-8B,prompt_running,32,300,30,all,3667086.8026915556,4404361.016328432,28496933.317472152,0.10028026094466934,0.12044178274912075,0.7792779563062099
Qwen3-8B,prompt_running,32,300,30,discovery,2791385.493113764,2862624.0444969083,18536073.978833426,0.11539379313081814,0.11833874168110807,0.7662674651880738
Qwen3-8B,prompt_running,32,300,30,confirmation,1844576.6623115249,1379595.8531404564,8991983.985905003,0.15099484540056665,0.11293207098216279,0.7360730836172706
Qwen3-8B,prompt_running,33,300,30,all,4534902.689040306,5569331.951585878,34871170.20536511,0.10083072525014762,0.12383061299074173,0.7753386617591106
Qwen3-8B,prompt_running,33,300,30,discovery,3459171.7764547905,3612330.9215926174,22704493.099631194,0.11617316847970789,0.12131688042064549,0.7625099510996467
Qwen3-8B,prompt_running,33,300,30,confirmation,2256884.2576956307,1751485.3477473531,10985523.760623803,0.15052022864209944,0.11681324556510465,0.7326665257927959
Qwen3-8B,prompt_running,34,300,30,all,6867997.7184227295,7728763.060616242,45610918.269281484,0.11407178996072459,0.1283683939122354,0.75755981612704
Qwen3-8B,prompt_running,34,300,30,discovery,5293377.488578182,4959211.301010233,29393864.589814898,0.1335145274640919,0.12508587473265864,0.7413995978032496
Qwen3-8B,prompt_running,34,300,30,confirmation,3167908.4153486486,2477601.128416514,14623765.49396248,0.15629115542870436,0.12223432381300767,0.7214745207582879
Qwen3-8B,prompt_running,35,300,30,all,12013253.179370474,12524999.250383038,68115682.51327792,0.1296572367569371,0.13518043521933606,0.7351623280237268
Qwen3-8B,prompt_running,35,300,30,discovery,8954615.043738803,7231939.298550196,43322169.86524829,0.15047566828200667,0.12152737930204541,0.7279969524159479
Qwen3-8B,prompt_running,35,300,30,confirmation,5578425.480923085,4504012.539881233,22273725.302738182,0.17240688969029266,0.13920106951011996,0.6883920407995875
Gemma4-E4B,prompt_running,0,300,30,all,142.71495660043897,1288.9369562953855,3800.7116044715513,0.027275428422879326,0.24633933632805094,0.7263852352490697
Gemma4-E4B,prompt_running,0,300,30,discovery,129.33648814712498,773.1358162664225,2417.515684663008,0.03895691447459108,0.2328730762912994,0.7281700092341095
Gemma4-E4B,prompt_running,0,300,30,confirmation,129.13289196826116,469.8998227001691,1267.4414962935948,0.06918546809264672,0.2517580044451681,0.6790565274621851
Gemma4-E4B,prompt_running,1,300,30,all,32.28215865400782,338.4032071096493,919.5825939025435,0.02501973207360694,0.2622735878810756,0.7127066800453176
Gemma4-E4B,prompt_running,1,300,30,discovery,29.951142840014633,211.3348626014637,592.7360682593469,0.03591169081066613,0.25339240922449774,0.7106958999648362
Gemma4-E4B,prompt_running,1,300,30,confirmation,30.639402654990306,116.88901938318496,298.53813880219906,0.06868796127032412,0.26204389578759274,0.6692681429420831
Gemma4-E4B,prompt_running,2,300,30,all,523.30540640948,2985.2849397033315,12621.045025598947,0.03244372202779338,0.1850807455287514,0.7824755324434552
Gemma4-E4B,prompt_running,2,300,30,discovery,494.4499206734954,1875.274503990975,8417.356552769103,0.04583723082341534,0.17384448192370336,0.7803182872528813
Gemma4-E4B,prompt_running,2,300,30,confirmation,403.8059690462212,999.6859815398252,3828.7379895196086,0.07717664813447918,0.19106308265948235,0.7317602692060384
Gemma4-E4B,prompt_running,3,300,30,all,1579.5211697571278,5232.923783529913,27837.340997718093,0.04558530814564263,0.15102326435520488,0.8033914274991525
Gemma4-E4B,prompt_running,3,300,30,discovery,1413.46705934692,3245.0311988134786,19082.066642287686,0.05953805502413474,0.13668719394087506,0.8037747510349902
Gemma4-E4B,prompt_running,3,300,30,confirmation,864.3272966094027,1617.017313760738,8057.001169231224,0.08201735971526432,0.15344128457909692,0.7645413557056387
Gemma4-E4B,prompt_running,4,300,30,all,3236.2091658816375,7740.141007928337,54052.2369157513,0.049765946189551005,0.11902674430351916,0.8312073095069299
Gemma4-E4B,prompt_running,4,300,30,discovery,3133.009829063094,4856.069163682361,37821.311638049614,0.06839081234459053,0.10600366198182933,0.8256055256735801
Gemma4-E4B,prompt_running,4,300,30,confirmation,1409.616798209227,2090.2438314167553,14924.507816311025,0.07650828316560722,0.1134499582740217,0.8100417585603712
Gemma4-E4B,prompt_running,5,300,30,all,56441.74715608359,30346.254835571304,62254.120131146825,0.3786966151057551,0.2036085799326436,0.4176948049616013
Gemma4-E4B,prompt_running,5,300,30,discovery,39096.99214483646,19462.570682830337,44252.585763369665,0.3802759954016278,0.1893022463740939,0.4304217582242782
Gemma4-E4B,prompt_running,5,300,30,confirmation,18854.448305298334,9348.815828722307,16491.841073725944,0.4218459318455854,0.20916867261567523,0.3689853955387394
Gemma4-E4B,prompt_running,6,300,30,all,30122.271425380757,20523.051992953056,42561.52631053299,0.32317658533685734,0.22018823780283742,0.45663517686030525
Gemma4-E4B,prompt_running,6,300,30,discovery,20947.915593741072,13329.650996934073,30014.373424363057,0.3258249103828762,0.20733004780717773,0.4668450418099461
Gemma4-E4B,prompt_running,6,300,30,confirmation,10216.851951239987,6307.722365026029,11504.656766569644,0.3645070362810099,0.2250408634608856,0.41045210025810464
Gemma4-E4B,prompt_running,7,300,30,all,32535.377392311406,29935.593233313433,62115.181005595376,0.2611476232817382,0.24028026262440416,0.49857211409385765
Gemma4-E4B,prompt_running,7,300,30,discovery,23298.23721044339,18785.876967118256,43675.29646769981,0.27166974487284107,0.21905324238788074,0.5092770127392783
Gemma4-E4B,prompt_running,7,300,30,confirmation,10952.72764070125,10049.326482441184,16724.29707906235,0.2903203541205744,0.26637419634300297,0.44330544953642265
Gemma4-E4B,prompt_running,8,300,30,all,17752.431190306568,14476.928221722119,29269.78442271147,0.28866143629593793,0.23540048395835178,0.4759380797457103
