model_label,role,layer,algorithm,folds,r2_mean,r2_min,r2_max,mae_mean,mae_min,mae_max,pearson_r_mean,pearson_r_min,pearson_r_max
Gemma4-E4B,answer_query,35,knn5_distance,5,0.7348474599405833,0.627652111022842,0.9168794061901416,1.0766286689466458,0.5874392533358757,1.3601146945359333,0.901785344560411,0.877188032395379,0.9611384499959095
Gemma4-E4B,answer_query,35,ridge,5,0.8837876677513122,0.8169211745262146,0.9286420941352844,0.7415459394454956,0.5747402906417847,0.9232109189033508,0.9486416618969461,0.9277938042847849,0.9658971636221582
Gemma4-E4B,answer_query,36,knn5_distance,5,0.7655624240451818,0.6503708523902124,0.9084099106700777,0.9745361309889338,0.6206575305466313,1.235886415087239,0.9108112386716625,0.8852340807978696,0.9554135459323887
Gemma4-E4B,answer_query,36,ridge,5,0.8919654726982117,0.8319882154464722,0.9363754987716675,0.7051516771316528,0.5176843404769897,0.8945032358169556,0.9517181453876358,0.9304999561076954,0.9681426485752503
Gemma4-E4B,answer_query,37,knn5_distance,5,0.7725239021456314,0.7139216346248944,0.8412271886255914,0.986405392667217,0.8291968457838209,1.1317016179022175,0.9012986809514143,0.8808554076432464,0.9222177382689873
Gemma4-E4B,answer_query,37,ridge,5,0.8853372454643249,0.8186404705047607,0.9355382919311523,0.7197159886360168,0.5288177728652954,0.8969928026199341,0.9512158494506335,0.9295436702222036,0.9674399903403708
Gemma4-E4B,answer_query,38,knn5_distance,5,0.7348477351101255,0.6780639204797767,0.788964880514502,1.0246589931409875,0.9347471791520974,1.112852936180168,0.8809095290869144,0.8370500371218031,0.917032432798972
Gemma4-E4B,answer_query,38,ridge,5,0.8872308135032654,0.8147155046463013,0.9335420727729797,0.6915193796157837,0.5507651567459106,0.8843676447868347,0.9531094377350634,0.9341650189874997,0.9716766117365263
Gemma4-E4B,answer_query,39,knn5_distance,5,0.7554388315100669,0.606873474320974,0.8575335242434545,0.9573084519082368,0.7998398428144795,1.2183466920962602,0.8943395450140434,0.8261198765313607,0.949987796044258
Gemma4-E4B,answer_query,39,ridge,5,0.8856535077095031,0.8344296813011169,0.9403472542762756,0.6939152121543884,0.5009255409240723,0.8325441479682922,0.9539764698958224,0.9375716092017035,0.9748575816891478
