model_label,role,layer,rows,seeds,fit_population,stable_rank,effective_rank,numeric_rank_90,numeric_rank_95,numeric_rank_99,total_variance_capture_k1,total_variance_capture_k2,total_variance_capture_k3,total_variance_capture_k5,total_variance_capture_k9,total_variance_capture_k16,total_variance_capture_k32,count_eta_squared,centroid_curve_capture_k1,centroid_curve_capture_k2,centroid_curve_capture_k3,centroid_curve_capture_k5,centroid_curve_capture_k9,centroid_curve_capture_k16,centroid_curve_capture_k32
Qwen3-8B,prompt_running,25,300,30,discovery,6.29688498617143,85.82305209421328,118,146,177,0.15880868114886915,0.20681180814180355,0.23862795572101933,0.29187282950780247,0.36763262359876453,0.456724421010124,0.586072621497382,0.19432469118834353,0.750458807118916,0.8420794286249672,0.8707037170244967,0.9244064728980744,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,prompt_running,26,300,30,discovery,6.995768445436764,92.74035056509165,120,147,177,0.14294355334935152,0.1863417109107234,0.21747625233111348,0.2695834791652103,0.34407624915446633,0.4335652669192994,0.5658289216152035,0.17786234136637266,0.7327592823785333,0.8215204765253049,0.8543620515806131,0.9145925647123658,1.0,1.0,1.0
Qwen3-8B,prompt_running,27,300,30,discovery,7.822945665921922,98.61181919797687,121,147,176,0.12782908672831125,0.16957285318818738,0.19851135706072737,0.24834606718293034,0.3222588974429346,0.4123948490250547,0.5497785569901111,0.16317432674669832,0.7136340550690486,0.8007217829558217,0.8375516161032519,0.9043717670844424,0.9999999999999998,0.9999999999999998,0.9999999999999998
Qwen3-8B,prompt_running,28,300,30,discovery,9.222667731772079,104.86982215926582,122,147,176,0.10842849694725543,0.1494222462357625,0.17929696251266808,0.22910341835903844,0.3044873079811433,0.3941903937437849,0.5343037824663379,0.14370378053654598,0.6832716865176488,0.7682896389839419,0.8104639818108904,0.8878976778394796,1.0,1.0,1.0
Qwen3-8B,prompt_running,29,300,30,discovery,10.11073728149935,107.33891711659398,122,147,176,0.09890475562348972,0.14257855826711435,0.17291029339193084,0.2226981359670188,0.2991357176895548,0.3881875567582904,0.52821853885475,0.1344933653975512,0.6653403585181105,0.7485363161148596,0.7939817350637661,0.8778872766188188,1.0,1.0,1.0
Qwen3-8B,prompt_running,30,300,30,discovery,11.06246025738045,107.03787746477958,121,145,175,0.09039580497772531,0.14048985536730926,0.17121223914558892,0.22545372094257168,0.30113779547969755,0.39055696925265576,0.5314868172775513,0.11974567545578597,0.6368128824430657,0.7152296865723757,0.7675906916063946,0.8599863863290735,1.0,1.0,1.0
Qwen3-8B,prompt_running,31,300,30,discovery,11.610318873006591,108.81913416084791,121,146,175,0.0861302786717555,0.1333894881308066,0.164707461224536,0.21995888010975678,0.2961878559719202,0.3859882517365533,0.5271606305569987,0.11261134696823487,0.616864523805051,0.691109454641187,0.7468732496698774,0.848181816223261,0.9999999999999998,0.9999999999999998,0.9999999999999998
Qwen3-8B,prompt_running,32,300,30,discovery,10.910963551663508,106.70850288625738,121,146,175,0.09165093396792971,0.1403514234890471,0.17325754616023706,0.22822086504636444,0.30439315569357733,0.39330324229881813,0.5328167277681275,0.11539379062434219,0.6281655163244138,0.6992080647202529,0.7545694809100508,0.8542710415672828,1.0,1.0,1.0
Qwen3-8B,prompt_running,33,300,30,discovery,10.834236699223057,105.75395646247205,122,147,176,0.09229999563067622,0.1474092053728992,0.18048440638191576,0.23517237028368665,0.3086171101026541,0.39656116383413625,0.5348325809987696,0.11617315958907994,0.6413718984985332,0.7071832726092102,0.7615091615330645,0.8574781447422101,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,prompt_running,34,300,30,discovery,8.743067135854808,97.97807689182052,121,147,177,0.1143763377841465,0.1772365471563833,0.20778464572451244,0.26239281255749647,0.33211716752444065,0.4184068983815397,0.5525857307980294,0.1335145259932402,0.7024356770244546,0.7589974222443804,0.8047900200843827,0.8829982426984965,1.0,1.0,1.0
Qwen3-8B,prompt_running,35,300,30,discovery,5.3706544416301,63.64157198127922,110,140,175,0.18619704746754853,0.30877212941182014,0.33865213030098407,0.387757083623432,0.45552032089388184,0.530644292765508,0.6422692346742656,0.1504756494837808,0.7484074544054038,0.8204131385525204,0.8590187069561556,0.9162333884199262,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,answer_query,0,200,20,all_available,1.623810147297412,4.890691722657822,7,11,18,0.6158355406660992,0.7182909903726533,0.7981850295010744,0.8638805797543903,0.9281559263670384,0.9853728401362642,0.9986361274885787,0.00036788491025364776,0.6278897321572516,0.7788295901360431,0.8384923115634515,0.915560581815823,1.0,1.0,1.0
Qwen3-8B,answer_query,1,200,20,all_available,1.9610109281781094,6.7882390326758815,10,14,19,0.5099410643922606,0.6561695371712124,0.7295858616974489,0.8065840954418309,0.8950123528050932,0.9737631436923744,0.996733312522442,0.0015778242031899267,0.8207716299404353,0.8780840573291562,0.9146721771388893,0.9495313730009352,1.0,1.0,1.0
Qwen3-8B,answer_query,2,200,20,all_available,2.26218073192631,8.220864371659655,11,15,21,0.4420513294481436,0.6169273404572698,0.6843255314219968,0.7689840501943928,0.8740951532264075,0.9647658353783498,0.9940063303501129,0.003961791529625082,0.8593855631065336,0.8949276319546656,0.9279640787492196,0.9643412179162543,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,answer_query,3,200,20,all_available,2.6896142051358325,10.101569473844869,12,16,25,0.37180053484640835,0.5515008792423362,0.619577571045258,0.7227750446240934,0.8488169773902636,0.9565581454904791,0.9921264238472544,0.006172184209669246,0.8650768110173993,0.9119834928054256,0.9398704181554127,0.9696016569269279,1.0,1.0,1.0
Qwen3-8B,answer_query,4,200,20,all_available,2.5889357235574386,9.946810011807164,12,16,29,0.3862591067444142,0.5572811038536338,0.6231021019995157,0.7344860783405844,0.8499613878499481,0.95365300255544,0.9908909492597855,0.007174346881165824,0.8488949552394253,0.9006737668386855,0.9400792899717556,0.9707744479379612,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,answer_query,5,200,20,all_available,2.777628484585658,9.77627876708355,12,16,31,0.3600193494376449,0.5753530012807104,0.6410469557003292,0.7515344764756703,0.856823052268097,0.9528481707684261,0.9902913405173059,0.009932633635017755,0.883185553306519,0.9355581866000239,0.9573851269599765,0.9765789610506492,1.0,1.0,1.0
Qwen3-8B,answer_query,6,200,20,all_available,2.609666195121864,9.56564840912994,12,16,37,0.38319077047833044,0.5874950800944544,0.6514478365174237,0.7487864897130679,0.857283460212526,0.9504936874460929,0.9888063936442438,0.011789564364551761,0.9029072013888377,0.9415709963166797,0.9585197969977115,0.9765321040646767,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,answer_query,7,200,20,all_available,2.8927623856869458,10.243740665245516,12,17,44,0.34569033562793977,0.5705832632837774,0.6391473899296563,0.7369948373734105,0.8503538522832799,0.9491342658107093,0.9871807388587577,0.01703514596515607,0.9162302699845642,0.952240259792852,0.9642023236431304,0.9799222185623487,1.0,1.0,1.0
Qwen3-8B,answer_query,8,200,20,all_available,3.3958270831751376,11.664014942475273,13,17,52,0.294479069607098,0.524446545337828,0.5985070183933995,0.7079996398588552,0.8353807189110583,0.9409551968063236,0.9849154003526782,0.027033925989051473,0.8899348986109573,0.9619926155313904,0.9746455596742618,0.9867279729473825,0.9999999999999999,0.9999999999999999,0.9999999999999999
Qwen3-8B,answer_query,9,200,20,all_available,3.6164121431384952,12.553550822179126,14,18,60,0.276517155794127,0.4972370033571238,0.5789513444113896,0.6875986992465817,0.821288877111767,0.9360601516766465,0.9826483370885327,0.028145777448814975,0.8890737832702006,0.9614001617364769,0.9727256025137115,0.9849906353053358,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,answer_query,10,200,20,all_available,3.9392353821389983,13.344323620647272,14,19,71,0.25385637134915295,0.47920731930487637,0.5666888863660542,0.6767176285098777,0.8091485517368573,0.9284381479706794,0.979545119065529,0.028726601888511605,0.8799670987006921,0.957117593830767,0.9675769658833282,0.9827467519099734,1.0000000000000004,1.0000000000000004,1.0000000000000004
Qwen3-8B,answer_query,11,200,20,all_available,4.110517695347806,14.331169116098472,15,19,78,0.2432783591059049,0.4514589987181038,0.5456691350133549,0.6575306930871524,0.795675466415492,0.922429293150106,0.9766818931292855,0.031134830764982413,0.8778817277446146,0.954999404440184,0.9649855511997342,0.9815001662769776,1.0,1.0,1.0
Qwen3-8B,answer_query,12,200,20,all_available,4.49410817604598,14.928376637206151,15,20,86,0.22251355793571995,0.4360427519457573,0.5335445454749648,0.6512974979398347,0.7897351028742494,0.9184455210385606,0.9740809097348992,0.03284361167437445,0.8745565058645285,0.9531638722221107,0.9648359492463344,0.9811024991142072,0.9999999999999999,0.9999999999999999,0.9999999999999999
Qwen3-8B,answer_query,13,200,20,all_available,4.6842753894819795,15.64692599164318,15,20,91,0.2134801899660701,0.41083284508110696,0.5115915445747754,0.6502442874077432,0.783646031046552,0.915259270469576,0.9718763792467909,0.034886547763075176,0.8728494701761303,0.9468879664848543,0.9610569109375313,0.978815438403787,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,answer_query,14,200,20,all_available,4.536748928150178,16.43177590999665,16,21,98,0.2204221604142731,0.4022001649638381,0.49765530442030503,0.6342890675382189,0.772585457491122,0.9088516065633384,0.9680576989709139,0.04098151772385838,0.8885304539448061,0.9530486166411964,0.9663086888092594,0.9811040241399928,1.0,1.0,1.0
Qwen3-8B,answer_query,15,200,20,all_available,4.282378083049131,16.686019536658257,16,21,104,0.23351511253952192,0.40617557871246307,0.49237406921906807,0.629757507836826,0.768618645612229,0.9057980360490012,0.9653898888617826,0.04019303793344039,0.8743433026877233,0.9504981626124656,0.9640919188406364,0.9804542294016924,0.9999999999999998,0.9999999999999998,0.9999999999999998
Qwen3-8B,answer_query,16,200,20,all_available,3.765718455604697,16.666908726782076,16,22,107,0.2655535754436587,0.4171016160432848,0.49376528401240394,0.6142021582406592,0.763317581243981,0.9038658788582815,0.9637880347714932,0.037615891545268544,0.8790492206206542,0.9464281004385983,0.9598296055385444,0.9770510128954067,1.0,1.0,1.0
Qwen3-8B,answer_query,17,200,20,all_available,3.628020958476669,16.914426978593823,17,24,111,0.2756323658118776,0.41827093595892506,0.49138134006914846,0.607274660141441,0.7590990413535232,0.8975982480701551,0.9616210037365983,0.041191574590165515,0.8799073344554551,0.9463942971567467,0.9603488292458896,0.978005510234313,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,answer_query,18,200,20,all_available,3.2631611900475113,15.987715939542257,17,24,111,0.30645130343237503,0.4408442715629667,0.5141266386996695,0.6230576771068405,0.7686880700612941,0.8987932860310562,0.9615945476186913,0.03965576568398356,0.8695727733185014,0.9371530076535235,0.9562620946552798,0.9761772741479392,0.9999999999999999,0.9999999999999999,0.9999999999999999
Qwen3-8B,answer_query,19,200,20,all_available,3.356474634339315,16.43526879546297,17,26,107,0.29793164225620283,0.4120581160302226,0.5088784829307864,0.6321287455330376,0.7741061007765988,0.8909311118694808,0.9602317947095113,0.10996992862355644,0.8868922372216184,0.9646833300129141,0.9813405283716299,0.9917961288746533,1.0,1.0,1.0
Qwen3-8B,answer_query,20,200,20,all_available,3.390882714394994,14.924245499193125,17,26,88,0.29490846019379985,0.485652706980532,0.5621522691330924,0.6632868082390561,0.7873300650607923,0.8913073520353365,0.9633148286684523,0.20683383752014398,0.8903778434298922,0.9805664498723483,0.9912303848315749,0.9968703596501787,1.0,1.0,1.0
Qwen3-8B,answer_query,21,200,20,all_available,3.1941916543901554,14.401436666701095,18,27,78,0.31306825269096855,0.49140733381648316,0.5933941515015149,0.6837343786988539,0.7891766900343626,0.8861959669217585,0.9606335815624192,0.36046778321759376,0.7861266543171688,0.9743026738627872,0.9943131516346592,0.9988441754156969,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,answer_query,22,200,20,all_available,2.595749939226812,13.261311036125814,18,29,78,0.3852451212222187,0.5216960405650505,0.6113453615749185,0.6937585913002396,0.7897552933567559,0.8837074951087124,0.9582968052013758,0.4354904409577313,0.8343974958302872,0.9802228119576633,0.9940180900470179,0.9990782580638655,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,answer_query,23,200,20,all_available,1.9628300597718573,8.300575103910438,13,23,61,0.5094684560293679,0.6508927651666456,0.7173337603177252,0.7901352445097872,0.8655726438657793,0.920806388010729,0.9708632435619604,0.6478437312315658,0.7570124254649263,0.9393594369318725,0.9821254962118412,0.999620091788035,1.0,1.0,1.0
Qwen3-8B,answer_query,24,200,20,all_available,2.1757537804435834,8.84987637846598,13,23,60,0.4596108295839083,0.6498658588430104,0.7085216131426728,0.7852656903225332,0.8643019866553439,0.9197498645530393,0.9704344610927399,0.6636665499677393,0.6762918467200316,0.9271569663367858,0.9814370221604583,0.9996435897176809,1.0,1.0,1.0
Qwen3-8B,answer_query,25,200,20,all_available,2.2724867534325437,8.476503850519679,13,23,60,0.4400465694638356,0.6731264959655289,0.7287891746718177,0.799441612037223,0.8716195540242272,0.9220439813725824,0.9712058487533871,0.6825910269207005,0.6247665469192929,0.9280271776637414,0.9820870494005883,0.9996694562657632,0.9999999999999998,0.9999999999999998,0.9999999999999998
Qwen3-8B,answer_query,26,200,20,all_available,2.2229991694031583,9.10544714181351,14,25,65,0.4498427231839609,0.6534818059068628,0.7087903847510083,0.7835957906509519,0.8576517896002879,0.9119560929453366,0.9664262634801651,0.674249859731546,0.6502180412098235,0.9181816175373387,0.9766895898330085,0.9996088638626404,0.9999999999999999,0.9999999999999999,0.9999999999999999
Qwen3-8B,answer_query,27,200,20,all_available,2.1541290263302644,9.125603265882381,15,26,66,0.46422474595385876,0.6517497074399325,0.7045319752558082,0.7786360957652801,0.8534697831873274,0.9095668801195872,0.9657976143382939,0.6723963597818393,0.6729668974639632,0.9209664925964551,0.9774753776175662,0.9995876671570231,0.9999999999999999,0.9999999999999999,0.9999999999999999
Qwen3-8B,answer_query,28,200,20,all_available,2.259120686663161,8.249184929516101,11,21,58,0.44265010094571455,0.627790588868933,0.7336038386539113,0.831995918800378,0.8882604185007619,0.9321291222828867,0.9735929268894236,0.6930331776054263,0.6160180527011376,0.8400702166116915,0.9512734710934002,0.9996480556324985,1.0,1.0,1.0
Qwen3-8B,answer_query,29,200,20,all_available,2.3752847750908783,8.600665586135424,11,22,58,0.42100215118910955,0.6237199531305827,0.7287068129392854,0.8236700338407461,0.8836333108605621,0.931042668650623,0.9725667576163527,0.6864660904966032,0.5845427532019716,0.8290240585021085,0.9474580502386654,0.9992450913230093,0.9999999999999999,0.9999999999999999,0.9999999999999999
Qwen3-8B,answer_query,30,200,20,all_available,2.4309620186647947,8.99652851933955,12,22,60,0.4113597795120015,0.613109137385854,0.7171354686546666,0.8131259855908909,0.878065554216941,0.9295544016411905,0.9713987588666286,0.6820204642364199,0.5787078327629483,0.8260515441824268,0.9414397675649876,0.9990526130341492,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,answer_query,31,200,20,all_available,2.465728431482241,9.281452361031572,12,23,62,0.40555966635744345,0.5999621897452239,0.7040280652561501,0.8079937954410564,0.8754312109402065,0.927732138272943,0.9701201984721147,0.6815732930813143,0.5715648013553832,0.810611551333575,0.9282750340942526,0.998947365884272,0.9999999999999999,0.9999999999999999,0.9999999999999999
Qwen3-8B,answer_query,32,200,20,all_available,2.3650321528788356,9.070643790947708,12,23,62,0.4228272325104544,0.6146785463280691,0.7117704027487831,0.8064553090693902,0.8747119796243811,0.9274180991423565,0.9701272925087772,0.6875532241458047,0.5922438141827512,0.823965368304141,0.9334072016675914,0.998711468611889,1.0000000000000002,1.0000000000000002,1.0000000000000002
Qwen3-8B,answer_query,33,200,20,all_available,2.5139558925137537,9.704692452368018,13,24,64,0.39777945308343515,0.5981267525406204,0.6940159563020524,0.792369936418089,0.8686296329733987,0.9243056079155562,0.9685192992909613,0.6836105210342871,0.559151915303223,0.8095270411433276,0.9230878276480428,0.9985424863168679,0.9999999999999998,0.9999999999999998,0.9999999999999998
Qwen3-8B,answer_query,34,200,20,all_available,2.5421630872140217,10.334312035252367,14,25,68,0.393365793496714,0.583622520363499,0.6806799248578266,0.7768894620675371,0.8593065235786509,0.9167029286782924,0.9651237825123979,0.6698326425929588,0.5637931835093031,0.8048967006432789,0.9244717435071493,0.9983941420301846,0.9999999999999999,0.9999999999999999,0.9999999999999999
