model_label,role,layer,rows,seeds,fold,rows_test,silhouette_cosine,calinski_harabasz,davies_bouldin
Qwen3-8B,answer_query,33,200,20,group_fold_1,40,0.15397974848747253,24.956917780182003,3.817298689048201
Qwen3-8B,answer_query,33,200,20,group_fold_2,40,0.03321263939142227,12.443739292183015,3.264794303273195
Qwen3-8B,answer_query,33,200,20,group_fold_3,40,0.02679654024541378,13.131455743041682,3.029704840060273
Qwen3-8B,answer_query,33,200,20,group_fold_4,40,0.03119201958179474,13.659509450793468,3.3457186987763192
Qwen3-8B,answer_query,34,200,20,group_fold_0,40,0.1622348576784134,14.185188083312934,3.904149081929637
Qwen3-8B,answer_query,34,200,20,group_fold_1,40,0.15524661540985107,24.265783621024664,3.727636835846326
Qwen3-8B,answer_query,34,200,20,group_fold_2,40,0.03087317943572998,12.40420688145592,3.175599897869258
Qwen3-8B,answer_query,34,200,20,group_fold_3,40,0.01899966597557068,11.973425951895704,3.1172158098817366
Qwen3-8B,answer_query,34,200,20,group_fold_4,40,0.028931478038430214,13.763804671597562,3.333298943191533
Qwen3-8B,answer_query,35,200,20,group_fold_0,40,0.16014178097248077,13.462875914663707,3.862344891919947
Qwen3-8B,answer_query,35,200,20,group_fold_1,40,0.16687007248401642,24.225743554111503,3.5855824751998617
Qwen3-8B,answer_query,35,200,20,group_fold_2,40,0.038559697568416595,11.528930347622255,3.2559754640605627
Qwen3-8B,answer_query,35,200,20,group_fold_3,40,0.02489383891224861,11.433135842166553,3.198739346519991
Qwen3-8B,answer_query,35,200,20,group_fold_4,40,0.025384003296494484,12.96914630356346,3.2012197601809214
Gemma4-E4B,prompt_running,0,300,30,discovery_to_confirmation,100,-0.13118882477283478,0.6841377023045853,6.766968248807032
Gemma4-E4B,prompt_running,1,300,30,discovery_to_confirmation,100,-0.13114795088768005,0.6718012960224972,6.772413840924398
Gemma4-E4B,prompt_running,2,300,30,discovery_to_confirmation,100,-0.1765327900648117,0.7964929602562587,6.3978986773349105
Gemma4-E4B,prompt_running,3,300,30,discovery_to_confirmation,100,-0.21303093433380127,0.8724341022725035,6.348280586344064
Gemma4-E4B,prompt_running,4,300,30,discovery_to_confirmation,100,-0.25046420097351074,0.8050332957630196,7.005653275913767
Gemma4-E4B,prompt_running,5,300,30,discovery_to_confirmation,100,-0.06658205389976501,9.95018845396185,7.804605524167933
Gemma4-E4B,prompt_running,6,300,30,discovery_to_confirmation,100,-0.060221996158361435,7.938597508688843,7.101677885727317
Gemma4-E4B,prompt_running,7,300,30,discovery_to_confirmation,100,-0.05233258381485939,5.445316472039238,7.730068008597586
Gemma4-E4B,prompt_running,8,300,30,discovery_to_confirmation,100,-0.0506773367524147,5.450896550622448,8.007000953029536
Gemma4-E4B,prompt_running,9,300,30,discovery_to_confirmation,100,-0.042934924364089966,7.629469871264669,7.215949306663286
Gemma4-E4B,prompt_running,10,300,30,discovery_to_confirmation,100,-0.06181072071194649,7.850073220598142,6.779226166352139
Gemma4-E4B,prompt_running,11,300,30,discovery_to_confirmation,100,-0.06577713787555695,7.569720766432674,7.1849945887833355
Gemma4-E4B,prompt_running,12,300,30,discovery_to_confirmation,100,-0.0648641511797905,8.805013766059995,6.695047746652311
Gemma4-E4B,prompt_running,13,300,30,discovery_to_confirmation,100,-0.06052534654736519,9.792680476183182,6.29763939156405
Gemma4-E4B,prompt_running,14,300,30,discovery_to_confirmation,100,-0.0734013095498085,8.770591953234783,6.288709189632583
Gemma4-E4B,prompt_running,15,300,30,discovery_to_confirmation,100,-0.059875912964344025,8.510240256100953,5.868314704473459
Gemma4-E4B,prompt_running,16,300,30,discovery_to_confirmation,100,-0.05197255313396454,8.139192402790687,5.997375716321114
Gemma4-E4B,prompt_running,17,300,30,discovery_to_confirmation,100,-0.0650438517332077,6.837856213461974,6.543684364023612
Gemma4-E4B,prompt_running,18,300,30,discovery_to_confirmation,100,-0.06233439967036247,6.493016762622051,6.4160122855292085
Gemma4-E4B,prompt_running,19,300,30,discovery_to_confirmation,100,-0.06578150391578674,6.191858743509507,6.484511313122939
Gemma4-E4B,prompt_running,20,300,30,discovery_to_confirmation,100,-0.04550255835056305,7.165980840097491,5.680602219560743
Gemma4-E4B,prompt_running,21,300,30,discovery_to_confirmation,100,-0.02845992147922516,7.138111485466469,5.614637073516411
Gemma4-E4B,prompt_running,22,300,30,discovery_to_confirmation,100,-0.012032137252390385,7.216509952811091,5.6919118895296155
Gemma4-E4B,prompt_running,23,300,30,discovery_to_confirmation,100,-0.034500617533922195,7.229637101623499,6.433526889439742
Gemma4-E4B,prompt_running,24,300,30,discovery_to_confirmation,100,-0.04070718586444855,8.236331689705294,5.812935519739792
Gemma4-E4B,prompt_running,25,300,30,discovery_to_confirmation,100,-0.036698903888463974,9.090444519017879,5.335033224574966
Gemma4-E4B,prompt_running,26,300,30,discovery_to_confirmation,100,-0.04510977119207382,8.972844477148692,5.414718607978249
Gemma4-E4B,prompt_running,27,300,30,discovery_to_confirmation,100,-0.04321609437465668,10.237141346026451,5.166993157035485
Gemma4-E4B,prompt_running,28,300,30,discovery_to_confirmation,100,-0.057173676788806915,9.049463791442724,5.08723057884198
Gemma4-E4B,prompt_running,29,300,30,discovery_to_confirmation,100,-0.03732908144593239,6.32459726634643,4.628562288013891
Gemma4-E4B,prompt_running,30,300,30,discovery_to_confirmation,100,-0.05442246049642563,6.437322167605805,4.96475367596459
Gemma4-E4B,prompt_running,31,300,30,discovery_to_confirmation,100,-0.05154553800821304,6.332925168930587,5.127853672348619
Gemma4-E4B,prompt_running,32,300,30,discovery_to_confirmation,100,-0.05798469856381416,6.101491280137423,5.39304074763986
Gemma4-E4B,prompt_running,33,300,30,discovery_to_confirmation,100,-0.06932816654443741,6.085299589306202,5.64570720500813
Gemma4-E4B,prompt_running,34,300,30,discovery_to_confirmation,100,-0.06302102655172348,6.120590444344632,5.649418662197676
Gemma4-E4B,prompt_running,35,300,30,discovery_to_confirmation,100,-0.06817817687988281,6.192225785752597,5.434691171536674
Gemma4-E4B,prompt_running,36,300,30,discovery_to_confirmation,100,-0.07510891556739807,6.376589801472672,5.528226286561273
Gemma4-E4B,prompt_running,37,300,30,discovery_to_confirmation,100,-0.08072882890701294,6.521596540339796,5.75908122016957
Gemma4-E4B,prompt_running,38,300,30,discovery_to_confirmation,100,-0.08222583681344986,7.060486224888686,5.77526180899452
Gemma4-E4B,prompt_running,39,300,30,discovery_to_confirmation,100,-0.08793243765830994,7.944737926053991,5.835076927611595
Gemma4-E4B,prompt_running,40,300,30,discovery_to_confirmation,100,-0.09153041988611221,8.946747111674792,5.622634185165697
Gemma4-E4B,prompt_running,41,300,30,discovery_to_confirmation,100,-0.18295437097549438,14.183820117330473,6.586190598295561
Gemma4-E4B,answer_query,0,200,20,group_fold_0,40,-0.2654266655445099,0.02348545137827397,27.288631044396396
Gemma4-E4B,answer_query,0,200,20,group_fold_1,40,-0.2580529451370239,0.010877679422830498,47.65745217782859
Gemma4-E4B,answer_query,0,200,20,group_fold_2,40,-0.2594275176525116,0.019064377842507085,35.963079164028926
Gemma4-E4B,answer_query,0,200,20,group_fold_3,40,-0.2626706659793854,0.008674206819782915,51.734542145245676
Gemma4-E4B,answer_query,0,200,20,group_fold_4,40,-0.262962281703949,0.017973260574245142,27.26086927007818
Gemma4-E4B,answer_query,1,200,20,group_fold_0,40,-0.2599877417087555,0.017420689972412147,47.82077328721692
Gemma4-E4B,answer_query,1,200,20,group_fold_1,40,-0.26002150774002075,0.08503013117809302,72.00712415378644
Gemma4-E4B,answer_query,1,200,20,group_fold_2,40,-0.2675941586494446,0.1736934844050031,40.40499881873361
Gemma4-E4B,answer_query,1,200,20,group_fold_3,40,-0.2516595125198364,0.0010108844656576477,172.75616980731334
Gemma4-E4B,answer_query,1,200,20,group_fold_4,40,-0.25244253873825073,0.002021740357742599,85.70920042518526
Gemma4-E4B,answer_query,2,200,20,group_fold_0,40,-0.2882363200187683,0.04629513354635392,54.57104463515795
Gemma4-E4B,answer_query,2,200,20,group_fold_1,40,-0.302676260471344,0.07474100337674644,64.86552042193408
Gemma4-E4B,answer_query,2,200,20,group_fold_2,40,-0.3115770220756531,0.11679715067433184,44.96685502828697
Gemma4-E4B,answer_query,2,200,20,group_fold_3,40,-0.254619300365448,0.0009727765073255857,131.33795141544624
Gemma4-E4B,answer_query,2,200,20,group_fold_4,40,-0.2756679058074951,0.028983426805979037,64.09958757087078
Gemma4-E4B,answer_query,3,200,20,group_fold_0,40,-0.26654043793678284,0.01106730555971085,51.31273949174191
Gemma4-E4B,answer_query,3,200,20,group_fold_1,40,-0.2712409496307373,0.023296657399572485,63.86681150426705
Gemma4-E4B,answer_query,3,200,20,group_fold_2,40,-0.27154630422592163,0.020239698749444413,57.167579441782685
Gemma4-E4B,answer_query,3,200,20,group_fold_3,40,-0.2569717764854431,0.007738930822738273,128.64187783905143
Gemma4-E4B,answer_query,3,200,20,group_fold_4,40,-0.26255062222480774,0.004973104343683158,78.85301965085125
Gemma4-E4B,answer_query,4,200,20,group_fold_0,40,-0.27853924036026,0.019010575867279916,49.694633464761964
Gemma4-E4B,answer_query,4,200,20,group_fold_1,40,-0.26697760820388794,0.024541080085707954,67.73584090160335
Gemma4-E4B,answer_query,4,200,20,group_fold_2,40,-0.29370173811912537,0.045092019446374684,68.16161568533363
Gemma4-E4B,answer_query,4,200,20,group_fold_3,40,-0.2687795162200928,0.00895628336648736,119.8802966508817
Gemma4-E4B,answer_query,4,200,20,group_fold_4,40,-0.25367870926856995,0.0013656292193927424,93.39405680539511
