model,mode,target,candidate,label,formula,k,parsed_n,seed_cv_mse,seed_cv_se,request_oof_r2,cell_crossfit_r2,cell_fit_r2,leave_N_out_r2,leave_L_out_r2
Qwen3-32B,native_thinking,signed_error,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,500,0.03536188084556271,0.01151617502790282,0.017288771521711266,0.21498438913460938,0.2149843891346095,-0.03429665888618372,0.1655242019060259
Qwen3-32B,native_thinking,signed_error,product,NL,b=\alpha+\beta_PNL_k,2,500,0.03546495206971429,0.011320839074567185,0.014424408911896558,0.35992716083681087,0.35992716083681087,0.3010173295072044,-0.0963590680529085
Qwen3-32B,native_thinking,signed_error,log_product,log₂(NL),b=\alpha+\beta_P\log_2(NL_k),2,500,0.036143835842956024,0.012134516046837318,-0.00444185868597291,0.06258288662794076,0.06258288662794076,-0.06744664378968057,-0.06156054521234133
Qwen3-32B,native_thinking,signed_error,N_L,N + L,b=\alpha+\beta_NN+\beta_LL_k,3,500,0.035930866371042376,0.011776319706778587,0.0014765904001110552,0.18059649633210295,0.18059649633210273,0.019723958226549265,-0.18388652107894887
Qwen3-32B,native_thinking,signed_error,N_logL,N + log₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k,3,500,0.035819765651541845,0.011756665631126173,0.0045640937210461585,0.17752402068219886,0.17752402068219897,0.057828420391408564,-0.18858818124485333
Qwen3-32B,native_thinking,signed_error,logN_L,log₂N + L,b=\alpha+\beta_N\log_2N+\beta_LL_k,3,500,0.035911262114289536,0.011816296509203456,0.0020213952231669108,0.1703546987624147,0.1703546987624147,0.002365733170358819,-0.10606369703922658
Qwen3-32B,native_thinking,signed_error,logN_logL,log₂N + log₂L,b=\alpha+\beta_N\log_2N+\beta_L\log_2L_k,3,500,0.035800161394789004,0.011796151714841524,0.005108898544102014,0.16728222311251084,0.16728222311251084,0.04047019533521801,-0.11076535720513081
Qwen3-32B,native_thinking,signed_error,N_density,N + N/L,b=\alpha+\beta_NN+\beta_DN/L_k,3,500,0.03553591384000266,0.011548931960718508,0.012452372165332237,0.24966994640573748,0.24966994640573748,0.18949373215829157,-0.3262163330963439
Qwen3-32B,native_thinking,signed_error,L_density,L + N/L,b=\alpha+\beta_LL_k+\beta_DN/L_k,3,500,0.03648003630029647,0.012302266939887544,-0.013784912747234923,0.01376948896125929,0.01376948896125929,-0.17740355656156548,-0.0314859237088525
Qwen3-32B,native_thinking,signed_error,N_L_density,N + L + N/L,b=\alpha+\beta_NN+\beta_LL_k+\beta_DN/L_k,4,500,0.035307035398013706,0.011200271544063042,0.018812933581210278,0.3594357175600549,0.35943571756005466,0.25950591923741784,-0.6082132788295254
Qwen3-32B,native_thinking,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.03433418863683727,0.010184984049355781,0.04584847051919505,0.7078423242403796,0.7078423242403796,0.644700679761692,-0.01187541280532467
Qwen3-32B,native_thinking,signed_error,N_logL_interaction,N + log₂L + Nlog₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k+\beta_{NL}N\log_2L_k,4,500,0.034652475666436276,0.01061302181229754,0.03700323292473584,0.5541486605839558,0.5541486605839558,0.5017920076484397,-0.30997846090268677
Qwen3-32B,native_thinking,signed_error,logN_logL_interaction,log₂N + log₂L + interaction,b=\alpha+\beta_N\log_2N+\beta_L\log_2L_k+\beta_{NL}\log_2N\log_2L_k,4,500,0.03475089656260087,0.010799708218483861,0.03426810352932119,0.4864664967474135,0.4864664967474134,0.3637339969955371,-0.03154974268120414
Qwen3-32B,native_thinking,signed_error,N_piece10_logL,segmented N at 10 + log₂L,b=\alpha+\beta_NN+\beta_H(N-10)_++\beta_L\log_2L_k,4,500,0.03586021793540729,0.01176572610719688,0.00343991953625733,0.18202549299397353,0.18202549299397375,0.06580520567967663,-0.18941294473814274
Qwen3-32B,native_thinking,signed_error,logN_L_piece5,log₂N + segmented L at 5k,b=\alpha+\beta_N\log_2N+\beta_LL_k+\beta_H(L_k-5)_+,4,500,0.03594838910111325,0.011823146440544762,0.0009896314719520793,0.17138144065466365,0.17138144065466365,-0.01308681223742858,-0.10730888546506301
Qwen3-32B,native_thinking,signed_error,N_piece10_L_piece5,segmented N at 10 + segmented L at 5k,b=\alpha+\beta_NN+\beta_{NH}(N-10)_++\beta_LL_k+\beta_{LH}(L_k-5)_+,5,500,0.03600844564173154,0.011792405298748311,-0.0006793475358928269,0.18612471053612656,0.18612471053612667,0.01224819810703004,-0.1859564729980745
Qwen3-32B,native_thinking,signed_error,N2_L,quadratic N + L,b=\alpha+\beta_1N+\beta_2N^2+\beta_LL_k,4,500,0.03600123590733374,0.011811450529560404,-0.00047898808730995057,0.18608628465722332,0.18608628465722332,0.03370543137864723,-0.18378134340880914
