model_label,mode,layer,n_confirmation,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Gemma4-E4B,non_thinking,15,30,16,0.3333333333333333,0.33333333333333337,0.36666666666666664,0.5666666666666667,182519349.6454166,1.7536407709121704,0.6645500659942627,4.89066829266914,259.86870860139464,4.093613917311095e-07,14.70866747268227,5.5002507865428924e-05,1,0.05971498515177079,55.002507865428925
Gemma4-E4B,native_thinking,15,30,16,0.3,0.3,0.3333333333333333,0.4666666666666667,37487742.79843131,1.4023493528366089,0.6385703086853027,5.238770379474847,311.2789912763829,2.6538495816650174e-07,15.142084392741486,5.461812952160835e-05,1,0.03800737110029287,54.61812952160835
Gemma4-E4B,non_thinking,16,30,16,0.3333333333333333,0.33333333333333337,0.3,0.5333333333333333,252795900.19493333,1.7263396978378296,0.6724028587341309,5.056087841576484,457.5570068693304,1.1128303228931792e-07,16.011189040517376,4.9603784561157224e-05,1,0.16140878483546642,49.60378456115723
Gemma4-E4B,native_thinking,16,30,16,0.4666666666666667,0.4666666666666666,0.4666666666666667,0.5666666666666667,-558859324.440761,1.3288170099258423,0.5713636875152588,5.7831316017898,710.070646828933,1.2839484207467888e-08,18.170740710249415,5.156646856665611e-05,1,0.013944804567114714,51.56646856665611
Gemma4-E4B,non_thinking,17,30,16,0.3,0.3,0.2,0.6,-32159518.34938681,1.6639211177825928,0.6882538199424744,4.7158623740028975,418.8521524164369,3.966912418403362e-07,14.740107587208694,5.077242827415466e-05,1,0.1021102895576448,50.77242827415466
Gemma4-E4B,native_thinking,17,30,16,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.43333333333333335,97606604.52331838,1.3415056467056274,0.5957279205322266,5.358490102501204,229.21749960360555,6.42552586464924e-07,14.257817176888276,5.005987149477005e-05,1,0.19149415298216205,50.05987149477005
Gemma4-E4B,non_thinking,18,30,16,0.3,0.3,0.26666666666666666,0.6,-14295096.486147309,1.5816682577133179,0.7093759179115295,4.703218458316156,632.0181245338138,5.285912389578554e-07,14.453050408962277,4.913893643021584e-05,1,0.20641728605482984,49.138936430215836
Gemma4-E4B,native_thinking,18,30,16,0.4666666666666667,0.4666666666666666,0.43333333333333335,0.5666666666666667,122965422.49712077,1.45741868019104,0.6388269662857056,4.867621770585409,197.51261732189678,1.7242693248547503e-06,13.27070717701056,5.132239511609077e-05,1,0.22376280125173095,51.322395116090775
Gemma4-E4B,non_thinking,19,30,16,0.26666666666666666,0.26666666666666666,0.3,0.43333333333333335,-207661951.68288592,1.5079056024551392,0.7031307220458984,4.952445031924018,535.4097690338618,1.3174408906147485e-06,13.53981942234589,4.881140911579132e-05,1,0.07594047196377565,48.81140911579132
Gemma4-E4B,native_thinking,19,30,16,0.36666666666666664,0.3666666666666667,0.4,0.43333333333333335,34992173.89805049,1.4348896741867065,0.5339023470878601,4.9936212893073275,920.8106279260109,1.4453229698683137e-07,15.749762845808855,5.089660167694092e-05,1,0.06603379297765566,50.89660167694092
Gemma4-E4B,non_thinking,20,30,16,0.3,0.3,0.3,0.5,-134525910.35749874,1.4523335695266724,0.7176799774169922,5.073994177782711,1130.0747629846048,1.6633035760751821e-07,15.609289920158194,4.7383179187774655e-05,1,0.16973343251319672,47.38317918777466
Gemma4-E4B,native_thinking,20,30,16,0.4666666666666667,0.4666666666666666,0.43333333333333335,0.3333333333333333,124031341.91029415,1.5021543502807617,0.48041751980781555,5.631161400094668,669.9056884545031,1.9557555652637608e-08,17.74990414678279,5.074116462469101e-05,1,0.014375603879355818,50.74116462469101
Gemma4-E4B,non_thinking,21,30,16,0.3333333333333333,0.3333333333333333,0.3,0.4666666666666667,-11722767.501993492,1.3770873546600342,0.7097758054733276,5.040982355885943,1337.009251460746,5.669222036337674e-08,16.685628842621565,4.697707468271255e-05,1,0.08449568405635442,46.977074682712555
Gemma4-E4B,native_thinking,21,30,16,0.43333333333333335,0.4333333333333333,0.5666666666666667,0.3,12147553.87425557,1.3960933685302734,0.49666234850883484,5.62865712018384,463.213832332418,6.957692056193708e-08,16.48083292571944,4.679882374405861e-05,1,0.05321203782286332,46.79882374405861
Gemma4-E4B,non_thinking,22,30,16,0.4,0.4,0.23333333333333334,0.6666666666666666,-37921132.78639877,1.3120883703231812,0.6979981660842896,4.997578391822331,1987.0217416418373,1.9753635348218936e-08,17.739928294273515,4.233764970302581e-05,1,0.022483914938028045,42.33764970302582
Gemma4-E4B,native_thinking,22,30,16,0.7,0.7,0.6333333333333333,0.16666666666666666,-3138094.289286108,1.208714246749878,0.4096772372722626,6.0260461598638155,959.1762835369017,9.914081412348503e-09,18.429309725524927,4.613585931062698e-05,1,0.02194082181882614,46.135859310626984
Gemma4-E4B,non_thinking,23,30,16,0.3333333333333333,0.33333333333333337,0.3,0.6,12658983.588393781,1.4540290832519531,0.7110387682914734,5.316868177986905,363.79753501964444,1.0465259558046577e-07,16.072619585873056,4.2736903488636017e-05,1,0.26033588656770873,42.73690348863602
Gemma4-E4B,native_thinking,23,30,16,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.3,1640194.247662291,1.661813735961914,0.4232748746871948,5.382248523670102,443.00952493721576,2.596793716961674e-08,17.46640324570819,6.655575859546661e-05,1,0.06680495618041556,66.55575859546661
Gemma4-E4B,non_thinking,24,30,16,0.3333333333333333,0.3333333333333333,0.23333333333333334,0.6666666666666666,31469878.41708058,1.480073094367981,0.7429043650627136,5.556262013831526,473.25476811191277,3.873582512057229e-08,17.066500951409488,4.1655228734016415e-05,1,0.10208875692625492,41.65522873401642
