model_label,head_bank,top_n,analysis_population,selection_status,examples,seed_clusters,random_replicates_min,ranked_mean_signed_count_shift,random_mean_signed_count_shift,ranked_minus_random_signed_count_shift,ranked_mean_absolute_count_shift,random_mean_absolute_count_shift,ranked_minus_random_absolute_count_shift,ranked_correct_to_wrong_rate,random_correct_to_wrong_rate,ranked_minus_random_correct_to_wrong,ranked_minus_random_accuracy_delta,ranked_minus_random_absolute_error_delta,ranked_minus_random_prediction_changed,ranked_valid_rate,random_valid_rate,random_overlap_mean,primary_metric,primary_effect,primary_effect_ci95_low,primary_effect_ci95_high,primary_ci95_excludes_zero_positive,effect_seed_clusters,bootstrap_repetitions
Qwen3-8B,broad_aggregation,30,all_examples_signed,discovery_only_unfrozen,50,10,3,2.74,0.12,2.62,2.78,0.2533333333333333,2.526666666666667,nan,nan,nan,-0.4533333333333334,2.433333333333333,0.54,1.0,1.0,6.333333333333332,ranked_minus_random_absolute_count_shift,2.526666666666667,1.4865,3.6066666666666665,True,10,10000
Qwen3-8B,broad_aggregation,31,all_examples_signed,discovery_only_unfrozen,50,10,3,2.36,0.07999999999999999,2.2800000000000002,2.4,0.27999999999999997,2.12,nan,nan,nan,-0.4800000000000001,2.0266666666666673,0.5666666666666667,1.0,1.0,4.666666666666667,ranked_minus_random_absolute_count_shift,2.12,1.2266666666666668,3.093499999999998,True,10,10000
Qwen3-8B,broad_aggregation,32,all_examples_signed,discovery_only_unfrozen,50,10,3,2.62,-0.07333333333333333,2.693333333333334,2.66,0.16666666666666669,2.4933333333333336,nan,nan,nan,-0.52,2.373333333333333,0.62,1.0,1.0,3.333333333333334,ranked_minus_random_absolute_count_shift,2.4933333333333336,1.5466666666666666,3.573499999999998,True,10,10000
Qwen3-8B,broad_aggregation,1,clean_correct_only,discovery_only_unfrozen,40,10,3,-0.025,0.0,-0.025,0.025,0.0,0.025,0.025,0.0,0.025,-0.025,0.025,0.025,1.0,1.0,0.0,ranked_minus_random_correct_to_wrong,0.025,0.0,0.07894736842105263,False,10,10000
Qwen3-8B,broad_aggregation,2,clean_correct_only,discovery_only_unfrozen,40,10,3,-0.075,0.0,-0.075,0.075,0.0,0.075,0.05,0.0,0.05,-0.05,0.075,0.05,1.0,1.0,0.0,ranked_minus_random_correct_to_wrong,0.05,0.0,0.125,False,10,10000
Qwen3-8B,broad_aggregation,3,clean_correct_only,discovery_only_unfrozen,40,10,3,-0.05,-0.008333333333333333,-0.04166666666666667,0.1,0.008333333333333333,0.09166666666666667,0.075,0.008333333333333333,0.06666666666666668,-0.06666666666666668,0.09166666666666667,0.06666666666666668,1.0,1.0,0.0,ranked_minus_random_correct_to_wrong,0.06666666666666668,0.0,0.14414414414414417,False,10,10000
Qwen3-8B,broad_aggregation,4,clean_correct_only,discovery_only_unfrozen,40,10,3,0.05,-0.016666666666666666,0.06666666666666667,0.1,0.016666666666666666,0.08333333333333334,0.1,0.016666666666666666,0.08333333333333334,-0.08333333333333334,0.08333333333333334,0.08333333333333334,1.0,1.0,1.0,ranked_minus_random_correct_to_wrong,0.08333333333333334,0.023255813953488372,0.15789473684210525,True,10,10000
Qwen3-8B,broad_aggregation,5,clean_correct_only,discovery_only_unfrozen,40,10,3,-0.025,-0.03333333333333333,0.008333333333333331,0.025,0.06666666666666667,-0.041666666666666664,0.025,0.05833333333333333,-0.033333333333333326,0.03333333333333333,-0.041666666666666664,-0.03333333333333333,1.0,1.0,0.6666666666666666,ranked_minus_random_correct_to_wrong,-0.033333333333333326,-0.07692307692307693,0.00793650793650794,False,10,10000
Qwen3-8B,broad_aggregation,6,clean_correct_only,discovery_only_unfrozen,40,10,3,-0.025,-0.025,0.0,0.025,0.10833333333333332,-0.08333333333333333,0.025,0.10833333333333332,-0.08333333333333333,0.08333333333333333,-0.08333333333333333,-0.08333333333333333,1.0,1.0,0.0,ranked_minus_random_correct_to_wrong,-0.08333333333333333,-0.14634146341463414,-0.018018018018018018,False,10,10000
Qwen3-8B,broad_aggregation,7,clean_correct_only,discovery_only_unfrozen,40,10,3,0.0,-0.06666666666666667,0.06666666666666665,0.05,0.08333333333333334,-0.033333333333333326,0.05,0.06666666666666667,-0.016666666666666663,0.016666666666666663,-0.03333333333333333,-0.016666666666666663,1.0,1.0,0.3333333333333333,ranked_minus_random_correct_to_wrong,-0.016666666666666663,-0.07407407407407407,0.02631578947368421,False,10,10000
Qwen3-8B,broad_aggregation,8,clean_correct_only,discovery_only_unfrozen,40,10,3,0.0,0.016666666666666666,-0.016666666666666666,0.05,0.06666666666666667,-0.016666666666666663,0.05,0.06666666666666667,-0.016666666666666663,0.016666666666666663,-0.016666666666666663,-0.016666666666666663,1.0,1.0,0.3333333333333333,ranked_minus_random_correct_to_wrong,-0.016666666666666663,-0.06349206349206349,0.025641025641025647,False,10,10000
Qwen3-8B,broad_aggregation,9,clean_correct_only,discovery_only_unfrozen,40,10,3,0.15,-0.041666666666666664,0.19166666666666668,0.25,0.05833333333333333,0.19166666666666668,0.2,0.05833333333333333,0.14166666666666666,-0.14166666666666666,0.19166666666666668,0.14166666666666666,1.0,1.0,1.0,ranked_minus_random_correct_to_wrong,0.14166666666666666,0.05405405405405406,0.2222222222222222,True,10,10000
Qwen3-8B,broad_aggregation,10,clean_correct_only,discovery_only_unfrozen,40,10,3,0.25,-0.05833333333333333,0.3083333333333333,0.3,0.075,0.22500000000000003,0.225,0.06666666666666667,0.15833333333333333,-0.15833333333333335,0.225,0.15833333333333335,1.0,1.0,0.6666666666666666,ranked_minus_random_correct_to_wrong,0.15833333333333333,0.03603603603603605,0.27350427350427353,True,10,10000
Qwen3-8B,broad_aggregation,11,clean_correct_only,discovery_only_unfrozen,40,10,3,0.275,-0.06666666666666667,0.3416666666666667,0.325,0.08333333333333333,0.2416666666666667,0.225,0.075,0.15,-0.15,0.2416666666666667,0.15,1.0,1.0,1.0,ranked_minus_random_correct_to_wrong,0.15,0.008130081300813018,0.2833333333333333,True,10,10000
Qwen3-8B,broad_aggregation,12,clean_correct_only,discovery_only_unfrozen,40,10,3,0.25,-0.008333333333333335,0.2583333333333333,0.3,0.041666666666666664,0.2583333333333333,0.225,0.041666666666666664,0.18333333333333335,-0.18333333333333335,0.25833333333333336,0.18333333333333335,1.0,1.0,0.6666666666666666,ranked_minus_random_correct_to_wrong,0.18333333333333335,0.06662601626016264,0.30703441295546535,True,10,10000
Qwen3-8B,broad_aggregation,13,clean_correct_only,discovery_only_unfrozen,40,10,3,0.375,-0.075,0.4499999999999999,0.425,0.075,0.35,0.275,0.06666666666666667,0.20833333333333334,-0.20833333333333334,0.35000000000000003,0.20833333333333334,1.0,1.0,0.3333333333333333,ranked_minus_random_correct_to_wrong,0.20833333333333334,0.06140350877192984,0.3603603603603604,True,10,10000
Qwen3-8B,broad_aggregation,14,clean_correct_only,discovery_only_unfrozen,40,10,3,0.375,0.05,0.32500000000000007,0.425,0.1,0.32500000000000007,0.275,0.1,0.17500000000000002,-0.175,0.325,0.175,1.0,1.0,1.0,ranked_minus_random_correct_to_wrong,0.17500000000000002,0.05,0.30701754385964913,True,10,10000
Qwen3-8B,broad_aggregation,15,clean_correct_only,discovery_only_unfrozen,40,10,3,0.375,0.07499999999999998,0.30000000000000004,0.425,0.10833333333333332,0.31666666666666665,0.275,0.09999999999999999,0.17500000000000002,-0.17500000000000002,0.3166666666666667,0.17500000000000002,1.0,1.0,2.3333333333333335,ranked_minus_random_correct_to_wrong,0.17500000000000002,0.051282051282051294,0.30703441295546535,True,10,10000
Qwen3-8B,broad_aggregation,16,clean_correct_only,discovery_only_unfrozen,40,10,3,0.65,0.049999999999999996,0.6,0.7,0.08333333333333333,0.6166666666666668,0.4,0.08333333333333333,0.31666666666666665,-0.3166666666666667,0.6166666666666667,0.3166666666666667,1.0,1.0,1.6666666666666667,ranked_minus_random_correct_to_wrong,0.31666666666666665,0.17073170731707318,0.46491228070175444,True,10,10000
Qwen3-8B,broad_aggregation,17,clean_correct_only,discovery_only_unfrozen,40,10,3,0.6,0.008333333333333331,0.5916666666666667,0.6,0.09166666666666665,0.5083333333333333,0.375,0.09166666666666665,0.2833333333333333,-0.2833333333333333,0.5083333333333334,0.2833333333333333,1.0,1.0,1.6666666666666667,ranked_minus_random_correct_to_wrong,0.2833333333333333,0.13178294573643412,0.4385964912280702,True,10,10000
Qwen3-8B,broad_aggregation,18,clean_correct_only,discovery_only_unfrozen,40,10,3,0.925,-0.05,0.975,0.925,0.08333333333333333,0.8416666666666666,0.55,0.07499999999999998,0.475,-0.475,0.8416666666666668,0.475,1.0,1.0,1.3333333333333333,ranked_minus_random_correct_to_wrong,0.475,0.33333333333333337,0.6016260162601627,True,10,10000
Qwen3-8B,broad_aggregation,19,clean_correct_only,discovery_only_unfrozen,40,10,3,0.875,0.11666666666666665,0.7583333333333334,0.875,0.1833333333333333,0.6916666666666667,0.6,0.15,0.45,-0.45,0.6916666666666668,0.45,1.0,1.0,3.3333333333333335,ranked_minus_random_correct_to_wrong,0.45,0.3252032520325203,0.5648148148148148,True,10,10000
