model_label,mode,layer,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,non_thinking,28,0.2742130724563562,0.2713872809503489,0.27280017670335255,494,5,16,16,0.3032869907869908,0.2651846554979548,0.41701446162471384,-3.7984888388737215,1.3786413669586182,3.3059797532856465,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,29,0.26690271528132314,0.2704455052587481,0.2686741102700356,494,5,16,16,0.2824671855921856,0.24018465549795476,0.4034880374134735,-3.9416933668498815,1.3257653713226318,3.285761282593012,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,30,0.2577419171926313,0.26408741380128575,0.2609146654969585,494,5,16,16,0.2665762138188609,0.18286860198624905,0.40271902461593856,-3.949978536541466,1.2514088153839111,3.1073993004858496,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,31,0.2343483215409711,0.23371927316998725,0.2340337973554792,494,5,16,16,0.27413340336134456,0.25955716278606306,0.40638396760175943,-3.9106343389202927,1.1972579956054688,2.9461250714957714,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,32,0.25145114281836545,0.23657277789955308,0.24401196035895928,494,5,16,16,0.291915580334698,0.24527144850034874,0.39199339506010517,-4.067212506150427,1.1940126419067383,3.0460019402205942,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,33,0.23483337412279787,0.24072428570131557,0.23777882991205673,494,5,16,16,0.2096113445378151,0.19590626764539806,0.3613383888393469,-4.420858962359135,1.084140419960022,3.0003466375172136,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,34,0.24365294165204282,0.2530029408322627,0.24832794124215277,494,5,16,16,0.25895483193277313,0.2684757120898425,0.3309884737901479,-4.801871296577993,1.0392447710037231,3.139821635186672,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,35,0.24317742246434942,0.23917275141383798,0.2411750869390937,494,5,16,16,0.2551913772502008,0.2181284898676203,0.31116648480639925,-5.0700718625652685,1.0955240726470947,3.5207007378339767,256,10,4,47,16,0.1
Gemma4-E4B,non_thinking,0,0.09104228907009174,0.06869792994554684,0.07987010950781928,296,5,16,16,0.09282379782379782,0.09748917748917749,0.2092822697399985,-6.792675632535171,3.4232940673828125,16.35730571746826,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,1,0.0770863396146051,0.09084833188684749,0.08396733575072629,296,5,16,16,0.13977886977886977,0.1006838656838657,0.18022927084044044,-7.441746743328514,2.961308002471924,16.430782794952393,212,10,2,44,16,0.1
