model_label,role,site,population,observations,samples,mean_noise_total_rms,rms_noise_total,parallel_energy_share,orthogonal_energy_share,first_count_axis_energy_share,parallel_plus_orthogonal_error
Gemma4-E4B,trace_running,item_end,correct_only_confirmation,5121,1198,0.8118925291580311,0.8382296737844688,0.11130865070853042,0.8886913492914695,0.04549525021253145,0.0
Gemma4-E4B,trace_running,item_middle,all_confirmation,5122,1199,0.7353924811892059,0.748980085334082,0.16545083528075707,0.8345491647192429,0.02831199703807537,0.0
Gemma4-E4B,trace_running,item_middle,correct_only_confirmation,5121,1198,0.7353497309137319,0.7489344905919303,0.1654977240833292,0.8345022759166708,0.028318366854371693,0.0
Gemma4-E4B,trace_running,item_span_mean,all_confirmation,5122,1199,0.1872037179069112,0.21810034225471414,0.04217191501269448,0.9578280849873055,0.02652175496997038,0.0
Gemma4-E4B,trace_running,item_span_mean,correct_only_confirmation,5121,1198,0.18716432252312012,0.2180539082947974,0.04219811540615522,0.9578018845938447,0.02653823278071493,0.0
Gemma4-E4B,trace_running,item_start,all_confirmation,5122,1199,0.5893060673681597,0.619767334273619,0.17379057655873253,0.8262094234412675,0.09714180500011547,0.0
Gemma4-E4B,trace_running,item_start,correct_only_confirmation,5121,1198,0.5892471712209181,0.6197028008288787,0.17382413140429048,0.8261758685957096,0.09717291969649576,0.0
Gemma4-E4B,trace_running,marker_end,all_confirmation,5122,1199,0.7207969116309515,0.7604597663004345,0.1535476325695868,0.8464523674304132,0.06519009763088997,0.0
Gemma4-E4B,trace_running,marker_end,correct_only_confirmation,5121,1198,0.7207358702474623,0.7603969034089709,0.1535829702635066,0.8464170297364935,0.06520610230729765,0.0
Gemma4-E4B,trace_running,marker_middle,all_confirmation,5122,1199,0.5828972159554863,0.6121442074571735,0.16676809820257962,0.8332319017974203,0.08802872230163052,0.0
Gemma4-E4B,trace_running,marker_middle,correct_only_confirmation,5121,1198,0.5828373201738131,0.6120777385667109,0.1668018452748205,0.8331981547251796,0.08805797267751826,0.0
Gemma4-E4B,trace_running,marker_span_mean,all_confirmation,5122,1199,0.5510851804780958,0.5768184838503408,0.19714892681386212,0.8028510731861379,0.10471325559520833,0.0
Gemma4-E4B,trace_running,marker_span_mean,correct_only_confirmation,5121,1198,0.5510202326127444,0.5767426167235379,0.19720216630364762,0.8027978336963524,0.10475383841035966,0.0
Gemma4-E4B,trace_running,marker_start,all_confirmation,5122,1199,0.5893060673681597,0.619767334273619,0.17379057655873253,0.8262094234412675,0.09714180500011547,0.0
Gemma4-E4B,trace_running,marker_start,correct_only_confirmation,5121,1198,0.5892471712209181,0.6197028008288787,0.17382413140429048,0.8261758685957096,0.09717291969649576,0.0
Qwen3-8B,prompt_running,needle_span_end,all_confirmation,3000,300,0.1151621481538969,0.11926189307382588,0.13319342682169424,0.8668065731783058,0.10408770698495214,0.0
Qwen3-8B,prompt_running,needle_span_end,correct_only_confirmation,2930,293,0.11490521451858773,0.11887058678318901,0.13257328531947515,0.8674267146805249,0.10321714211550255,0.0
Qwen3-8B,trace_running,all_sites,all_confirmation,144612,2278,0.8172491566488037,0.9700386434100854,0.07172386572931738,0.9282761342706827,0.021505122113497806,0.0
Qwen3-8B,trace_running,all_sites,correct_only_confirmation,142524,2226,0.8174856400851827,0.9706971370017216,0.07192768593405509,0.9280723140659448,0.021505454378911725,0.0
Qwen3-8B,trace_running,city_end,all_confirmation,12051,2278,1.091517839839261,1.1005268562096644,0.048124971081345336,0.9518750289186547,0.007262436318253913,0.0
Qwen3-8B,trace_running,city_end,correct_only_confirmation,11877,2226,1.0922176307715463,1.1011842694502119,0.04832735186736805,0.951672648132632,0.007226760275752871,0.0
Qwen3-8B,trace_running,city_middle,all_confirmation,12051,2278,0.6152252787547636,0.6219658227366968,0.02526270423865127,0.9747372957613487,0.005451610677762083,0.0
Qwen3-8B,trace_running,city_middle,correct_only_confirmation,11877,2226,0.6155636876074028,0.6222900501888865,0.02519491765053439,0.9748050823494656,0.00541139416446072,0.0
