family,target,candidate,label,formula,k,cells,moderate_cells,strong_cells,median_cell_cv_r2,mean_cell_cv_r2,q25_cell_cv_r2,min_cell_cv_r2,median_cell_cv_rmse,median_cell_cv_mae,median_cell_cv_median_ae,median_cell_cv_nrmse_sd,median_request_oof_r2,median_request_oof_rmse,median_request_oof_mae,median_leave_N_out_r2,median_leave_L_out_r2,min_leave_N_out_r2,min_leave_L_out_r2,moderate_fraction,strong_fraction,selected
Direct,absolute_error,constant,constant,b=\alpha,1,7,0,0,-2.220446049250313e-16,-0.005709788264125778,-0.005284222161885066,-0.029400073525110093,3.1941628011108016,2.30664,1.8179999999999998,0.9899494936611667,-0.004180922830998579,3.2578240863769454,2.321706666666667,-0.2052224168600958,-0.024512833691866964,-0.2616788429036421,-0.15596451550722512,0.0,0.0,False
Direct,absolute_error,density,N/L,b=\alpha+\beta_DN/L_k,2,7,0,0,0.28406668921764955,0.2426196487295368,0.11525167900120892,0.016855677697125704,2.8798983989179594,1.851905952992689,1.1748613907367536,0.8374499548563084,0.17720913535883798,2.953688986347222,1.914549097545067,0.14513984686530723,0.0018931757231948065,-0.10260165173463864,-0.3449838286366942,0.0,0.0,False
Direct,absolute_error,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,7,0,0,0.08490554126162853,0.06737749740455538,0.04423478576475781,1.94525836411108e-05,3.067695198674538,2.2279013514313757,1.8167847336812737,0.9469913249674488,0.06141842153386867,3.134404938047887,2.2544800026705447,-0.2487554938539971,-0.12734052713389565,-0.3933965998292739,-0.4713737598686123,0.0,0.0,False
Direct,absolute_error,lnL,ln L,b=\alpha+\beta_L\ln L_k,2,7,0,0,0.02148056198190229,0.05674833263782903,0.0039008481080869406,0.00017369652687848625,3.111828978136694,2.2576324799519822,1.5689022517905908,0.9792594391976703,0.021443556547022458,3.1908372435882404,2.2856799124707106,-0.1809553229272487,0.0012787459169063542,-0.23347914303864203,-0.02028035540732387,0.0,0.0,False
Direct,absolute_error,lnN,ln N,b=\alpha+\beta_N\ln N,2,7,6,0,0.6427968787380907,0.5922319650531431,0.5657415589885013,0.3409728537759663,2.0101770409667705,1.54147111768841,1.2280486361433187,0.5916578900316221,0.46639397259595916,2.1380669461807527,1.5970659843222883,0.3075331440192356,0.6008009765750474,0.2266998519845549,0.16174542642503764,0.8571428571428571,0.0,False
Direct,absolute_error,lnN_L,ln N + L,b=\alpha+\beta_N\ln N+\beta_LL_k,3,7,7,0,0.652883522259616,0.651498952703901,0.6218880339458042,0.5985655316176411,1.905061436143061,1.531091113422828,1.3509008221220533,0.5832445012047489,0.47111332614580537,2.12859113178676,1.5815478691145526,0.33503937725248367,0.6042466270901722,0.2516445603803682,0.43615270428515074,1.0,0.0,False
Direct,absolute_error,lnN_L_piece5,ln N + segmented L at 5k,b=\alpha+\beta_N\ln N+\beta_LL_k+\beta_H(L_k-5)_+,4,7,7,0,0.6596614026824066,0.6554254049864395,0.6262222452591486,0.605585597160407,1.8988783713980353,1.5275211652802023,1.3886824209255102,0.5775221427540606,0.4751293096392979,2.120494240007797,1.5835690153105864,0.3364345354939351,0.5984167199438497,0.23702154313955004,0.3786766373838537,1.0,0.0,False
Direct,absolute_error,lnN_lnL,ln N + ln L,b=\alpha+\beta_N\ln N+\beta_L\ln L_k,3,7,7,0,0.64876048987014,0.6542991862873945,0.628113998370254,0.6090088521509244,1.8978607979558237,1.5246785764588546,1.359751483878349,0.586698150608354,0.467848924700895,2.135150085952084,1.5792746652045186,0.33528300666406285,0.6115892020060882,0.2416542225401891,0.5427118070491019,1.0,0.0,False
Direct,absolute_error,lnN_lnL_interaction,ln N + ln L + interaction,b=\alpha+\beta_N\ln N+\beta_L\ln L_k+\beta_{NL}\ln N\ln L_k,4,7,7,0,0.699765864906521,0.6864760940644038,0.6691517012925483,0.6301538860815987,1.6764851673451453,1.3312561415171822,1.1466978529334202,0.5423162433918731,0.4672695928184639,2.133493743542185,1.5066463648081525,0.3799662973707493,0.6774160895933249,0.30505051194403243,0.5632003082486479,1.0,0.0,False
Direct,absolute_error,ln_density,ln(N/L),b=\alpha+\beta_R\ln(N/L_k),2,7,0,0,0.25530966260340215,0.22049220663137012,0.1337838626719085,0.01195821944060127,2.8401568894097835,1.9491424226645082,1.515631882047491,0.8542812948020493,0.1991967716105889,2.913955670957258,2.00156525218584,0.009842922407500176,0.0390237057510151,-0.17574123443658451,-0.3449841975074719,0.0,0.0,False
Direct,absolute_error,ln_product,ln(NL),b=\alpha+\beta_P\ln(NL_k),2,7,4,0,0.515035382279581,0.5024341336846049,0.4584447131247527,0.4191244401485731,2.195432261136096,1.6901794838687174,1.3865988699804264,0.6893948979837394,0.33430042822853956,2.421655299423613,1.7802794682906276,0.23218168695506103,0.4011609996077953,0.13716772942908972,0.2271034855174059,0.5714285714285714,0.0,False
Direct,absolute_error,product,NL,b=\alpha+\beta_PNL_k,2,7,5,1,0.5665216610399502,0.5977755444834815,0.5065335315115336,0.4037020063483501,1.6765051316369568,1.11704883196883,0.5360280080532593,0.6516378152367918,0.3992445332902622,1.8850033498643042,1.2654718641515492,0.5168718616468619,0.15432512876464022,0.27671211989387545,-0.6280258597861259,0.7142857142857143,0.14285714285714285,False
Direct,signed_error,L,L,b=\alpha+\beta_LL_k,2,7,0,0,0.03951862296606423,0.06311684748858236,0.00520653680384342,-0.016022776677597328,3.138795602593833,2.256529527462525,1.4198899082568825,0.9701916045262693,0.002681294420725844,3.205612530476626,2.292434862385322,-0.1828457556342833,-0.05788150299204253,-0.23349900525569312,-0.4428520867946413,0.0,0.0,False
