family,model,mode,target,candidate,term,estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_sign_stability
Enumerate,Gemma4-E4B,enumeration_bullet,signed_error,N_L_interaction,N,0.05654240638991,0.03811207896955237,0.07707855346751456,1.0
Enumerate,Gemma4-E4B,enumeration_bullet,signed_error,N_L_interaction,Lk,0.028319269422207225,0.015627109736988682,0.045561187032580885,1.0
Enumerate,Gemma4-E4B,enumeration_bullet,signed_error,N_L_interaction,NLk,-0.012531491977136967,-0.015096897581776908,-0.009851996726638206,1.0
Enumerate,Gemma4-E4B,enumeration_index,signed_error,N_L_interaction,intercept,-0.23432452940914605,-0.6048879799557682,0.007783243201641842,0.9625
Enumerate,Gemma4-E4B,enumeration_index,signed_error,N_L_interaction,N,0.038525279564577866,0.018928391903901186,0.06247281438162667,1.0
Enumerate,Gemma4-E4B,enumeration_index,signed_error,N_L_interaction,Lk,0.04781429143502401,-0.0046554462029844874,0.12566149085875827,0.9425
Enumerate,Gemma4-E4B,enumeration_index,signed_error,N_L_interaction,NLk,-0.009031808851064436,-0.014274584185645995,-0.004723414758508404,1.0
Enumerate,Qwen3-1.7B,enumeration_bullet,signed_error,N_L_interaction,intercept,-2.9693037857677416,-4.1268380889761795,-1.7890210474160095,1.0
Enumerate,Qwen3-1.7B,enumeration_bullet,signed_error,N_L_interaction,N,0.6947135477256835,0.4739555084348627,0.9187219371155199,1.0
Enumerate,Qwen3-1.7B,enumeration_bullet,signed_error,N_L_interaction,Lk,0.028022034405632404,-0.08112289826895988,0.1441162635228333,0.6875
Enumerate,Qwen3-1.7B,enumeration_bullet,signed_error,N_L_interaction,NLk,-0.008614310916457146,-0.030229902744225285,0.011395142575299088,0.7975
Enumerate,Qwen3-1.7B,enumeration_index,signed_error,N_L_interaction,intercept,-1.6950299002585285,-10.83612747229378,9.344708823293164,0.66
Enumerate,Qwen3-1.7B,enumeration_index,signed_error,N_L_interaction,N,0.07834835919509647,-0.22402952098523246,0.37706345781923084,0.71
Enumerate,Qwen3-1.7B,enumeration_index,signed_error,N_L_interaction,Lk,3.659032900219802,2.9518416315140423,4.415289544911256,1.0
Enumerate,Qwen3-1.7B,enumeration_index,signed_error,N_L_interaction,NLk,-0.14568443976172263,-0.1874115047474896,-0.10608485051006426,1.0
Enumerate,Qwen3-32B,enumeration_bullet,signed_error,N_L_interaction,intercept,-0.04725738701069409,-0.1468239161047709,0.05464996554672434,0.83
Enumerate,Qwen3-32B,enumeration_bullet,signed_error,N_L_interaction,N,0.01317704894770198,-0.00708817933981989,0.03388892155837032,0.9175
Enumerate,Qwen3-32B,enumeration_bullet,signed_error,N_L_interaction,Lk,-0.021301504038789637,-0.032304034219978975,-0.009879559346818742,1.0
Enumerate,Qwen3-32B,enumeration_bullet,signed_error,N_L_interaction,NLk,0.004331371961888536,0.002147674674497717,0.006280593065331339,1.0
Enumerate,Qwen3-32B,enumeration_index,signed_error,N_L_interaction,intercept,-0.12318100536220401,-0.3566185252795635,0.0024883772808008166,0.95
Enumerate,Qwen3-32B,enumeration_index,signed_error,N_L_interaction,N,0.007041263358911713,-3.6389392960952765e-05,0.01781029713995719,0.9675
Enumerate,Qwen3-32B,enumeration_index,signed_error,N_L_interaction,Lk,0.02818632667958211,0.0013947263039031333,0.07929559587330326,0.9975
Enumerate,Qwen3-32B,enumeration_index,signed_error,N_L_interaction,NLk,-0.0018114726400107698,-0.004192656942785901,-0.000371109275206509,0.9975
Enumerate,Qwen3-4B,enumeration_bullet,signed_error,N_L_interaction,intercept,0.23045207413794289,0.06044852199992292,0.3820495726668622,0.9925
Enumerate,Qwen3-4B,enumeration_bullet,signed_error,N_L_interaction,N,-0.012047782557276142,-0.039172901863397315,0.0194026179378301,0.765
Enumerate,Qwen3-4B,enumeration_bullet,signed_error,N_L_interaction,Lk,-0.009212352832003131,-0.02254524123691984,0.005942390490380614,0.865
