model,mode,target,candidate,label,formula,k,parsed_n,seed_cv_mse,seed_cv_rmse,seed_cv_mae,seed_cv_se,request_oof_r2,request_oof_rmse,request_oof_mae,request_oof_median_ae,request_oof_nrmse_sd,cell_crossfit_r2,cell_crossfit_rmse,cell_crossfit_mae,cell_crossfit_median_ae,cell_crossfit_nrmse_sd,cell_fit_r2,cell_adjusted_r2,cell_fit_rmse,cell_fit_mae,cell_fit_median_ae,cell_fit_nrmse_sd,cell_sse_deviance,cell_log_likelihood,cell_aic,cell_aicc,cell_bic,leave_N_out_r2,leave_N_out_rmse,leave_N_out_mae,leave_L_out_r2,leave_L_out_rmse,leave_L_out_mae,residual_spearman_N,residual_spearman_L,abs_residual_spearman_fitted,max_abs_cell_residual,family,bootstrap_valid_reps,minimum_slope_sign_stability,slopes_ci_excluding_zero,slope_terms,numeric_formula
Qwen3-1.7B,direct,signed_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,500,136.33563618697275,11.67628520493452,5.379833313077604,42.34039053514496,0.039456965202818495,11.676285204934517,5.379833313077604,2.9813072517695995,0.9790924107190225,0.5836630377840024,3.207494256569616,2.2564802368787364,1.384285881839821,0.6387567791982153,0.5836630377840025,0.5565106272046982,3.2074942565696154,2.2564802368787364,1.3842858818397938,0.6387567791982152,514.4009702963535,-129.22142800427534,268.4428560085507,269.80649237218705,278.0029710356914,0.19785216970108388,4.452158420917932,2.8867323316313707,0.3660024946280277,3.9581037828416945,2.5791993392855495,0.22750566403329506,-0.11465905406670591,0.09867947178871549,8.17802907399561,Direct,400,0.47,1,3,\bar b=-0.0284 - 0.339N + 3.02\ln L_k + 0.0119N\ln L_k
Qwen3-32B,direct,signed_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,500,2.9791894485296972,1.7260328642669864,1.0059497820056273,0.261615643012566,0.6547350044074178,1.7260328642669864,1.0059497820056273,0.5674429651389354,0.5870046555193553,0.9200577718745007,0.716818659805644,0.5000173793766501,0.35121576686583367,0.2798988809605879,0.9200577718745007,0.9148441483010985,0.716818659805644,0.5000173793766505,0.35121576686583283,0.2798988809605879,25.691449552277977,-54.30030738196774,118.60061476393548,119.96425112757184,128.16072979107622,0.8889485074856098,0.8448573325374009,0.5948817434446754,0.857689890559303,0.956398869546863,0.6529375395549363,-0.2892675410137018,-0.04115966043420212,0.20777911164465784,2.9260631275346336,Direct,400,0.7575,1,3,\bar b=-0.755 + 0.212N - 0.0947\ln L_k + 0.0367N\ln L_k
Qwen3-4B,direct,signed_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,448,5.6523178413505,2.377460376399678,1.2867400560397977,1.1675654106372213,0.27897279501317573,2.3413081195794225,1.2739193222427478,0.6239424899550786,0.8481849852841109,0.7477618230502564,1.0448284345545893,0.5686662675008936,0.2606951084942527,0.4970819440020027,0.756263799103098,0.7400147190433046,1.0270689324309565,0.5571463077029876,0.2601310458359877,0.4886327790021178,51.68865900627838,-70.83673152214399,151.67346304428798,153.06881188149728,161.13256453484112,0.6773160492945576,1.1817571987800741,0.6176552579606566,0.22470998874023274,1.831773062340723,0.8314186602836446,0.19513176847910513,-0.008070377559267011,-0.5064285714285713,3.8191702229476823,Direct,400,0.74,0,3,\bar b=0.364 - 0.169N + 0.156\ln L_k - 0.026N\ln L_k
Qwen3-8B,direct,signed_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,486,4.997324568751617,2.235469652836204,1.2081891819514212,0.7353464712839242,-0.04222251407867428,2.245531703148035,1.2122620224406722,0.4687598817540468,1.0198421560756181,0.11393138037260431,1.1488254169871506,0.6837869649455118,0.31833580522287125,0.9318515156583949,0.1052455947931975,0.04689204662753643,1.154442429274722,0.6859815509217522,0.318604508814347,0.9364076660849516,66.63686612548608,-78.12780077013764,166.25560154027528,167.61923790391165,175.81571656741602,-0.2013905686755677,1.3377115182058759,0.7710910344351979,-1.739941080587582,2.020184196297773,1.0204909614427689,-0.1054294540642099,-0.06271948256640324,-0.5628331332533013,3.8807642082309415,Direct,400,0.6125,1,3,\bar b=0.589 - 0.0197N - 0.37\ln L_k - 0.00646N\ln L_k
GLM-4-9B-0414,enumeration_bullet,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,474,2.0432450769488844,1.42942123845593,0.803098586451819,0.4213040071093531,0.7535232996277474,1.4330052583834192,0.8043601208283809,0.48767076983278923,0.4959402255650297,0.9265107777865783,0.87834894087459,0.5744108743789053,0.3857711241234342,0.2683643750000235,0.9268129569450447,0.9220398889197216,0.8765412462157103,0.5733373331266558,0.3857854776075756,0.2678120650640224,38.416227815869526,-64.35835076691293,138.71670153382587,140.08033789746224,148.2768165609666,0.8038644884222197,1.434938779847037,0.8902862373685548,0.7860708186865322,1.4986156756842093,0.8510526860771577,-0.5179794917067704,0.024499797877501263,0.11980792316926771,3.45806715092988,Enumerate,400,1.0,3,3,\overline{|b|}=-0.375 + 0.0869N - 0.0891L_k + 0.026NL_k
GLM-4-9B-0414,enumeration_index,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,489,127.14219033425839,11.275734580693996,3.4097404749112963,54.83137254207473,0.11105074400321358,11.358602784131252,3.423315242736074,0.810325655800169,0.9418765120002376,0.39429047721722776,5.686542348503501,2.7502573172170304,0.7388065350767621,0.770451382195604,0.4012475283596848,0.36219845412227303,5.653790822815655,2.741412458554675,0.7385188190743592,0.7660139830365428,1598.267533407726,-157.56323977366353,325.12647954732705,326.4901159109634,334.6865945744678,-0.5622229452064953,9.132455886779926,3.8855363013817983,0.1825333055160696,6.6061907679551535,2.7577882540513396,0.04849272372289746,-0.6369947448150329,0.6198799519807922,27.171152310570378,Enumerate,400,0.86,1,3,\overline{|b|}=-0.93 - 0.0971N + 0.166L_k + 0.0405NL_k
Gemma4-12B,enumeration_bullet,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.21903651754403114,0.46801337325340514,0.24862633806913875,0.0722121722043961,0.6394484356579856,0.4680133732534052,0.24862633806913875,0.15620724824222756,0.5998587010399452,0.9239685328110849,0.1822175783157815,0.12706483348786196,0.09504076068983539,0.27296673395330934,0.9239685328110849,0.9190099588639817,0.1822175783157815,0.12706483348786188,0.09504076068983433,0.27296673395330934,1.6601622923633985,14.180764373630128,-18.361528747260255,-16.997892383623892,-8.801413720119527,0.8576400283849037,0.24933746017034633,0.1604696448497171,0.8863945660713206,0.22273739564426537,0.1444348328861262,-0.3915606497625004,-0.17345856897270898,0.2703001200480192,0.8498601305256022,Enumerate,400,0.955,2,3,\overline{|b|}=-0.194 + 0.04N - 0.00441L_k + 0.00333NL_k
Gemma4-12B,enumeration_index,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.1844263858032523,0.4294489327070825,0.13618215792013122,0.08409134572978559,0.14584196723145915,0.4294489327070825,0.1361821579201312,0.02980180247350054,0.9232820352974511,0.7493797922378546,0.12596931798921515,0.06925996818032591,0.026657473113818282,0.49558834087062886,0.7493797922378544,0.7330349960794537,0.12596931798921515,0.06925996818032594,0.026657473113818428,0.49558834087062886,0.7934134537334002,32.63891882504903,-55.277837650098064,-53.9142012864617,-45.71772262295734,0.5220854220499718,0.17395298047887534,0.08907223459246115,-0.24570929347770964,0.280843959568004,0.1269737450426793,0.10977208603939474,-0.5203757069181268,0.38765906362545016,0.5258230003571593,Enumerate,400,0.72,2,3,\overline{|b|}=0.018 - 0.0115N - 0.00294L_k + 0.00261NL_k
Gemma4-E4B,enumeration_bullet,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.6764750890029951,0.8224810569265381,0.375410970345063,0.2023235084498439,0.5894886478641728,0.8224810569265382,0.37541097034506293,0.0902769343172401,0.6400705659781237,0.9445393825476246,0.24320333291934773,0.1561181248278836,0.08068177800546245,0.23313387806864933,0.9445393825476246,0.9409223857572523,0.24320333291934773,0.15611812482788395,0.08068177800546217,0.23313387806864933,2.957393057153954,-0.25405543293750554,10.508110865875011,11.871747229511374,20.06822589301574,0.9047755670157438,0.3186774767484855,0.200511809120592,0.9024774939500834,0.3224999106079555,0.19638025939985743,-0.19758975487091057,-0.09799919151000505,0.6444657863145258,0.8005296304179719,Enumerate,400,0.99,3,3,\overline{|b|}=0.0052 - 0.019N - 0.0196L_k + 0.0109NL_k
Gemma4-E4B,enumeration_index,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,1.9782701661449131,1.4065099239411407,0.4363467195898905,1.427672122377054,0.09402607541321406,1.4065099239411405,0.43634671958989046,0.1374941826276127,0.9508743222622075,0.6941507173208964,0.39369978774854175,0.26403819130526796,0.13432271354717232,0.5474781247004501,0.6941507173208964,0.6742040249722592,0.39369978774854175,0.264038191305268,0.1343227135471724,0.5474781247004501,7.749976143662342,-24.338595652615,58.67719130523,60.04082766886636,68.23730633237072,0.6193884521627939,0.43918998469811515,0.28253943878409965,0.04664820303613482,0.695085201304513,0.3970291300842645,0.11266717402285131,-0.42531649115342196,0.5894357743097238,1.3475510034741887,Enumerate,400,0.705,0,3,\overline{|b|}=-0.105 - 0.0209N + 0.03L_k + 0.00499NL_k
Qwen3-1.7B,enumeration_bullet,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,348,28.94947001684149,5.380471170524148,3.37403892544717,3.3672100331644677,0.554664652899713,5.25128001336832,3.26089026055796,1.8280141707145101,0.666375005403872,0.8063765913108185,2.7862029752936923,2.1462795387125775,1.7185317020014814,0.4356041098467711,0.8109013744443534,0.7985688553863765,2.753455151331667,2.1209971049563743,1.6975635263307995,0.43048420765985557,379.07576351974467,-121.58975374578907,253.17950749157814,254.5431438552145,262.7396225187189,0.3377363988048542,5.152870927304093,3.396754706373498,0.7164314624338811,3.3718080457394484,2.439389520115604,-0.4398121161534432,0.0989791834251051,0.39025210084033607,7.4910269126168325,Enumerate,400,0.64,1,3,\overline{|b|}=-2.74 + 0.682N + 0.0195L_k - 0.00359NL_k
Qwen3-1.7B,enumeration_index,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,391,790.639884478629,28.118319375073416,19.691405041282348,131.39572383033607,0.29374490250204055,28.4578126827388,19.890311495736636,11.523514097434706,0.8393144931884743,0.7644791810054898,10.469085265517673,7.527918109401727,5.988018974021355,0.480427312519407,0.7640443236564729,0.748655909981895,10.478745683652614,7.533411989523099,5.916911875858315,0.48087063002085767,5490.205555133413,-188.4143759130089,386.8287518260178,388.1923881896542,396.38886685315856,0.6860211646195796,12.087716692491822,8.756708578232983,0.19063924750704975,19.407301635675918,13.502506211330932,0.07406600091009712,0.27243775239781404,0.33042016806722685,40.690979734178455,Enumerate,400,0.9325,2,3,\overline{|b|}=-1.86 + 0.21N + 3.53L_k - 0.122NL_k
Qwen3-32B,enumeration_bullet,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.3536806034926935,0.5947105207516455,0.3008344648732257,0.07389782373194945,0.47248382688303414,0.5947105207516455,0.30083446487322574,0.1381171341876566,0.7255764196628305,0.8439120044502987,0.2527472995120877,0.17978178389799424,0.1316585674412337,0.3911089817924248,0.8439120044502987,0.8337323525666225,0.2527472995120877,0.17978178389799424,0.13165856744123425,0.3911089817924248,3.194059870532648,-2.1786713821520642,14.357342764304128,15.720979127940492,23.917457791444857,0.4985618434728577,0.4530127875600471,0.26606726907182054,0.8008879199420247,0.28546349387066505,0.19381795065193713,-0.5995244699074637,0.08721928044390449,0.24840336134453783,0.8467660219755377,Enumerate,400,0.9975,3,3,\overline{|b|}=-0.137 + 0.0301N - 0.0189L_k + 0.00387NL_k
Qwen3-32B,enumeration_index,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,1.6134653091513549,1.270222543159802,0.16916318479475487,1.569426606338752,-0.014615116581912835,1.270222543159802,0.16916318479475487,0.0413558355911353,1.0062732662397174,0.09887254280613755,0.3752035925636293,0.13454439253404143,0.04087804743127692,0.9397366163186285,0.09887254280613722,0.040103360815233136,0.3752035925636294,0.1345443925340414,0.040878047431276876,0.9397366163186287,7.0388867936327,-21.932602318587136,53.86520463717427,55.22884100081064,63.425319664315,-0.1764358263016168,0.4287044559228931,0.15768722314373848,-0.03550567559567308,0.4022074572459571,0.11262048225488576,0.07889114754919138,-0.6889343163153355,0.5709003601440577,2.4902182762298857,Enumerate,400,0.54,0,3,\overline{|b|}=-0.0884 + 0.0016N + 0.0203L_k - 0.000168NL_k
Qwen3-4B,enumeration_bullet,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,487,1.0334627066900703,1.01659367826584,0.4818560612394718,0.47638525704912105,0.20232193840655588,0.9937715382497,0.47512132421164355,0.17666006382364005,0.892210804105081,0.7743238287675671,0.30106782863514947,0.20179186048206044,0.12452223514271138,0.4702793295561524,0.7761365473866821,0.7615367569988571,0.29985624391012783,0.20059049357997139,0.12449507060415038,0.46838678841428855,4.495688350594503,-10.72432135328658,31.44864270657316,32.81227907020953,41.00875773371389,0.4736822953613071,0.45977514232314565,0.294686405459452,0.6373651986343476,0.38164206572582493,0.23884703879905053,-0.36357479925575364,0.01861984638690096,0.5034813925570227,1.19566419515141,Enumerate,400,0.8275,1,3,\overline{|b|}=-0.0846 + 0.039N - 0.00939L_k + 0.00268NL_k
Qwen3-4B,enumeration_index,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,495,10.043148477397999,3.1690926899347702,0.7896354358819138,6.202975705998153,0.028728370622156385,3.183099138245078,0.7920924175959341,0.20835889142505448,0.984535151464898,0.6090696167193808,0.8547553823186369,0.49284467452122144,0.17771169724042427,0.6189602375072304,0.6091079872826555,0.5836150299315244,0.8547134333531601,0.4928071395215563,0.1801151961760527,0.6189298606974766,36.52675265771734,-63.097475065495544,136.1949501309911,137.55858649462746,145.75506515813183,-0.1986728536192921,1.4967265636763716,0.6988443253469679,0.40009668175123325,1.0588459105197525,0.5655757495044739,-0.1406530245295981,-0.30379749368101566,0.22477791116446577,2.9892475112447663,Enumerate,400,0.805,1,3,\overline{|b|}=0.334 - 0.0504N - 0.0452L_k + 0.0137NL_k
Qwen3-8B,enumeration_bullet,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.7262499884131348,0.852203020654782,0.43700077409968846,0.20185013106302413,0.513981285744119,0.852203020654782,0.43700077409968846,0.17194061663679627,0.6964529250619665,0.7746144781741888,0.48314405593636706,0.31661100652868507,0.19018688346375115,0.4699763945022079,0.7746144781741888,0.7599154224029403,0.4831440559363671,0.3166110065286851,0.1901868834637507,0.46997639450220796,11.671408939332172,-34.57490579314664,79.14981158629328,80.51344794992964,88.709926613434,0.11769341431570057,0.9559240628250018,0.5176098175558326,0.7582337376344601,0.500393294990842,0.33420880927546853,-0.48372095056920106,0.010779911066100555,0.35423769507803116,1.4652603477075055,Enumerate,400,0.9575,2,3,\overline{|b|}=-0.0685 + 0.017N - 0.0407L_k + 0.00827NL_k
Qwen3-8B,enumeration_index,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.21234522852536103,0.4608093190522095,0.14262780096709696,0.07885879541199871,0.11491843593023787,0.46080931905220957,0.14262780096709693,0.02993950199951949,0.9398464773257507,0.7664452364521998,0.1200585931414992,0.07511032287469002,0.028502815788619205,0.4784178803899832,0.7664452364521998,0.7512134040469084,0.1200585931414992,0.07511032287468988,0.028502815788619216,0.4784178803899832,0.7207032893558021,35.041842299214096,-60.08368459842819,-58.720048234791825,-50.52356957128747,0.6258674932972497,0.15195381464006402,0.08539572604415645,0.004934124560707409,0.24781340877485097,0.11669148036754244,-0.2193029147468348,-0.17541855280290905,0.3530852340936374,0.36913943775622027,Enumerate,400,0.99,3,3,\overline{|b|}=0.0667 - 0.00969N - 0.0133L_k + 0.00287NL_k
GLM-4-9B-0414,enumeration_bullet,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,474,1.9592092320516659,1.3997175543843356,0.8006556174508059,0.37237623011534376,0.7672340650959486,1.403675259564952,0.8021787400051881,0.48454215446665283,0.48194903001337813,0.9376661344490389,0.8154840094354934,0.5239169910566123,0.34813879198558956,0.24715822511084237,0.9379369138823236,0.9338893213094317,0.8137108430695955,0.5239332157085518,0.348083327980141,0.24662081095342078,33.10626680645159,-60.639416373592425,131.27883274718485,132.64246911082122,140.8389477743256,0.8331821657352682,1.3340578381960848,0.8236277681823565,0.8013452349644327,1.455804015423943,0.8110655165136038,0.5454828275496078,-0.07447938554760385,-0.0887875150060024,3.3600585461215164,Enumerate,400,1.0,3,3,\bar b=0.326 - 0.0843N + 0.108L_k - 0.0269NL_k
