population,model_label,seed,endpoint,needle_damage,control_damage,specificity,rows
clean_correct_only,Gemma4-E4B,1256,gold_centroid_distance_increase_L37,3204.6441606449503,-10.613039065336105,3215.2571997102864,3
clean_correct_only,Gemma4-E4B,1256,gold_centroid_distance_increase_L41,854.5942476565278,10.438012913219188,844.1562347433087,3
clean_correct_only,Gemma4-E4B,1257,gold_centroid_distance_increase_L37,3731.2844963901275,-11.254692470484523,3742.539188860612,3
clean_correct_only,Gemma4-E4B,1257,gold_centroid_distance_increase_L41,855.4034252400634,8.025448922411906,847.3779763176515,3
clean_correct_only,Gemma4-E4B,1258,gold_centroid_distance_increase_L37,3694.283167523758,5.65317663420574,3688.629990889552,3
clean_correct_only,Gemma4-E4B,1258,gold_centroid_distance_increase_L41,814.6782334808876,0.344624601550489,814.3336088793371,3
clean_correct_only,Gemma4-E4B,1259,gold_centroid_distance_increase_L37,3593.472993105776,-22.42487266756378,3615.8978657733396,4
clean_correct_only,Gemma4-E4B,1259,gold_centroid_distance_increase_L41,850.2434801100214,-2.723798179295521,852.9672782893169,4
clean_correct_only,Gemma4-E4B,1260,gold_centroid_distance_increase_L37,3879.8805095907337,16.791139196787892,3863.089370393946,3
clean_correct_only,Gemma4-E4B,1260,gold_centroid_distance_increase_L41,894.9695500276388,5.496885655792524,889.4726643718462,3
clean_correct_only,Gemma4-E4B,1261,gold_centroid_distance_increase_L37,2264.530326142925,-12.472303276502222,2277.002629419427,3
clean_correct_only,Gemma4-E4B,1261,gold_centroid_distance_increase_L41,759.5960760483918,-14.881932007998332,774.4780080563901,3
clean_correct_only,Gemma4-E4B,1262,gold_centroid_distance_increase_L37,4225.816263922372,-8.43859837192343,4234.254862294295,5
clean_correct_only,Gemma4-E4B,1262,gold_centroid_distance_increase_L41,931.4125754433574,-6.8213856985861865,938.2339611419435,5
clean_correct_only,Gemma4-E4B,1263,gold_centroid_distance_increase_L37,3857.396576265752,39.76484224908899,3817.6317340166634,4
clean_correct_only,Gemma4-E4B,1263,gold_centroid_distance_increase_L41,911.8315765109821,7.189530550041356,904.6420459609408,4
clean_correct_only,Qwen3-8B,1254,gold_centroid_distance_increase_L29,45378.00487277855,110.06515368035588,45267.93971909819,4
clean_correct_only,Qwen3-8B,1254,gold_centroid_distance_increase_L35,216831.32041382446,700.7130293280882,216130.60738449637,4
clean_correct_only,Qwen3-8B,1255,gold_centroid_distance_increase_L29,46653.81262633475,170.16013617369842,46483.652490161054,6
clean_correct_only,Qwen3-8B,1255,gold_centroid_distance_increase_L35,230456.78327080168,625.6523410967543,229831.13092970493,6
clean_correct_only,Qwen3-8B,1256,gold_centroid_distance_increase_L29,38790.005308036576,969.9411819864604,37820.064126050114,4
clean_correct_only,Qwen3-8B,1256,gold_centroid_distance_increase_L35,169951.1684464602,5339.133803100266,164612.03464335992,4
clean_correct_only,Qwen3-8B,1257,gold_centroid_distance_increase_L29,46257.77357231197,-104.98715470953135,46362.7607270215,4
clean_correct_only,Qwen3-8B,1257,gold_centroid_distance_increase_L35,233702.36993511242,-106.53948719724417,233808.90942230966,4
clean_correct_only,Qwen3-8B,1258,gold_centroid_distance_increase_L29,46253.350552040574,-171.2254425672652,46424.57599460784,4
clean_correct_only,Qwen3-8B,1258,gold_centroid_distance_increase_L35,236096.79651019786,-1423.2354434987712,237520.03195369663,4
clean_correct_only,Qwen3-8B,1259,gold_centroid_distance_increase_L29,43651.8275156033,721.7835486457254,42930.04396695757,4
clean_correct_only,Qwen3-8B,1259,gold_centroid_distance_increase_L35,201696.40142116923,2514.5216984166027,199181.87972275264,4
clean_correct_only,Qwen3-8B,1260,gold_centroid_distance_increase_L29,51344.61652696305,190.02589044881302,51154.59063651424,5
clean_correct_only,Qwen3-8B,1260,gold_centroid_distance_increase_L35,243584.0507828906,71.69405291544135,243512.35672997517,5
clean_correct_only,Qwen3-8B,1261,gold_centroid_distance_increase_L29,33577.39588400989,-425.3720442840902,34002.767928293986,4
clean_correct_only,Qwen3-8B,1261,gold_centroid_distance_increase_L35,112023.4434561129,1510.5663795872815,110512.87707652562,4
clean_correct_only,Qwen3-8B,1262,gold_centroid_distance_increase_L29,46841.473464638766,-445.7238991760588,47287.19736381483,5
clean_correct_only,Qwen3-8B,1262,gold_centroid_distance_increase_L35,224937.3534430273,-2049.625559523094,226986.9790025504,5
clean_correct_only,Qwen3-8B,1263,gold_centroid_distance_increase_L29,44929.829793179844,-54.652708697038406,44984.48250187688,4
clean_correct_only,Qwen3-8B,1263,gold_centroid_distance_increase_L35,244342.58373809952,13.249207166279575,244329.33453093324,4
