model_label,seed,gold_count,condition,layer,gold_centroid_squared_distance
Gemma4-E4B,1260,3,clean,37,169.48687738696503
Gemma4-E4B,1260,3,needle_corrupt,37,4263.935799905823
Gemma4-E4B,1260,3,ordinary_control,37,185.2724434915187
Gemma4-E4B,1260,4,clean,37,161.93948545473745
Gemma4-E4B,1260,4,needle_corrupt,37,4387.790427079881
Gemma4-E4B,1260,4,ordinary_control,37,151.23198981821648
Gemma4-E4B,1260,5,clean,37,172.33317682426326
Gemma4-E4B,1260,5,needle_corrupt,37,4452.085804196531
Gemma4-E4B,1260,5,ordinary_control,37,164.24747148428222
Gemma4-E4B,1260,6,clean,37,150.56421796182357
Gemma4-E4B,1260,6,needle_corrupt,37,4544.724199282387
Gemma4-E4B,1260,6,ordinary_control,37,170.13042443122808
Gemma4-E4B,1260,7,clean,37,135.51564494528333
Gemma4-E4B,1260,7,needle_corrupt,37,4570.9690361119165
Gemma4-E4B,1260,7,ordinary_control,37,163.0469125194554
Gemma4-E4B,1260,8,clean,37,110.63626061658906
Gemma4-E4B,1260,8,needle_corrupt,37,4659.039912098537
Gemma4-E4B,1260,8,ordinary_control,37,134.804178448151
Gemma4-E4B,1260,9,clean,37,108.72813011391021
Gemma4-E4B,1260,9,needle_corrupt,37,4611.695460090727
Gemma4-E4B,1260,9,ordinary_control,37,120.72136645859041
Gemma4-E4B,1260,10,clean,37,99.89407531933114
Gemma4-E4B,1260,10,needle_corrupt,37,4755.189937840376
Gemma4-E4B,1260,10,ordinary_control,37,100.82989863788423
Gemma4-E4B,1261,1,clean,37,221.7329336175162
Gemma4-E4B,1261,1,needle_corrupt,37,2682.8348439905285
Gemma4-E4B,1261,1,ordinary_control,37,192.42388739927452
Gemma4-E4B,1261,2,clean,37,335.9085582625813
Gemma4-E4B,1261,2,needle_corrupt,37,2707.7051624151836
Gemma4-E4B,1261,2,ordinary_control,37,356.7610971262552
Gemma4-E4B,1261,3,clean,37,542.1306134050454
Gemma4-E4B,1261,3,needle_corrupt,37,2502.8230773082055
Gemma4-E4B,1261,3,ordinary_control,37,513.1702109301066
Gemma4-E4B,1261,4,clean,37,533.6825391339755
Gemma4-E4B,1261,4,needle_corrupt,37,2844.6051077645825
Gemma4-E4B,1261,4,ordinary_control,37,624.9276141138939
Gemma4-E4B,1261,5,clean,37,544.3714371522453
Gemma4-E4B,1261,5,needle_corrupt,37,2733.9995425232673
Gemma4-E4B,1261,5,ordinary_control,37,610.969458233882
Gemma4-E4B,1261,6,clean,37,310.9231941913605
Gemma4-E4B,1261,6,needle_corrupt,37,2658.5878027060853
Gemma4-E4B,1261,6,ordinary_control,37,330.0191969913308
Gemma4-E4B,1261,7,clean,37,319.79159412148334
Gemma4-E4B,1261,7,needle_corrupt,37,2680.569525144694
Gemma4-E4B,1261,7,ordinary_control,37,373.7171391145122
Gemma4-E4B,1261,8,clean,37,340.7189598116367
Gemma4-E4B,1261,8,needle_corrupt,37,2531.8195024969204
Gemma4-E4B,1261,8,ordinary_control,37,378.55442188759133
Gemma4-E4B,1261,9,clean,37,382.9613164449765
Gemma4-E4B,1261,9,needle_corrupt,37,2520.4719795400797
Gemma4-E4B,1261,9,ordinary_control,37,450.9339693646562
Gemma4-E4B,1261,10,clean,37,320.6007680460302
Gemma4-E4B,1261,10,needle_corrupt,37,2600.383679974097
Gemma4-E4B,1261,10,ordinary_control,37,334.13261072734826
Gemma4-E4B,1262,1,clean,37,42.64553869050367
Gemma4-E4B,1262,1,needle_corrupt,37,4053.840888160894
Gemma4-E4B,1262,1,ordinary_control,37,75.56927648854432
Gemma4-E4B,1262,2,clean,37,148.26798700439312
Gemma4-E4B,1262,2,needle_corrupt,37,4366.156291092193
Gemma4-E4B,1262,2,ordinary_control,37,181.27652127676816
Gemma4-E4B,1262,3,clean,37,406.4394381324085
Gemma4-E4B,1262,3,needle_corrupt,37,4496.820272428456
Gemma4-E4B,1262,3,ordinary_control,37,414.4726436988137
Gemma4-E4B,1262,4,clean,37,296.05370454827414
Gemma4-E4B,1262,4,needle_corrupt,37,4680.906636747926
Gemma4-E4B,1262,4,ordinary_control,37,273.7902089537239
Gemma4-E4B,1262,5,clean,37,295.64819483827637
Gemma4-E4B,1262,5,needle_corrupt,37,4720.412094396241
Gemma4-E4B,1262,5,ordinary_control,37,201.75322093638854
Gemma4-E4B,1262,6,clean,37,258.7755580999283
Gemma4-E4B,1262,6,needle_corrupt,37,4771.365051188697
Gemma4-E4B,1262,6,ordinary_control,37,246.45745287206856
Gemma4-E4B,1262,7,clean,37,196.63274004623673
Gemma4-E4B,1262,7,needle_corrupt,37,4845.0599687001
Gemma4-E4B,1262,7,ordinary_control,37,177.9186402269085
Gemma4-E4B,1262,8,clean,37,183.0453471687781
Gemma4-E4B,1262,8,needle_corrupt,37,4838.159133987469
Gemma4-E4B,1262,8,ordinary_control,37,156.82439213148172
Gemma4-E4B,1262,9,clean,37,137.95389498917746
Gemma4-E4B,1262,9,needle_corrupt,37,4913.831960728733
Gemma4-E4B,1262,9,ordinary_control,37,112.78847140004922
Gemma4-E4B,1262,10,clean,37,150.29263567355687
Gemma4-E4B,1262,10,needle_corrupt,37,4861.195903125001
Gemma4-E4B,1262,10,ordinary_control,37,148.7525565414183
Gemma4-E4B,1263,1,clean,37,115.97775156951755
Gemma4-E4B,1263,1,needle_corrupt,37,3419.543507911628
Gemma4-E4B,1263,1,ordinary_control,37,89.02893687804468
Gemma4-E4B,1263,2,clean,37,157.9786113352053
Gemma4-E4B,1263,2,needle_corrupt,37,4065.546644362482
Gemma4-E4B,1263,2,ordinary_control,37,120.03614546869491
Gemma4-E4B,1263,3,clean,37,246.57683928142512
Gemma4-E4B,1263,3,needle_corrupt,37,4241.367923730659
Gemma4-E4B,1263,3,ordinary_control,37,438.65075852885184
Gemma4-E4B,1263,4,clean,37,211.15088938186128
Gemma4-E4B,1263,4,needle_corrupt,37,4434.812320626248
Gemma4-E4B,1263,4,ordinary_control,37,243.0276196887738
Gemma4-E4B,1263,5,clean,37,208.58113610978162
Gemma4-E4B,1263,5,needle_corrupt,37,4480.001733640258
Gemma4-E4B,1263,5,ordinary_control,37,182.84364195058572
Gemma4-E4B,1263,6,clean,37,189.406733680214
Gemma4-E4B,1263,6,needle_corrupt,37,4488.918781626399
Gemma4-E4B,1263,6,ordinary_control,37,193.29643283015903
Gemma4-E4B,1263,7,clean,37,166.57548706571686
Gemma4-E4B,1263,7,needle_corrupt,37,4541.390194094963
Gemma4-E4B,1263,7,ordinary_control,37,147.6832487502401
Gemma4-E4B,1263,8,clean,37,170.98902811073935
Gemma4-E4B,1263,8,needle_corrupt,37,4561.492706698102
Gemma4-E4B,1263,8,ordinary_control,37,174.86134445193943
Gemma4-E4B,1263,9,clean,37,164.49676490990885
Gemma4-E4B,1263,9,needle_corrupt,37,4613.141270529804
Gemma4-E4B,1263,9,ordinary_control,37,171.9807804372839
Gemma4-E4B,1263,10,clean,37,158.33050048619026
Gemma4-E4B,1263,10,needle_corrupt,37,4708.934772296776
Gemma4-E4B,1263,10,ordinary_control,37,209.03945255068487
Gemma4-E4B,1254,1,clean,41,17.158334458386232
Gemma4-E4B,1254,1,needle_corrupt,41,769.5451036051126
Gemma4-E4B,1254,1,ordinary_control,41,24.520948430065822
Gemma4-E4B,1254,2,clean,41,50.94126035252667
Gemma4-E4B,1254,2,needle_corrupt,41,1000.4496424553754
Gemma4-E4B,1254,2,ordinary_control,41,47.13071707184471
Gemma4-E4B,1254,3,clean,41,103.70898424209145
Gemma4-E4B,1254,3,needle_corrupt,41,1098.7916841069734
Gemma4-E4B,1254,3,ordinary_control,41,91.97793476237456
Gemma4-E4B,1254,4,clean,41,106.37617546638543
Gemma4-E4B,1254,4,needle_corrupt,41,1131.626586373577
Gemma4-E4B,1254,4,ordinary_control,41,139.29990771583942
Gemma4-E4B,1254,5,clean,41,73.4527848330865
Gemma4-E4B,1254,5,needle_corrupt,41,1195.0509599050129
Gemma4-E4B,1254,5,ordinary_control,41,71.44458812021193
Gemma4-E4B,1254,6,clean,41,58.5123379083156
Gemma4-E4B,1254,6,needle_corrupt,41,1111.5510876825788
Gemma4-E4B,1254,6,ordinary_control,41,60.62262346538228
Gemma4-E4B,1254,7,clean,41,41.60499751692929
Gemma4-E4B,1254,7,needle_corrupt,41,1029.88800673873
Gemma4-E4B,1254,7,ordinary_control,41,81.24639588658758
Gemma4-E4B,1254,8,clean,41,38.23072339978507
Gemma4-E4B,1254,8,needle_corrupt,41,989.9718686111721
Gemma4-E4B,1254,8,ordinary_control,41,38.24785870218953
Gemma4-E4B,1254,9,clean,41,43.70087941010672
Gemma4-E4B,1254,9,needle_corrupt,41,1031.2943932559924
Gemma4-E4B,1254,9,ordinary_control,41,37.031359478293396
Gemma4-E4B,1254,10,clean,41,45.92728997287834
Gemma4-E4B,1254,10,needle_corrupt,41,1005.3517957338688
Gemma4-E4B,1254,10,ordinary_control,41,51.82464528465968
Gemma4-E4B,1255,1,clean,41,18.990576990785268
Gemma4-E4B,1255,1,needle_corrupt,41,773.2705805328166
Gemma4-E4B,1255,1,ordinary_control,41,14.248828643140708
Gemma4-E4B,1255,2,clean,41,27.60669594219544
Gemma4-E4B,1255,2,needle_corrupt,41,904.3811189582628
Gemma4-E4B,1255,2,ordinary_control,41,30.252339617375913
Gemma4-E4B,1255,3,clean,41,29.313554851625344
Gemma4-E4B,1255,3,needle_corrupt,41,1010.4983656273848
Gemma4-E4B,1255,3,ordinary_control,41,36.496510847895124
Gemma4-E4B,1255,4,clean,41,53.58957533939868
Gemma4-E4B,1255,4,needle_corrupt,41,1139.4152257253609
Gemma4-E4B,1255,4,ordinary_control,41,54.75666279351121
Gemma4-E4B,1255,5,clean,41,107.61388261343791
Gemma4-E4B,1255,5,needle_corrupt,41,1101.3422809204988
Gemma4-E4B,1255,5,ordinary_control,41,75.9610758756472
Gemma4-E4B,1255,6,clean,41,144.47996602011614
Gemma4-E4B,1255,6,needle_corrupt,41,1059.4125053695452
Gemma4-E4B,1255,6,ordinary_control,41,87.62205113160496
Gemma4-E4B,1255,7,clean,41,115.5636546723861
Gemma4-E4B,1255,7,needle_corrupt,41,1022.0124077159675
Gemma4-E4B,1255,7,ordinary_control,41,51.758715628746955
Gemma4-E4B,1255,8,clean,41,94.68309595403302
Gemma4-E4B,1255,8,needle_corrupt,41,995.5038800343557
Gemma4-E4B,1255,8,ordinary_control,41,44.89498593146551
Gemma4-E4B,1255,9,clean,41,66.14800851040353
Gemma4-E4B,1255,9,needle_corrupt,41,957.1485870186219
Gemma4-E4B,1255,9,ordinary_control,41,32.89183424928235
Gemma4-E4B,1255,10,clean,41,67.87783835728237
Gemma4-E4B,1255,10,needle_corrupt,41,1031.1632932032335
Gemma4-E4B,1255,10,ordinary_control,41,28.30190755462928
Gemma4-E4B,1256,1,clean,41,36.37199629750232
Gemma4-E4B,1256,1,needle_corrupt,41,708.9938540032675
Gemma4-E4B,1256,1,ordinary_control,41,39.136794359620566
Gemma4-E4B,1256,2,clean,41,84.7089476942792
Gemma4-E4B,1256,2,needle_corrupt,41,912.9559379335082
Gemma4-E4B,1256,2,ordinary_control,41,81.87527654828205
Gemma4-E4B,1256,3,clean,41,71.44702595441565
Gemma4-E4B,1256,3,needle_corrupt,41,1134.3609209790047
Gemma4-E4B,1256,3,ordinary_control,41,102.82993777795213
Gemma4-E4B,1256,4,clean,41,109.33214224434626
Gemma4-E4B,1256,4,needle_corrupt,41,1174.260200162445
Gemma4-E4B,1256,4,ordinary_control,41,97.30084588596044
Gemma4-E4B,1256,5,clean,41,55.023596764979345
Gemma4-E4B,1256,5,needle_corrupt,41,1174.4481204992626
Gemma4-E4B,1256,5,ordinary_control,41,73.53487499859176
Gemma4-E4B,1256,6,clean,41,47.454455838583286
Gemma4-E4B,1256,6,needle_corrupt,41,1076.8877514207286
Gemma4-E4B,1256,6,ordinary_control,41,52.4959202882187
Gemma4-E4B,1256,7,clean,41,70.95553692507164
Gemma4-E4B,1256,7,needle_corrupt,41,1053.514727151999
Gemma4-E4B,1256,7,ordinary_control,41,94.37232029759492
Gemma4-E4B,1256,8,clean,41,75.97573124875075
Gemma4-E4B,1256,8,needle_corrupt,41,1066.7329457921799
Gemma4-E4B,1256,8,ordinary_control,41,74.51364118088529
Gemma4-E4B,1256,9,clean,41,40.86288847866751
Gemma4-E4B,1256,9,needle_corrupt,41,1122.0157116928863
Gemma4-E4B,1256,9,ordinary_control,41,73.98989267403448
Gemma4-E4B,1256,10,clean,41,44.16097388376669
Gemma4-E4B,1256,10,needle_corrupt,41,1258.9332944585676
Gemma4-E4B,1256,10,ordinary_control,41,45.73532301265442
Gemma4-E4B,1257,1,clean,41,21.314302422181132
Gemma4-E4B,1257,1,needle_corrupt,41,822.4869842272401
Gemma4-E4B,1257,1,ordinary_control,41,20.991250466070653
Gemma4-E4B,1257,2,clean,41,97.8641818299985
Gemma4-E4B,1257,2,needle_corrupt,41,949.4940320096669
Gemma4-E4B,1257,2,ordinary_control,41,130.61308179860077
Gemma4-E4B,1257,3,clean,41,82.5637408476593
Gemma4-E4B,1257,3,needle_corrupt,41,995.971484583122
Gemma4-E4B,1257,3,ordinary_control,41,74.21423960240323
Gemma4-E4B,1257,4,clean,41,69.00376445694229
Gemma4-E4B,1257,4,needle_corrupt,41,1021.361179647126
Gemma4-E4B,1257,4,ordinary_control,41,70.36960687454275
Gemma4-E4B,1257,5,clean,41,91.52271900972157
Gemma4-E4B,1257,5,needle_corrupt,41,1016.7959794006234
Gemma4-E4B,1257,5,ordinary_control,41,117.87124529809212
Gemma4-E4B,1257,6,clean,41,61.01150816126772
Gemma4-E4B,1257,6,needle_corrupt,41,1052.7989128609047
Gemma4-E4B,1257,6,ordinary_control,41,80.91991081823441
Gemma4-E4B,1257,7,clean,41,34.01977579915301
Gemma4-E4B,1257,7,needle_corrupt,41,910.7685977820588
Gemma4-E4B,1257,7,ordinary_control,41,33.36172164300889
Gemma4-E4B,1257,8,clean,41,31.611245177265268
Gemma4-E4B,1257,8,needle_corrupt,41,912.4125279139844
Gemma4-E4B,1257,8,ordinary_control,41,33.93849051979937
Gemma4-E4B,1257,9,clean,41,49.12228816249237
Gemma4-E4B,1257,9,needle_corrupt,41,1064.3240685279036
Gemma4-E4B,1257,9,ordinary_control,41,39.6950970476668
Gemma4-E4B,1257,10,clean,41,46.83545398790777
Gemma4-E4B,1257,10,needle_corrupt,41,961.9792676426127
Gemma4-E4B,1257,10,ordinary_control,41,49.96949102426879
Gemma4-E4B,1258,1,clean,41,22.228908387576
Gemma4-E4B,1258,1,needle_corrupt,41,794.1691629212587
Gemma4-E4B,1258,1,ordinary_control,41,25.34028420092319
Gemma4-E4B,1258,2,clean,41,120.72362940571212
Gemma4-E4B,1258,2,needle_corrupt,41,896.3741758787276
Gemma4-E4B,1258,2,ordinary_control,41,126.26954095687798
Gemma4-E4B,1258,3,clean,41,46.32684544736277
Gemma4-E4B,1258,3,needle_corrupt,41,942.7707448833271
Gemma4-E4B,1258,3,ordinary_control,41,38.70343188750119
Gemma4-E4B,1258,4,clean,41,58.53222932770388
Gemma4-E4B,1258,4,needle_corrupt,41,1108.9348502372554
Gemma4-E4B,1258,4,ordinary_control,41,61.552073522468824
Gemma4-E4B,1258,5,clean,41,36.49376470829627
Gemma4-E4B,1258,5,needle_corrupt,41,1164.2806045407085
Gemma4-E4B,1258,5,ordinary_control,41,47.660477063914804
Gemma4-E4B,1258,6,clean,41,74.20539350158586
Gemma4-E4B,1258,6,needle_corrupt,41,1087.989382634691
Gemma4-E4B,1258,6,ordinary_control,41,136.76469570266306
Gemma4-E4B,1258,7,clean,41,79.8944182090549
Gemma4-E4B,1258,7,needle_corrupt,41,1052.9025587318918
Gemma4-E4B,1258,7,ordinary_control,41,82.54054790144583
Gemma4-E4B,1258,8,clean,41,74.4185345969081
Gemma4-E4B,1258,8,needle_corrupt,41,1097.031889162706
Gemma4-E4B,1258,8,ordinary_control,41,105.69684750316867
Gemma4-E4B,1258,9,clean,41,54.4562668362483
Gemma4-E4B,1258,9,needle_corrupt,41,1138.6328263922237
Gemma4-E4B,1258,9,ordinary_control,41,52.27645374594528
