model_label,role,layer,algorithm,rows,seeds,count_classes,count_class_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,seed_accuracy_sd,chance_accuracy,balanced_accuracy,count_mae,signed_error,pca_components
Qwen3-8B,prompt_running,5,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.33666666666666667,0.3066666666666667,0.36666666666666675,0.08502873077655144,0.1,0.3366666666666667,1.4233333333333333,-0.69,32
Qwen3-8B,prompt_running,6,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.49,0.45000000000000007,0.53,0.11551981469084378,0.1,0.48999999999999994,0.7466666666666667,0.06,32
Qwen3-8B,prompt_running,6,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.42,0.3833333333333334,0.45666666666666667,0.10305673027596214,0.1,0.42000000000000004,0.95,0.13,32
Qwen3-8B,prompt_running,6,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.45666666666666667,0.4133333333333334,0.5,0.12228664272317621,0.1,0.45666666666666667,0.8533333333333334,-0.02666666666666667,32
Qwen3-8B,prompt_running,6,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.43,0.3866666666666667,0.47000000000000003,0.11788363637137231,0.1,0.43,0.9,0.14666666666666667,32
Qwen3-8B,prompt_running,6,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.44,0.39,0.4866666666666667,0.13796551293211173,0.1,0.44000000000000006,0.87,0.07,32
Qwen3-8B,prompt_running,6,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.3566666666666667,0.32333333333333336,0.39000000000000007,0.09714309861845771,0.1,0.3566666666666667,1.3966666666666667,-0.51,32
Qwen3-8B,prompt_running,7,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.45666666666666667,0.4100000000000001,0.5033333333333333,0.13047217521658447,0.1,0.45666666666666667,0.75,0.03,32
Qwen3-8B,prompt_running,7,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.37666666666666665,0.3333333333333333,0.4233333333333334,0.12780193008453877,0.1,0.37666666666666665,1.04,0.04,32
Qwen3-8B,prompt_running,7,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.47,0.42999999999999994,0.5133333333333333,0.11788363637137231,0.1,0.47000000000000003,0.7933333333333333,-0.02,32
Qwen3-8B,prompt_running,7,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.41,0.37000000000000005,0.45000000000000007,0.11551981469084383,0.1,0.41,0.9666666666666667,0.04666666666666667,32
Qwen3-8B,prompt_running,7,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.45666666666666667,0.4033333333333334,0.51,0.15241353305225644,0.1,0.45666666666666667,0.8933333333333333,-0.02,32
Qwen3-8B,prompt_running,7,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.34,0.30333333333333334,0.38,0.11017227888394956,0.1,0.33999999999999997,1.58,-0.4866666666666667,32
Qwen3-8B,prompt_running,8,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.4766666666666667,0.4333333333333334,0.52,0.1222866427231762,0.1,0.4766666666666667,0.7733333333333333,0.08,32
Qwen3-8B,prompt_running,8,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.38333333333333336,0.35333333333333344,0.41666666666666674,0.09128709291752768,0.1,0.3833333333333333,1.0766666666666667,0.15,32
Qwen3-8B,prompt_running,8,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.4666666666666667,0.42,0.5133333333333333,0.13476245597431757,0.1,0.4666666666666666,0.8533333333333334,0.04666666666666667,32
Qwen3-8B,prompt_running,8,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.4033333333333333,0.3700000000000001,0.4366666666666668,0.09643054793328017,0.1,0.4033333333333333,1.0266666666666666,0.12,32
Qwen3-8B,prompt_running,8,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.44666666666666666,0.4033333333333333,0.49333333333333335,0.13060425438846857,0.1,0.44666666666666666,0.93,-0.0033333333333333335,32
