model_label,fixed_grammar,site,layer,states,trajectories,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,adjacent_rank_before_city,item_end,3,398,57,0.3196612312266337,0.24729009710046862,0.2834756641635512,268,5,16,16,0.21318922305764412,0.18507446500867553,0.3432408175724215,-4.644010722440681,1.9947534799575806,5.811527585983276,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,4,398,57,0.327775447448435,0.25132085414012656,0.28954815079428076,268,5,16,16,0.34976929503245296,0.22018146327356852,0.4123157990275417,-3.8477002367785156,1.8553466796875,4.49981951713562,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,5,398,57,0.3161856540861959,0.23577171781893144,0.2759786859525637,268,5,16,16,0.30332947754000383,0.2457800751879699,0.3025211045377037,-5.192443226162901,2.932985782623291,9.695144367218017,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,6,398,57,0.30959286177358936,0.2566128832324653,0.28310287250302735,268,5,16,16,0.29546365914786965,0.2329730576441103,0.29485532131282266,-5.303910300162694,3.1786751747131348,10.78045721054077,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,7,398,57,0.353831778100354,0.26519411273281246,0.30951294541658325,268,5,16,16,0.27771094402673346,0.2087218045112782,0.30997043683288766,-5.086797246579373,3.1994845867156982,10.32190237045288,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,8,398,57,0.36969238235105106,0.333681115496131,0.35168674892359103,268,5,16,16,0.33925261872630297,0.2457438467964784,0.3497736035536869,-4.562129686238848,3.307703733444214,9.456699132919312,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,9,398,57,0.4788750652082695,0.405549208774828,0.4422121369915487,268,5,16,16,0.3521557097872887,0.25778613199665834,0.3719781482890449,-4.294825718283926,3.1059517860412598,8.349823236465454,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,10,398,57,0.4779394879859275,0.4077668136530366,0.44285315081948207,268,5,16,16,0.41967836257309943,0.3502172096908939,0.40182260872146064,-3.9596563113496384,3.687499523162842,9.176933908462525,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,11,398,57,0.4695997795204452,0.39831735573221644,0.4339585676263308,268,5,16,16,0.45739155581260843,0.4244152046783626,0.4521428066031332,-3.4472437420554995,3.9426255226135254,8.719867849349976,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,12,398,57,0.45114207873882795,0.3925313424965128,0.42183671061767036,268,5,16,16,0.4589807852965748,0.33284878863826234,0.4804990811517786,-3.183074384867861,3.9918816089630127,8.307781982421876,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,13,398,57,0.5362077217301676,0.44192864482725164,0.4890681832787096,268,5,16,16,0.4897329863119337,0.41422305764411027,0.539095526786636,-2.683342717698431,4.616275310516357,8.563000583648682,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,14,398,57,0.5617944008462585,0.49685131396238214,0.5293228574043203,268,5,16,16,0.4771181158023262,0.4730704967547073,0.6257665472858229,-2.035876574210467,4.737602233886719,7.5708780765533445,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,15,398,57,0.5678301940434293,0.5514443426943428,0.559637268368886,268,5,16,16,0.4884692500481974,0.4343634727845254,0.6855429961251192,-1.6396530178723152,4.538046836853027,6.619638538360595,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,16,398,57,0.5280308213028801,0.536793195910843,0.5324120086068616,268,5,16,16,0.44096555491292333,0.374200565516355,0.6322153779662516,-1.991349446168744,4.384541988372803,6.935203003883362,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,17,398,57,0.555432400918082,0.5019392380208944,0.5286858194694881,268,5,16,16,0.5366695585116638,0.41805828674249723,0.6449870597455335,-1.9044899844610303,4.452603340148926,6.90339949131012,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,18,398,57,0.6674447407167994,0.5985332872465225,0.632989013981661,268,5,16,16,0.5396873594242015,0.48159629843840374,0.6664682247124486,-1.7622055166798754,4.5869011878967285,6.882400417327881,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,19,398,57,0.6552812642150878,0.5994191274125484,0.6273501958138181,268,5,16,16,0.5660053981106613,0.4497689737163422,0.6830680583188211,-1.6553602270240406,4.62470006942749,6.770482110977173,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,20,398,57,0.6127348860146846,0.5439386952486798,0.5783367906316822,268,5,16,16,0.5319388214125056,0.37162971531392586,0.6482039920951905,-1.8828829860529963,4.466494083404541,6.8905686140060425,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,21,398,57,0.603223795253594,0.5422979000417081,0.5727608476476511,268,5,16,16,0.49247541931752464,0.3747561210719106,0.6721335308287868,-1.7254443834319484,4.280954360961914,6.369202196598053,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,22,398,57,0.5916243584703337,0.5343998870353359,0.5630121227528349,268,5,16,16,0.5132337253389886,0.39056872951609795,0.708702842172107,-1.495358255463886,4.209588050842285,5.939849257469177,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,23,398,57,0.622026548586146,0.5312629085597351,0.5766447285729406,268,5,16,16,0.5477282950967162,0.40541610436347275,0.7250427340391262,-1.39636395345651,4.206681251525879,5.801976978778839,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,24,398,57,0.6043596555806309,0.5244977829188355,0.5644287192497333,268,5,16,16,0.5884888503309555,0.398784782468993,0.7457231434647748,-1.2742237840180526,4.1509013175964355,5.5662766456604,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,25,398,57,0.5962555749920301,0.5233802013832973,0.5598178881876636,268,5,16,16,0.5189039907460959,0.40931109825846673,0.7563274802455814,-1.2129011975171453,4.04852294921875,5.352870357036591,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,26,398,57,0.5727887923050461,0.5003438523407563,0.5365663223229011,268,5,16,16,0.5095871087976351,0.425392969603496,0.7705596123701577,-1.1319375756599506,4.0455145835876465,5.2500994324684145,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,27,398,57,0.5755996388658927,0.5167320450447385,0.5461658419553156,268,5,16,16,0.4949778291883555,0.4303720840562947,0.779302860714294,-1.0829372952220335,4.04071569442749,5.185038959980011,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,28,398,57,0.5295625281151597,0.5087761872630294,0.5191693576890946,268,5,16,16,0.5056249598354862,0.39963884069147226,0.7805384291403772,-1.0760570995869991,4.024020195007324,5.155441480875015,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,29,398,57,0.7808738774412148,0.7685350615729872,0.774704469507101,268,5,16,16,0.7997361994730415,0.6628918449971082,0.975678206500339,-0.10693395637649106,4.958968162536621,5.082585763931275,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,30,398,57,0.7820532965772904,0.7734710637516364,0.7777621801644634,268,5,16,16,0.7428626052310263,0.6401433069854122,0.9473736436555562,-0.2347870170028898,4.917733669281006,5.1909124791622165,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,31,398,57,0.7871796234238185,0.758687372497357,0.7729334979605877,268,5,16,16,0.7341324465008675,0.6345877514298567,0.9218578478494549,-0.3533604277958235,4.701845169067383,5.100401520729065,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,32,398,57,0.7586381213529046,0.7088302951634995,0.7337342082582021,268,5,16,16,0.6884412955465586,0.5827080521817364,0.8881619787311432,-0.5150782244887082,4.449105739593506,5.009340465068817,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,33,398,57,0.7123005343612928,0.6660564385448285,0.6891784864530607,268,5,16,16,0.6969645267013689,0.6159681254418097,0.8630390623501017,-0.6396954706674441,4.301465034484863,4.984090781211853,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,34,398,57,0.7512377466731182,0.6983990393278319,0.724818393000475,268,5,16,16,0.671860098965362,0.595515069725596,0.900074534725961,-0.4572152536080249,4.512921333312988,5.0139418005943295,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,35,398,57,0.6101521486912354,0.5412810605573762,0.5757166046243058,268,5,16,16,0.5158277103013945,0.46496497654392394,0.833596128102938,-0.7904431125596356,3.8832297325134277,4.658406633138656,130,8,4,19,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,0,508,111,0.10967820775080295,0.09614252557204331,0.10291036666142313,296,5,16,16,0.148982098982099,0.10745583245583246,0.20843361386406295,-6.810322415218058,1.3888734579086304,6.663385200500488,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,1,508,111,0.08977729251928018,0.09158587137369943,0.09068158194648981,296,5,16,16,0.13145431145431147,0.1097127647127647,0.23077151718917654,-6.368177946970388,1.754259467124939,7.601715707778931,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,2,508,111,0.21509945174209988,0.2258573604316974,0.22047840608689864,296,5,16,16,0.17847139347139349,0.14292324792324793,0.2271875008131244,-6.436155659064894,2.2107625007629395,9.731004095077514,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,3,508,111,0.1832216055950425,0.23280780979286356,0.20801470769395303,296,5,16,16,0.21169065169065168,0.21457119457119456,0.2307331450690458,-6.368900141194324,1.4446802139282227,6.26126000881195,212,10,2,44,16,0.1
