sweep,site_kind,layer,status,reason,confirmation_states,raw_silhouette,raw_marker_kind_nmi,raw_occurrence_nmi,raw_seed_nmi,raw_mean_trajectory_purity,centered_silhouette,centered_marker_kind_nmi,raw_vs_centered_band_nmi
selected_site_across_layers,item_end,18,ok,,519,0.5964934229850769,0.1099356919314272,0.26822284274324026,0.007302597076374661,0.8119960317460319,0.62929767370224,0.020661389956494716,0.5434425565266999
selected_site_across_layers,item_end,19,ok,,519,0.5809676647186279,0.12341032365021835,0.30696035552007644,0.001121446344823983,0.8037738095238096,0.5978142023086548,0.020661389956494716,0.6147199549079229
selected_site_across_layers,item_end,20,ok,,519,0.5515651106834412,0.11380788041822056,0.2822216786784531,0.005464574929067122,0.8090674603174604,0.5884182453155518,0.020661389956494716,0.5636924340964541
selected_site_across_layers,item_end,21,ok,,519,0.5549410581588745,0.032419495682877456,0.31218909338263906,0.001001891406330966,0.7778690476190476,0.5752290487289429,0.020178961981071067,0.6708580455723759
selected_site_across_layers,item_end,22,ok,,519,0.4923272132873535,0.10853756893457897,0.21833122170673006,0.014544993341260574,0.8224087301587302,0.5446337461471558,0.02082196373472118,0.44628094297115695
selected_site_across_layers,item_end,23,ok,,519,0.4710128903388977,0.10614976460990065,0.21650591694796956,0.017541589134324236,0.8163373015873016,0.5036283731460571,0.01901826412557054,0.4511407923724977
selected_site_across_layers,item_end,24,ok,,519,0.40017664432525635,0.11411429968922931,0.27918556681315226,0.007655293523718938,0.7970277777777778,0.4930156171321869,0.01901826412557054,0.5598908590590953
selected_site_across_layers,item_end,25,ok,,519,0.3788779675960541,0.11510866303501893,0.28079443861604875,0.00661556322447053,0.7945277777777778,0.4727543890476227,0.01901826412557054,0.5649750372848094
selected_site_across_layers,item_end,26,ok,,519,0.3471505641937256,0.038649595357874336,0.17420711956634793,0.011161894596601938,0.701686507936508,0.45589110255241394,0.01901826412557054,0.137264086952418
selected_site_across_layers,item_end,27,ok,,519,0.3362292945384979,0.04329683283211926,0.16824860709871975,0.018793749608886204,0.7185873015873016,0.448370099067688,0.01901826412557054,0.13195715177247194
selected_site_across_layers,item_end,28,ok,,519,0.3211382329463959,0.04058043270604548,0.14691541016357376,0.023249076471341935,0.7417777777777776,0.4339052438735962,0.00599690838655927,0.11204812030806896
selected_site_across_layers,item_end,29,ok,,519,0.32605716586112976,0.034446989084060166,0.017031791475512852,0.0998475773613528,0.9008849206349206,0.2915324568748474,0.0008923164341478764,0.010045379455425137
selected_site_across_layers,item_end,30,ok,,519,0.33890604972839355,0.03312730212956913,0.01397403609319146,0.09839008125056205,0.9067896825396825,0.28481432795524597,0.006909279553285008,0.014755477607667574
selected_site_across_layers,item_end,31,ok,,519,0.3675036132335663,0.0246032620638762,0.0046802462837412274,0.10008588560391667,0.911952380952381,0.4049155116081238,0.018932179289776776,0.004373404051906609
selected_site_across_layers,item_end,32,ok,,519,0.40836000442504883,0.02441051323767809,0.0025134885382368296,0.09368510064739913,0.9168492063492064,0.413152277469635,0.019194397522498498,0.0021374135032643992
selected_site_across_layers,item_end,33,ok,,519,0.39640986919403076,0.023837541336329413,0.003155550762126347,0.09651720993848767,0.9260992063492065,0.4144938588142395,0.019105680147407652,3.2941941487037205e-05
selected_site_across_layers,item_end,34,ok,,519,0.39482778310775757,0.02308551364398541,0.004082626159628313,0.10700934935242913,0.9353611111111113,0.43100598454475403,0.019105680147407652,0.0007724119845394761
selected_site_across_layers,item_end,35,ok,,519,0.38996997475624084,0.023272271242109455,0.0042646998110336095,0.11048622993943236,0.9370277777777778,0.448613703250885,0.006064408372700515,0.0010852987584053949
selected_site_across_layers,item_end,36,ok,,519,0.3919927775859833,0.021440337787941247,0.010837222018021187,0.09988488416816113,0.9079206349206349,0.4573492407798767,0.019105680147407652,0.014074953109915668
selected_site_across_layers,item_end,37,ok,,519,0.41762277483940125,0.021083056172383194,0.012993837115574922,0.10026264035507833,0.9089920634920635,0.4600779116153717,0.019105680147407652,0.018984972493726767
selected_site_across_layers,item_end,38,ok,,519,0.42365342378616333,0.020905496161303706,0.012915973544299287,0.09933340094362003,0.9123253968253969,0.46177709102630615,0.019105680147407652,0.018546075870009327
selected_site_across_layers,item_end,39,ok,,519,0.42899182438850403,0.021261333851824927,0.011875076485920651,0.10387559926498388,0.9102420634920635,0.46159034967422485,0.019105680147407652,0.01642012992275946
selected_site_across_layers,item_end,40,ok,,519,0.42160534858703613,0.02271443959278942,0.005575275295649529,0.10748913872383044,0.9289325396825399,0.449133038520813,0.019105680147407652,0.0030600224378331837
selected_site_across_layers,item_end,41,ok,,519,0.4587183892726898,0.02308551364398541,0.004644100619102499,0.10979194043581991,0.9320277777777778,0.42577293515205383,0.019105680147407652,0.0014471794260644158
