model_label,role,source_layer,target_layer,normalized_depth,rank,discovery_rows,discovery_seeds,confirmation_rows,source_centroid_capture,target_centroid_capture,map_training_r2,map_training_normalized_rmse,map_ridge,map_singular_1,map_singular_last,map_condition_number,orthogonal_factor_determinant,subspace_principal_angle_mean_degrees,subspace_principal_angle_max_degrees,cv_sample_r2,cv_sample_normalized_rmse,cv_direct_identity_r2,cv_centroid_r2,cv_centroid_normalized_rmse,cv_fold_r2_min,cv_fold_r2_max,cv_folds,confirmation_sample_r2,confirmation_sample_normalized_rmse,confirmation_centroid_r2,confirmation_centroid_normalized_rmse,proper_rotation_angle_pca_gauge_degrees,centroid_rdm_spearman,permutation_repeats,permutation_r2_mean,permutation_r2_ci95_low,permutation_r2_ci95_high,permutation_p_ge_observed,bootstrap_repeats,bootstrap_map_relative_frobenius_median,bootstrap_map_relative_frobenius_ci95_low,bootstrap_map_relative_frobenius_ci95_high,bootstrap_rotation_geodesic_degrees_median,bootstrap_rotation_geodesic_degrees_ci95_low,bootstrap_rotation_geodesic_degrees_ci95_high,bootstrap_source_basis_max_angle_degrees_median,bootstrap_source_basis_max_angle_degrees_ci95_low,bootstrap_source_basis_max_angle_degrees_ci95_high,bootstrap_target_basis_max_angle_degrees_median,bootstrap_target_basis_max_angle_degrees_ci95_low,bootstrap_target_basis_max_angle_degrees_ci95_high,bootstrap_stretch_singular_1_mean,bootstrap_stretch_singular_1_sd,bootstrap_stretch_singular_2_mean,bootstrap_stretch_singular_2_sd,bootstrap_stretch_singular_3_mean,bootstrap_stretch_singular_3_sd,full_operator_inner_product_to_next,full_operator_cosine_to_next,full_operator_relative_drift_to_next
Gemma4-E4B,prompt_running,9,10,0.24390243902439024,3,200,20,100,0.9790153646837871,0.9752609810428657,0.9986314838531383,0.0369934608662364,0.31928762281542955,1.4378956131335165,1.1941874159833474,1.2040786847092078,-1.0000000000000004,47.00072347418584,51.0573992316581,0.9665234729019254,0.18296591785924118,0.8422754368051794,0.9891340971517225,0.10423964144353838,0.9609871497068141,0.9746730739995786,5,0.9633622411522482,0.19140992358744574,0.9968919194480662,0.05575016190051624,124.25541173766796,0.9586297760210802,500.0,-0.3425306913763421,-0.8354047853289289,0.9201646722619535,0.001996007984031936,500.0,0.06948551993008813,0.029959001988934947,0.9769720951604821,34.97674106504732,7.707898719293309,140.37275278698493,35.678805436113564,22.333593135649767,76.46291626107498,35.548097321233264,20.410837081775654,79.55417946376565,1.4293108266247483,0.04855136364340507,1.2993485962441709,0.05094742636524889,1.122516639253478,0.1934356699845373,1.4548667241932265,0.25479689638272285,1.2226596370475027
Gemma4-E4B,prompt_running,10,11,0.2682926829268293,1,200,20,100,0.9214110571920938,0.8848753625377356,0.9662579703014712,0.1836900370148822,1.5382501760277643,1.1217991678663195,1.1217991678663195,1.0,1.0,57.80418576383461,57.80418576383461,0.8931274280015767,0.32691370726603564,0.8789701892274749,0.9473048049014714,0.22955434018665086,0.8321477276724936,0.926251185125775,5,0.9012593313462588,0.31423027965767597,0.9639821307724941,0.1897837433172449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemma4-E4B,prompt_running,10,11,0.2682926829268293,2,200,20,100,0.9540084677837132,0.964351756373456,0.9867023774676897,0.11531531785634686,0.7963349701773407,2.03717325662636,0.9592664345971101,2.1236782432421584,0.9999999999999993,58.517888399827015,64.36490279730155,0.8086103089980985,0.4374810750214248,0.8385687988723366,0.9341971177426154,0.2565207248106565,0.7253254782082872,0.8675920562281573,5,0.8009148337422675,0.44618960796698587,0.9794274038952496,0.14343150318096218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemma4-E4B,prompt_running,10,11,0.2682926829268293,3,200,20,100,0.9752609810428657,0.9757564354828097,0.9938072514524854,0.07869401849895963,0.5427166532795514,2.1855751296550956,0.7150582799045067,3.0564992967384015,0.9999999999999983,60.13242836161802,79.64332974563949,0.7942682976303612,0.4535765672625061,0.5391726986782932,0.9113503236611945,0.2977409550915116,0.7263263422800991,0.8629237835948536,5,0.8389136606708758,0.401355627005682,0.9784568136810667,0.14677597323449534,28.137297730393588,0.9022397891963109,500.0,-0.3164551679437632,-0.9584865284816643,0.8943215387154443,0.001996007984031936,500.0,0.16502058955707397,0.055307981434415114,0.6732425257055328,7.098686900798594,1.9358773877453157,44.13514662911909,35.571907004371866,21.352866834158778,84.87196647565247,46.145359667098376,27.89086182541182,84.6287228093294,1.9823915810885735,0.16680622508216497,0.9770431061859488,0.04004989386767167,0.6285624892153373,0.2171071428657671,1.3455180762773051,0.2841432186540538,1.2159637536068169
Gemma4-E4B,prompt_running,11,12,0.2926829268292683,1,200,20,100,0.8848753625377356,0.869347434454888,0.999102568001264,0.029957169404601462,2.007390353205337,1.0779795866203927,1.0779795866203927,1.0,1.0,37.24310686166805,37.24310686166805,0.9860475046608107,0.1181206812509534,0.9823359488219938,0.9949838460331719,0.07082481180227816,0.9827356004967783,0.9923462931318182,5,0.989569156222452,0.10213150237584884,0.9964587792494127,0.05950815700882718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemma4-E4B,prompt_running,11,12,0.2926829268292683,2,200,20,100,0.964351756373456,0.9624316084536464,0.9993290248885724,0.025903187283180487,1.093843548366477,1.18014768810461,1.0698398784001193,1.103106840501636,0.9999999999999994,42.5249140785556,47.81297248404231,0.9795068286217107,0.1431543620651824,0.9740287313750985,0.993384156662903,0.08133783459803325,0.9715660798845133,0.9881226141035458,5,0.9847589530663368,0.12345463512425629,0.9964974992339714,0.05918192938751388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemma4-E4B,prompt_running,11,12,0.2926829268292683,3,200,20,100,0.9757564354828097,0.9748051219951456,0.9977555850760818,0.0473752564522687,0.7378530877873354,1.1823961031817112,0.9958152677852932,1.1873649073601535,-0.9999999999999993,45.59272471261232,52.74155442729838,0.9630611284990098,0.1921948789666109,0.9090131674792423,0.99045620291897,0.09769235937897128,0.9524616286664732,0.9685084910764608,5,0.9484922731670968,0.22695313796663655,0.9894423380693849,0.10275048384613636,66.50537380481533,0.9969696969696968,500.0,-0.3644461966281597,-0.9369515387974268,0.8470561850396653,0.001996007984031936,500.0,0.07771470955905338,0.031031309691279846,1.0670237901264121,49.368923203608865,7.556433211857626,162.70945044157773,45.650084015450304,27.627875610647084,86.73431721806266,43.715280448197745,26.80208802287709,84.86479808522589,1.1824391992047967,0.028226986287553005,1.1006703543073189,0.03557367571512711,0.9479779932888156,0.15683571021386686,1.7825949000528467,0.4955582955474855,1.0044355033713341
Gemma4-E4B,prompt_running,12,13,0.3170731707317073,1,200,20,100,0.869347434454888,0.8680809334451935,0.9989165885476312,0.03291521612216439,2.3394326817753526,1.1166254539272127,1.1166254539272127,1.0,1.0,39.749585502673625,39.749585502673625,0.9797944265644016,0.14214630996124528,0.9752510236576505,0.9919486304131907,0.0897294243089151,0.9721461173537423,0.984263419212928,5,0.9838138047506705,0.1272249788733701,0.9974214249899808,0.05077967122795522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemma4-E4B,prompt_running,12,13,0.3170731707317073,2,200,20,100,0.9624316084536464,0.9641375701939849,0.9993838390450737,0.024822589609593812,1.2949621000502964,1.1588702021853434,1.0901019360570328,1.0630842528149704,0.9999999999999994,43.54310097813445,47.36520310892195,0.9750533377771743,0.15794512408689834,0.9661023105884703,0.9914628725449555,0.09239657707428627,0.972301446498086,0.9797084329331658,5,0.9788241214618536,0.1455193407700377,0.9965245146106131,0.05895324748804721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemma4-E4B,prompt_running,12,13,0.3170731707317073,3,200,20,100,0.9748051219951456,0.9752819183378713,0.9991634528638064,0.02892312459250685,0.8744071972357829,1.1726980039979722,1.010247005338044,1.1608032469302592,0.9999999999999998,44.978776163487844,47.9334918596768,0.9671179002629746,0.18133422108643846,0.9282660940220147,0.9885969625689187,0.10678500564724114,0.9607477461694015,0.9704431133186424,5,0.9737849273945908,0.16191069330161373,0.9955521626430504,0.06669210865574496,3.3328804995824757,0.9956521739130433,500.0,-0.3460040443803643,-0.8930604293588121,0.7804058741624208,0.001996007984031936,500.0,0.07113301043737102,0.029228295828510286,0.2867873848682623,3.194127824652984,0.9113011982758865,9.25868110091114,43.13231971709295,28.279106686527307,79.93485153185576,44.79274664567053,29.294887769796926,77.91657579012526,1.1884288238827234,0.03394583335400814,1.0989316569017382,0.026494954871330717,0.9765219410926187,0.11428119557610772,1.6296315963111292,0.4786578575976899,1.0220933253080913
