model_label,source_layer,target_layer,normalized_depth,condition,rows,seeds,mean_target_donor_fraction,mean_donor_log_odds_gain,argmax_change_rate,mean_replacement_delta_norm,geometry_discovery_centroid_r2
Qwen3-8B,7,8,0.2285714285714285,aligned_dose_1,40,10,0.18742370950058101,0.0,0.0,0.09600123986601825,0.9999292131567636
Qwen3-8B,7,8,0.2285714285714285,aligned_dose_2,40,10,0.39902246594429014,0.0125,0.0,0.19196805879473683,0.9999292131567636
Qwen3-8B,7,8,0.2285714285714285,matched_orthogonal,40,10,-0.005196631474882464,0.00625,0.0,0.09600408300757404,0.9999292131567636
Qwen3-8B,11,12,0.3428571428571428,aligned_dose_1,40,10,0.472780554369092,0.00625,0.0,0.23280488699674606,0.9999594781527688
Qwen3-8B,11,12,0.3428571428571428,aligned_dose_2,40,10,1.0649470008909703,0.025,0.0,0.4655969366431236,0.9999594781527688
Qwen3-8B,11,12,0.3428571428571428,matched_orthogonal,40,10,0.03010119083337486,0.0125,0.0,0.2328619297593832,0.9999594781527688
Qwen3-8B,15,16,0.4571428571428571,aligned_dose_1,40,10,0.542547207325697,0.00625,0.0,0.33858690075576303,0.999976469673822
Qwen3-8B,15,16,0.4571428571428571,aligned_dose_2,40,10,1.1451458603143692,0.01875,0.0,0.6768431812524796,0.999976469673822
Qwen3-8B,15,16,0.4571428571428571,matched_orthogonal,40,10,0.00974671598960412,0.025,0.0,0.33855525553226473,0.999976469673822
Qwen3-8B,19,20,0.5714285714285714,aligned_dose_1,40,10,0.250773872807622,0.15,0.025,1.0172630310058595,0.999972492623284
Qwen3-8B,19,20,0.5714285714285714,aligned_dose_2,40,10,0.5061003297567368,0.3625,0.075,2.034518301486969,0.999972492623284
Qwen3-8B,19,20,0.5714285714285714,matched_orthogonal,40,10,0.00581924744765272,0.05625,0.0,1.017257572710514,0.999972492623284
Qwen3-8B,23,24,0.6857142857142857,aligned_dose_1,40,10,0.8567308142781258,12.925,0.725,28.777254045009613,0.9999937886070838
Qwen3-8B,23,24,0.6857142857142857,aligned_dose_2,40,10,1.619121816754341,17.26875,0.85,57.554498767852785,0.9999937886070838
Qwen3-8B,23,24,0.6857142857142857,matched_orthogonal,40,10,0.0071250296459766035,1.7625,0.025,28.77726000547409,0.9999937886070838
