model_label,source_layer,target_layer,normalized_depth,contrast,metric,seed,effect,pairs_per_seed
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,target_donor_fraction,1254,0.9593713898211718,4
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,target_donor_fraction,1255,0.9285113073419778,4
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,target_donor_fraction,1256,0.9354008329100907,4
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,target_donor_fraction,1257,0.9474043026566505,4
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,target_donor_fraction,1258,0.9373987577855587,4
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,target_donor_fraction,1259,0.9406272172927855,4
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,target_donor_fraction,1260,0.9401534032076597,4
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,target_donor_fraction,1261,0.9633967075496912,4
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,target_donor_fraction,1262,0.9529260671697558,4
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,target_donor_fraction,1263,0.9337529288604856,4
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,target_donor_fraction,1254,0.9519964915234596,4
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,target_donor_fraction,1255,0.9269683418388012,4
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,target_donor_fraction,1256,0.9630267885513605,4
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,target_donor_fraction,1257,0.9522337336093187,4
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,target_donor_fraction,1258,0.9584804996848106,4
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,target_donor_fraction,1259,0.9342815365816933,4
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,target_donor_fraction,1260,0.9666517388541251,4
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,target_donor_fraction,1261,0.9701007632538676,4
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,target_donor_fraction,1262,0.9265954868169503,4
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,target_donor_fraction,1263,0.9371469314210118,4
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1254,0.9831107642967254,4
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1255,0.9423214785783784,4
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1256,0.9651905265054666,4
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1257,1.001332703512162,4
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1258,0.974619802844245,4
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1259,0.9647722503286786,4
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1260,0.9775945365545341,4
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1261,1.013259571744129,4
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1262,0.9563355264835991,4
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1263,0.9804116133600475,4
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_1_minus_orthogonal,target_donor_fraction,1254,0.9430271259043366,4
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_1_minus_orthogonal,target_donor_fraction,1255,0.9458802961744368,4
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_1_minus_orthogonal,target_donor_fraction,1256,0.9719768713694066,4
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_1_minus_orthogonal,target_donor_fraction,1257,0.9707085009140428,4
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_1_minus_orthogonal,target_donor_fraction,1258,0.9369652676396072,4
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_1_minus_orthogonal,target_donor_fraction,1259,0.9573218754958361,4
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_1_minus_orthogonal,target_donor_fraction,1260,0.9603001703508198,4
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_1_minus_orthogonal,target_donor_fraction,1261,0.9478842419921422,4
