model_label,source_layer,target_layer,normalized_depth,contrast,metric,seeds,pairs_per_seed,mean_contrast,bootstrap_95ci_low,bootstrap_95ci_high,exact_seed_signflip_p_two_sided,seed_effect_min,seed_effect_max,holm_p_within_model_metric_contrast,significant_holm_0_05
Gemma4-E4B,8,9,0.2195121951219512,dose_2_minus_dose_1,target_donor_fraction,10,4,0.19052853379398585,0.05442493396345526,0.2940483706071973,0.0234375,-0.2001511193811893,0.3578151762485504,0.046875,True
Gemma4-E4B,11,12,0.2926829268292683,dose_2_minus_dose_1,target_donor_fraction,10,4,0.23982492163777352,0.1591801902279258,0.2953227904252708,0.00390625,-0.08068210259079933,0.3220874108374119,0.02734375,True
Gemma4-E4B,15,16,0.3902439024390244,dose_2_minus_dose_1,target_donor_fraction,10,4,0.25381154017522933,0.22026673324406146,0.2799424158409238,0.001953125,0.12598886806517845,0.3030022569000721,0.02734375,True
Gemma4-E4B,19,20,0.4878048780487805,dose_2_minus_dose_1,target_donor_fraction,10,4,0.24367096312344075,0.23691934490576386,0.250141924303025,0.001953125,0.2207481414079666,0.2645294554531574,0.02734375,True
Gemma4-E4B,23,24,0.5853658536585366,dose_2_minus_dose_1,target_donor_fraction,10,4,0.40781422033905984,0.40062703266739846,0.4153068933822215,0.001953125,0.3936737701296807,0.4250065013766289,0.02734375,True
Gemma4-E4B,27,28,0.6829268292682927,dose_2_minus_dose_1,target_donor_fraction,10,4,0.8289374485611916,0.8178000986576079,0.8381973747536541,0.001953125,0.795025497674942,0.8496314287185669,0.02734375,True
Gemma4-E4B,31,32,0.7804878048780488,dose_2_minus_dose_1,target_donor_fraction,10,4,0.9106006637215615,0.9035932932421565,0.9183338955044746,0.001953125,0.8961925804615021,0.9299542754888536,0.02734375,True
Gemma4-E4B,35,36,0.8780487804878049,dose_2_minus_dose_1,target_donor_fraction,10,4,0.923191650211811,0.9156846180558205,0.9304102137684822,0.001953125,0.9022932946681976,0.9405483156442642,0.02734375,True
Gemma4-E4B,36,37,0.902439024390244,dose_2_minus_dose_1,target_donor_fraction,10,4,0.8210958689451218,0.8142204903066159,0.8288651533797383,0.001953125,0.8045799583196641,0.8479675501585007,0.02734375,True
Gemma4-E4B,39,40,0.975609756097561,dose_2_minus_dose_1,target_donor_fraction,10,4,0.898818464577198,0.8861232057213784,0.9099391312524676,0.001953125,0.8601532876491546,0.9171054512262344,0.02734375,True
Gemma4-E4B,40,41,1.0,dose_2_minus_dose_1,target_donor_fraction,10,4,0.8096059292554856,0.7943734470382333,0.8227341857925057,0.001953125,0.7645298689603806,0.8353128135204315,0.02734375,True
Qwen3-8B,0,1,0.0285714285714285,dose_2_minus_dose_1,target_donor_fraction,10,4,-0.006591698960983217,-0.0593305988289649,0.04050594899556019,0.82421875,-0.1789285737613682,0.08278895477997135,0.82421875,False
Qwen3-8B,3,4,0.1142857142857142,dose_2_minus_dose_1,target_donor_fraction,10,4,0.19156464943662285,0.16657801209948958,0.22554430792573843,0.001953125,0.14842642657458782,0.3220532350242138,0.021484375,True
