model_label,mode_native,layer,occurrence,n_confirmation_class_native,metric,value_native,quality_direction_native,quality_value_native,mode_nonthinking,n_confirmation_class_nonthinking,value_nonthinking,quality_direction_nonthinking,quality_value_nonthinking,native_minus_nonthinking_quality
Qwen3-8B,native_thinking,0,9,9,logistic_recall,0.1111111111111111,higher,0.1111111111111111,non_thinking,10,0.2,higher,0.2,-0.0888888888888889
Qwen3-8B,native_thinking,0,9,9,logistic_f1,0.08695652173913043,higher,0.08695652173913043,non_thinking,10,0.17391304347826086,higher,0.17391304347826086,-0.08695652173913043
Qwen3-8B,native_thinking,0,9,9,ncc_recall,0.0,higher,0.0,non_thinking,10,0.1,higher,0.1,-0.1
Qwen3-8B,native_thinking,0,9,9,silhouette_cosine,-0.242445707321167,higher,-0.242445707321167,non_thinking,10,-0.0975138396024704,higher,-0.0975138396024704,-0.1449318677186966
Qwen3-8B,native_thinking,0,9,9,within_trace,2154.122802734375,lower,-2154.122802734375,non_thinking,10,1874.01318359375,lower,-1874.01318359375,-280.109619140625
Qwen3-8B,native_thinking,0,9,9,class_nc1_ratio,12.341491000861485,lower,-12.341491000861485,non_thinking,10,3.1571694251510576,lower,-3.1571694251510576,-9.184321575710428
Qwen3-8B,native_thinking,0,9,9,centroid_nearest_squared,174.67095947265625,higher,174.67095947265625,non_thinking,10,244.60276794433594,higher,244.60276794433594,-69.93180847167969
Qwen3-8B,native_thinking,0,9,9,fisher_nearest,0.08108681605845984,higher,0.08108681605845984,non_thinking,10,0.1305235043625825,higher,0.1305235043625825,-0.049436688304122664
Qwen3-8B,native_thinking,0,9,9,min_bhattacharyya,1.5002501159906387,higher,1.5002501159906387,non_thinking,10,1.3824391663074493,higher,1.3824391663074493,0.11781094968318939
Qwen3-8B,native_thinking,0,9,9,mean_bhattacharyya,2.540506730477015,higher,2.540506730477015,non_thinking,10,3.580208112796148,higher,3.580208112796148,-1.0397013823191328
Qwen3-8B,native_thinking,0,9,9,nc2_class_cosine_deviation,0.2502128211436448,lower,-0.2502128211436448,non_thinking,10,0.5899299291180975,lower,-0.5899299291180975,0.3397171079744527
Qwen3-8B,native_thinking,0,10,9,logistic_precision,0.125,higher,0.125,non_thinking,10,0.0,higher,0.0,0.125
Qwen3-8B,native_thinking,0,10,9,logistic_recall,0.1111111111111111,higher,0.1111111111111111,non_thinking,10,0.0,higher,0.0,0.1111111111111111
Qwen3-8B,native_thinking,0,10,9,logistic_f1,0.11764705882352941,higher,0.11764705882352941,non_thinking,10,0.0,higher,0.0,0.11764705882352941
Qwen3-8B,native_thinking,0,10,9,ncc_recall,0.0,higher,0.0,non_thinking,10,0.6,higher,0.6,-0.6
Qwen3-8B,native_thinking,0,10,9,silhouette_cosine,-0.20772233605384827,higher,-0.20772233605384827,non_thinking,10,-0.07083036005496979,higher,-0.07083036005496979,-0.13689197599887848
Qwen3-8B,native_thinking,0,10,9,within_trace,2987.16064453125,lower,-2987.16064453125,non_thinking,10,2783.80322265625,lower,-2783.80322265625,-203.357421875
Qwen3-8B,native_thinking,0,10,9,class_nc1_ratio,12.062889579264523,lower,-12.062889579264523,non_thinking,10,4.256357102665955,lower,-4.256357102665955,-7.8065324765985675
Qwen3-8B,native_thinking,0,10,9,centroid_nearest_squared,332.9992370605469,higher,332.9992370605469,non_thinking,10,186.95240783691406,higher,186.95240783691406,146.0468292236328
Qwen3-8B,native_thinking,0,10,9,fisher_nearest,0.11147684262317323,higher,0.11147684262317323,non_thinking,10,0.06715719211594552,higher,0.06715719211594552,0.044319650507227706
Qwen3-8B,native_thinking,0,10,9,min_bhattacharyya,2.260341316461563,higher,2.260341316461563,non_thinking,10,1.3824391663074493,higher,1.3824391663074493,0.8779021501541138
Qwen3-8B,native_thinking,0,10,9,mean_bhattacharyya,3.3511114683416157,higher,3.3511114683416157,non_thinking,10,3.6777532729837628,higher,3.6777532729837628,-0.3266418046421471
Qwen3-8B,native_thinking,0,10,9,nc2_class_cosine_deviation,0.09463780584894581,lower,-0.09463780584894581,non_thinking,10,0.6771270126840214,lower,-0.6771270126840214,0.5824892068350757
Qwen3-8B,native_thinking,1,1,10,logistic_precision,0.8,higher,0.8,non_thinking,10,0.7,higher,0.7,0.10000000000000009
Qwen3-8B,native_thinking,1,1,10,logistic_recall,0.4,higher,0.4,non_thinking,10,0.7,higher,0.7,-0.29999999999999993
Qwen3-8B,native_thinking,1,1,10,logistic_f1,0.5333333333333333,higher,0.5333333333333333,non_thinking,10,0.7,higher,0.7,-0.16666666666666663
Qwen3-8B,native_thinking,1,1,10,ncc_recall,0.5,higher,0.5,non_thinking,10,1.0,higher,1.0,-0.5
Qwen3-8B,native_thinking,1,1,10,silhouette_cosine,-0.09057217836380005,higher,-0.09057217836380005,non_thinking,10,0.7660673260688782,higher,0.7660673260688782,-0.8566395044326782
Qwen3-8B,native_thinking,1,1,10,within_trace,3259.44580078125,lower,-3259.44580078125,non_thinking,10,2279.51904296875,lower,-2279.51904296875,-979.9267578125
Qwen3-8B,native_thinking,1,1,10,class_nc1_ratio,11.943112863805514,lower,-11.943112863805514,non_thinking,10,0.20995323308931288,lower,-0.20995323308931288,-11.7331596307162
Qwen3-8B,native_thinking,1,1,10,centroid_nearest_squared,330.498779296875,higher,330.498779296875,non_thinking,10,6384.1240234375,higher,6384.1240234375,-6053.625244140625
Qwen3-8B,native_thinking,1,1,10,fisher_nearest,0.10139723115434483,higher,0.10139723115434483,non_thinking,10,2.8006451813287265,higher,2.8006451813287265,-2.6992479501743816
Qwen3-8B,native_thinking,1,1,10,min_bhattacharyya,2.4601186215877533,higher,2.4601186215877533,non_thinking,10,7.453301429748535,higher,7.453301429748535,-4.993182808160782
Qwen3-8B,native_thinking,1,1,10,mean_bhattacharyya,3.0657348136107125,higher,3.0657348136107125,non_thinking,10,34.11264493730333,higher,34.11264493730333,-31.046910123692616
Qwen3-8B,native_thinking,1,1,10,nc2_class_cosine_deviation,0.1466718498893358,lower,-0.1466718498893358,non_thinking,10,0.663936831700949,lower,-0.663936831700949,0.5172649818116132
Qwen3-8B,native_thinking,1,2,10,logistic_precision,0.6363636363636364,higher,0.6363636363636364,non_thinking,10,0.4666666666666667,higher,0.4666666666666667,0.16969696969696968
Qwen3-8B,native_thinking,1,2,10,logistic_recall,0.7,higher,0.7,non_thinking,10,0.7,higher,0.7,0.0
Qwen3-8B,native_thinking,1,2,10,logistic_f1,0.6666666666666666,higher,0.6666666666666666,non_thinking,10,0.56,higher,0.56,0.10666666666666658
Qwen3-8B,native_thinking,1,2,10,ncc_recall,0.0,higher,0.0,non_thinking,10,0.6,higher,0.6,-0.6
Qwen3-8B,native_thinking,1,2,10,silhouette_cosine,-0.08371904492378235,higher,-0.08371904492378235,non_thinking,10,-0.3207848370075226,higher,-0.3207848370075226,0.23706579208374023
Qwen3-8B,native_thinking,1,2,10,within_trace,1300.731689453125,lower,-1300.731689453125,non_thinking,10,4187.6162109375,lower,-4187.6162109375,2886.884521484375
Qwen3-8B,native_thinking,1,2,10,class_nc1_ratio,7.858705756309598,lower,-7.858705756309598,non_thinking,10,3.3154852983040564,lower,-3.3154852983040564,-4.543220458005541
