model_label,layer,mode,metric,estimand,estimate,jackknife_se,ci_low_normal,ci_high_normal,jackknife_seed_count
Qwen3-8B,1,non_thinking,mean_bhattacharyya,quality_slope_per_index,-1.1540178712369604,0.5122027319128083,-2.1579352257860647,-0.15010051668785618,9
Qwen3-8B,1,non_thinking,mean_bhattacharyya,quality_spearman,0.35757575757575755,0.07935849084259254,0.20203311552427616,0.5131183996272389,9
Qwen3-8B,1,non_thinking,mean_bhattacharyya,late_8_10_minus_early_1_3,-6.625865014614881,3.307813191847096,-13.109178870635189,-0.14255115859457312,9
Qwen3-8B,1,non_thinking,min_bhattacharyya,quality_slope_per_index,-0.40733365037224456,0.1719762595748932,-0.7444071191390352,-0.07026018160545389,9
Qwen3-8B,1,non_thinking,min_bhattacharyya,quality_spearman,-0.8685380813774621,0.5233240696014143,-1.894253257796234,0.15717709504130983,9
Qwen3-8B,1,non_thinking,min_bhattacharyya,late_8_10_minus_early_1_3,-2.644397507111232,1.0985675845291532,-4.797589972788372,-0.4912050414340916,9
Qwen3-8B,1,non_thinking,nc2_class_cosine_deviation,quality_slope_per_index,-0.020091648333769734,0.009617642909715672,-0.03894222843681245,-0.0012410682307270188,9
Qwen3-8B,1,non_thinking,nc2_class_cosine_deviation,quality_spearman,-0.41818181818181815,0.12530320107327148,-0.6637760922854302,-0.17258754407820606,9
Qwen3-8B,1,non_thinking,nc2_class_cosine_deviation,late_8_10_minus_early_1_3,-0.15315958334002733,0.09695922642815007,-0.34319966713920147,0.03688050045914679,9
Qwen3-8B,1,non_thinking,ncc_recall,quality_slope_per_index,-0.04848484848484845,0.020626846319860746,-0.08891346727177551,-0.008056229697921385,9
Qwen3-8B,1,non_thinking,ncc_recall,quality_spearman,-0.3965088288259145,0.22682987054718234,-0.8410953750983918,0.04807771744656292,9
Qwen3-8B,1,non_thinking,ncc_recall,late_8_10_minus_early_1_3,-0.2962962962962963,0.141032835293776,-0.5727206534720972,-0.01987193912049534,9
Qwen3-8B,1,non_thinking,silhouette_cosine,quality_slope_per_index,-0.0379841021967656,0.010677475752910916,-0.058911954672471,-0.017056249721060207,9
Qwen3-8B,1,non_thinking,silhouette_cosine,quality_spearman,0.10303030303030303,0.23240031903162817,-0.3524743222716882,0.5585349283322942,9
Qwen3-8B,1,non_thinking,silhouette_cosine,late_8_10_minus_early_1_3,-0.21733857442935306,0.11345764166391095,-0.4397155520906185,0.005038403231912403,9
Qwen3-8B,1,non_thinking,within_trace,quality_slope_per_index,273.06094341856067,150.06856992534242,-21.073453635110468,567.1953404722318,9
Qwen3-8B,1,non_thinking,within_trace,quality_spearman,0.709090909090909,0.20443007096038004,0.3084079700085641,1.109773848173254,9
Qwen3-8B,1,non_thinking,within_trace,late_8_10_minus_early_1_3,2002.4962565104165,1099.1867240761735,-151.90972267888355,4156.902235699717,9
