model,layer,head,discovery_seeds,first_span_mass_mean,ten_span_total_mass_mean,first_share_ratio_of_means,first_share_mean_of_rows,other_nine_span_mass_mean,first_minus_other_mean,span_1_mass,span_2_mass,span_3_mass,span_4_mass,span_5_mass,span_6_mass,span_7_mass,span_8_mass,span_9_mass,span_10_mass,ten_span_mass_profile,first_span_absolute_mass_rank
Qwen3-8B,31,27,20,5.0845311807279356e-05,0.04211483826097719,0.0012073016045366521,0.03927157399977249,0.004673776994352213,-0.004622931682544933,5.0845311807279356e-05,5.451406141219195e-05,0.0016967607854894596,6.479577168647666e-05,0.002617188108069968,7.423886563628912e-05,0.004072986105529708,0.010375423609548306,0.01183814669457206,0.011269938947225455,"[5.0845311807279356e-05, 5.451406141219195e-05, 0.0016967607854894596, 6.479577168647666e-05, 0.002617188108069968, 7.423886563628912e-05, 0.004072986105529708, 0.010375423609548306, 0.01183814669457206, 0.011269938947225455]",1017
Qwen3-8B,14,20,20,4.9529300349604453e-05,0.001080493193995835,0.04583953015607368,0.05989588207248094,0.00011455154373847006,-6.50222433888656e-05,4.9529300349604453e-05,0.00010533476554996923,0.00016632624906378623,7.061169017106295e-05,8.51032923492312e-05,0.00035366028187127084,3.8619120186922376e-05,3.732185150511214e-05,4.024519130325643e-05,0.00013374145164561923,"[4.9529300349604453e-05, 0.00010533476554996923, 0.00016632624906378623, 7.061169017106295e-05, 8.51032923492312e-05, 0.00035366028187127084, 3.8619120186922376e-05, 3.732185150511214e-05, 4.024519130325643e-05, 0.00013374145164561923]",1018
Qwen3-8B,15,27,20,4.9275530318482194e-05,0.0010405003091705112,0.047357535489599936,0.045396780604831675,0.00011013608653911434,-6.0860556220632145e-05,4.9275530318482194e-05,8.749576981017526e-05,9.48024347962928e-05,9.021287796713295e-05,0.00013259612387628295,9.888928580039646e-05,0.00010417521880299319,6.137579107416969e-05,0.00014508812123494863,0.00017658915548963706,"[4.9275530318482194e-05, 8.749576981017526e-05, 9.48024347962928e-05, 9.021287796713295e-05, 0.00013259612387628295, 9.888928580039646e-05, 0.00010417521880299319, 6.137579107416969e-05, 0.00014508812123494863, 0.00017658915548963706]",1019
Qwen3-8B,7,25,20,4.90633501613047e-05,0.002502657917284523,0.01960449721172451,0.02469473986724609,0.0002726216185692465,-0.00022355826840794182,4.90633501613047e-05,7.734040591458324e-05,7.76631262851879e-05,4.7758092841831966e-05,3.790537739405409e-05,9.227886912412941e-05,0.000272434409998823,0.00039021888223942367,0.0006546600197907537,0.0008033353835344315,"[4.90633501613047e-05, 7.734040591458324e-05, 7.76631262851879e-05, 4.7758092841831966e-05, 3.790537739405409e-05, 9.227886912412941e-05, 0.000272434409998823, 0.00039021888223942367, 0.0006546600197907537, 0.0008033353835344315]",1020
Qwen3-8B,8,21,20,4.883986130153062e-05,0.0003039554870838401,0.1606809660523059,0.1682005440673527,2.834618064247883e-05,2.0493680659051788e-05,4.883986130153062e-05,1.2102304140171327e-05,1.14653998139147e-05,1.0546303838054882e-05,8.897032466848032e-06,1.1553494584859435e-05,2.782157666842977e-05,4.3860565892828165e-05,6.801556173741119e-05,6.085338663979201e-05,"[4.883986130153062e-05, 1.2102304140171327e-05, 1.14653998139147e-05, 1.0546303838054882e-05, 8.897032466848032e-06, 1.1553494584859435e-05, 2.782157666842977e-05, 4.3860565892828165e-05, 6.801556173741119e-05, 6.085338663979201e-05]",1021
Qwen3-8B,7,10,20,4.858399843215011e-05,0.0016468851230456495,0.029500538776075537,0.04140578060099322,0.00017758901384594438,-0.00012900501541379428,4.858399843215011e-05,5.130058671056759e-05,3.3241265191463755e-05,2.3633832461200656e-05,1.4110434130998329e-05,9.972837870009243e-05,0.0002853390393283917,0.0004168586136074737,0.00033270569983869793,0.00034138327464461327,"[4.858399843215011e-05, 5.130058671056759e-05, 3.3241265191463755e-05, 2.3633832461200656e-05, 1.4110434130998329e-05, 9.972837870009243e-05, 0.0002853390393283917, 0.0004168586136074737, 0.00033270569983869793, 0.00034138327464461327]",1022
Qwen3-8B,9,7,20,4.80589282233268e-05,0.0007017156682195491,0.06848775137836936,0.07365697570213908,7.262852666624692e-05,-2.456959844292012e-05,4.80589282233268e-05,5.089013429824263e-05,5.867006875632796e-05,9.349676638521487e-05,5.3466973622562366e-05,8.680094433657359e-05,5.0376142098684795e-05,6.314923521131278e-05,7.83739611506462e-05,0.00011843251413665712,"[4.80589282233268e-05, 5.089013429824263e-05, 5.867006875632796e-05, 9.349676638521487e-05, 5.3466973622562366e-05, 8.680094433657359e-05, 5.0376142098684795e-05, 6.314923521131278e-05, 7.83739611506462e-05, 0.00011843251413665712]",1023
Qwen3-8B,11,25,20,4.725025064544752e-05,0.006215594125933421,0.007601888039681445,0.007923453368810656,0.0006853715416986637,-0.0006381212910532162,4.725025064544752e-05,6.133263123047073e-05,0.00011682323602144607,0.00026676675861381227,0.0005093574727652594,0.0008257793087977916,0.0012867662124335765,0.0010807822574861348,0.0007724271912593394,0.0012483088066801429,"[4.725025064544752e-05, 6.133263123047073e-05, 0.00011682323602144607, 0.00026676675861381227, 0.0005093574727652594, 0.0008257793087977916, 0.0012867662124335765, 0.0010807822574861348, 0.0007724271912593394, 0.0012483088066801429]",1024
Qwen3-8B,14,10,20,4.7083448072271496e-05,0.0023047373166093623,0.020428986736561714,0.024989781733522065,0.0002508504298374545,-0.00020376698176518299,4.7083448072271496e-05,6.445543685913435e-05,5.948544858256355e-05,5.294162169775518e-05,4.702375335909892e-05,6.975687501835637e-05,0.0001302661625231849,0.00032382939807575897,0.0005324229623511201,0.0009774722100701183,"[4.7083448072271496e-05, 6.445543685913435e-05, 5.948544858256355e-05, 5.294162169775518e-05, 4.702375335909892e-05, 6.975687501835637e-05, 0.0001302661625231849, 0.00032382939807575897, 0.0005324229623511201, 0.0009774722100701183]",1025
Qwen3-8B,27,3,20,4.4440763304010034e-05,0.016969627709477207,0.0026188413832550217,0.02372115086829472,0.0018805763273525775,-0.0018361355640485674,4.4440763304010034e-05,8.782361692283303e-05,0.0010699510632548482,0.00011930681648664176,0.0012500765558797866,0.00011398725328035653,0.0019844744427246043,0.003596663479402196,0.0036343854619190095,0.005068518256302923,"[4.4440763304010034e-05, 8.782361692283303e-05, 0.0010699510632548482, 0.00011930681648664176, 0.0012500765558797866, 0.00011398725328035653, 0.0019844744427246043, 0.003596663479402196, 0.0036343854619190095, 0.005068518256302923]",1026
