scope,site,layer,rows,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
all_rank_before,pre_marker,15,642,0.7646559702828499,0.6853211600429645,0.7249885651629072,426,5,16,16,0.8642991429981602,0.6314287986881875,0.5613764574013687,-2.507458044466178,4.563359260559082,8.128875374794006,216,9,4,40,16,0.1
all_rank_before,pre_marker,16,642,0.7112068564267813,0.588046969665059,0.6496269130459201,426,5,16,16,0.7490317225288284,0.5388926629524289,0.4708923567927102,-3.27078358675326,4.0804338455200195,8.66532188653946,216,9,4,40,16,0.1
all_rank_before,pre_marker,17,642,0.7335350877192983,0.6574491068357168,0.6954920972775076,426,5,16,16,0.7819749181136986,0.5732848294300037,0.5126560931061332,-2.901738765098073,4.278833389282227,8.346401119232178,216,9,4,40,16,0.1
all_rank_before,pre_marker,18,642,0.7804742511039503,0.6602676667158092,0.7203709589098797,426,5,16,16,0.7587151702786377,0.6782815764125496,0.5963848804863332,-2.244733752870986,4.687201499938965,7.859356689453125,216,9,4,40,16,0.1
all_rank_before,pre_marker,19,642,0.7639734007638144,0.6665841266331094,0.7152787636984619,426,5,16,16,0.7352445371741374,0.6239007714589893,0.5681288185745665,-2.455531803927433,4.454165458679199,7.840062522888184,216,9,4,40,16,0.1
all_rank_before,pre_marker,20,642,0.714578925429821,0.6618472152018702,0.6882130703158456,426,5,16,16,0.7074323596715575,0.5835545093843654,0.5912854172425159,-2.282028317893317,4.534996032714844,7.6697241306304935,216,9,4,40,16,0.1
all_rank_before,pre_marker,21,642,0.7455392279718904,0.7049302800067395,0.7252347539893149,426,5,16,16,0.7403425763898237,0.6331849094953147,0.5932339892081447,-2.2677397412602236,4.447052955627441,7.496288204193116,216,9,4,40,16,0.1
all_rank_before,pre_marker,22,642,0.7697633518319609,0.6947995294609071,0.732281440646434,426,5,16,16,0.8004798761609907,0.644100241303095,0.6365174496288094,-1.96189686003058,4.650182247161865,7.305663418769837,216,9,4,40,16,0.1
all_rank_before,pre_marker,23,642,0.8837789264828737,0.8834916457811195,0.8836352861319966,426,5,16,16,1.0,0.9741176470588236,1.0916337597336734,0.3807695814418549,7.018646240234375,6.429488074779511,216,9,4,40,16,0.1
all_rank_before,pre_marker,24,642,0.8764420575247641,0.7686148108366153,0.8225284341806898,426,5,16,16,0.975,0.8885262709202675,1.029011017387411,0.12420024679772723,6.626821994781494,6.439991295337677,216,9,4,40,16,0.1
all_rank_before,pre_marker,25,642,0.9059499791144529,0.8896955931495405,0.8978227861319967,426,5,16,16,1.0,0.9966666666666667,1.227506352088963,0.8902374818404675,7.584251403808594,6.178584241867066,216,9,4,40,16,0.1
all_rank_before,pre_marker,26,642,0.9201955931495405,0.8567789264828738,0.8884872598162071,426,5,16,16,1.0,0.9796388028895769,1.2352559570963497,0.9175695697783531,7.57366943359375,6.1312551379203795,216,9,4,40,16,0.1
all_rank_before,pre_marker,27,642,0.9176955931495405,0.8707424961212556,0.8942190446353981,426,5,16,16,1.0,0.9431372549019608,1.2003945412201142,0.7932401180831926,7.45556116104126,6.210925579071045,216,9,4,40,16,0.1
all_rank_before,pre_marker,28,642,0.9104455931495405,0.8469916457811193,0.8787186194653299,426,5,16,16,0.9966666666666667,0.9331372549019609,1.2507203994086826,0.9716023330192527,7.5352606773376465,6.024736368656159,216,9,4,40,16,0.1
all_rank_before,pre_marker,29,642,1.0,0.9933333333333334,0.9966666666666667,426,5,16,16,1.0,1.0,2.2040837164032054,3.4322808604248523,11.670978546142578,5.295161186158657,216,9,4,40,16,0.1
all_rank_before,pre_marker,30,642,1.0,0.9933333333333334,0.9966666666666667,426,5,16,16,1.0,1.0,2.006808181060226,3.02505862827146,10.688375473022461,5.326057355105877,216,9,4,40,16,0.1
all_rank_before,pre_marker,31,642,0.9918627450980392,0.9933333333333334,0.9925980392156863,426,5,16,16,1.0,1.0,1.9283311069122524,2.851816071387465,10.58141040802002,5.487341032922268,216,9,4,40,16,0.1
all_rank_before,pre_marker,32,642,1.0,0.9933333333333334,0.9966666666666667,426,5,16,16,1.0,1.0,1.8574991444377462,2.689286223970537,10.150087356567383,5.464383327960968,216,9,4,40,16,0.1
all_rank_before,pre_marker,33,642,1.0,0.9800000000000001,0.99,426,5,16,16,1.0,1.0,3.1333647873065136,4.960109585242135,15.806840896606445,5.044685815274716,216,9,4,40,16,0.1
all_rank_before,pre_marker,34,642,1.0,1.0,1.0,426,5,16,16,1.0,1.0,2.085247558270375,3.191576213282884,11.278010368347168,5.4084755182266235,216,9,4,40,16,0.1
all_rank_before,pre_marker,35,642,1.0,1.0,1.0,426,5,16,16,1.0,1.0,2.4653581831756846,3.9188002530736705,13.667348861694336,5.543757882714272,216,9,4,40,16,0.1
all_rank_before,post_marker,0,642,0.8741003647072864,0.8078778932625681,0.8409891289849272,426,5,16,16,0.9042935212362458,0.7556947020539024,1.3572596150462755,1.3266292695085227,9.110443115234375,6.712380604445935,216,9,4,40,16,0.1
all_rank_before,post_marker,1,642,0.8329383472687321,0.6475557503703235,0.7402470488195279,426,5,16,16,0.914414286413546,0.6924773031742342,1.13447914333967,0.5479651607308887,7.913247585296631,6.975225266814232,216,9,4,40,16,0.1
all_rank_before,post_marker,2,642,0.7384250252732671,0.5803345417114214,0.6593797834923443,426,5,16,16,0.809165137034635,0.690798205697923,0.5495373598420302,-2.6000277708635315,4.044003963470459,7.358924540877342,216,9,4,40,16,0.1
all_rank_before,post_marker,3,642,0.7385738339195328,0.5552586815427925,0.6469162577311627,426,5,16,16,0.8101808185308655,0.5347968211624154,0.49371948758218287,-3.0651973042199776,3.3780856132507324,6.842115205526352,216,9,4,40,16,0.1
all_rank_before,post_marker,4,642,0.7704591731429413,0.5902025301348609,0.6803308516389011,426,5,16,16,0.7730391253651451,0.6526698634519337,0.5047583717193478,-2.9691646929097844,3.6465137004852295,7.224275821447373,216,9,4,40,16,0.1
all_rank_before,post_marker,5,642,0.7041699372731548,0.5577641056422569,0.6309670214577059,426,5,16,16,0.7672284349562584,0.6760372973820274,0.4965522360429848,-3.0403505808111335,3.3910274505615234,6.829145464301109,216,9,4,40,16,0.1
all_rank_before,post_marker,6,642,0.7563516801457425,0.6098071079308915,0.6830793940383171,426,5,16,16,0.8866590447287714,0.674309792150686,0.49573383829493933,-3.047514355769996,3.2883129119873047,6.633222624659538,216,9,4,40,16,0.1
all_rank_before,post_marker,7,642,0.7839775454041266,0.593296789768539,0.6886371675863328,426,5,16,16,0.8783655838037315,0.6078481165713633,0.48367043727218756,-3.154504565890497,3.213331699371338,6.643638832867145,216,9,4,40,16,0.1
all_rank_before,post_marker,8,642,0.8163343583047254,0.6079942029443356,0.7121642806245305,426,5,16,16,0.9022702652935525,0.7537304695125397,0.5050620301128254,-2.966552799380864,3.365828037261963,6.664187439531088,216,9,4,40,16,0.1
all_rank_before,post_marker,9,642,0.7228207502299165,0.5762113713906615,0.649516060810289,426,5,16,16,0.8168229746652145,0.7020642894145384,0.5003638793696062,-3.0071404901191334,3.4767003059387207,6.948343893885612,216,9,4,40,16,0.1
all_rank_before,post_marker,10,642,0.7361109022556391,0.5972075900535653,0.6666592461546021,426,5,16,16,0.8245000958569406,0.5656755874806756,0.4948047040536219,-3.0556618023366164,3.311063289642334,6.691656854748726,216,9,4,40,16,0.1
all_rank_before,post_marker,11,642,0.8555134860961928,0.7072213727596302,0.7813674294279115,426,5,16,16,0.908844169246646,0.6832615833934989,0.6784711769812501,-1.6846859744253593,4.341967582702637,6.399634546041488,216,9,4,40,16,0.1
all_rank_before,post_marker,12,642,0.8890925677288459,0.8246658619588185,0.8568792148438322,426,5,16,16,0.9369246646026832,0.8991389599317987,0.7631432338660201,-1.1739394194079842,4.90331506729126,6.425156968832016,216,9,4,40,16,0.1
all_rank_before,post_marker,13,642,0.8323099713569639,0.7559898784075033,0.7941499248822337,426,5,16,16,0.9037564499484004,0.7731244671781756,0.7873427016559696,-1.038361938893044,5.361842155456543,6.8100487172603605,216,9,4,40,16,0.1
all_rank_before,post_marker,14,642,0.7497198432004379,0.6380361644657863,0.693878003833112,426,5,16,16,0.8261496510399459,0.7409296083734097,0.723351490417439,-1.4065061936542071,5.142271518707275,7.108952683210373,216,9,4,40,16,0.1
all_rank_before,post_marker,15,642,0.802733985699543,0.6095461596919469,0.706140072695745,426,5,16,16,0.8268943167031739,0.686226866864907,0.6438312980916838,-1.9122791510283796,4.817111015319824,7.4819460153579715,216,9,4,40,16,0.1
all_rank_before,post_marker,16,642,0.6764429455992922,0.5225104831406248,0.5994767143699584,426,5,16,16,0.7640182005816681,0.5716437017910971,0.6022708367425499,-2.2020816579907585,4.580389976501465,7.605199682712555,216,9,4,40,16,0.1
all_rank_before,post_marker,17,642,0.6997583919532725,0.5659150124962266,0.6328367022247495,426,5,16,16,0.7615214535991222,0.5750418303372941,0.5760082590750857,-2.3957128941529473,4.427916526794434,7.687244856357575,216,9,4,40,16,0.1
