target,model_label,prompt_mode,selection_rule,selected_spec,coefficient,bootstrap_median,ci95_low,ci95_high,bootstrap_sd,replicates
bias,Qwen3-8B,direct,one_se,log_interaction__asinh__ridge__0.001,log_needles,0.8186686466205164,0.5401880722261049,1.112677778311414,0.14992584527317465,500
bias,Qwen3-8B,enumeration,best,log_length_only__asinh__huber__0.01,intercept,-5.860211903171092e-08,-1.1161274767537507e-07,-1.901977127492691e-08,2.348049488232291e-08,500
bias,Qwen3-8B,enumeration,best,log_length_only__asinh__huber__0.01,log_length,-5.2751072222976675e-08,-1.1670392657548827e-07,-1.2243801543473552e-08,2.6523188706730194e-08,500
bias,Qwen3-8B,enumeration,one_se,constant__asinh__huber__0.01,intercept,-5.604127749112868e-08,-9.746306186188537e-08,-1.8299195243569777e-08,2.1357809582016247e-08,500
bias,Qwen3-8B,native_thinking,best,constant__asinh__ridge__0.001,intercept,0.0,0.0,0.0,0.0,500
bias,Qwen3-8B,native_thinking,one_se,constant__asinh__ridge__0.001,intercept,0.0,0.0,0.0,0.0,500
exact,Qwen3-1.7B,direct,best,quadratic_log_needles__identity__logistic__0.3,intercept,-1.0326128774867716,-1.70430803640711,-0.4413307253963565,0.32192008088117696,500
exact,Qwen3-1.7B,direct,best,quadratic_log_needles__identity__logistic__0.3,log_length,-0.9575675355831466,-1.7537816569648366,-0.09037297268035159,0.4118815234936155,500
exact,Qwen3-1.7B,direct,best,quadratic_log_needles__identity__logistic__0.3,log_needles,-2.0510418264234014,-2.945143476704718,-1.4745643427968553,0.3732945155256152,500
exact,Qwen3-1.7B,direct,best,quadratic_log_needles__identity__logistic__0.3,log_needles_sq,0.23298862556788713,-0.2859938261664592,0.7508863304365403,0.24972685099478487,500
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,intercept,-0.8301966774675553,-1.4910812054886824,-0.31231549510804363,0.296914679748803,500
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,log_needles,-1.986129704028584,-2.783145593427951,-1.464468394102916,0.3454518937727605,500
exact,Qwen3-1.7B,enumeration,best,piecewise_log_needles__identity__logistic__0.03,intercept,-1.6081056305873793,-2.5737539492789474,-0.9380117193061539,0.408731720265819,500
exact,Qwen3-1.7B,enumeration,best,piecewise_log_needles__identity__logistic__0.03,log_length,-0.7953658108382176,-1.9482622434630086,0.13353243081259658,0.505501882557596,500
exact,Qwen3-1.7B,enumeration,best,piecewise_log_needles__identity__logistic__0.03,log_needles,-3.142263634341303,-5.316948386886992,-2.207309073463371,0.7930765663991861,500
exact,Qwen3-1.7B,enumeration,best,piecewise_log_needles__identity__logistic__0.03,needle_hinge,2.303102941327576,0.18517233249931658,5.130618856344672,1.2812541721853181,500
exact,Qwen3-1.7B,enumeration,one_se,log_needles_only__identity__logistic__0.3,intercept,-0.8843061319353998,-1.486286246102468,-0.4148290581224045,0.2788903486550152,500
exact,Qwen3-1.7B,enumeration,one_se,log_needles_only__identity__logistic__0.3,log_needles,-1.8849000042376782,-2.9265484117999745,-1.1261354941947657,0.4596012970651223,500
exact,Qwen3-1.7B,native_thinking,best,piecewise_log_needles__identity__logistic__0.3,intercept,1.247576613515477,0.7119153415245374,1.9050922909806003,0.2949739922289162,500
exact,Qwen3-1.7B,native_thinking,best,piecewise_log_needles__identity__logistic__0.3,log_length,0.1666920055441621,-0.4242606171455212,0.7322156161409151,0.30397179731267226,500
exact,Qwen3-1.7B,native_thinking,best,piecewise_log_needles__identity__logistic__0.3,log_needles,0.04477368350843188,-1.6132998045015785,0.5773139886783706,0.5233691839332133,500
exact,Qwen3-1.7B,native_thinking,best,piecewise_log_needles__identity__logistic__0.3,needle_hinge,-2.539271003175137,-4.0027992637592495,-0.827308729988866,0.7903728555238414,500
exact,Qwen3-1.7B,native_thinking,one_se,linear_needles_only__identity__logistic__0.3,intercept,0.7678333893851221,0.3745041423866942,1.2514649905574267,0.22392704561989207,500
exact,Qwen3-1.7B,native_thinking,one_se,linear_needles_only__identity__logistic__0.3,needle_linear,-0.9955658997659935,-1.7023071681604565,-0.6291826712257573,0.2958185510248309,500
exact,Qwen3-32B,direct,best,quadratic_log_needles__identity__logistic__0.3,intercept,-0.326605160222702,-1.0181180805008148,0.39048202592681247,0.37140251161006615,500
exact,Qwen3-32B,direct,best,quadratic_log_needles__identity__logistic__0.3,log_length,-1.5934373328830187,-2.703718388655988,-0.7684651113865743,0.479642587713407,500
exact,Qwen3-32B,direct,best,quadratic_log_needles__identity__logistic__0.3,log_needles,-3.5322462079126087,-4.767397355846343,-2.5859399813551898,0.5584887566720815,500
exact,Qwen3-32B,direct,best,quadratic_log_needles__identity__logistic__0.3,log_needles_sq,1.2452939214574392,-0.5016982109061788,2.1093748041848013,0.6539123675268951,500
exact,Qwen3-32B,direct,one_se,quadratic_log_needles__identity__logistic__0.3,intercept,-0.36293989803785875,-1.1662088792285887,0.3662334270838615,0.3757384886346638,500
exact,Qwen3-32B,direct,one_se,quadratic_log_needles__identity__logistic__0.3,log_length,-1.6312161137419485,-2.799443190388559,-0.8048131221223799,0.511309739361051,500
exact,Qwen3-32B,direct,one_se,quadratic_log_needles__identity__logistic__0.3,log_needles,-3.501082529437441,-4.770039466106345,-2.6317048568670005,0.5585128746600122,500
exact,Qwen3-32B,direct,one_se,quadratic_log_needles__identity__logistic__0.3,log_needles_sq,1.1931215148553664,-0.4445012076097356,2.1322771189234304,0.6684810149727988,500
exact,Qwen3-32B,enumeration,best,length_factor_log_n__identity__logistic__0.03,intercept,8.830218850141701,7.50116558691701,10.393349591207812,0.7397740364905643,500
exact,Qwen3-32B,enumeration,best,length_factor_log_n__identity__logistic__0.03,log_needles,-2.6054482824936946,-3.750081603911599,0.06667752477106702,0.9777114278047606,500
exact,Qwen3-32B,enumeration,best,length_factor_log_n__identity__logistic__0.03,t_is_10000,-3.0440870714763633,-4.095082232966831,0.2754843626010572,1.2203262436424593,500
exact,Qwen3-32B,enumeration,best,length_factor_log_n__identity__logistic__0.03,t_is_2000,1.0122055776725256,0.15118025910452523,2.2055096054258785,0.5667274922184903,500
exact,Qwen3-32B,enumeration,one_se,log_burden__identity__logistic__0.3,intercept,6.179485373999023,5.69363759874427,6.624948727083584,0.2753109710790984,500
exact,Qwen3-32B,enumeration,one_se,log_burden__identity__logistic__0.3,log_burden,-1.782063477301946,-2.0425347130023654,-0.0019128525345723719,0.5914391767028014,500
exact,Qwen3-32B,native_thinking,best,length_factor_log_n__identity__logistic__0.3,intercept,5.1328139303194025,4.493364278068181,6.49991947235389,0.5501609143476347,500
exact,Qwen3-32B,native_thinking,best,length_factor_log_n__identity__logistic__0.3,log_needles,-1.0076931258809343,-1.9212611486752398,0.23882040217448364,0.5802508034372685,500
