target,target_label,model_label,prompt_mode,n,event_count,failure_count,intercept,intercept_ci95_low,intercept_ci95_high,length_order,length_order_ci95_low,length_order_ci95_high,needle_order,needle_order_ci95_low,needle_order_ci95_high,length_doubling_factor,needle_doubling_factor,global_test_statistic,global_p_value,in_sample_score,seed_oof_cell_r2,seed_log_loss,seed_log_loss_null,seed_gain_pct,seed_brier,needle_log_loss,needle_log_loss_null,needle_gain_pct,needle_brier,length_log_loss,length_log_loss_null,length_gain_pct,length_brier,seed_mae,seed_mae_null,needle_mae,needle_mae_null,length_mae,length_mae_null,global_q_value,evidence
bias,Signed bias,Qwen3-8B,direct,150,,,0.8856423907947879,0.6555043736759076,1.0894479841073057,0.36896471185648777,-0.11481202866959118,0.8657009279917874,0.7296781848171494,0.3815161256399067,1.0837244014446323,1.291425761800487,1.6582691480867684,43.63009206824909,1.3334778324938318e-15,0.6985871768291481,0.5194257954432857,,,31.304413874680364,,,,30.39098362245055,,,,19.651968192195906,,0.7164840055475665,1.0429840488448598,0.7668562113834634,1.1016621858641757,0.8512751008982046,1.0594846964447004,4.000433497481496e-15,supported
absolute_error,Absolute error,Qwen3-8B,direct,150,,,0.7694449094192001,0.6380822224113901,0.8959534154335563,0.14863369465392715,-0.08671236438584949,0.34489170489094134,0.7124843273933278,0.5635290680465768,0.9005737627441327,1.1085191509565582,1.6386234059299858,125.01591330845898,1.9238134274358343e-32,0.4171681289074732,0.8005880727978271,,,43.932546818792964,,,,43.49291467697755,,,,36.76390465427866,,0.42745421042642107,0.7623927718723227,0.46505190199592733,0.8229975043615515,0.483916609965531,0.7652537800126421,5.771440282307503e-32,supported
exact,Exact correctness,Qwen3-8B,enumeration,150,143.0,7.0,3.2750273658181026,2.622031240468651,6.579536996093518,-1.434739490841188,-5.2966071998992,-0.5662876906633397,0.3597023605084893,-0.25494647940035253,1.0874426339612537,0.36991366703253975,1.2831611438770691,4.9995649719501785,0.08210285520429221,0.17191572759652596,0.2002904821569539,0.19509451155758073,0.20442706123124166,4.565222244771318,0.045746946052569425,0.1840981692339196,0.19350937204883698,4.8634351480104066,0.04433817192724137,0.4107893041234287,0.20419154970618675,-101.17840562673504,0.1331551104759076,,,,,,,0.09236571210482873,ceiling_limited
bias,Signed bias,Qwen3-8B,enumeration,149,,,-0.03876165847385926,-0.07367035207509952,-0.014264683690483742,-0.03496645900733515,-0.07160710786832357,-0.008580779937499285,0.003543646594133131,-0.017689156234485918,0.028275651039403073,0.9760544526506357,1.0024592877448542,1.3355286285264174,0.26621289694934014,0.06690078350919619,0.10630585189580743,,,0.16431255246610424,,,,-6.1212374831590735,,,,-28.808080379924895,,0.0690079655164789,0.06912154088461031,0.07267563524726979,0.068483591947185,0.08879291901902327,0.06893427707106944,0.29948950906800764,not_supported
absolute_error,Absolute error,Qwen3-8B,enumeration,149,,,0.030483707114299204,0.010580272235604617,0.05356795511949189,0.027499011579254242,0.004618529504248561,0.05287063319500524,-0.002786864369206209,-0.020327672395840348,0.01315712474736631,1.019243680289534,0.998070157365418,1.3355286285264238,0.2662128969493384,0.05261343220354798,0.10630585189580732,,,0.16431255246608792,,,,-6.121237483159062,,,,-28.808080379924974,,0.05427060379206108,0.054359923970655886,0.057155004879821815,0.053858215598825865,0.06983027671597204,0.05421265227305976,0.2994895090680057,not_supported
exact,Exact correctness,Qwen3-8B,native_thinking,150,147.0,3.0,4.689860476166424,3.565351705472526,13.889787179653872,-0.18044697646153285,-2.3913752069522483,1.8607100846690303,-1.2442683980576927,-6.913775847524948,0.06862770604766218,0.8824295591902583,0.42212190511869685,3.4750782195513388,0.17595286896535967,0.0864555363610393,0.13328528493310754,0.12504670231140808,0.11108685881451298,-12.566602067850807,0.020928256930850844,0.10019908142441722,0.10413971913122143,3.7839911031820646,0.01941555951682135,1.0603490046523711,0.2060507231487013,-414.60581571807717,0.317293567371243,,,,,,,0.17595286896535967,ceiling_limited
bias,Signed bias,Qwen3-8B,native_thinking,147,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
absolute_error,Absolute error,Qwen3-8B,native_thinking,147,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
exact,Exact correctness,Qwen3-32B,direct,150,72.0,78.0,0.016539155025621966,-0.7280615856432741,0.6559937321396166,-1.585717891868912,-3.1984469269373887,-0.755784961766818,-2.495399738834588,-5.343622606793732,-1.6444906755000754,0.333158846602943,0.17734127537836883,92.33139251431042,8.922629549729932e-21,0.384575658709497,0.7396268904851278,0.4051905945177959,0.6976656018056868,41.92194749618039,0.13002895818878987,0.46015629221077553,0.7530678239119336,38.89577039416999,0.13795668368152722,0.5305204609812031,0.743892780560701,28.683208811177174,0.14749219439479272,,,,,,,8.030366594756939e-20,supported
bias,Signed bias,Qwen3-32B,direct,150,,,0.7994573782141882,0.608041858821598,0.9540253566903865,0.5464146470786332,0.2470594743273516,0.9094639024118283,0.7369228474421906,0.4477478681120194,0.9983210466560877,1.4604517008858346,1.666617284446213,103.26400084858916,9.742568101444477e-29,0.4864971537298881,0.7140223056693399,,,42.684856902537206,,,,40.593668779491004,,,,39.97131889705481,,0.4959204752715305,0.8652520930258023,0.5461594700591867,0.919362395957276,0.5592898767117948,0.9317044226786356,8.768311291300029e-28,supported
absolute_error,Absolute error,Qwen3-32B,direct,150,,,0.639686819022106,0.5110051487473826,0.7453116403988147,0.38677868721078495,0.16457059412809855,0.5924979375180549,0.6232661086866268,0.43690405153689926,0.7911415060105333,1.3074707640828032,1.5403584452144943,142.89051189612422,3.4049494822192167e-35,0.3601184200124596,0.7988502111593037,,,44.628420128758144,,,,43.33328702122048,,,,44.79590594650927,,0.36918480411516147,0.6667406004554038,0.405831321121817,0.7161723343187247,0.3925399227659211,0.7110703100852709,3.064454533997295e-34,supported
exact,Exact correctness,Qwen3-32B,enumeration,150,148.0,2.0,9.391123569033379,7.796720834144282,12.145098929180145,-4.928141827707361,-6.632343853793932,-0.04300531275828266,-2.7258091469949797,-4.774838671799552,0.08612441208214151,0.03284592425037526,0.15116445558477984,10.211388507079846,0.006062128799509907,0.036772624434989944,0.812632071264558,0.05044162477072572,0.07712594788815479,34.598372983532975,0.013948014434421884,0.05176886274764833,0.07869901686257923,34.21917476041048,0.01618519599658144,0.12217481027207056,0.1373190513787393,11.02850693666638,0.013400298605170459,,,,,,,0.007794165599369881,ceiling_limited
bias,Signed bias,Qwen3-32B,enumeration,150,,,-0.017011580992299144,-0.04156451073005225,0.0,-0.03179558774711653,-0.07872360092999582,0.0,-0.026524272051430008,-0.06029842375296311,0.0,0.9782020629044046,0.9817827528407805,3.145398845283621,0.045961258899255175,0.04656352442447078,0.21557644955259725,,,-32.698021834574305,,,,-36.96476473074555,,,,-53.649011110828084,,0.04737003639334117,0.03569762061140158,0.04893881396359996,0.035730951723099834,0.055309957370890124,0.03599760061650815,0.08273026601865932,not_supported
absolute_error,Absolute error,Qwen3-32B,enumeration,150,,,0.01309740173528811,0.0,0.034386603328846826,0.024489434432963947,0.0,0.05605562149372678,0.020470303126410606,0.0,0.05065530344225316,1.0171196727160154,1.0142900735990523,3.1813630879438146,0.044403513641475705,0.035885098679381396,0.21803313976846184,,,-32.78045306092652,,,,-36.99787002804081,,,,-53.69001267669276,,0.03650777068000167,0.027494838162097565,0.037702512904322666,0.027520510279908508,0.04261191958661568,0.027725887222259184,0.06640978928598508,not_supported
exact,Exact correctness,Qwen3-32B,native_thinking,150,146.0,4.0,7.222135607933725,6.151744212223543,13.02295486332921,-5.74871897739331,-7.77346111953647,-0.14719661443759038,-1.2970399699326598,-5.205911651257517,0.20244888537092745,0.01859786758112142,0.40696031752466044,13.422461963720654,0.0012171648941226155,0.07821547052506743,0.546835065183606,0.10501708878119849,0.13025057217841243,19.373030747726812,0.024842401845606748,0.10281125575568331,0.13344189071607895,22.954287290164146,0.025705464908474973,0.2424277841632592,0.27485401338370774,11.797618969158064,0.026736493326477363,,,,,,,0.0018257473411839233,ceiling_limited
bias,Signed bias,Qwen3-32B,native_thinking,150,,,-0.0006918998432215574,-0.045382420708164034,0.05390152797822037,-0.008415826067492431,-0.08027396426052072,0.07789781173506863,-0.03717354341245004,-0.0890584639279959,0.0017039304018963046,0.9941835751670529,0.9745623926317442,1.5278673556280085,0.22042364529803243,0.06487111041610681,0.08099306669086315,,,-48.44514696921523,,,,-57.78232370130749,,,,-59.16298066829365,,0.06751203027651922,0.045479445879439875,0.07160891364669968,0.045384623554068165,0.06804498928160685,0.042751768656190965,0.2834018296688988,not_supported
absolute_error,Absolute error,Qwen3-32B,native_thinking,150,,,0.03098397892317605,0.0,0.07217976576384985,0.052181412799941,0.0,0.10926075072283242,0.019275678832292347,-0.006680171974525729,0.05214946455779011,1.036831469995256,1.013450537872663,3.0237687951284307,0.05165205833354395,0.06581844509675804,0.16862924248271582,,,-16.508634978892406,,,,-16.060289298600974,,,,-44.562576764679136,,0.06745133084956223,0.05789384697690624,0.06724728910269816,0.05794168660883114,0.08540403914797516,0.05907755731761546,0.06640978928598508,not_supported
