target,model_label,prompt_mode,candidate,candidate_label,complexity,scheme,n,log_loss,brier,log_loss_fold_se,mae,rmse,mae_fold_se
bias,Qwen3-1.7B,native_thinking,piecewise_log_needles,Log T + piecewise log N,3,length,148,,,,0.4773080111923252,0.7094391222253199,0.020354359012321906
bias,Qwen3-1.7B,native_thinking,log_interaction,Log T × log N,3,seed,148,,,,0.5689586029703873,0.7652543731637698,0.027855710087815698
bias,Qwen3-1.7B,native_thinking,log_interaction,Log T × log N,3,needle,148,,,,0.6035464695084858,0.7890666754690989,0.09003014968060537
bias,Qwen3-1.7B,native_thinking,log_interaction,Log T × log N,3,length,148,,,,0.6108521475762021,0.8300484289699688,0.013662128501566593
absolute_error,Qwen3-1.7B,native_thinking,intercept_only,Constant,0,seed,148,,,,0.6466047505411707,0.7537949146023241,0.015792459686900958
absolute_error,Qwen3-1.7B,native_thinking,intercept_only,Constant,0,needle,148,,,,0.6779748867220634,0.8024016591481151,0.11047609561940301
absolute_error,Qwen3-1.7B,native_thinking,intercept_only,Constant,0,length,148,,,,0.6382374412578473,0.7473940859814351,0.009731042019847517
absolute_error,Qwen3-1.7B,native_thinking,log_density,Log density,1,seed,148,,,,0.49525263667766084,0.6137379600727818,0.02041828351458603
absolute_error,Qwen3-1.7B,native_thinking,log_density,Log density,1,needle,148,,,,0.5418513707375268,0.6671047555324513,0.06919100625725125
absolute_error,Qwen3-1.7B,native_thinking,log_density,Log density,1,length,148,,,,0.5522187036594172,0.6834968315662422,0.03275066782829956
absolute_error,Qwen3-1.7B,native_thinking,log_burden,Log burden,1,seed,148,,,,0.5201478555687924,0.6289001180728848,0.025115094118042792
absolute_error,Qwen3-1.7B,native_thinking,log_burden,Log burden,1,needle,148,,,,0.5658770682190749,0.6777126599094437,0.0729032490302741
absolute_error,Qwen3-1.7B,native_thinking,log_burden,Log burden,1,length,148,,,,0.6086151086749984,0.7241101840990914,0.0507777812829274
absolute_error,Qwen3-1.7B,native_thinking,log_separable,Separate log T + log N,2,seed,148,,,,0.441333420631661,0.5496166439392449,0.02288204259718691
absolute_error,Qwen3-1.7B,native_thinking,log_separable,Separate log T + log N,2,needle,148,,,,0.5073626437052107,0.6288530974044263,0.0860733449416354
absolute_error,Qwen3-1.7B,native_thinking,log_separable,Separate log T + log N,2,length,148,,,,0.4382028763004701,0.5449062063952904,0.010595545179533412
absolute_error,Qwen3-1.7B,native_thinking,semi_log_needles,Log T + linear N,2,seed,148,,,,0.3872328502974856,0.48118538411805845,0.022744504549437754
absolute_error,Qwen3-1.7B,native_thinking,semi_log_needles,Log T + linear N,2,needle,148,,,,0.39125866477761595,0.4955867895168235,0.05126262548723573
absolute_error,Qwen3-1.7B,native_thinking,semi_log_needles,Log T + linear N,2,length,148,,,,0.3617883389921544,0.4730816440167958,0.018960677309702793
absolute_error,Qwen3-1.7B,native_thinking,piecewise_log_needles,Log T + piecewise log N,3,seed,148,,,,0.3538100376949432,0.463091731001083,0.01916930915307597
absolute_error,Qwen3-1.7B,native_thinking,piecewise_log_needles,Log T + piecewise log N,3,needle,148,,,,0.34163169813457206,0.4536400125832648,0.04807055110598107
absolute_error,Qwen3-1.7B,native_thinking,piecewise_log_needles,Log T + piecewise log N,3,length,148,,,,0.3229520078525422,0.4555682538875329,0.022709219552734323
absolute_error,Qwen3-1.7B,native_thinking,log_interaction,Log T × log N,3,seed,148,,,,0.44227148854977655,0.5491183534436774,0.02029276167956714
absolute_error,Qwen3-1.7B,native_thinking,log_interaction,Log T × log N,3,needle,148,,,,0.5049021903250257,0.6266808943463325,0.08604386545947863
absolute_error,Qwen3-1.7B,native_thinking,log_interaction,Log T × log N,3,length,148,,,,0.45148860433837207,0.5566537055489077,0.005351081041756294
exact,Qwen3-8B,direct,intercept_only,Constant,0,seed,150,0.6861296540738266,0.24647215228312258,0.007929978611348596,,,
exact,Qwen3-8B,direct,intercept_only,Constant,0,needle,150,0.75528969606283,0.2799000977707395,0.05306957548998361,,,
exact,Qwen3-8B,direct,intercept_only,Constant,0,length,150,0.6852985663286434,0.24606659596697464,0.006094871209019835,,,
exact,Qwen3-8B,direct,log_density,Log density,1,seed,150,0.5308471751757822,0.16836218871152525,0.05497737002413632,,,
exact,Qwen3-8B,direct,log_density,Log density,1,needle,150,0.5621176451900151,0.181941312250901,0.05877498268124945,,,
exact,Qwen3-8B,direct,log_density,Log density,1,length,150,0.8054077878292574,0.22305384043067733,0.2925138128263165,,,
exact,Qwen3-8B,direct,log_burden,Log burden,1,seed,150,0.5013876388467782,0.17200018740806522,0.0206414941084702,,,
exact,Qwen3-8B,direct,log_burden,Log burden,1,needle,150,0.5424491777157336,0.18855741580277166,0.080126987893817,,,
exact,Qwen3-8B,direct,log_burden,Log burden,1,length,150,0.6801332459067463,0.2356935150701072,0.14021963704570384,,,
exact,Qwen3-8B,direct,log_separable,Separate log T + log N,2,seed,150,0.42535645187291976,0.11370505832884328,0.0775872741594765,,,
exact,Qwen3-8B,direct,log_separable,Separate log T + log N,2,needle,150,0.45310258983382456,0.12199871854582266,0.09140420419098493,,,
