target,model_label,prompt_mode,outer_seed,selection_rule,selected_spec,selected_label,inner_loss,inner_fold_se,best_inner_loss
absolute_error,Qwen3-1.7B,native_thinking,1237,one_se,log_needles_only__log1p__ridge__0.001,Log N only; log1p + ridge,1.0941764458839414,0.19656834230521075,1.0230291599418673
absolute_error,Qwen3-1.7B,native_thinking,1238,one_se,linear_needles_only__log1p__ridge__0.001,Linear N only; log1p + ridge,1.0101157274946666,0.0964829877937921,0.9339068099502246
absolute_error,Qwen3-1.7B,native_thinking,1234,best,piecewise_log_needles__sqrt__huber__0.01,Log T + piecewise log N; sqrt + Huber,1.0364218772591036,0.07690097170773195,1.0364218772591036
absolute_error,Qwen3-1.7B,native_thinking,1235,best,piecewise_log_needles__sqrt__huber__0.01,Log T + piecewise log N; sqrt + Huber,0.8688919248797323,0.11702692570110808,0.8688919248797323
absolute_error,Qwen3-1.7B,native_thinking,1236,best,length_factor_log_n__sqrt__huber__0.01,T-level intercepts + log N; sqrt + Huber,0.9659436585620431,0.2075636280205288,0.9659436585620431
absolute_error,Qwen3-1.7B,native_thinking,1237,best,piecewise_log_needles__log1p__ridge__0.001,Log T + piecewise log N; log1p + ridge,1.0230291599418673,0.08227140171052544,1.0230291599418673
absolute_error,Qwen3-1.7B,native_thinking,1238,best,semi_log_needles__sqrt__huber__0.01,Log T + linear N; sqrt + Huber,0.9339068099502246,0.0968197959017384,0.9339068099502246
exact,Qwen3-8B,direct,1234,one_se,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.39925589952130036,0.04927658197476673,0.39925589952130036
exact,Qwen3-8B,direct,1235,one_se,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.44346163232575386,0.07238536707388604,0.3946670957371058
exact,Qwen3-8B,direct,1236,one_se,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.3539683801404153,0.05761560947099156,0.3138712690332214
exact,Qwen3-8B,direct,1237,one_se,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.352355029969595,0.05316593273999743,0.3287762955094556
exact,Qwen3-8B,direct,1238,one_se,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.41957519495888096,0.09932432492184655,0.39798397806223157
exact,Qwen3-8B,direct,1234,best,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.39925589952130036,0.04927658197476673,0.39925589952130036
