model_label,seed,receiver_count,donor_count,support,condition,source_layer,target_layer,replacement_delta_norm,clean_donor_log_odds,condition_donor_log_odds,donor_log_odds_gain,target_donor_fraction,argmax_token_changed
Qwen3-8B,1256,2,1,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-19.25,-19.25,0.0,-7.856640149839222e-05,0
Qwen3-8B,1256,2,1,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-19.25,7.25,26.5,0.9872544407844543,1
Qwen3-8B,1256,2,1,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-19.25,15.0,34.25,1.853631854057312,1
Qwen3-8B,1256,2,1,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-19.25,-15.75,3.5,-0.07748255878686905,0
Qwen3-8B,1256,5,6,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,-3.75,-3.75,0.0,1.7859636500361376e-05,0
Qwen3-8B,1256,5,6,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,-3.75,-3.75,0.0,-0.002243652008473873,0
Qwen3-8B,1256,5,6,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,-3.75,-3.75,0.0,-0.001050095888786018,0
Qwen3-8B,1256,5,6,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,-3.75,-1.25,2.5,0.8643949031829834,1
Qwen3-8B,1256,5,6,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-3.75,1.5,5.25,1.7366946935653687,1
Qwen3-8B,1256,5,6,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,-3.75,-5.0,-1.25,-0.1809246838092804,0
Qwen3-8B,1256,6,5,legacy_endpoint,aligned_dose_1,27,29,12.123069763183594,3.25,3.0,-0.25,-0.00022315159731078893,0
Qwen3-8B,1256,6,5,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,3.25,3.0,-0.25,-0.0008325944654643536,0
Qwen3-8B,1256,6,5,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,3.25,3.0,-0.25,-0.00016644186689518392,0
Qwen3-8B,1256,6,5,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,3.25,5.0,1.75,0.8056620955467224,1
Qwen3-8B,1256,6,5,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,3.25,3.75,0.5,1.453034520149231,1
Qwen3-8B,1256,6,5,answer_query_relay,matched_orthogonal,28,29,23.792585372924805,3.25,5.0,1.75,0.2066354602575302,0
Qwen3-8B,1257,1,2,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-5.0,-5.0,0.0,0.0005445393035188317,0
Qwen3-8B,1257,1,2,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-5.0,-5.25,-0.25,0.0006704209954477847,0
Qwen3-8B,1257,1,2,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-5.0,-5.25,-0.25,0.0004171025939285755,0
Qwen3-8B,1257,1,2,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-5.0,19.0,24.0,0.974709689617157,1
Qwen3-8B,1257,1,2,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-5.0,13.75,18.75,1.868943452835083,1
Qwen3-8B,1257,1,2,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-5.0,7.25,12.25,0.10460968315601349,1
Qwen3-8B,1257,2,1,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-19.5,-19.75,-0.25,0.00010796774586196989,0
Qwen3-8B,1257,2,1,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-19.5,-19.75,-0.25,0.0001543518592370674,0
Qwen3-8B,1257,2,1,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-19.5,-19.5,0.0,-0.00011106296005891636,0
Qwen3-8B,1257,2,1,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-19.5,6.75,26.25,0.9869314432144165,1
Qwen3-8B,1257,2,1,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-19.5,15.0,34.5,1.842397689819336,1
Qwen3-8B,1257,2,1,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-19.5,-15.5,4.0,-0.07349774986505508,0
Qwen3-8B,1257,5,6,legacy_endpoint,aligned_dose_1,27,29,12.123069763183594,-3.0,-3.0,0.0,-0.0008183995960280299,0
Qwen3-8B,1257,5,6,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,-3.0,-3.0,0.0,7.060784264467657e-05,0
Qwen3-8B,1257,5,6,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,-3.0,-3.0,0.0,0.0017709569074213505,0
Qwen3-8B,1257,5,6,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,-3.0,0.25,3.25,0.9757735729217529,1
Qwen3-8B,1257,5,6,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-3.0,2.25,5.25,1.885472059249878,1
Qwen3-8B,1257,5,6,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,-3.0,-4.5,-1.5,-0.1579703986644745,1
Qwen3-8B,1257,6,5,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,1.5,1.5,0.0,-0.0003000160213559866,0
Qwen3-8B,1257,6,5,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,1.5,1.5,0.0,-0.0004965161206200719,0
Qwen3-8B,1257,6,5,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,1.5,1.5,0.0,0.0007666046149097383,0
Qwen3-8B,1257,6,5,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,1.5,4.0,2.5,0.9355509281158447,1
Qwen3-8B,1257,6,5,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,1.5,3.75,2.25,1.664107084274292,1
Qwen3-8B,1257,6,5,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,1.5,2.5,1.0,0.15713515877723694,0
Qwen3-8B,1258,1,2,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-11.75,-11.75,0.0,0.0013146096607670188,0
Qwen3-8B,1258,1,2,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-11.75,-11.75,0.0,0.0013995915651321411,0
Qwen3-8B,1258,1,2,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-11.75,-11.75,0.0,0.0013694671215489507,0
Qwen3-8B,1258,1,2,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-11.75,19.75,31.5,0.9879506230354309,1
