model_label,target_passage_tokens,num_needles,observed_mean_asinh_bias,oof_predicted_mean_asinh_bias,parsed_n
Qwen3-32B,5000,10,1.555400582416858,0.7885557908022082,30
Qwen3-32B,5000,20,1.1790209947615344,0.7961931919464329,29
Qwen3-32B,5000,30,0.9690644942905035,0.7961931919464329,29
Qwen3-32B,10000,1,0.0,0.7885557908022082,30
Qwen3-32B,10000,2,0.37579604363760927,0.7885557908022082,30
Qwen3-32B,10000,3,0.32159973222433064,0.7885557908022082,30
Qwen3-32B,10000,4,0.5367473632346508,0.7885557908022082,30
Qwen3-32B,10000,5,0.5443375028161311,0.7885557908022082,30
Qwen3-32B,10000,6,0.9326974800305844,0.7885557908022082,30
Qwen3-32B,10000,8,1.5874193047973244,0.7885557908022082,30
Qwen3-32B,10000,10,1.6671176737571962,0.7885557908022082,30
Qwen3-32B,10000,20,1.7658466084692193,0.7885557908022082,30
Qwen3-32B,10000,30,1.0987093518642286,0.7885557908022082,30
Qwen3-8B,2000,1,0.0,0.7276002485296291,30
Qwen3-8B,2000,2,0.5449698061524496,0.7276002485296291,30
Qwen3-8B,2000,3,0.8045681256636332,0.7276002485296291,30
Qwen3-8B,2000,4,0.42110932298444215,0.7276002485296291,30
Qwen3-8B,2000,5,0.8928707681007749,0.7276002485296291,30
Qwen3-8B,2000,6,0.7028639685099762,0.7276002485296291,30
Qwen3-8B,2000,8,0.5623263995612768,0.7276002485296291,30
Qwen3-8B,2000,10,0.10259183308551356,0.7276002485296291,30
Qwen3-8B,2000,20,-0.27226311233898837,0.7276002485296291,30
Qwen3-8B,2000,30,-0.30707124966292054,0.7276002485296291,30
Qwen3-8B,5000,1,0.0,0.7276002485296291,30
Qwen3-8B,5000,2,0.7897161726797747,0.7276002485296291,30
Qwen3-8B,5000,3,1.0066944795627186,0.7276002485296291,30
Qwen3-8B,5000,4,0.9287435474337793,0.7276002485296291,30
Qwen3-8B,5000,5,1.1452840734493155,0.7276002485296291,30
Qwen3-8B,5000,6,0.9315629472073456,0.7526899122720301,29
Qwen3-8B,5000,8,1.3486625361057547,0.7276002485296291,30
Qwen3-8B,5000,10,1.2489581100116893,0.7276002485296291,30
Qwen3-8B,5000,20,0.8472973914882624,0.779571694853174,28
Qwen3-8B,5000,30,0.5327892961230917,0.779571694853174,28
Qwen3-8B,10000,1,0.0,0.7542095219048225,29
Qwen3-8B,10000,2,0.75294926645685,0.7276002485296291,30
Qwen3-8B,10000,3,0.9773153599954004,0.7276002485296291,30
Qwen3-8B,10000,4,0.9335456619347459,0.7276002485296291,30
Qwen3-8B,10000,5,0.9729722741912423,0.7276002485296291,30
Qwen3-8B,10000,6,1.005462815270828,0.7276002485296291,30
Qwen3-8B,10000,8,1.2210466447376875,0.7276002485296291,30
Qwen3-8B,10000,10,1.249242432894488,0.7276002485296291,30
Qwen3-8B,10000,20,1.452302750812453,0.7855215375405055,29
Qwen3-8B,10000,30,1.4741035920952428,0.9111811990153016,27
