candidate,candidate_label,scheme,fold,train_n,test_n,asinh_mae,asinh_rmse
shared_log_length_only,Shared log L,length,10000,1780,888,1.2379182995325626,1.8030113320006849
shared_log_length_only,Shared log L,length,2000,1774,894,1.2162201984621075,1.7508528451267271
shared_log_length_only,Shared log L,length,5000,1782,886,1.0694123358248893,1.678471146647046
shared_log_length_only,Shared log L,needle_level,1,2400,268,1.2131777540718187,1.866144345764759
shared_log_length_only,Shared log L,needle_level,10,2402,266,1.1332545601255732,1.7406050075665145
shared_log_length_only,Shared log L,needle_level,2,2401,267,0.9712642499906576,1.4702140052996828
shared_log_length_only,Shared log L,needle_level,20,2404,264,1.5683088067296165,2.0782950344023123
shared_log_length_only,Shared log L,needle_level,3,2400,268,0.9543557362661508,1.4084656863602751
shared_log_length_only,Shared log L,needle_level,30,2406,262,1.8719073437921534,2.4704395810942157
shared_log_length_only,Shared log L,needle_level,4,2401,267,0.9560366045597244,1.4664580744012938
shared_log_length_only,Shared log L,needle_level,5,2399,269,0.9413481172228296,1.469267690474321
shared_log_length_only,Shared log L,needle_level,6,2399,269,0.9903624742390775,1.5798792262362635
shared_log_length_only,Shared log L,needle_level,8,2400,268,1.0148960444671689,1.6054990635594109
shared_log_length_only,Shared log L,blocked_cell,0,2139,529,1.0751356185575374,1.6456923179843286
shared_log_length_only,Shared log L,blocked_cell,1,2133,535,1.1133187280477872,1.691039177176211
shared_log_length_only,Shared log L,blocked_cell,2,2135,533,1.083581669007412,1.6416603466142654
shared_log_length_only,Shared log L,blocked_cell,3,2132,536,1.1955584635869954,1.7649953916101409
shared_log_length_only,Shared log L,blocked_cell,4,2133,535,1.1221854955864818,1.6848058547540947
shared_log_needles_only,Shared log N,seed,1234,2137,531,1.1174355137314973,1.7585020064039707
shared_log_needles_only,Shared log N,seed,1235,2132,536,1.112402608781972,1.7262941925476958
shared_log_needles_only,Shared log N,seed,1236,2134,534,1.122838071771883,1.770144417050259
shared_log_needles_only,Shared log N,seed,1237,2132,536,1.0724654267683107,1.6701915249030466
shared_log_needles_only,Shared log N,seed,1238,2137,531,1.1276824093830526,1.7680826243724992
shared_log_needles_only,Shared log N,length,10000,1780,888,1.191646483790844,1.8394429289918057
shared_log_needles_only,Shared log N,length,2000,1774,894,1.1309336306973476,1.7861934535878035
shared_log_needles_only,Shared log N,length,5000,1782,886,1.0851424892152435,1.6790865415699607
shared_log_needles_only,Shared log N,needle_level,1,2400,268,1.2505079162819606,1.9232134575851147
shared_log_needles_only,Shared log N,needle_level,10,2402,266,1.1016729874373832,1.7572230779945717
shared_log_needles_only,Shared log N,needle_level,2,2401,267,0.9449130545858525,1.465706355320187
shared_log_needles_only,Shared log N,needle_level,20,2404,264,1.582218040565772,2.1084674586742147
shared_log_needles_only,Shared log N,needle_level,3,2400,268,0.9168531477596876,1.3971466683135036
shared_log_needles_only,Shared log N,needle_level,30,2406,262,2.0951233100449715,2.6421510329954194
shared_log_needles_only,Shared log N,needle_level,4,2401,267,0.9289909871394626,1.481636936684609
shared_log_needles_only,Shared log N,needle_level,5,2399,269,0.8977801079088725,1.477906168517695
shared_log_needles_only,Shared log N,needle_level,6,2399,269,0.9372684394958445,1.5814794779987307
shared_log_needles_only,Shared log N,needle_level,8,2400,268,0.9801406308055873,1.6198167694275005
shared_log_needles_only,Shared log N,blocked_cell,0,2139,529,1.0483259316930431,1.657102530755327
shared_log_needles_only,Shared log N,blocked_cell,1,2133,535,1.0888915920639581,1.7018277059828468
shared_log_needles_only,Shared log N,blocked_cell,2,2135,533,1.0457000117099524,1.6558398875518858
shared_log_needles_only,Shared log N,blocked_cell,3,2132,536,1.1811610618698547,1.7799861611188974
shared_log_needles_only,Shared log N,blocked_cell,4,2133,535,1.103220293438005,1.6942638757827615
shared_log_density,Shared log density,seed,1234,2137,531,1.1321327827885175,1.764403525891622
shared_log_density,Shared log density,seed,1235,2132,536,1.091184004919109,1.715439615302908
shared_log_density,Shared log density,seed,1236,2134,534,1.1185768809875456,1.7685885578489253
shared_log_density,Shared log density,seed,1237,2132,536,1.0930661683239271,1.6782545501952848
shared_log_density,Shared log density,seed,1238,2137,531,1.1105384026780956,1.760502808935253
shared_log_density,Shared log density,length,10000,1780,888,1.2037078768453295,1.8303511620899493
shared_log_density,Shared log density,length,2000,1774,894,1.1339646525886788,1.800014167919856
shared_log_density,Shared log density,length,5000,1782,886,1.0808160532642326,1.679309742692808
shared_log_density,Shared log density,needle_level,1,2400,268,1.339190379652447,2.0086030823280705
shared_log_density,Shared log density,needle_level,10,2402,266,1.114094143572876,1.7648135845653794
shared_log_density,Shared log density,needle_level,2,2401,267,0.9443238881831982,1.4761587339406208
shared_log_density,Shared log density,needle_level,20,2404,264,1.5547603373539027,2.0998261579244897
shared_log_density,Shared log density,needle_level,3,2400,268,0.9155885013297607,1.402971886677166
shared_log_density,Shared log density,needle_level,30,2406,262,1.9083248575080471,2.521379240259211
shared_log_density,Shared log density,needle_level,4,2401,267,0.9205055858993068,1.4730104604924068
shared_log_density,Shared log density,needle_level,5,2399,269,0.8979954897839559,1.473632591969604
shared_log_density,Shared log density,needle_level,6,2399,269,0.9431654247978888,1.5806250765907723
shared_log_density,Shared log density,needle_level,8,2400,268,0.9921017179386539,1.6253049181687462
shared_log_density,Shared log density,blocked_cell,0,2139,529,1.056571156889287,1.6605347414028362
shared_log_density,Shared log density,blocked_cell,1,2133,535,1.072557947453177,1.6933086465135372
shared_log_density,Shared log density,blocked_cell,2,2135,533,1.0691572235204598,1.6641352923052217
shared_log_density,Shared log density,blocked_cell,3,2132,536,1.1578355837418843,1.7704329309399094
shared_log_density,Shared log density,blocked_cell,4,2133,535,1.0989930265131658,1.69140499166648
shared_log_separable,Shared log L + log N,seed,1234,2137,531,1.1538776405656703,1.7470024166502856
shared_log_separable,Shared log L + log N,seed,1235,2132,536,1.145515677975161,1.7267140591862105
shared_log_separable,Shared log L + log N,seed,1236,2134,534,1.1525535518175816,1.7582038570709086
shared_log_separable,Shared log L + log N,seed,1237,2132,536,1.1092450282184931,1.65992339306508
shared_log_separable,Shared log L + log N,seed,1238,2137,531,1.1487898800107321,1.755602154520125
shared_log_separable,Shared log L + log N,length,10000,1780,888,1.2395824100064672,1.8088843776952748
shared_log_separable,Shared log L + log N,length,2000,1774,894,1.221736900423403,1.7610379032760777
shared_log_separable,Shared log L + log N,length,5000,1782,886,1.084005999152173,1.679877739100982
shared_log_separable,Shared log L + log N,needle_level,1,2400,268,1.2719284367018002,1.9423452728307706
shared_log_separable,Shared log L + log N,needle_level,10,2402,266,1.1326002861272013,1.7358790464167617
shared_log_separable,Shared log L + log N,needle_level,2,2401,267,0.9745053599910616,1.4662174943570923
shared_log_separable,Shared log L + log N,needle_level,20,2404,264,1.581864399140803,2.082730017055397
shared_log_separable,Shared log L + log N,needle_level,3,2400,268,0.9545673852359249,1.4059889865622832
shared_log_separable,Shared log L + log N,needle_level,30,2406,262,2.071359918410042,2.6267048416657075
shared_log_separable,Shared log L + log N,needle_level,4,2401,267,0.9593453466778268,1.470428474835036
shared_log_separable,Shared log L + log N,needle_level,5,2399,269,0.9415189644449233,1.4702943003480087
shared_log_separable,Shared log L + log N,needle_level,6,2399,269,0.9903338308653344,1.5793433967609205
shared_log_separable,Shared log L + log N,needle_level,8,2400,268,1.0127324404002669,1.6010217280579975
shared_log_separable,Shared log L + log N,blocked_cell,0,2139,529,1.0796265683112827,1.6436065965611475
shared_log_separable,Shared log L + log N,blocked_cell,1,2133,535,1.1288272011498086,1.699689557671603
shared_log_separable,Shared log L + log N,blocked_cell,2,2135,533,1.0833048886737424,1.6411883235827742
shared_log_separable,Shared log L + log N,blocked_cell,3,2132,536,1.209170334287522,1.7734037928893212
shared_log_separable,Shared log L + log N,blocked_cell,4,2133,535,1.115853133151632,1.682433586993789
shared_log_interaction,Shared log L + log N + interaction,seed,1234,2137,531,1.1474649669667294,1.7368345446233677
shared_log_interaction,Shared log L + log N + interaction,seed,1235,2132,536,1.1476396812480525,1.724235543364188
shared_log_interaction,Shared log L + log N + interaction,seed,1236,2134,534,1.150740720052732,1.7506634012900868
shared_log_interaction,Shared log L + log N + interaction,seed,1237,2132,536,1.1129594559429772,1.661082088423516
shared_log_interaction,Shared log L + log N + interaction,seed,1238,2137,531,1.1507754279346578,1.7523734856245288
shared_log_interaction,Shared log L + log N + interaction,length,10000,1780,888,1.234962347676371,1.7940207518740996
shared_log_interaction,Shared log L + log N + interaction,length,2000,1774,894,1.2144817547423297,1.762493467883574
shared_log_interaction,Shared log L + log N + interaction,length,5000,1782,886,1.0899619516929886,1.6809449336431543
shared_log_interaction,Shared log L + log N + interaction,needle_level,1,2400,268,1.2479549189787018,1.9207982437337232
shared_log_interaction,Shared log L + log N + interaction,needle_level,10,2402,266,1.1511108415997444,1.7314161562202854
shared_log_interaction,Shared log L + log N + interaction,needle_level,2,2401,267,0.9434655155855102,1.4636143680362352
shared_log_interaction,Shared log L + log N + interaction,needle_level,20,2404,264,1.6089140978339938,2.0675512848399427
shared_log_interaction,Shared log L + log N + interaction,needle_level,3,2400,268,0.9311347076738381,1.397775016907242
shared_log_interaction,Shared log L + log N + interaction,needle_level,30,2406,262,2.0604796512346906,2.624805840587041
shared_log_interaction,Shared log L + log N + interaction,needle_level,4,2401,267,0.9458443327997959,1.4715765437426387
shared_log_interaction,Shared log L + log N + interaction,needle_level,5,2399,269,0.9357791523820791,1.470132606203022
shared_log_interaction,Shared log L + log N + interaction,needle_level,6,2399,269,0.9932027564354939,1.580010603908501
shared_log_interaction,Shared log L + log N + interaction,needle_level,8,2400,268,1.024870753519022,1.5990646671105335
shared_log_interaction,Shared log L + log N + interaction,blocked_cell,0,2139,529,1.0807714559093766,1.6598501198029685
shared_log_interaction,Shared log L + log N + interaction,blocked_cell,1,2133,535,1.1200203880507573,1.6981863565052187
shared_log_interaction,Shared log L + log N + interaction,blocked_cell,2,2135,533,1.090304487446535,1.6370572654455247
shared_log_interaction,Shared log L + log N + interaction,blocked_cell,3,2132,536,1.2417611363723138,1.79035242192912
shared_log_interaction,Shared log L + log N + interaction,blocked_cell,4,2133,535,1.1112229495176427,1.6748046380956334
shared_raw_separable,Shared raw L + N,seed,1234,2137,531,1.1584536296411965,1.7556949287163977
shared_raw_separable,Shared raw L + N,seed,1235,2132,536,1.13472496730367,1.7105675288512878
