model_label,target,candidate,candidate_label,selection_metric,n_parameters,seed_mae,seed_rmse,seed_mean_residual,seed_raw_scale_mae,seed_raw_scale_rmse,needle_level_mae,needle_level_rmse,needle_level_mean_residual,needle_level_raw_scale_mae,needle_level_raw_scale_rmse,length_level_mae,length_level_rmse,length_level_mean_residual,length_level_raw_scale_mae,length_level_raw_scale_rmse,cell_block_mae,cell_block_rmse,cell_block_mean_residual,cell_block_raw_scale_mae,cell_block_raw_scale_rmse,selection_score
Qwen3-8B,raw_bias,condition_only,Condition only,rmse,6,49.174447303981616,159.63237369068517,-0.00034695791661040737,,,50.48027067637782,163.28043090409858,0.0035224265609163983,,,55.088993079151976,174.61970102759608,-9.522419795093504e-05,,,49.82880451076704,162.63578224167438,0.0034808138178878028,,,165.04207196601357
Qwen3-8B,raw_bias,log_density,Log density,rmse,7,56.76471539412386,159.4679785658765,-0.008205777871298676,,,57.53845190140779,162.89474301211814,-1.2864995303783056,,,76.74966362383648,184.30804822296832,-15.797205811101353,,,56.908498778999935,162.1369084896178,-0.9298560356636415,,,167.20191957264518
Qwen3-8B,raw_bias,log_separable,Separate log L + log N,rmse,8,73.93314315640532,154.26137474957542,-0.037646686654013106,,,77.16711158181094,157.21864545901738,0.6503745088895144,,,86.97234955134199,169.54644721001256,-9.08475687167603,,,75.79361928242342,156.4149650163666,0.7241187833457562,,,159.360358108743
Qwen3-8B,raw_bias,log_interaction,Log L + log N + interaction,rmse,9,76.56672810414149,152.2028227041082,-0.05437427440862204,,,78.8192585117422,154.81895805624373,0.7008158552615225,,,85.30172252297598,165.0494068182113,-8.803641873464217,,,77.6092289156735,154.14339156899297,0.7803833332829359,,,156.55364478688904
Qwen3-8B,raw_bias,raw_separable,Raw normalized L + N,rmse,8,73.56395410467123,155.44951514152416,-0.05365427435267188,,,78.82625676615365,158.6290913515742,-3.004542799532429,,,99.2391545943402,174.02378701447816,-23.285431141242384,,,77.81081295057022,157.82770461995946,-3.157154283899888,,,161.482524531884
Qwen3-1.7B,asinh_bias,condition_only,Condition only,mae,6,1.5643272796894747,2.0446141077141875,0.00253334311046168,31.770448584931522,95.37983518748445,1.589500031287435,2.0545756402851616,-0.0007053806728587544,32.13586253113091,95.60819228224054,1.5768990369668896,2.047430737577684,-0.0005414036277169763,31.71315069221467,94.95693270732117,1.5631915349613428,2.033860084476086,-0.001543856021117207,32.014790204605966,95.21855675272812,1.5734794707262854
Qwen3-1.7B,asinh_bias,log_density,Log density,mae,7,1.4823079453860293,2.0055567129648653,0.0025007458445668583,32.07961766170983,95.18818719849274,1.5426047497664848,2.0681634176499024,-0.08890782084417118,33.570915079204134,96.54439636413372,1.48383714227609,1.9916077765088764,-0.027447659133335967,31.95461577296331,94.21786759179894,1.524638436054546,2.0550052777687435,-0.10117871278660172,33.49868998667599,96.11982531568138,1.5083470683707874
Qwen3-1.7B,asinh_bias,log_separable,Separate log L + log N,mae,8,1.4881957970643256,2.0151333079292337,0.002738202734972961,32.15520595062704,95.27347031414732,1.572155606569197,2.103418079151206,-0.12960141320668064,34.0566369498213,97.019871521494,1.514678707140054,2.0302271156976324,0.22516365568845914,32.18765369703634,95.41447555496096,1.5451144454059322,2.081194263833118,-0.14321442737958073,33.904627560392235,96.49661746187421,1.5300361390448773
Qwen3-1.7B,asinh_bias,log_interaction,Log L + log N + interaction,mae,9,1.4806066720438975,2.0125034981714784,0.002739613821630888,32.14669880527224,95.26115850964689,1.5650624221945666,2.0999667052795727,-0.12961019929355996,33.99294043279749,96.77642505742426,1.5125933613556635,2.0525021103435415,0.22474308114877758,32.46540025121342,95.45171251145933,1.5380157354537405,2.0775687658966366,-0.14313351133416868,33.8260052245035,96.22554103656081,1.524069547761967
Qwen3-1.7B,asinh_bias,raw_separable,Raw normalized L + N,mae,8,1.4077824250596225,1.960051356015447,0.0027504573579153198,31.58795907388093,94.30202458816281,1.4455037520266785,1.9735636805421817,-0.07298865921760848,32.368988319286224,94.78243299135966,1.4060497058438883,1.9493095726151175,0.11830483894012248,31.446794605695892,94.148525240705,1.4328497770310857,1.9660481162218224,-0.08567137509907341,32.33655057954098,94.21185952949625,1.4230464149903188
